[00:00:02.611 --> 00:00:04.412]  It makes zero sense.
[00:00:04.412 --> 00:00:05.953]  Every year millions of U.S.
[00:00:05.953 --> 00:00:14.799]  citizens pay their taxes under the oppressive 16th Amendment under a corporatic system hijacked by an oligarchy disguised as a republic.
[00:00:14.799 --> 00:00:26.568]  As criminal illegal immigrant facilities aiding the cartels drugs and human trafficking schemes fueling the United Nations replacement migration plans are built with those same tax dollars.
[00:00:26.568 --> 00:00:29.510]  We should have a European response.
[00:00:30.445 --> 00:00:35.629]  As part of a global response we need structures.
[00:00:35.629 --> 00:00:47.059]  How is it for an example at the moment that the assessment of whether a person is or is not a refugee conducted at national level
[00:00:47.981 --> 00:00:52.003]  Has widely different results in different countries.
[00:00:52.003 --> 00:00:58.146]  Meanwhile, Biden's approval ratings continue to plummet over his pseudo-handling pro-surge of the border.
[00:00:58.146 --> 00:00:59.847]  But do the polls even matter?
[00:00:59.847 --> 00:01:08.852]  And those who come seeking asylum, we should immediately have the capacity to absorb them, keep them safe until they can be heard.
[00:01:08.852 --> 00:01:11.993]  Is it the border?
[00:01:11.993 --> 00:01:13.234]  Um, not today.
[00:01:15.690 --> 00:01:30.022]  To add insult to financial injury, the United States General Accounting Office wrote back in 1993, GAO obtained cost estimates from the five states that account for about 80% of the illegal immigrant population.
[00:01:30.302 --> 00:01:40.305]  California, Texas, New York, Illinois, and Florida are estimated to spend $2.9 billion in annual federal, state, and local costs for illegal aliens and their citizens' children.
[00:01:40.305 --> 00:01:46.426]  Under the Medicaid program, they are eligible for emergency services only, including labor and delivery.
[00:01:46.426 --> 00:01:57.249]  But some programs, such as the Supplemental Food Program for Women, Infants, and Children, WIC, and school nutrition programs are available to all those who qualify regardless of their immigration status.
[00:01:57.469 --> 00:02:02.671]  And the Supreme Court has ruled that illegal alien children may not be denied a public education.
[00:02:02.671 --> 00:02:09.374]  Illegal aliens may also be receiving public housing assistance, even though by law they are not eligible for these benefits.
[00:02:09.374 --> 00:02:14.697]  In addition, illegal aliens may apply for AFDC and food stamps on behalf of their U.S.
[00:02:14.697 --> 00:02:15.457]  citizen children.
[00:02:15.717 --> 00:02:16.037]  We're good.
[00:02:33.168 --> 00:02:33.708]  We're good to go.
[00:02:58.699 --> 00:03:03.581]  Yes, March 2nd, which tomorrow is the anniversary, I guess you can call it the anniversary.
[00:03:03.581 --> 00:03:09.662]  He was shot in the street like a dog by an illegal alien gangbanger who was on his third gun charge.
[00:03:09.662 --> 00:03:11.543]  He was just released from the L.A.
[00:03:11.543 --> 00:03:13.503]  County Jail that same day.
[00:03:13.503 --> 00:03:21.466]  She was heading back from church on February 19th with our older son, who is 18, heading back from church.
[00:03:22.166 --> 00:03:25.968]  Don, you heard what Nancy Pelosi had to say.
[00:03:25.968 --> 00:03:28.029]  She said, well, it's just kind of the price of doing business.
[00:03:28.029 --> 00:03:29.870]  These things will happen.
[00:03:29.870 --> 00:03:32.211]  What's your response to the speaker?
[00:03:44.094 --> 00:03:47.436]  My husband was not the price of doing business.
[00:03:47.436 --> 00:03:54.460]  My husband, on his way back to the station to get a little bit of rest after, you know, helping someone killed by an illegal.
[00:03:54.460 --> 00:04:00.224]  This year, Congress gave our illegal overlords nearly $4.5 billion in COVID relief stimulus money.
[00:04:00.444 --> 00:04:18.337]  Regardless of the fact that they have no social security numbers, that is, unless you count the 2 million using fraudulent social security numbers that were used to cash in, and now in New York, enclaves of undocumented workers who lost work during the pandemic will now receive one-time payments of up to $15,600.
[00:04:26.642 --> 00:04:35.246]  Disadvantaged Americans, inner city youth, members of minority groups, and immigrants who haven't adjusted to life in the United States yet.
[00:04:35.246 --> 00:04:37.547]  When you bring in a huge mass of
[00:04:38.482 --> 00:04:43.004]  Uneducated, unskilled individuals directly compete against Americans.
[00:04:43.004 --> 00:04:44.605]  Those Americans suffer.
[00:04:44.605 --> 00:04:55.530]  It's getting so lopsided that in the very near future, it may make good fiscal sense for some Americans to renounce their citizenship and become an illegal in their own country.
[00:04:55.530 --> 00:04:58.631]  John Bowne reporting.
[00:04:58.631 --> 00:05:02.172]  You cannot hide a grand assault.
