[00:00.000 --> 00:10.000]  The globalist's great error is to believe that as they collapse humanity, they end up on top.
[00:10.000 --> 00:32.000]  The truth is, humanity is coming down fast, but we're miles above them on our journey to hell.
[00:32.000 --> 00:46.000]  First the Eastern Caribbean, then Cuba. Now, Naples, Florida, Marcos Island have been wrecked as the storm has come on the edge of the shore at a Category 3
[00:46.000 --> 00:53.000]  and is pushing a huge storm surge up towards Tampa, set to hit there with its full intensity in the next six hours,
[00:53.000 --> 01:04.000]  but already causing four and five foot storm surge in, but it is not a biblical megastorm like it was five, six days ago out in the Eastern Caribbean,
[01:04.000 --> 01:19.000]  where it would take prosperous islands with large concrete hotel structures and flatten them, making islands uninhabitable, like Barbado and others.
[01:19.000 --> 01:29.000]  So we're going to be tracking all of this today as it unfolds, but a strong hurricane slamming in to southern Western Florida,
[01:29.000 --> 01:34.000]  but it's covering the entire state and is set more and more to go westerly.
[01:34.000 --> 01:43.000]  In fact, some paths have it going ahead after it hits Tampa, bouncing out to sea and could go up towards the Panhandle, Louisiana, Mississippi, or even Texas,
[01:43.000 --> 01:53.000]  but most tracks show it going up the western side, up into Georgia, up into the Carolinas. Here's the problem.
[01:53.000 --> 02:04.000]  The tracks that they had going back two weeks ago, a week ago, three days ago, two days ago, none of them were right.
[02:04.000 --> 02:10.000]  The tracks always showed it going out in the Atlantic or up the East Coast, and then the last few days going up the center of the state,
[02:10.000 --> 02:18.000]  and then now they show it going westerly, but staying along the westerly side with some now saying, oh, maybe it's going to track out the sea.
[02:18.000 --> 02:25.000]  With my experience with Katrina and so many others, it sits out in the Eastern Atlantic, heats up, comes in, runs along the bottom of Florida.
[02:25.000 --> 02:34.000]  Katrina sat there for like three days, just spinning off the coast, and then zipped on over as we all witnessed.
[02:34.000 --> 02:43.000]  But this gives us a unique opportunity while the public is paying attention to weather to point out a couple big things.
[02:43.000 --> 02:51.000]  We have the UN, we have Al Gore, we have the Bill and Melinda Gates Foundation, we have Obama, and all the folks are invested in the carbon tax swindle,
[02:51.000 --> 02:59.000]  the big Hollywood folks as well, George Clooney's, saying it's your fault this happened, even though back in the time of Christopher Columbus,
[02:59.000 --> 03:09.000]  they reported on storms in the Caribbean and storms in the southern United States that would knock over every tree when they made landfall.
[03:09.000 --> 03:12.000]  I've not seen a storm that knocks down every tree.
[03:12.000 --> 03:21.000]  So we know about mega storms, sometimes it would go on for weeks, that would be, of course, two or three hurricanes or cyclones right behind each other,
[03:21.000 --> 03:30.000]  like we're seeing with Irma, and we've got Jose, and then we've got Tatia out in the western Caribbean spinning around.
[03:30.000 --> 03:36.000]  Tatia, Tatia. I can't pronounce anything right. How do you say it?
[03:36.000 --> 03:46.000]  Katia with a K, thank you. I don't have a teleprompter, but they do occasionally pop in my ear when I'm getting something wrong, so that's always good.
[03:46.000 --> 03:54.000]  But hey, I'm pretty good to get all these hurricane names right without a teleprompter. Kind of trains you to be focused, but I'm not too good on my Russian names,
[03:54.000 --> 03:59.000]  even though I supposedly get my orders from Vladimir Putin.
[03:59.000 --> 04:08.000]  Now getting serious, we have some amazing guests today. When I say amazing, there's been a lot of new big developments the last few years in the area of geoengineering,
[04:08.000 --> 04:23.000]  namely that planetary weather control projects have been admitted by governments, Russia, China, Dubai, Qatar, Saudi Arabia, even South American countries are admitting it.
[04:23.000 --> 04:29.000]  But they always make fun of it in our news, and that's because the United States leads it. So there's been some big new developments.
[04:29.000 --> 04:38.000]  One of the leading researchers on this, Dane Whittington, is going to be joining us in the second hour stand day of amazing earthquake expert,
[04:38.000 --> 04:45.000]  one of the best tracking records out there, being able to predict earthquakes, going to get into why we saw the record earthquake a few days ago in Mexico,
[04:45.000 --> 04:50.000]  8.1, 8.3, depending on the raker scale report we see. That's the strongest ever recorded in Mexico.
[04:50.000 --> 05:00.000]  We're going to look at that and just talk about these huge developments dealing with the deep state and its deep projects.
