[00:00.000 --> 00:26.000]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:26.000 --> 00:49.000]  Well, well, well, 330, 2 days, until this incredibly important election, everyday counts.
[00:49.000 --> 00:59.000]  It is December 6th, 2019 on this Friday worldwide broadcast. I'm your host, Alex Jones.
[00:59.000 --> 01:04.000]  And I tend to get in here at the beginning of the broadcast and have this whole transmission planned out.
[01:04.000 --> 01:22.000]  Within about an hour, I've ended up only covering two subjects or so, and then I start getting really mad at myself. So I'm going to try as best I can in the first 30 minutes to just hit all this news, even if I just mention it.
[01:22.000 --> 01:31.000]  And then try to plow back through the topics so we can open the phones up, because I love taking your calls.
[01:31.000 --> 01:52.000]  On a host of subjects, but obviously Americans particularly need to be able to respond to this two month long fake impeachment, travesty, not just fiasco or train wreck and where it's all going.
[01:52.000 --> 01:57.000]  Because we have been dead on predicting what they'll do so far. It's not really hard to do.
[01:57.000 --> 02:12.000]  When you have no shame, when you're completely psychotic and out of control, and you're subconsciously begging to be slapped down and stopped, like these globalist are.
[02:12.000 --> 02:21.000]  Now, some of this news is news I didn't get to yesterday that's so important, I must cover it today.
[02:21.000 --> 02:32.000]  And that, of course, is Putin says in some countries, the world, in some countries of the world, the word mother is being replaced.
[02:32.000 --> 02:38.000]  Now, how big a statement is that and it's actually true. And just let that sink in.
[02:38.000 --> 02:43.000]  Instead of it just being background noise and then tie it into this article.
[02:43.000 --> 03:00.000]  Today, the Russian Foreign Minister Medidyev, pronouncing that right, says, cutting Russia off from Swift would mean declaration of war.
[03:00.000 --> 03:06.000]  I guess that's the Russian Prime Minister saying that their foreign minister also said that.
[03:06.000 --> 03:11.000]  That's what I was saying, is that the right name? I've got two articles on this.
[03:11.000 --> 03:19.000]  That means not letting Russians, the Russian government, the Russian people, use credit cards and banking outside of Russia.
[03:19.000 --> 03:24.000]  Mark of the Beast. Same stuff. They took five bank accounts away from us last year.
[03:24.000 --> 03:32.000]  Perfect credit score, perfect merchant accounts, perfect histories. We even got the internal documents.
[03:32.000 --> 03:48.000]  But the ADL had Wikipedia say we were a hate group. That was then used by G2 and Boston, really the CIA, to list me as a Russian agent.
[03:48.000 --> 03:54.000]  And they took five accounts away. One of them was 23 years old.
[03:54.000 --> 04:01.000]  And it had more than $40 million go through it funding this operation.
[04:01.000 --> 04:08.000]  The bank said that millions and millions and millions off of credit card and debit card and all the rest of the fees.
[04:08.000 --> 04:15.000]  And they said, your perfect credit is nothing. The ADL is God.
[04:15.000 --> 04:18.000]  Just like Hitler would say, if you're a Jew, you can't have a bank account.
[04:18.000 --> 04:25.000]  Well, I now get to have America's preeminent Jewish organization say that I don't get to have a bank account. They are God.
[04:25.000 --> 04:32.000]  Should I go in front of the ADL and set myself on fire and say, I'm sorry, just gasoline, just wipe myself up and go, you are my God, you are my king.
[04:32.000 --> 04:37.000]  And just burn before they ship me off to a death camp? So I did nothing to you?
[04:37.000 --> 04:42.000]  But side issue. See, that's the kind of stories we have here.
[04:42.000 --> 04:57.000]  I'm fired up today. More ways than one. I didn't tell the fire behind it. Maybe they need to stop that.
[04:57.000 --> 05:03.000]  My phone has been ringing off the hook. Dozens and dozens of people have called me.
[05:03.000 --> 05:08.000]  I've gotten all these text messages. The office phones ringing off the hook.
[05:08.000 --> 05:18.000]  E-mails are flooding in. They're saying, can you believe it? 300 Trump ads that were going to run tens of millions of times were pulled by Google.
[05:18.000 --> 05:25.000]  And then it turns out it was done over the summer. Folks, I live this every day. I read the news like nobody else probably.
[05:25.000 --> 05:32.000]  And they have been hitting hundreds of congressional candidates and members of Congress. They've been going after governors, state reps.
[05:32.000 --> 05:39.000]  It's been a rain of terror. Last week they wouldn't let Melania Trump images be sent out saying it was hate speech.
[05:39.000 --> 05:45.000]  Ladies and gentlemen, this is beyond censorship. It's total information control. It has to all go through a filter.
[05:45.000 --> 05:54.000]  And that's what AI allows, is what I call information singularity. Not empowering information, but holding it all in like the one ring of Mordor.
[05:54.000 --> 06:03.000]  Trump must act now or they will steal this election.
[06:24.000 --> 06:40.000]  Number six, 2019. I'm your host Alex Jones. And let me just be a good boy and read you the headlines without getting into them.
[06:40.000 --> 06:53.000]  Bloomberg unveils extreme gun control plan. Every gun control proposal that has failed in the past is included basically total gun ban like Chicago or D.C.
[06:53.000 --> 06:57.000]  Meanwhile, David Knight covered in great detail this morning before I went live.
[06:57.000 --> 07:05.000]  Academics, top academics, call for UN military to enforce climate hoax agenda and arrest those that disagree.
[07:05.000 --> 07:11.000]  Here's the article of the New American with links to the UN, UN military action to enforce climate agenda.
[07:11.000 --> 07:14.000]  It may happen, say academics.
[07:14.000 --> 07:24.000]  Meanwhile, remember this flashback? Obama administration in UN announced global police force to fight extremism in the US.
[07:24.000 --> 07:38.000]  Four years ago, I actually played the clips of them saying it on C-SPAN. Would you like me to show Loretta Lynch, the former Attorney General and the former Vice President Joe Biden?
[07:38.000 --> 07:45.000]  Saying all that? I mean, this is really happening.
[07:45.000 --> 08:01.000]  We're going to be going over all of that today and we've got former MLB star Aubrey Huff, who's a big listener, says he's teaching his children about guns in case Sanders beats Trump jokingly in a video.
[08:01.000 --> 08:14.000]  And so they've sent the CPS after him. They're calling for his arrest. At a New York Times article, I'm going to dignify yesterday saying that I secretly hunt and then cover up videos of the animals I've shot.
[08:14.000 --> 08:28.000]  Imagine the aliens that live in New York, some areas in those high rises that right for the New York Times who actually think like hunting is illegal and that you should be arrested if you're hunting.
[08:28.000 --> 08:43.000]  And then I'm covering up videos of animals I've hunted. We've played some of those videos. Bizarre. It's like he was heterosexual. No. And he had children.
[08:43.000 --> 08:53.000]  I can't tell you how many times I've been in Whole Foods or something. Particularly it happened to my ex-wife, but it happened to me a few times and people are like, you got too many kids.
[08:53.000 --> 09:03.000]  I had three children. Then I got four now. They're really just jealous. I've had people walk up to me at P. Terry's when I was driving my F-150, not even that big of a truck.
[09:03.000 --> 09:07.000]  I mean, it wasn't even jacked up and stuff. Had a little bit bigger tires.
[09:07.000 --> 09:23.000]  This lady walks up and she goes, you Texans make me sick. And I go, what? She goes, this truck, you don't need this. And my son was sitting there. We just been at the Barton Springs swimming and he just started laughing at her.
[09:23.000 --> 09:38.000]  Then her husband or whoever it was, the P. Terry's place, you mainly drive around it. Their original location on South Lamar, where I was, only had outdoor pulling up. But people can walk up to a window also on the front and order food.
[09:38.000 --> 09:49.000]  And then her husband or boyfriend or whatever it was, sort of bowing up, when you got a problem, punk. And it was all just because I was suntanned and I think I was wearing a Texas shirt or whatever and had a big truck.
[09:49.000 --> 09:57.000]  These people hate you, ladies and gentlemen, but I said, I just read the headlines. They totally flipped out on him.
[09:57.000 --> 10:04.000]  Talking about taking his sons to a gun shop and getting them firearms. He's joining us.
[10:04.000 --> 10:12.000]  And he's aren't really our top stories. I'm just going through these. Oh, just the U.N. is coming for your guns. No big deal.
[10:12.000 --> 10:20.000]  It's now coming out in major Israeli newspapers that Epstein was a Mossad agent used to blackmail American politicians. His former Israeli spy.
[10:20.000 --> 10:27.000]  And I've interviewed another former Israeli spy who said that on my show like a decade ago, Victor Ostrowski.
[10:27.000 --> 10:31.000]  So again, tomorrow's news today.
[10:31.000 --> 10:43.000]  It's a new epic prank Walmart employee pages customer named Clinton killed Epstein. So now it's not Epstein didn't kill himself. It's now Clinton killed Epstein.
[10:43.000 --> 10:59.000]  Meanwhile, Polish politician and big globalist tweets photo of finger gun pointed at Trump's back.
[10:59.000 --> 11:08.000]  And he did it very, very seriously and put out a very, very cryptic message concerning it.
[11:08.000 --> 11:14.000]  Despite seasonal turbulences, our transatlantic friendship must last.
[11:14.000 --> 11:32.000]  And he's saying Trump is only a season. He'll be gone very, very quick, making clearly the gun gesture at his back with Merkel, the head of the EU Islamic takeover looking on approvingly.
[11:32.000 --> 11:39.000]  And this guy's made statements like Trump must be removed to save Europe to save the world. Trump is a tyrant. Trump is bad.
[11:39.000 --> 11:45.000]  His name is Donald Tusk.
[11:45.000 --> 11:50.000]  Isn't that just interesting? He's the big Polish globalist leader, but the polls hate his guts.
[11:50.000 --> 12:00.000]  He leads the European People's Party that is an EU takeover system and he doesn't believe nations should even exist.
[12:00.000 --> 12:09.000]  By the way, for somebody that's literally been writing Vladimir Putin's proboscis.
[12:09.000 --> 12:11.000]  Well, he's it.
[12:11.000 --> 12:17.000]  So he also because a lot of EU officials have been doing one side of deals with Russia.
[12:17.000 --> 12:26.000]  So I love how he accuses Trump of all this stuff isn't true and he's known as a jockstrap sniffer of Vladimir Putin.
[12:26.000 --> 12:32.000]  So we'll be getting to all of that coming up as well.
[12:32.000 --> 12:39.000]  Pelosi says civilization itself is at stake if Trump wins reelection.
[12:39.000 --> 12:43.000]  And that's actually true. The globalists are trying to tear down civilization.
[12:43.000 --> 12:53.000]  So she actually made a backhanded true statement that is their goal is to get rid of an upwardly mobile civilization for the rest of us.
[12:53.000 --> 13:00.000]  And then let me just tell listeners if I sound distracted towards the end of the broadcast yesterday.
[13:00.000 --> 13:11.000]  We're working on big stories that are confirmed that there are white man's going around.
[13:11.000 --> 13:17.000]  Picking people up all over the United States, but also black SUVs.
[13:17.000 --> 13:23.000]  And we've solved the mystery of what's causing this panic across the country. And let me just leave it like this.
[13:23.000 --> 13:33.000]  We were out last night at 10 o'clock at night sneaking around in the bushes in Austin, Texas.
[13:33.000 --> 13:40.000]  And what we've got is so big that I'm going to be up here Saturday and Sunday.
[13:40.000 --> 13:48.000]  Separate from the regular Sunday show I do normally hear from about two to six. I'm going to be here both days working on.
[13:48.000 --> 13:53.000]  See this big stack right here.
[13:53.000 --> 13:58.000]  And the documents and the witnesses and all of it.
[13:58.000 --> 14:06.000]  Because when people see folks being put in vans and folks being put in black SUVs by men in suits,
[14:06.000 --> 14:12.000]  there's something out of a ex files episode and people just know instinctively that's scary.
[14:12.000 --> 14:19.000]  Now, the rumor is they're taking organs.
[14:19.000 --> 14:25.000]  And we know some people have been kidnapped and organs have been taken. I've got all the documents, all the articles, all the crime statistics.
[14:25.000 --> 14:30.000]  Then I've got government media saying none of it's happening. Go to sleep. Everything's okay.
[14:30.000 --> 14:34.000]  But this is even more diabolical than that.
[14:34.000 --> 14:45.000]  And it's the kind of thing where this one story, if somebody broke this one story in their lifetime, it would be the stuff of legend.
[14:45.000 --> 14:49.000]  And of course, when we break it, they'll do everything they can to block it everywhere.
[14:49.000 --> 14:54.000]  And because it's so incredible and so over the top and so confirmed, no one will even care.
[14:54.000 --> 15:01.000]  Like if a giant flying saucer landed in downtown Austin on top of the Capitol and a thousand little green men came off, no one would care.
[15:01.000 --> 15:07.000]  They'd say, oh, just the aliens landed on the ground. But if someone claimed they saw a tube of Cobra once in the middle of the field with no witnesses,
[15:07.000 --> 15:13.000]  they'd just be a total freakouts and constant shows about it and, oh, what's an Area 51, all this crap.
[15:13.000 --> 15:18.000]  Because people like a mystery they can't solve. They don't like a mystery that is solved.
[15:18.000 --> 15:22.000]  But I'll just tell you what it is up front.
