[00:00:09.571 --> 00:00:12.024]  Waging war on corruption.
[00:00:12.024 --> 00:00:13.350]  It's Alex Jones.
[00:00:16.823 --> 00:00:27.953]  So I don't know why they've been successful in pushing everybody into these little ghettos of these Facebooks and these tweets and these Instagrams, these Instas.
[00:00:27.953 --> 00:00:34.399]  Now four media giants are banding together to take down controversial InfoWars content from their site.
[00:00:34.399 --> 00:00:41.325]  YouTube, Facebook, and Apple all announcing they're removing his content from their platforms.
[00:00:41.485 --> 00:00:44.506]  Yesterday, Alex Jones became an un-person.
[00:00:44.506 --> 00:00:50.329]  Apple last night removed the entire library of Alex Jones' podcasts from their store.
[00:00:50.329 --> 00:00:56.812]  The conspiracy theories are beyond the realm, are not only beyond being offensive, they're dangerous.
[00:00:56.812 --> 00:01:06.256]  And we don't do enough in telling people out there right now this morning, people who read newspapers, exactly who these people are and what they believe.
[00:01:06.916 --> 00:01:19.372]  I am here because there is a concerted effort by the Democratic Party and multinational corporations and big tech to silence conservative and nationalist and populist voices ahead of this critical midterm election.
[00:01:19.372 --> 00:01:25.659]  And the big tech companies and the head of Apple admit that they met with Senator Warner, who's running this whole thing,
[00:01:26.400 --> 00:01:27.661]  The idea of a shadow ban is that
[00:01:51.869 --> 00:01:57.590]  You ban someone but they don't know they've been banned because they keep posting but no one sees their content.
[00:01:57.590 --> 00:02:05.332]  Even the New York Times calls it a crackdown on conservatives and a plan to de-platform conservatives from the internet and communicating with each other.
[00:02:05.332 --> 00:02:15.135]  Just like communist China, this is dangerous authoritarianism and they've packaged silencing Americans who are popular and well-spoken, as Tucker Carlson said about me on Fox News,
[00:02:15.735 --> 00:02:20.079]  Not because what I say is bad, but because what I say is effective, and true, and popular.
[00:02:20.079 --> 00:02:25.303]  I appreciate your First Amendment, but I have a right to face my accusers, Jack.
[00:02:25.303 --> 00:02:27.305]  You are incredibly shameful.
[00:02:27.305 --> 00:02:28.706]  How are you doing?
[00:02:28.706 --> 00:02:29.487]  Look at you.
[00:02:29.487 --> 00:02:34.291]  You are literally an anti-American, anti-free speech coward.
[00:02:34.291 --> 00:02:34.812]  Who are you?
[00:02:34.812 --> 00:02:36.673]  I swear to God I don't know who you are, man.
[00:02:37.594 --> 00:02:38.914]  Tens of billions of views.
[00:02:38.914 --> 00:02:39.474]  InfoWars.
[00:02:39.474 --> 00:02:40.715]  Bigger than Russell M. Ball.
[00:02:40.715 --> 00:02:42.075]  He knows who InfoWars is.
[00:02:42.075 --> 00:02:43.155]  Playing this joke over here.
[00:02:43.155 --> 00:02:51.217]  If at that point somebody decides they're going to scroll past that and go find Alex Jones, well, if they were looking for him, let's begin with anyone.
[00:02:51.217 --> 00:02:55.278]  And they tell Congress that they're not censoring anybody.
[00:02:55.278 --> 00:03:03.700]  Even though we have all the Google documents, we have internal Google videos, we have internal Twitter videos, where their executives talk about how they're censoring everyone.
[00:03:03.700 --> 00:03:04.640]  I think as someone with
[00:03:06.099 --> 00:03:16.485]  A PhD in computer science and five years of working at one of the world's top computer science companies, I don't see any doubt that it's very politically biased.
[00:03:16.485 --> 00:03:19.487]  Your censorship will not work anymore, Sundar.
[00:03:19.487 --> 00:03:25.070]  We're aware of your activities, trying to muzzle the American people and gaming your search results.
[00:03:25.070 --> 00:03:27.471]  Google is evil.
[00:03:27.471 --> 00:03:29.292]  Google is evil.
[00:03:29.292 --> 00:03:30.013]  Google is-
