[00:00:09.739 --> 00:00:11.180]  You want answers?
[00:00:11.180 --> 00:00:12.341]  Well, so does he.
[00:00:12.341 --> 00:00:16.545]  It's Alex Jones.
[00:00:16.545 --> 00:00:19.307]  Welcome to the Alex Jones Show.
[00:00:19.307 --> 00:00:21.609]  I'm David Knight, your host here in the Austin studios.
[00:00:21.609 --> 00:00:25.332]  We're going to be joining Paul Joseph Watson in London in just a few moments.
[00:00:25.332 --> 00:00:28.255]  We're also going to have special reports from Alex Jones.
[00:00:28.255 --> 00:00:30.657]  It is an amazing news day today.
[00:00:30.657 --> 00:00:34.300]  You know, we've been talking about these email scandals from Hillary Clinton.
[00:00:35.006 --> 00:00:38.328]  I thought there was a very interesting couple of revelations that have happened in the last couple of days.
[00:00:38.328 --> 00:00:52.375]  First, we had William Binney, who's a former technical head of the NSA for many, many years, and one of the first NSA whistleblowers, telling the public that the NSA was violating the Constitution by doing dragnet surveillance on the American public.
[00:00:53.208 --> 00:01:02.059]  He has spoken about his concern that these leaks may not be coming from the Russians, but from people within the intelligence community.
[00:01:02.059 --> 00:01:05.363]  And as I mentioned when we talked about this earlier in the week,
[00:01:06.360 --> 00:01:07.681]  They have plenty of motivation.
[00:01:07.681 --> 00:01:14.187]  All these people who take national security seriously understand that they will not be given a pass.
[00:01:14.187 --> 00:01:16.589]  As a matter of fact, FBI Director Comey even said that.
[00:01:16.589 --> 00:01:28.640]  He said, don't try this at home, essentially, after laying out the multiple felonies that Hillary Clinton had done, talking about how carelessly she had handled national security secrets.
[00:01:28.640 --> 00:01:31.022]  So these people understand that they're
[00:01:32.038 --> 00:01:42.506]  Their future, going to jail, is on the line if they were to commit this kind of careless actions with national security.
[00:01:42.506 --> 00:01:44.048]  They also take it seriously.
[00:01:44.048 --> 00:01:49.712]  I mean, these are real secrets that she was exposing, not the kind of stuff they tried to trump up against some of the NSA whistleblowers.
