[00:00:00.391 --> 00:00:01.153]  You've got it!
[00:00:01.153 --> 00:00:03.682]  The Ghostbusters are coming to you!
[00:00:07.492 --> 00:00:11.875]  Waging war on corruption.
[00:00:11.875 --> 00:00:17.439]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:34.216 --> 00:00:37.619]  Ladies and gentlemen, thank you so much for joining us.
[00:00:37.619 --> 00:00:40.802]  It is July 1st, 2012.
[00:00:40.802 --> 00:00:48.029]  We're going to be live here on this Sunday transmission for the next two hours, Lord Wellin.
[00:00:48.029 --> 00:00:53.213]  Then, of course, I'll be back tomorrow, 11 to 2 Central during the day, 12 noon to 3 p.m.
[00:00:53.213 --> 00:00:53.534]  Eastern.
[00:00:54.562 --> 00:00:58.344]  Okay, wow, there is a lot of financial news I want to get to.
[00:00:58.344 --> 00:01:10.852]  Also, we have the big heat wave and Al Gore is out there saying pay him money and it will fix summer temperatures that have been recorded for hundreds of years this time of year.
[00:01:10.852 --> 00:01:15.194]  It is certainly in a cycle and the earth gets hot, the earth gets cold.
[00:01:15.194 --> 00:01:17.736]  They'd have you believe you can pay carbon indulgences to them.
[00:01:17.736 --> 00:01:19.537]  We're going to be going over that because
[00:01:20.558 --> 00:01:22.859]  They've shut down a lot of power plants nationwide.
[00:01:22.859 --> 00:01:25.940]  They've had different electric commissions come out and point this out.
[00:01:25.940 --> 00:01:27.400]  In the name of carbon taxes.
[00:01:27.400 --> 00:01:29.981]  But really it's just used to shut down their competition.
[00:01:29.981 --> 00:01:31.721]  People that aren't the insiders.
[00:01:31.721 --> 00:01:40.244]  And so there are rolling blackouts in states where they weren't hit by big storms that made trees fall on power lines and things.
[00:01:40.244 --> 00:01:41.164]  That always happens.
[00:01:42.634 --> 00:01:52.964]  A lot of this is happening because there isn't the power production capacity available anymore during peak times in the winter and the summer.
[00:01:52.964 --> 00:01:55.727]  It's just that simple.
[00:01:55.727 --> 00:01:57.729]  Devastating heatwave continues from St.
[00:01:57.729 --> 00:01:58.930]  Louis to D.C.
[00:01:58.930 --> 00:02:01.052]  Power outages drag on in D.C.
[00:02:01.052 --> 00:02:01.493]  region.
[00:02:01.493 --> 00:02:06.138]  Officials fuming at utility companies send in FEMA to save the day.
[00:02:07.647 --> 00:02:18.114]  All FEMA could do was confiscate guns, shut down highways, and not let anybody get aid in, the fire departments all over the country that wanted to come help, and police departments.
[00:02:18.114 --> 00:02:31.163]  That's all FEMA could do, was squat, like an obese tick, on top of New Orleans for a month, while people's families, you know, old folks died in nursing homes and things, and folks in hospitals.
[00:02:31.163 --> 00:02:33.045]  I mean, that's what you do.
[00:02:33.045 --> 00:02:34.025]  So, to have
[00:02:35.046 --> 00:02:53.202]  To have, I mean the utility companies on average, I'm not defending, a lot of them are big globalist operations using government to consolidate and charge more, but they know how to thread the needle, they know how to deliver power, they know how to get the job done, they know how when power lines get knocked down all over the place from tornadoes or ice to get it back up quick.
[00:02:53.202 --> 00:02:56.986]  Compared to government, you've got to give me a break.
[00:02:56.986 --> 00:02:58.187]  Give me a break.
[00:02:58.187 --> 00:02:59.308]  I mean having government
[00:03:01.653 --> 00:03:08.837]  The Pentagon with trillions and trillions missing, and all the rest of it, and the welfare commissions and all of it.
[00:03:08.837 --> 00:03:15.061]  I mean, they can't even keep the grass mown at like the Austin Health Department locally.
[00:03:15.061 --> 00:03:17.222]  I've done a report on that where they're taking people's property.
