[00:00:00.000 --> 00:00:18.080]  InfoWars! Tomorrow's news, today.
[00:00:20.320 --> 00:00:25.600]  Ladies and gentlemen, we're broadcasting worldwide on Saturday afternoon.
[00:00:26.160 --> 00:00:33.920]  The date is March 27th. The year is 2021. We live on a wondrous planet. We live in an incredible
[00:00:33.920 --> 00:00:42.720]  universe. We are just now beginning to discover only a tiny percentage of the incredible mysteries
[00:00:43.920 --> 00:00:49.680]  that are consciousness. I'm Alex Jones, your host, here with my intrepid crew,
[00:00:50.560 --> 00:00:58.480]  still on air despite all the enemy attacks, thanks to you. The InfoWar is a human struggle against
[00:00:58.480 --> 00:01:05.600]  tyranny and those that would shutter the doors of perception, those that would enslave us with lies
[00:01:05.600 --> 00:01:15.680]  and disinformation. It was Christ that said, my people perish for lack of knowledge. InfoWars
[00:01:15.680 --> 00:01:23.760]  has the knowledge. InfoWars understands the globalist program and InfoWars knows how to stop
[00:01:23.760 --> 00:01:29.360]  the New World Order. I've been showing you some really powerful footage here that I know I've been
[00:01:29.360 --> 00:01:35.920]  enthralled by of drone footage, live feed footage, and more from Iceland at this volcanic eruption
[00:01:35.920 --> 00:01:42.400]  that's captivated the world. And we'll be coming back to that later in the hour and we'll also be
[00:01:42.400 --> 00:01:48.960]  looking at the hundreds of ships stranded in the Suez Canal, one simple accident hurtling the world
[00:01:49.520 --> 00:01:55.920]  into potential depression. Also constitutional lawyer Robert Barnes is going to be joining us
[00:01:55.920 --> 00:02:00.960]  to talk about the waterfront, where the Democrats are going, the next moves he thinks Biden and
[00:02:00.960 --> 00:02:06.160]  Co are going to pull with their plans to sign executive orders to begin registration and
[00:02:06.160 --> 00:02:13.040]  confiscation of firearms and war. That is all coming up as well. We're also going to premiere
[00:02:13.600 --> 00:02:23.120]  here in just about 15-20 minutes an exclusive piece of research built around my visit
[00:02:24.400 --> 00:02:29.520]  just this last Monday to one of the oldest and most powerful secret societies in the world,
[00:02:30.320 --> 00:02:36.480]  a branch of that secret society, the Illuminati known as Skull and Bones, the Order of Death,
[00:02:37.520 --> 00:02:39.040]  number 322.
[00:02:39.167 --> 00:02:51.447]  And that directly ties to our top story today that I'm about to lay out in great detail.
[00:02:51.447 --> 00:03:00.967]  Here's the headline, Tucker Carlson, US military has gone full woke waging war on those who
[00:03:00.967 --> 00:03:03.967]  disagree with them.
[00:03:03.967 --> 00:03:09.567]  It's a very true statement, and in this world of universal deceit and propaganda, as George
[00:03:09.567 --> 00:03:16.367]  Arwell said, telling the truth is a revolutionary act.
[00:03:16.367 --> 00:03:22.527]  But as I was just alluding to a moment ago, this system of wokeness, this system that
[00:03:22.527 --> 00:03:28.647]  tells us that Christians and Europeans and white people are inherently evil, are inherently
[00:03:28.647 --> 00:03:34.527]  bad, comes from the establishment, comes from the big banks, comes from the Rothschilds
[00:03:34.527 --> 00:03:36.847]  and the Rockefellers and the British royalty.
[00:03:36.847 --> 00:03:38.927]  It comes out of the universities.
[00:03:38.927 --> 00:03:44.807]  It comes out of Apple and Google and Facebook and Twitter and General Electric.
[00:03:44.807 --> 00:03:51.087]  No corporation of any major size is allowed to operate unless they are wedded to this
[00:03:51.087 --> 00:03:52.087]  plan.
[00:03:52.087 --> 00:03:55.487]  Whether you're in Australia or whether you're in the United States, you hear that white
[00:03:55.487 --> 00:03:57.647]  people are inherently bad.
[00:03:57.647 --> 00:04:04.087]  You hear that men, as half the human species, are inherently evil and must apologize for
[00:04:04.087 --> 00:04:06.047]  our collective sin.
[00:04:06.047 --> 00:04:07.687]  What is behind this?
[00:04:07.687 --> 00:04:09.406]  Who is behind this?
[00:04:09.406 --> 00:04:11.047]  Why are they doing it?
[00:04:11.047 --> 00:04:12.727]  And how do we oppose it?
[00:04:12.727 --> 00:04:17.567]  So I will give you the rest of the story here in just a moment.
[00:04:17.567 --> 00:04:21.667]  But first, let's go to Tucker Carlson's piece from last night, Friday evening.
[00:04:21.667 --> 00:04:27.047]  The full video, 14 minutes long, is posted to Infowars.com, a very important report.
[00:04:27.047 --> 00:04:30.927]  But I'm not taking away from what Tucker lays out here.
[00:04:30.927 --> 00:04:35.167]  But if you don't know the rest of the story, if you don't know who's behind it, why they're
[00:04:35.167 --> 00:04:40.486]  doing it, how it's universal and how it's the establishment pushing this, then we'll
[00:04:40.486 --> 00:04:43.127]  never have any hope of defeating it.
[00:04:43.127 --> 00:04:49.847]  Only by collective awakening to the plan behind this, to end nation states, to end regional
[00:04:50.687 --> 00:04:57.767]  governments, to end cultures, to end all peoples under one corporate transhumanistic plan.
[00:04:57.767 --> 00:04:59.847]  Only by realizing that can we defeat them.
[00:04:59.847 --> 00:05:05.047]  So there is his report, Tucker Carlson, US military has gone full woke, waging war on
[00:05:05.047 --> 00:05:07.047]  those who disagree with them.
[00:05:07.047 --> 00:05:08.047]  Here it is.
[00:05:08.047 --> 00:05:11.847]  Good evening and welcome to Tucker Carlson tonight.
[00:05:11.847 --> 00:05:13.167]  Here's an amazing story.
[00:05:13.167 --> 00:05:18.027]  Yesterday, the Pentagon's Special Operations Command made an announcement from its official
[00:05:18.027 --> 00:05:19.647]  Twitter account.
[00:05:19.647 --> 00:05:24.407]  Special Operations Command is a very significant thing in the US military and in our country.
[00:05:24.407 --> 00:05:28.647]  It oversees Delta Force, the SEAL teams, and the rest of our most celebrated, best trained,
[00:05:28.647 --> 00:05:30.727]  most lethal warfighter.
[00:05:30.727 --> 00:05:34.927]  So the tweet announced that a man called Richard Torres Estrada is now the, quote, chief of
[00:05:34.927 --> 00:05:39.687]  diversity and inclusion of America's special forces, and they included his picture with
[00:05:39.687 --> 00:05:40.687]  the announcement.
