[00:00:00.000 --> 00:00:06.000]  InfoWars. Tomorrow's news. Today.
[00:00:30.000 --> 00:00:56.160]  It's Thursday, July 13th, 2023. And I am your host, Alex Jones. Wow. Huh. Crazy developments.
[00:00:56.160 --> 00:01:02.320]  The gloves are off with the pedo-Satanist. California tried to pass a bill to make it
[00:01:02.320 --> 00:01:08.480]  a felony to be caught sex-trafficking children. The Democrats unanimously voted it down and
[00:01:08.480 --> 00:01:16.520]  then laughed at the victims as they cried. Actual video of the evil uncloaking itself.
[00:01:16.520 --> 00:01:25.640]  Speaking of evil, the poor little victim, Ray Epps, has filed a lawsuit against Fox
[00:01:25.640 --> 00:01:30.200]  for saying that he instigated by saying, go into the Capitol and then saying that
[00:01:30.200 --> 00:01:40.920]  he quote, orchestrated the attack with his text messages. He said to family, I just orchestrated
[00:01:40.920 --> 00:01:46.560]  it. Well, you're not allowed to say that. So they'll get a pick jury in DC totally controlled
[00:01:46.560 --> 00:01:51.360]  and probably give $8 billion or something to Ray Epps. But Ray Epps to be criminally
[00:01:51.360 --> 00:01:58.480]  charged for events on January 6th. His attorney says Trump's supporter. Yeah, right. Ray Epps
[00:01:58.480 --> 00:02:07.720]  sues Fox news editor Carlson baselessly called him a Jan six instigator. Okay. And Wiley coyote
[00:02:07.720 --> 00:02:12.920]  doesn't go after the roadrunner. Okay. A Trump supporter. Ray Epps sues Fox news for defamation
[00:02:12.920 --> 00:02:19.160]  over January six falsehoods. But in the lawsuit, they say he's been told that his criminal
[00:02:19.160 --> 00:02:24.960]  charging is imminent, but that's from his lawyers. I mean, who knows what's true, but
[00:02:24.960 --> 00:02:30.520]  Ray Christopher Ray, the FBI director got smashed yesterday repeatedly on the subject
[00:02:30.520 --> 00:02:38.280]  that's coming up. So we have what the F California assembly Democrats block bill to make child
[00:02:38.280 --> 00:02:43.240]  trafficking a crime. And then they laugh about it. I mean, it's just, these people
[00:02:43.240 --> 00:02:48.520]  are next level. And I've got a whole stack of news where California is becoming the pedophile
[00:02:48.520 --> 00:02:57.160]  utopia. Then of course the biggest news here is the war effort is in shambles as Hawks turn on
[00:02:57.160 --> 00:03:04.240]  each other at NATO summit. They're now preparing to blame Zelensky for the failure of NATO to defeat
[00:03:04.240 --> 00:03:12.200]  Russia. And so the knives are out for Zelensky in a big, big way. Key stack on that big new
[00:03:12.200 --> 00:03:16.160]  developments on the central bank, digital currencies, and the entire control grid rolling
[00:03:16.160 --> 00:03:24.800]  out. Uh, we also have some of the ties into all the pedo information leftist everywhere in court
[00:03:24.800 --> 00:03:32.000]  rulings and in statements and in Disney programs, Disney movies are saying murder of children is
[00:03:32.000 --> 00:03:37.840]  their religious sacrament under the first amendment. And they're right. Pure evil, latest
[00:03:38.040 --> 00:03:43.040]  production cartoon about a girl who inherits a ritualistic killing blood drinking cult from her
[00:03:43.040 --> 00:03:51.200]  father. Then satanic temple lawsuit claiming Texas law violates the religious freedom to murder
[00:03:51.200 --> 00:03:58.120]  children dismissed by federal judge. Oh, too bad. And then this one hellish Democrat freak fantasizes
[00:03:58.120 --> 00:04:05.960]  about being first tranny to implant uterus and abort baby for their religious sacrament. It's
[00:04:05.960 --> 00:04:16.120]  all coming up today. That's just four of the stacks. Then we've got more articles saying that
[00:04:16.120 --> 00:04:24.320]  if you're in shape, you are a white supremacist, EU commissioner, fairy Britain, Warren social
[00:04:24.320 --> 00:04:27.880]  media companies that if they don't engage in total censorship, they'll be criminally charged. So
[00:04:27.880 --> 00:04:35.640]  that's the EU weighing in on our free speech. We got good news federal judge again, backing other
[00:04:35.640 --> 00:04:41.960]  federal judges. ruling is illegal what the Biden administration really the Obama administration has
[00:04:41.960 --> 00:04:46.520]  been doing on the surveillance and censorship going on. That's only the tip of the iceberg. Big
[00:04:46.520 --> 00:04:55.120]  news on the economy and more so much today. Infowars.com tomorrow's news today, band on video
[00:04:55.120 --> 00:04:57.240]  please share those links. That's how we win.
[00:04:57.760 --> 00:05:06.000]  The globalists aren't just targeting us through the poison shots or the electromagnetic 5g or the
[00:05:06.000 --> 00:05:12.000]  GMO crops. They're hitting us with hundreds of chemicals that the EPA has authorized companies
[00:05:12.000 --> 00:05:18.720]  and industry to use. One of the top pesticides used is atrazine. The allowable level the government
[00:05:18.720 --> 00:05:23.040]  admits that they allow to be in your water supply is enough to sterilize you and basically turn
[00:05:23.160 --> 00:05:28.880]  your son into a feminized mutant. Look it up. Don't let them do this to your family. We have the
[00:05:28.880 --> 00:05:34.200]  very best gravity fed filter system out there highest rated at half the price of leading
[00:05:34.200 --> 00:05:38.720]  competitors, the Alexa pure ready to ship to you right now we have replacement filters for folks
[00:05:38.720 --> 00:05:42.800]  who've already gotten it. It does 10,000 gallons where you replace them. It is amazing. It's great
[00:05:42.800 --> 00:05:47.160]  for your home, your business, you can put swamp water in it, tap water, whatever, well water,
[00:05:47.200 --> 00:05:51.360]  almost everything's contaminated. This is how you take control of the fluids in your body and
[00:05:51.360 --> 00:05:55.280]  counter the globalist onslaught. Get yours today at Infowarsstore.com for a limited time we're
[00:05:55.280 --> 00:05:59.520]  running a 10% discount. That is a huge discount. Sorry, the lowest price out there. You need this
[00:05:59.520 --> 00:05:59.920]  filter.
[00:06:11.560 --> 00:06:19.520]  Big Brother, mainstream media, government cover ups. You want to stop tyranny? Well, so does he
[00:06:19.720 --> 00:06:24.760]  live from the Infowars.com studios. It's Alex Jones.
[00:06:35.240 --> 00:06:43.360]  Thank you for joining us my friends on this live teleprompter free Thursday, July 13. Worldwide
[00:06:43.360 --> 00:06:51.080]  broadcast. I'm your host Alex Jones. Dr. Rima Labo, whose husband was the head of the army, and
[00:06:51.080 --> 00:06:56.040]  the head of secret operations at another time, is really one of the top experts on the New World
[00:06:56.080 --> 00:07:01.360]  Order. She's got huge developments concerning the UN takeover of global healthcare and more. She
[00:07:01.360 --> 00:07:06.960]  joins us in an hour and a half from now, the balance of the broadcast, but we will again open
[00:07:06.960 --> 00:07:12.440]  the phones up today. We will again cover the waterfront of incredible breaking news. Well, the
[00:07:12.440 --> 00:07:24.280]  Russians are decisively winning in Ukraine. They are decisively crushing Zelensky. And so now NATO
