[00:00:01.687 --> 00:00:02.028]  I'm good.
[00:00:39.543 --> 00:00:47.954]  Ladies and gentlemen, we are live broadcasting worldwide.
[00:00:47.954 --> 00:00:49.476]  Our weapon is the truth and we use it.
[00:00:50.549 --> 00:00:53.672]  We fire at will, because we are over the target.
[00:00:53.672 --> 00:00:55.613]  And the sleeping giant has awakened.
[00:00:55.613 --> 00:00:59.156]  I'm your host, Alex Jones, InfoWars.com, NewsWars.com.
[00:00:59.156 --> 00:01:01.778]  It is Sunday, the 24th, the day of June 2018.
[00:01:01.778 --> 00:01:06.923]  We'll be here for two hours, as we'll be back tomorrow, 11 a.m.
[00:01:06.923 --> 00:01:07.623]  to 3 p.m.
[00:01:07.623 --> 00:01:15.009]  David Knight in the morning, doing a great job with The Real News, and of course, Owen Schroer.
[00:01:15.009 --> 00:01:17.371]  Epic times.
[00:01:17.371 --> 00:01:18.432]  Grave times.
[00:01:18.432 --> 00:01:19.333]  Fortuitous times.
[00:01:21.690 --> 00:01:24.573]  Interesting times.
[00:01:24.573 --> 00:01:27.356]  Dangerous times.
[00:01:27.356 --> 00:01:32.761]  Quick-moving, fast-changing, earth-changing times.
[00:01:32.761 --> 00:01:37.225]  25th Amendment times.
[00:01:37.225 --> 00:01:42.931]  You know, we've seen this before.
[00:01:42.931 --> 00:01:43.912]  We've seen this before.
[00:01:46.064 --> 00:01:48.265]  I was told that Trump would never win office.
[00:01:48.265 --> 00:01:49.506]  And I told you that was a lie.
[00:01:49.506 --> 00:01:52.188]  I told you it was fake polls.
[00:01:52.188 --> 00:01:55.110]  And then I was told over and over again he'd be removed.
[00:01:55.110 --> 00:01:56.530]  He'd never be seated as president.
[00:01:56.530 --> 00:01:58.291]  They would take the delegates.
[00:01:58.291 --> 00:02:11.119]  And then as soon as that failed, even though they'd been all over the news promoting it, they said, oh actually, we never said we were going to keep Trump from having his delegates seated.
[00:02:11.119 --> 00:02:15.382]  And then Nancy Pelosi's daughter went on TV and called for my arrest.
[00:02:17.051 --> 00:02:21.133]  On Fox News and made up lies about me that I threatened her.
