[00:00:03.741 --> 00:00:08.665]  Defending the Republic from enemies foreign and domestic.
[00:00:08.665 --> 00:00:21.935]  It's Alex Jones.
[00:00:21.935 --> 00:00:24.897]  The first month of 2017 is almost over.
[00:00:24.897 --> 00:00:27.139]  The sun is setting on it as we speak.
[00:00:28.211 --> 00:00:33.394]  This is the Sunday transmission, the 29th day of January 2017.
[00:00:33.394 --> 00:00:36.195]  I'm Alex Jones, your host.
[00:00:36.195 --> 00:00:40.437]  We will be here live for the next two hours, as we are every Sunday, 4 to 6 p.m.
[00:00:40.437 --> 00:00:43.979]  Central.
[00:00:43.979 --> 00:00:51.443]  Well, I think the best name for Trump at this point, eight days into his presidency, eight and a half days in, is Trump the Deliverer.
[00:00:52.679 --> 00:00:54.519]  And I mean that as a double meaning.
[00:00:54.519 --> 00:01:07.343]  Yes, a deliverer from evil in the Moses-Exodus type archetype, but more importantly, a deliverer when it comes to his promises, which is the same thing, isn't it?
[00:01:07.343 --> 00:01:12.584]  I was sitting here right before we went live on air with over 200 news articles in front of me that are all bombshell.
[00:01:14.022 --> 00:01:16.743]  A lot of them exclusives to Infowars.com.
[00:01:16.743 --> 00:01:18.684]  I'm thinking, man, where do I start here?
[00:01:18.684 --> 00:01:21.445]  Well, it's just that Trump is a deliverer.
[00:01:21.445 --> 00:01:22.945]  He delivers.
[00:01:22.945 --> 00:01:33.229]  Now, that kind of sounds like blasphemous, like, you know, God's the deliverer, Moses is the deliverer, but I meant it in my own mind as like delivering the goods.
[00:01:33.229 --> 00:01:36.590]  Delivering on what he says he'll do.
[00:01:36.590 --> 00:01:40.731]  The truth teller, the oath keeper, honorable.
[00:01:40.731 --> 00:01:42.432]  In fact, he's so good
[00:01:44.295 --> 00:01:47.977]  The word that's being used is dizzying.
[00:01:47.977 --> 00:01:50.599]  And I'm a little dizzy trying to keep track of it all.
[00:01:50.599 --> 00:01:56.982]  I mean, just today, a lifetime ban on lobbying for foreign governments.
[00:01:56.982 --> 00:02:05.527]  That will untie so many foreign entanglements, so many metastasized tentacles into our country from foreign powers.
[00:02:05.527 --> 00:02:08.849]  That will wreck globalism so bad, even if he just gets four years.
[00:02:10.043 --> 00:02:14.907]  And then a five-year ban, which is very reasonable, so you're not like making deals right before you leave.
[00:02:14.907 --> 00:02:17.189]  It's the same thing as a ban for a lifetime.
[00:02:17.189 --> 00:02:22.234]  A five-year ban on lobbying internally, even with U.S.
[00:02:22.234 --> 00:02:22.654]  companies.
[00:02:22.654 --> 00:02:25.677]  This is really a big deal.
[00:02:25.677 --> 00:02:32.863]  And signing the orders on the border wall, signing the orders banning people coming in from radical Islamic countries until they're being vetted.
[00:02:34.605 --> 00:02:47.614]  Moving forward on just honchoing massive factory jobs, coming back to the US, signing the beginning orders to kill the individual mandate, making you get Obamacare from private companies.
[00:02:47.614 --> 00:02:48.774]  Talk about slavery.
[00:02:48.774 --> 00:02:50.556]  That's what that was.
[00:02:50.556 --> 00:02:58.981]  I've got to sit back with my crew and somehow, because it's like five or six, seven promises a day he's keeping, and try to have some big article tomorrow.
[00:02:58.981 --> 00:03:00.462]  In fact, I'm going to call Watson.
[00:03:00.462 --> 00:03:01.383]  It's like midnight there now.
[00:03:02.805 --> 00:03:09.434]  After the show today, and I'm going to say, or like 10 o'clock at night, I'm going to say, please work with me tomorrow.
[00:03:09.434 --> 00:03:12.237]  Can we put out a big article on all the promises Trump has kept?
[00:03:12.237 --> 00:03:17.664]  I mean, normally in four or eight years, you'd look back and hope to have one or two promises kept.
[00:03:17.664 --> 00:03:19.086]  I was saying if he got 30, 40% done, I'd be pleased.
[00:03:22.230 --> 00:03:24.532]  It's ridiculous at this point.
[00:03:24.532 --> 00:03:26.013]  And then I tuned into CNN.
[00:03:26.013 --> 00:03:30.597]  It's bashing, lying, calling him a liar, twisting information.
[00:03:30.597 --> 00:03:31.998]  I tuned into MSNBC, even worse.
[00:03:31.998 --> 00:03:36.162]  Then I, this morning, I did a good boy's job.
[00:03:36.162 --> 00:03:38.544]  I worked out for two hours.
[00:03:38.544 --> 00:03:42.207]  20 minutes on the elliptical, hour and a half workout, another 15 minutes on the elliptical.
[00:03:42.207 --> 00:03:43.668]  But I had Fox News on.
[00:03:43.668 --> 00:03:45.850]  I got a garage gym at my house.
[00:03:49.042 --> 00:03:50.623]  They were attacking Trump.
[00:03:50.623 --> 00:04:03.295]  Oh, they'd have a Democrat on to say he's a liar, no one was at his inauguration, or no illegals vote, and then they'd have the softball person, no, he's just mistaken, not a known liar.
[00:04:03.295 --> 00:04:07.438]  That is total good cop, bad cop crapola.
[00:04:07.438 --> 00:04:09.080]  And I'm not in competition with Fox News.
[00:04:09.080 --> 00:04:12.463]  I wish they would just tell the truth, save the country, whatever, but I gotta call them out.
[00:04:12.463 --> 00:04:14.304]  They are disgusting.
