[00:00.000 --> 00:05.000]  Everyone thinks so but I would never say it.
[00:05.000 --> 00:09.000]  You know what I want to do? I want to get it finished.
[00:09.000 --> 00:12.000]  The prize I want is victory for the world.
[00:24.000 --> 00:27.000]  This is the heart of 1776.
[00:27.000 --> 00:29.000]  You're a white male.
[00:29.000 --> 00:34.000]  It's also what happens when you listen to the radio host, Alex Jones.
[00:34.000 --> 00:38.000]  Move, bitch! Get out of the way!
[00:38.000 --> 00:45.000]  We pledge allegiance to one flag and that flag is the American flag.
[00:45.000 --> 00:49.000]  Info wars helped fuel the rumor that President Obama is in ICE's support.
[00:49.000 --> 00:53.000]  It's been a cozy relationship from the beginning.
[00:53.000 --> 00:57.000]  I will not let you down. You'll be very, very impressed, I hope,
[00:57.000 --> 00:59.000]  and I think we'll be speaking a lot.
[00:59.000 --> 01:01.000]  Donald Trump and Alex Jones.
[01:01.000 --> 01:07.000]  This means that Donald Trump will be the 45th President of the United States.
[01:07.000 --> 01:09.000]  Waging war on corruption is...
[01:09.000 --> 01:11.000]  Alex Jones!
[01:12.000 --> 01:22.000]  A few years ago, ideas that we talked about were thought to be fringe ideas, radical ideas, extremist ideas.
[01:22.000 --> 01:24.000]  Those ideas are now mainstream.
[01:24.000 --> 01:28.000]  I just don't even know why there aren't uprisings all over the country.
[01:28.000 --> 01:34.000]  And if you see anybody from that cabinet in a restaurant, in a department store,
[01:34.000 --> 01:39.000]  in a gasoline station, you get out and you create a crowd.
[01:39.000 --> 01:42.000]  And you push back on them.
[01:42.000 --> 01:47.000]  And you tell them they're not welcome anymore, anywhere.
[01:47.000 --> 01:51.000]  Do something about your dad's immigration practices, you feckless c**k.
[01:51.000 --> 01:55.000]  What's Uncle Tom but for white women who disappoint other white women?
[01:55.000 --> 02:00.000]  One way you get rid of Trump is a crashing economy, so please bring on the recession.
[02:00.000 --> 02:04.000]  When was the last time an actor assassinated a pregnant woman?
[02:04.000 --> 02:22.000]  I have thought an awful lot about blowing up the White House.
[02:22.000 --> 02:30.000]  Ladies and gentlemen, it's already the 27th day of June 2018
[02:30.000 --> 02:34.000]  and the Republican Party's WAVOS have dropped.
[02:34.000 --> 02:39.000]  That was the headline out of Information Liberation, GOP's What's Just Dropped.
[02:39.000 --> 02:44.000]  Republicans release ad savaging unhinged Democratic Party.
[02:44.000 --> 02:53.000]  But as I briefed everyone yesterday, this is officially a multinational corporation
[02:53.000 --> 03:00.000]  allied with Communist China, radical Islam, the authoritarian EU, Hollywood,
[03:00.000 --> 03:07.000]  Goldman Sachs, JP Morgan and others to implode the third world who's doubled their populations
[03:07.000 --> 03:14.000]  the last 20 years, flood the West, organize the groups into dependent welfare classes
[03:14.000 --> 03:21.000]  who then will politically move to completely convert the nations to socialist dystopias
[03:21.000 --> 03:26.000]  that the global banks set off shore tax-exempt managing and imploding.
[03:26.000 --> 03:32.000]  We are being laid on the table and tied down by the big globalist spider to be sucked dry.
