[00:00.000 --> 00:13.000]  Big Brother, mainstream media. Government cover-ups. You want answers? Well, so does he.
[00:13.000 --> 00:28.000]  He's Alex Jones on the GCN Radio Network. And now, live from Austin, Texas, Alex Jones.
[00:28.000 --> 00:34.000]  Another very important broadcast transmission lined up for you as we blast down the MNFM dial.
[00:34.000 --> 00:40.000]  Global Shortwave, XM number one, talk radio show online in the world as well.
[00:40.000 --> 00:46.000]  Thank you so much for joining us. It is a great testament to the global awakening that's happening,
[00:46.000 --> 00:50.000]  that the listenership of this transmission is exploding.
[00:50.000 --> 00:58.000]  As more and more people begin to tune into reality and serious issues, not the NCAA, not pro football,
[00:58.000 --> 01:04.000]  not the topless bars, but issues that actually affect our society.
[01:04.000 --> 01:10.000]  The global criminal elite that has been running wild because people have not been standing up to them.
[01:10.000 --> 01:15.000]  But the resistance is mounting. The battle is joined.
[01:15.000 --> 01:25.000]  It is Thursday, the 24th day of March, 2011, and about a week before the devastating earthquake
[01:25.000 --> 01:33.000]  and tsunami leading to one of the biggest nuclear crises in modern history since the nuclear age began,
[01:33.000 --> 01:41.000]  I had already set up Joel Scalzen to come on. In fact, it was three or four days before the earthquake
[01:41.000 --> 01:51.000]  that hit 13 days ago. It will be two weeks tomorrow. We had set up Joel Scalzen for the radio broadcast.
[01:51.000 --> 01:56.000]  He's an expert. He's, of course, a former Vietnam-era fighter pilot.
[01:56.000 --> 02:01.000]  He is a political scientist and an expert on the globalist.
[02:01.000 --> 02:07.000]  He's also written this huge book, Strategic Relocation, North American Guide to Safe Places,
[02:07.000 --> 02:14.000]  third edition. This is the new edition that just came out, and it gets into the nuclear test sites from the past.
[02:14.000 --> 02:19.000]  It covers the wind systems, tectonic earthquake issues.
[02:19.000 --> 02:28.000]  He'll be joining us to go through this book in great detail and share his knowledge with us coming up in T-minus one hour 30 minutes.
[02:28.000 --> 02:37.000]  Now, that said, we've got massive important news that I'm going to attempt to at least graze over when we come back
[02:37.000 --> 02:42.000]  and then try to get more into the details of each stack.
[02:42.000 --> 02:47.000]  Obviously, earthquake has hit Myanmar near China and Thailand borders.
[02:47.000 --> 02:56.000]  A 6.8 magnitude quake strikes northeast Myanmar, one dead so far showing more tectonic activity,
[02:56.000 --> 03:00.000]  obviously intensifying. We're going to be breaking that down.
[03:00.000 --> 03:07.000]  Also, more U.S. states find traces of radiation from Japan, and now Europe proper has reported radiation
[03:07.000 --> 03:13.000]  that's blown all the way from Japan over the Pacific, over North America, over the Atlantic, into Europe.
[03:13.000 --> 03:18.000]  Also, Fukushima radiation releases rival Chernobyl.
[03:18.000 --> 03:26.000]  Many mainstream reports and scientists are now confirming, but they're just kind of letting that new slip out there to the public.
[03:26.000 --> 03:31.000]  Global food scare widens from Japan nuclear plant out of AFP.
[03:31.000 --> 03:36.000]  Fukushima directories continues to deteriorate.
[03:36.000 --> 03:44.000]  Fukushima deteriorates again as steam. It's actually smoke now rising from reactor one for the first time, including all other reactors.
[03:44.000 --> 03:51.000]  Reactor five cooling fails. Those are reactors they'd supposedly shut down successfully.
[03:51.000 --> 03:58.000]  Japanese only estimating radiation, not actually measuring it, we now learn why they won't ever give us numbers
