[00:00:10.195 --> 00:00:14.818]  This is our land.
[00:00:14.818 --> 00:00:18.140]  These are our people.
[00:00:18.140 --> 00:00:18.900]  The workers.
[00:00:18.900 --> 00:00:22.002]  The strivers.
[00:00:22.002 --> 00:00:24.684]  The builders.
[00:00:24.684 --> 00:00:26.044]  These are our people.
[00:00:31.439 --> 00:00:34.300]  They are the dark armies.
[00:00:34.300 --> 00:00:38.321]  The dark murdering armies whose only honor is atrocity.
[00:00:38.321 --> 00:00:39.121]  The answer to 1984 is 1776.
[00:00:39.121 --> 00:00:41.062]  You're listening to the Alex Jones Show.
[00:00:57.651 --> 00:01:02.014]  Thank you for joining us on this live, Sunday, worldwide broadcast.
[00:01:02.014 --> 00:01:07.397]  Hard to believe it's already November 8th, 2015.
[00:01:07.397 --> 00:01:13.841]  We're going to be live here for the next two hours, as we are every Sunday, 4 to 6 p.m.
[00:01:13.841 --> 00:01:15.362]  Central Standard Time.
[00:01:15.362 --> 00:01:19.505]  Then, of course, there is the weekday broadcast as well, 11 a.m.
[00:01:19.505 --> 00:01:20.286]  to 3 p.m.
[00:01:20.286 --> 00:01:23.428]  Central, now four hours long, and the nightly news.
[00:01:24.389 --> 00:01:27.952]  I did a Facebook Mentions right before we went live today.
[00:01:27.952 --> 00:01:46.865]  I don't do that very often, but I tell you, the conflagration of news, the way things are aligning, the perfect storm that's unfolding economically, culturally, politically, militarily, astrophysically, is really legendary.
[00:01:46.865 --> 00:01:52.950]  And they're having a major UN conference to openly bring in world government in December.
[00:01:53.666 --> 00:01:59.589]  We're now about a month and a half out from that week-long conference beginning.
[00:01:59.589 --> 00:02:18.340]  The conference is so important that France, who lobbies to keep all the EU borders open, will be closing its borders coming up in about a week throughout this period because they don't want anybody to come in and cause a disruption during the formation of the open planetary government.
[00:02:19.212 --> 00:02:23.874]  You notice they passed the TPP four and a half weeks ago in line with this.
[00:02:23.874 --> 00:02:29.797]  We only Friday got the full text of it, or Thursday got the full text of it.
[00:02:29.797 --> 00:02:30.618]  This is a big deal.
[00:02:31.738 --> 00:02:52.818]  Vladimir Putin is going to be attending, and he will be the only major world leader that tells you how sewn up things are at the top of the pyramid, who will reportedly say it is a plan to destroy nation states, starve over a billion people, and selectively bankrupt energy companies not controlled by the globalists, which is exactly what the plan is.
[00:02:52.818 --> 00:02:53.419]  Putin came out
[00:02:54.259 --> 00:02:57.880]  Two weeks ago and said this, he came out again last week and said it.
[00:02:57.880 --> 00:03:13.685]  He said he didn't buy it completely years ago, of course he knew full well what it was, but now Russia is under such attack and so encircled, and they're trying to destroy the energy systems of Russia, and Europe for that matter, that Putin is telling it like it is, and it is a big deal.
[00:03:13.685 --> 00:03:19.867]  Because they get up on the news and say, no world leader believes that man-made climate change isn't real.
[00:03:19.867 --> 00:03:21.868]  No scientist believe it isn't real.
[00:03:23.203 --> 00:03:33.111]  There's actually studies out there where the majority of hydrologists and meteorologists and astrophysicists and climatologists say it's a total fraud.
[00:03:33.111 --> 00:03:36.013]  The only thing that's constant is change.
[00:03:36.013 --> 00:03:43.299]  So they've gone from global freezing in the 60s and 70s and 80s to global warming in the 90s and 2000s and now it's just change.
[00:03:43.299 --> 00:03:46.341]  And they go, you don't believe there's change?
[00:03:46.341 --> 00:03:47.022]  You're crazy.
[00:03:47.022 --> 00:03:48.343]  Well, of course we know there's change.
[00:03:49.295 --> 00:04:02.405]  And we know humans have some effect on the environment, especially the secretive geoengineering going on in the United States, in Europe, in China, in Russia, in Japan, in Dubai, in Saudi Arabia, in South Africa.
[00:04:02.405 --> 00:04:04.407]  Brazil engages in it.
[00:04:04.407 --> 00:04:07.369]  It's all secretive, but it's going on 24-7.
[00:04:07.369 --> 00:04:13.494]  Oh, but that man-made climate change should not be looked at.
[00:04:14.735 --> 00:04:15.756]  No, no, no, no.
[00:04:15.756 --> 00:04:26.001]  You and your car, you and your breath, you, the carbon-based life form, you are the problem that must be dealt with, so that's coming up.
[00:04:26.001 --> 00:04:36.747]  But the really big news that I covered in the Facebook mentions earlier, one of our big Facebook pages, the one with a million likers, whatever you call it, is the fact that
[00:04:37.899 --> 00:04:38.260]  U.S.
[00:04:38.260 --> 00:04:51.414]  official, 99.9% certain Russian plane was a failed, or was felled by a bomb, not, not, not a failed bomb, that the plane was destroyed or felled, like a tree, by the bomb.
[00:04:51.414 --> 00:04:52.155]  Really?
[00:04:52.155 --> 00:04:55.158]  Because more and more evidence points towards a missile.
[00:04:55.158 --> 00:04:56.780]  And why is this so important?
[00:04:56.780 --> 00:04:57.460]  We'll break it all down.
[00:04:58.101 --> 00:04:59.041]  Alex Jones here.
[00:04:59.041 --> 00:05:15.568]  InfowarsStore.com is now partnering with the top-of-the-line storable food company, My Patriot Supply, to bring you the highest quality, freshest, longest-lasting, most affordable storable foods, private-labeled, from InfowarsSelect.com at the lowest price you're gonna find anywhere.
[00:05:15.708 --> 00:05:17.429]  The globalists want us dependent.
[00:05:17.429 --> 00:05:19.031]  We need to be self-sufficient.
[00:05:19.031 --> 00:05:24.395]  And if you don't have high-quality, long-lasting, storable foods, I believe you're making a huge mistake.
[00:05:24.395 --> 00:05:27.097]  My goal is to find the best deals and bring it to you.
[00:05:27.097 --> 00:05:32.321]  Now is the time to take action and to secure your pantry for any emergency.
[00:05:32.321 --> 00:05:36.123]  You can buy all the great MyPatriotSupply products at InfoWarsTore.com.
[00:05:36.123 --> 00:05:39.686]  They're the exact same products inside InfoWarsSelect.com.
[00:05:39.686 --> 00:05:43.449]  Visit InfoWarsSelect.com or InfoWarsTore.com today
[00:05:43.689 --> 00:05:46.690]  To check out the amazing deals for yourself.
[00:05:46.690 --> 00:05:52.511]  Secure you and your family's needs today at InfowarsStore.com with Infowars Select.
[00:05:52.511 --> 00:05:54.452]  That's InfowarsSelect.com or 888-253-3139.
[00:06:10.651 --> 00:06:13.272]  Waging war on corruption.
[00:06:13.272 --> 00:06:18.894]  It's Alex Jones.
[00:06:18.894 --> 00:06:36.081]  Ladies and gentlemen, thank you so much for joining us on this Sunday Worldwide Broadcast.
[00:06:37.199 --> 00:06:53.352]  We're going to be here for the next two hours live, covering some of the most important major developing news stories, not just of our time, but of the entire history of this species on this planet.
[00:06:53.352 --> 00:07:03.280]  We are in a position where, for the first time in our history, since the 1940s, we are able to destroy our planet.
[00:07:04.136 --> 00:07:26.489]  And now more and more countries, more and more organizations are able to carry out attacks, are able to carry out events that could end not just human life as we know it, but life on this planet as we know it.
[00:07:26.489 --> 00:07:31.992]  And there are so many of these threats.
[00:07:34.258 --> 00:07:39.639]  There are cultural threats on basic human innovation and freedom.
[00:07:39.639 --> 00:07:42.480]  There are military threats.
[00:07:42.480 --> 00:07:44.201]  There are biological threats.
[00:07:44.201 --> 00:07:55.424]  There are random industrial threats, like the Hadron Collider and many other industrial systems.
[00:07:55.424 --> 00:07:56.304]  And I'm not here
[00:07:59.400 --> 00:08:01.781]  Fear-mongering about all this.
[00:08:01.781 --> 00:08:26.549]  I'm concerned that the people running the planet who promote world government in the name of global security are the very ones, nine times out of ten, that are destabilizing and that are doing the wild testing and that are doing the genetic engineering and engaging in the cyclotron activity and engaging in the proliferation of chemical, biological, radiological, nuclear weapons.
[00:08:29.741 --> 00:08:41.752]  You come to the realization, the more you study, the more you research, that we are in the hands of abject lunatics.
[00:08:41.752 --> 00:08:50.440]  Now, that said, let me just give you some of the headlines here that we're going to be going over here on the broadcast today.
[00:08:50.440 --> 00:08:51.662]  This will be our top story
[00:08:53.049 --> 00:08:56.752]  The first group of articles I'm getting to when we come back in the next segment.
[00:08:56.752 --> 00:08:57.072]  U.S.
[00:08:57.072 --> 00:09:06.739]  official 99.9% certain Russian plane was felled by bomb.
[00:09:06.739 --> 00:09:08.821]  Then we have this report that came out Friday.
[00:09:08.821 --> 00:09:10.242]  London Independent.
[00:09:10.242 --> 00:09:19.108]  Rocket which came within a thousand feet of Thomas flight fired during Egyptian military training exercise.
[00:09:19.108 --> 00:09:20.069]  Government says
[00:09:23.109 --> 00:09:29.917]  British plane was nearly hit in missile incident at Southern Air Force Base in Egypt.
[00:09:29.917 --> 00:09:33.261]  Official NBC News.
[00:09:33.261 --> 00:09:38.628]  Now Egypt denies missile fired near UK passenger plane.
[00:09:45.262 --> 00:09:47.023]  First on CNN, U.S.
[00:09:47.023 --> 00:09:50.404]  official believes ISIS planted bomb on Russian plane.
[00:09:50.404 --> 00:09:51.704]  Really, first on CNN?
[00:09:51.704 --> 00:09:53.525]  We told you that the day it happened.
[00:09:53.525 --> 00:09:55.546]  That it obviously was a missile or a bomb.
[00:09:55.546 --> 00:10:01.668]  Planes just don't blow up and then strewn themselves over a mile like they told us happened with Flight 93 on 9-11.
[00:10:01.668 --> 00:10:10.011]  That's like saying, CNN's the first to tell you a week after that rain sometimes falls from the sky.
[00:10:10.011 --> 00:10:11.172]  Or that frogs are green.
[00:10:12.975 --> 00:10:18.977]  Anti-terrorism hacker group reveals 40 ISIS websites protected by a U.S.
[00:10:18.977 --> 00:10:19.757]  tech firm.
[00:10:19.757 --> 00:10:27.280]  They happen to all be basically on one tech firm, and they're allowed to operate.
[00:10:27.280 --> 00:10:31.541]  We've sent out email before to someone that claimed they'd unsubscribed.
[00:10:31.541 --> 00:10:36.683]  You know, we use establishment web servers and follow all the rules, and we had servers shut down because of it.
[00:10:37.771 --> 00:10:48.736]  I'm to believe that ISIS and Al-Qaeda can operate for years on Pentagon websites, Pentagon servers, Pentagon-run systems, CIA-connected tech firms.
[00:10:48.736 --> 00:10:53.938]  It's totally synthetic, manufactured by the same criminals that run this government.
[00:10:53.938 --> 00:10:55.819]  The same ones that funded ISIS and Al-Qaeda.
[00:10:55.819 --> 00:10:59.501]  When we come back from break, I'm going to go over all of this and why it's so important.
[00:11:01.243 --> 00:11:06.405]  Now we learn from British newspapers that British extremists linked to jet bomb.
[00:11:06.405 --> 00:11:09.025]  When aren't they linked?
[00:11:09.025 --> 00:11:13.087]  Pentagon chief will need much more than airstrikes to beat ISIS.
[00:11:13.087 --> 00:11:21.129]  I think we're looking to do more.
[00:11:21.129 --> 00:11:22.830]  Now why do I start with this today?
[00:11:22.830 --> 00:11:26.791]  Because there's so much more that has to be covered.
[00:11:30.109 --> 00:11:53.409]  I do that because this is part of a larger global destabilization plan, and we should look at how they're going to use the threat of ISIS and Al-Qaeda, Al-Nusra, all the same group, run by the same people, to threaten the West, attack the West, and then enslave the people of the West, and have giant, bloated, increased budgets.
[00:11:55.791 --> 00:11:59.813]  Going after the American and the Western taxpayer.
[00:11:59.813 --> 00:12:01.234]  It is completely sick.
[00:12:01.234 --> 00:12:04.195]  For the New World Order, the journey is the destination.
[00:12:04.195 --> 00:12:06.476]  Crisis is their brand.
[00:12:06.476 --> 00:12:08.457]  Chaos is their brand.
[00:12:08.457 --> 00:12:10.538]  Destabilization is their brand.
[00:12:10.538 --> 00:12:20.683]  They create and fund the crises or exacerbate them, pose as the saviors, get the taxpayer money to fight it, and then only make it worse over and over again.
[00:12:20.683 --> 00:12:22.384]  Problem, reaction, solution.
[00:12:22.384 --> 00:12:24.585]  Create the problem, create a bunch of fear,
[00:12:25.697 --> 00:12:33.864]  Then offer your solution, which is more control.
[00:12:33.864 --> 00:12:37.807]  And then of course they've suspended logic and common sense.
[00:12:37.807 --> 00:12:38.928]  Europe has open borders.
[00:12:38.928 --> 00:12:40.830]  The United States has open borders.
[00:12:40.830 --> 00:12:45.053]  They let people come in with fake passports, 80 plus percent of them.
[00:12:45.053 --> 00:12:46.714]  They let them engage in terror attacks.
[00:12:46.714 --> 00:12:48.436]  The terror attacks are covered up.
[00:12:48.436 --> 00:12:51.298]  Army, Navy centers are attacked by jihadis.
[00:12:51.298 --> 00:12:54.221]  Newspapers and police stations are attacked by jihadis in Europe.
[00:12:55.396 --> 00:13:04.099]  Stuff's blown up, people are attacked on trains, and it's covered up and we're told it's not terrorism.
[00:13:04.099 --> 00:13:07.920]  That's because they're letting the threat build to a crescendo level.
[00:13:07.920 --> 00:13:11.602]  And then their answer is, take our freedoms, give themselves unlimited funding.
[00:13:12.677 --> 00:13:17.499]  But Benghazi happened, what, three years ago or so.
[00:13:17.499 --> 00:13:31.123]  And within a week of it happening, we laid out that it was the murder of Ambassador Stevens, so the weapons could be transferred to Al-Qaeda.
[00:13:31.123 --> 00:13:39.846]  And once that was done, they then simply cover up the fact that that ever happened, even though it's in plain view.
[00:13:41.374 --> 00:13:50.360]  They're able to take down the Assad regime, take down other regimes, and then menace the West with these attacks and take our freedoms here.
[00:13:50.360 --> 00:13:55.043]  Now, I know I've said this over a thousand times, and now you're seeing it start to happen.
[00:13:55.043 --> 00:14:08.492]  I don't think a bomb, it may have happened, it may have been smuggled on by airport security, but more likely a surface-to-air EMPAD or Stinger-type missile, thousands of which were given to ISIS and Al Qaeda, was used to do it.
[00:14:09.838 --> 00:14:16.738]  And just last week, Al Qaeda came out, as well as ISIS and said, we have service to air missiles, we're going to shoot down jet airliners.
