[00:00.000 --> 00:08.000]  Human destiny on the line, will humanity awaken before it's too late?
[00:08.000 --> 00:11.000]  I don't know, it's up to you, isn't it?
[00:11.000 --> 00:20.000]  From the Infowars.com News Center, deep behind enemy lines in occupied Texas, broadcasting worldwide,
[00:20.000 --> 00:28.000]  you're listening to the voice of human resistance against the technotronic technocracy takeover.
[00:28.000 --> 00:32.000]  We're listening to Alex Jones.
[00:32.000 --> 00:39.000]  You know, I wrote that liner about five years ago, and since then we've regained the state to a great extent.
[00:39.000 --> 00:45.000]  Neocons are kicked out, the leftists are battling to maintain their beach heads,
[00:45.000 --> 00:54.000]  and we are launching attacks at the spiritual level with patriots all over the world pushing for a pro-human future.
[00:54.000 --> 01:05.000]  From Brazil to Japan, from South Africa to Italy, the fight is now on, ladies and gentlemen.
[01:05.000 --> 01:09.000]  This is it.
[01:09.000 --> 01:20.000]  So, yesterday, I began the broadcast with the chemical and biological war going on against the human species.
[01:20.000 --> 01:28.000]  Because if you look at everything going on, this is the main globalist attack.
[01:28.000 --> 01:32.000]  And it's the main thing I've been told on record and off the record.
[01:32.000 --> 01:39.000]  You've seen it all over the news. Jones has been taken off all the platforms because he's being mean to transgenders.
[01:39.000 --> 01:46.000]  So they take one group, they brain damage them with chemicals, they sterilize them, children they target.
[01:46.000 --> 01:52.000]  Then if you try to help them, they say you're being mean to the wonderful transformation that's happened.
[01:52.000 --> 02:00.000]  And then once they've set that precedent, they roll out with all the other chemicals in the food and water that will completely sterilize the entire population.
[02:00.000 --> 02:07.000]  So like a parrot or an owl will reach over to a branch that's about to get on and put its beak on it to test the perch.
[02:07.000 --> 02:11.000]  They're testing the perch right now.
[02:11.000 --> 02:17.000]  The globalists, when they see big crowds of people or when they see big happy families, they're not happy themselves.
[02:17.000 --> 02:25.000]  And they see that as someone they want to exterminate, someone that's eating into their food.
[02:25.000 --> 02:28.000]  The globalists created the fiat currencies.
[02:28.000 --> 02:32.000]  And to do that, they had to debase everybody else's savings.
[02:32.000 --> 02:41.000]  But then they look at the whole value of the world and they look at like, well, we have more wealth in the 1% than everybody else.
[02:41.000 --> 02:47.000]  So we don't even need these people, even though they've created the wealth of everything else, you have this imaginal digital fiat number that represents everything.
[02:47.000 --> 02:53.000]  So you're saying it's my planet and I stole it through fraud and it's all digital.
[02:53.000 --> 03:00.000]  I don't really hold it or control it, but because you exist, you're hurting valuable resources.
[03:00.000 --> 03:04.000]  Instead of saying, oh, we're all in this human experience together, let's not suppress technology.
[03:04.000 --> 03:05.000]  Let's go off war.
[03:05.000 --> 03:10.000]  The decision has been made to murder you and your family.
[03:10.000 --> 03:15.000]  But see, if they march out and shoot you, the soldiers are going to say no.
[03:15.000 --> 03:26.000]  And they're going to see dead kids and people are going to fight back and even the U.S. controlled by the globalists who control both Vietnam and the U.S.
[03:26.000 --> 03:34.000]  And that experiment couldn't defeat the Vietnamese because they were nationalists.
[03:34.000 --> 03:41.000]  Communism was just the operating system, but at core they were nationalists and they were willing to fight back.
[03:41.000 --> 03:48.000]  And they were a team and they were cohesive and you couldn't beat them no matter how many you killed because resistance is victory.
[03:48.000 --> 03:58.000]  But if they'd have been taught and had chemicals put in their water and been beguiled by Hollywood and taken over their education system,
[03:58.000 --> 04:04.000]  they would have slept their rest and eased into that hot bath real fast.
[04:04.000 --> 04:19.000]  But the globalists knew if they could capture America and poison us with that Satan snake bite, that we would then fall to the system as a Trojan horse
[04:19.000 --> 04:30.000]  and that everyone else would then, seeking out the American dream, find that it was a nightmare and that we had fallen with them, everyone else.
[04:30.000 --> 04:41.000]  So that's the plan on this Wednesday, November 21st, 2018, Global Transmission.
[04:41.000 --> 04:50.000]  Stay with us, we'll be back on the other side to lay out the plan, now taking place to sterilize your children and to give you cancer
[04:50.000 --> 05:00.000]  and to fill everything you've got. It's a fact, they want to murder you, it's all part of being usurped.
[05:00.000 --> 05:08.000]  The globalists know that if they suppress the good halogen and pump the environment full of the bad halogens, fluoride, chlorine, bromine, you name it,
[05:08.000 --> 05:12.000]  that it lowers IQ, it literally dumbs the population down.
[05:12.000 --> 05:19.000]  And on our quest to bring our listeners and viewers the best eye out of the world, we've gone through two permutations.
