[00:00.000 --> 00:18.000]  Crashing through the lies and disinformation it's Alex Jones on the GCN radio network
[00:18.000 --> 00:34.000]  Sunday the 24th day of July 2016 I'm your host Alex Jones back in studio for the live Sunday broadcast
[00:34.000 --> 00:39.000]  We'll be here for the next two hours thank you again so much for joining us
[00:39.000 --> 00:42.000]  We're going to look back on the incredible events of the RNC
[00:42.000 --> 00:49.000]  We're going to look forward to the unbelievable events already unfolding at the DNC where we have crew on the ground
[00:49.000 --> 00:52.000]  They'll be joining us coming up in the last 15 minutes of this hour
[00:52.000 --> 01:09.000]  Roger Stone, former head of the Trump campaign and Trump confidant will be joining us coming up in the second hour to cover the waterfront
[01:09.000 --> 01:13.000]  And obviously I have a lot of other news concerning Camp Trump
[01:13.000 --> 01:21.000]  And even some of this stuff I was told I was like you know not from Roger Stone my other Trump source it's even closer to Trump
[01:21.000 --> 01:26.000]  You could say you couldn't get closer to Trump than this person
[01:26.000 --> 01:33.000]  The point is that very interesting developments is all I can tell you
[01:33.000 --> 01:37.000]  And this source told me I could go ahead and talk about it but you know what I'm just not going to
[01:37.000 --> 01:49.000]  So there's that said I also had dinner with Nigel Farage of UKIP who by the way told me he's not resigning completely
[01:49.000 --> 01:56.000]  He's still going to be in the EU Parliament he's resigning from the head of UKIP to try to give the political class there a chance to do the right thing
[01:56.000 --> 02:02.000]  And not make it about his party getting ahead but actually about the establishment doing the right thing
[02:02.000 --> 02:08.000]  And that's what I heard he was doing as a major olive branch he told me that point blank at dinner and I said is that off record and he said absolutely not
[02:08.000 --> 02:13.000]  He said I have a bad feeling I'm going to be back very very soon
[02:13.000 --> 02:22.000]  Very very good man very very real very very concerned about how they're attacking the UK England right now trying to keep them inside
[02:22.000 --> 02:26.000]  Spent about an hour with him
[02:26.000 --> 02:32.000]  That was amazing we got a bunch of interviews as well that we haven't even aired yet
[02:32.000 --> 02:43.000]  What we're seeing unfold right now is so epic that it just makes my head spin
[02:43.000 --> 02:47.000]  The good that's happening the bad that's happening as well this is going to be a very important broadcast
