[00:00.000 --> 00:20.000]  music
[00:30.000 --> 00:41.720]  It's now only 50 days, 50 days out from what undoubtedly would be the most historic election
[00:41.720 --> 00:43.640]  in the world of history.
[00:43.640 --> 00:46.720]  Getting Trump in was only the fluke, it was only the beachhead.
[00:46.720 --> 00:49.480]  You see, the globalist hope it was a fluke.
[00:49.480 --> 00:51.080]  It really wasn't.
[00:51.080 --> 00:54.680]  Populism and nationalism is exploding across the globe as we speak.
[00:54.680 --> 00:59.600]  Thanks for joining us on this live Sunday, the 16th day already of September.
[00:59.600 --> 01:03.560]  2018, I am Alex Jones, your host.
[01:03.560 --> 01:09.600]  And let's get batten down here, batten down the hatches because we'll have the latest
[01:09.600 --> 01:15.200]  hurricane news as it day loses the Carolinas in record floods, obviously.
[01:15.200 --> 01:20.840]  But the big flood is the diarrhea of the mouth coming out of the reanimated corpse, the perfect
[01:20.840 --> 01:25.040]  rotting edifice of the corrupt Democratic Party.
[01:25.040 --> 01:29.760]  Joe Biden refers to Trump supporters as dregs of society.
[01:29.760 --> 01:32.920]  The video is up on infowars.com, but then it gets better.
[01:32.920 --> 01:34.420]  Oh, it gets better.
[01:34.420 --> 01:38.640]  He talks about the men in white hoods with torches are coming.
[01:38.640 --> 01:42.080]  He's talking about the Democratic Party.
[01:42.080 --> 01:46.280]  And the Republicans want to have the KKK enslave black people.
[01:46.280 --> 01:51.280]  I mean, it is unbelievable.
[01:51.280 --> 01:54.880]  But this is the guy they have planned to run against Trump in two years.
[01:54.880 --> 02:04.040]  I mean, look, Joe Biden looks like a dead body that Frankenstein electrocuted and that
[02:04.040 --> 02:06.560]  stood back up on its hind legs.
[02:06.560 --> 02:11.400]  It's where we playing all of this coming up today and a lot more.
[02:11.400 --> 02:18.040]  Our favorite socialist dingbat, which he's not caught out wearing $3,600 outfits, since
[02:18.040 --> 02:23.960]  he wants $40 trillion of free stuff for the American people, even though the entire global
[02:23.960 --> 02:27.000]  elite themselves don't even have $10 trillion.
[02:27.000 --> 02:29.200]  They're the ones, by the way, backing her.
[02:29.200 --> 02:34.680]  But when she was confronted, even by liberals that, well, there's only, you know, $2 trillion
[02:34.680 --> 02:39.720]  out there, discretionary money, she just said, well, I don't care what you say, we're going
[02:39.720 --> 02:40.960]  to do it anyway.
[02:40.960 --> 02:42.560]  So that's amazing video.
[02:42.560 --> 02:46.120]  But let's get to this first piece and I'll play the larger piece when we come back from
[02:46.120 --> 02:47.120]  break.
[02:47.120 --> 02:53.920]  This is Joe Biden jumping the shark going further than saying just that Trump supporters
[02:53.920 --> 02:54.920]  are deplorable.
[02:54.920 --> 02:56.280]  No, no, no, no.
[02:56.280 --> 03:00.320]  He says Trump supporters are the dregs of society.
[03:00.320 --> 03:05.320]  Have you looked in the mirror at the poor sad saps conned by the Democrats?
[03:05.320 --> 03:10.840]  I mean, they are the dregs and then the scum of society, the worst, the count Dracula's
[03:10.840 --> 03:15.240]  of society are ruling over this throng of pathetic slaves.
[03:15.240 --> 03:22.720]  Here he is despite losing in the courts and in the court of public opinion, these forces
[03:22.720 --> 03:29.600]  of intolerance remain determined to undermine and roll back the progress you all have made.
[03:29.600 --> 03:35.240]  This time they, not you, have an ally in the White House.
[03:35.240 --> 03:37.360]  This time they have an ally.
[03:37.360 --> 03:44.040]  There are small percentage of the American people, virulent people, some of them the dregs
[03:44.040 --> 03:46.160]  of society.
[03:46.160 --> 03:52.920]  And instead of using the full might of the executive branch to secure justice, dignity,
[03:52.920 --> 04:00.440]  safety for all, the president uses the White House as a literal, literal bully, culprit.
[04:00.440 --> 04:07.880]  Callously, callously exerting his power over those who have little or none.
[04:07.880 --> 04:13.640]  Some of you in this room may be fortunate not to live in cities or working for companies
[04:13.640 --> 04:20.280]  or protected by law or by policy, with privilege and access to defend yourselves and your families.
[04:20.280 --> 04:27.960]  But across the country, too many of our fellow Americans lack those basic comforts, and that's
[04:27.960 --> 04:32.120]  especially true for young people.
[04:32.120 --> 04:35.800]  Many of you are familiar with the Trevor Project and the suit.
[04:35.800 --> 04:39.480]  All right, this is just total loads of bull, if you know the facts.
[04:39.480 --> 04:41.960]  I mean, Trump's bringing the prosperity for everybody.
[04:41.960 --> 04:43.360]  These guys suppress it on purpose.
[04:43.360 --> 04:48.800]  Look at blue cities they run, hell holes of degradation and pain.
[04:48.800 --> 04:55.320]  It's all coming up on this live global transmission, infowars.com, newswars.com, spread those links
[04:55.320 --> 04:59.400]  or we don't have any hope against these horrible bloodsuckers.
[04:59.400 --> 05:06.640]  Nourish a probiotic-friendly environment in your gut with prebiotic fiber by InfoWarsLife.
[05:06.640 --> 05:11.800]  Help the good bacteria thrive and support overall digestive health with our specially
[05:11.800 --> 05:18.440]  formulated prebiotic fiber, a mixture of clinically studied and organic acacia, fruit, and flax
[05:18.440 --> 05:20.120]  fiber.
[05:20.120 --> 05:25.240]  Prebiotic fiber is soluble fiber that ferments in the gut to help feed good bacteria, which
[05:25.240 --> 05:30.880]  helps you digest food, absorb nutrients, and even support your immune system.
[05:30.880 --> 05:35.800]  InfoWarsLife's cutting-edge formula only brings you the highest quality, organic, and
[05:35.800 --> 05:37.960]  clinically studied ingredients.
[05:37.960 --> 05:43.240]  Cheap prebiotic fibers are used up only at the beginning of the colon, but our premium
[05:43.240 --> 05:50.120]  organic acacia fiber is slowly digested by the good bacteria throughout the entire colon
[05:50.120 --> 05:52.800]  for maximum prebiotic effect.
[05:52.800 --> 06:14.640]  Go to infowarslife.com or call 1-888-253-3139.
[06:22.800 --> 06:29.080]  It's Sunday, September 16, 2018, I'm your host, Alex Jones.
[06:29.080 --> 06:31.720]  We're here every Sunday, 4 to 6 p.m. Central.
[06:31.720 --> 06:35.520]  We're back weekdays, 11 a.m. to 3 p.m., and all the other great live broadcasts.
