[00:00:02.859 --> 00:00:04.521]  Joe Biggs with Infowars.com.
[00:00:04.521 --> 00:00:06.102]  Now we just landed in Chicago.
[00:00:06.102 --> 00:00:08.885]  We are about to approach the Haman site.
[00:00:08.885 --> 00:00:17.994]  This is the site where the Chicago PD has their black site where they are legally detaining American citizens, throwing them inside this warehouse.
[00:00:18.815 --> 00:00:20.275]  And essentially torturing them.
[00:00:20.275 --> 00:00:20.976]  Some have been killed.
[00:00:20.976 --> 00:00:22.016]  I mean, this is out of control.
[00:00:22.016 --> 00:00:24.716]  And this is happening in the heart of America.
[00:00:24.716 --> 00:00:27.257]  As you can see just ahead of me, we're approaching this building.
[00:00:27.257 --> 00:00:28.517]  This is the first time I've seen it.
[00:00:28.517 --> 00:00:30.798]  This is a big, big warehouse.
[00:00:30.798 --> 00:00:32.898]  There's a lot of traffic, people coming in and out.
[00:00:32.898 --> 00:00:36.279]  Looks like there's a gate guard down here, uh, fenced around the place.
[00:00:36.279 --> 00:00:38.960]  Alright, so what we're gonna do is we're gonna try to find a parking spot.
[00:00:38.960 --> 00:00:39.560]  We're gonna get out.
[00:00:39.560 --> 00:00:41.840]  We have to go, uh, on the Alex Jones Show.
[00:00:41.840 --> 00:00:43.741]  We're gonna call in and, um,
[00:00:44.801 --> 00:00:46.884]  You know, tell them about what we've seen so far.
[00:00:46.884 --> 00:00:53.372]  We're gonna walk around, look at some different stuff, and just talk about what we know so far with this case.
[00:00:53.372 --> 00:01:03.384]  The fact that, like we said before, they're illegally detaining American citizens, holding them there, beating them, they're torturing them, not giving them their rights as far as being able to call a lawyer, make phone calls.
[00:01:04.185 --> 00:01:10.533]  Essentially, like we've said before, this is kind of like a domestic Guantanamo here right in the heart of America.
[00:01:10.533 --> 00:01:22.107]  So this is something we're going to investigate, continue watching for reports because we're going to be over here for the next course of five days trying to dig, find information, expose the tyranny happening here in Chicago.
[00:01:22.107 --> 00:01:23.568]  Because if it's happening in Chicago,
[00:01:24.269 --> 00:01:29.253]  By God, it's probably happening in many other cities as well, like Detroit, LA.
[00:01:29.253 --> 00:01:34.597]  Places like this have to exist in other areas, and all we've done is just scratch the surface.
[00:01:34.597 --> 00:01:38.820]  The Guardian has reported that they hold people up to two days, and people have died in there.
[00:01:38.820 --> 00:01:41.882]  I mean, imagine just being taken to a secret facility.
[00:01:42.629 --> 00:01:43.090]  Uh, here we are.
[00:01:43.090 --> 00:01:45.131]  It says, attention, no trespassing.
[00:01:45.131 --> 00:01:49.455]  Any unauthorized persons found in Holmes Square property are subject to arrest.
