[00:00.000 --> 00:14.000]  Crashing through the lies and disinformation, it's Alex Jones, coming to you live from
[00:14.000 --> 00:40.000]  the front lines of the info war.
[00:40.000 --> 00:55.000]  I had an epiphany yesterday when I went and saw the movie Cheney and it was really an illustrative epiphany
[00:55.000 --> 01:01.000]  that I'm going to carry out in the start of the next segment. I'll describe it for radio listeners.
[01:01.000 --> 01:10.000]  Obviously TV viewers will be able to see it and of course I'm calling the movie Cheney, it's the movie is Vice.
[01:10.000 --> 01:20.000]  I'm teleprompter free here and I went to see it because I was interested because it was a political fiction piece
[01:20.000 --> 01:28.000]  but also went because I was told that the movie basically ends with yours truly which it does.
[01:28.000 --> 01:35.000]  Just like the documentary about William F. Buckley did.
[01:35.000 --> 01:41.000]  I guess I'm this symbol of all that's wrong in the world to the left.
[01:41.000 --> 01:46.000]  And so they have to misrepresent who I am and what I stand for.
[01:46.000 --> 01:51.000]  But there's one part in the film and I think the film is well done.
[01:51.000 --> 01:59.000]  Hollywood's attacking it and giving it bad reviews or mixed reviews because it humanizes Dick Cheney.
[01:59.000 --> 02:04.000]  It makes him look like a terrible sociopath but it still humanizes him to a certain extent.
[02:04.000 --> 02:08.000]  That's kind of an oxymoron humanizing a sociopath.
[02:08.000 --> 02:14.000]  And it's a big apology for the Democrats, a big cover up.
[02:14.000 --> 02:19.000]  But there's one part, actually a couple parts.
[02:19.000 --> 02:27.000]  They hit at 9-11 being an inside job and that just means the government stood down and let it happen.
[02:27.000 --> 02:39.000]  But they also have a scene early on in the beginning that shows an image that I remember seeing last year
[02:39.000 --> 02:49.000]  and I remember wanting to make the point about the photograph and the video we're going to show that was made in the film
[02:49.000 --> 02:54.000]  and pinching myself that I hadn't made that point last year.
[02:54.000 --> 02:57.000]  Now I've actually made this point many, many times.
[02:57.000 --> 03:00.000]  When you hear me make the point, you say, okay, yeah, we've heard that 100 times.
[03:00.000 --> 03:07.000]  But if you get this point, you get everything.
[03:07.000 --> 03:10.000]  Absolutely everything.
[03:10.000 --> 03:14.000]  So I tend to get real excited when I cover things like this.
[03:14.000 --> 03:22.000]  I'm going to try to be a good boy when we come back and really delve into this for at least one segment solid.
[03:22.000 --> 03:29.000]  I owe it to you, I owe it to myself, I owe it to my family to do this.
[03:29.000 --> 03:32.000]  So we'll do that when we come back from break.
[03:32.000 --> 03:45.000]  And then this story ties in to the whole rest of the enchilada.
[03:45.000 --> 03:48.000]  And you know, I've got all the treaties here in my hands.
[03:48.000 --> 03:51.000]  There's a lot of preparation for this.
[03:51.000 --> 04:00.000]  And that's really the problem is there's so much information that I tend to just get caught going into each little piece of what I'm covering
[04:00.000 --> 04:02.000]  each little piece instead of just telling you, hey, here it is.
[04:02.000 --> 04:07.000]  And then you need to go look this for yourself.
[04:07.000 --> 04:11.000]  But there's a reason they want us off the air.
[04:11.000 --> 04:18.000]  And I just can't believe that there's enough people in the establishment that even know what's going on.
[04:18.000 --> 04:19.000]  And they do.
[04:19.000 --> 04:21.000]  And they're going along with this.
[04:21.000 --> 04:23.000]  But they're doing it really out of fear.
[04:23.000 --> 04:27.000]  They're not just doing it out of they want power.
[04:27.000 --> 04:36.000]  Where we part of the power structure, they do it because, you know, you start bucking this, the knives come out.
[04:36.000 --> 04:41.000]  But see, the knives are already out.
[04:41.000 --> 04:54.000]  There is a genocide taking place that dwarfs everything Hitler did, conservatively, a hundred to one, at least a hundred to one.
[04:54.000 --> 05:00.000]  They will break it all down.
[05:00.000 --> 05:06.000]  So as we prepare to close out 2018, just remember this life is a test.
[05:06.000 --> 05:15.000]  And those of you that have been listening and watching and taking action, the victories of populism and nationalism and Christianity coming back from the dead and recognizing it's being persecuted.
[05:15.000 --> 05:18.000]  That's all because you are the core.
[05:18.000 --> 05:28.000]  Listening to them for wars around the world, the eyes and ears of liberty that were immune or at least resistant to the globalist programming.
[05:28.000 --> 05:37.000]  Everybody knows who studies this, that it's Christians, real Christians who tend to be immune to the globalist brainwashing and who tend to see it.
[05:37.000 --> 05:39.000]  And that's why they're trying to eradicate you.
[05:39.000 --> 05:44.000]  But regardless, this fight is intensifying 2018 has been insane.
[05:44.000 --> 05:51.000]  2019 is going to be the big decision maker and I am so honored to be here with you right beside me.
[05:51.000 --> 05:55.000]  Not behind us, but right beside us and at the heart of everything, resisting these globalists.
[05:55.000 --> 06:23.000]  So whatever you do, take action and realize we're changing history together and I salute you.
[06:23.000 --> 06:31.000]  It's Friday, December 28th, 2018 and we've cracked the code.
[06:31.000 --> 06:41.000]  We've cracked the globalists, the technocracies, plan to get them to their world government.
[06:41.000 --> 06:47.000]  And for the globalists, world government is just the beginning.
[06:47.000 --> 06:56.000]  Now, the decision has been made to slowly poison and dumb down and kill everyone on the planet.
[06:56.000 --> 06:58.000]  Basically about 99%.
[06:58.000 --> 07:05.000]  That's the internal document numbers is about a 99.9% extermination operation.
[07:05.000 --> 07:08.000]  The college students are told 80% extermination.
[07:08.000 --> 07:10.000]  Graduate students are told 90% extermination.
[07:10.000 --> 07:18.000]  Higher level government officials are told 99% extermination.
[07:18.000 --> 07:21.000]  And of course, you now see the public roll out of that everywhere.
[07:21.000 --> 07:26.000]  We spent most of the show yesterday detailing it from the New York Times, the Washington Post, CNN, the Carnegie Endowment.
[07:26.000 --> 07:28.000]  Just humans are inherently evil.
[07:28.000 --> 07:30.000]  We have to get rid of them.
[07:30.000 --> 07:33.000]  And then we have the Malthusian eugenics background of that.
[07:33.000 --> 07:42.000]  We have the entire British Empire's funding getting behind it in 1855 in a global project that is all detailed in my film,
[07:42.000 --> 07:44.000]  In Game, Blueprint for Global Enslavement.
[07:44.000 --> 07:49.000]  That's still, they're trying to have it removed off Amazon, but you can also watch for free on YouTube.
[07:49.000 --> 07:55.000]  But let me just stop there giving footnotes.
[07:55.000 --> 07:57.000]  There's a lot of big news out today.
[07:57.000 --> 08:01.000]  The EU has announced that we need a planetary world government to stop nation states.
[08:01.000 --> 08:03.000]  That's a quote.
[08:03.000 --> 08:09.000]  Merkel, disgraced but still the chancellor, but her party's lost power in the parliament,
[08:09.000 --> 08:18.000]  Merkel said, quote, nations must give up their sovereignty and that citizens of nations must be ignored
[08:18.000 --> 08:24.000]  and that outside alliances must team up in an orderly fashion to stop the nations and their peoples.
[08:24.000 --> 08:29.000]  These are quotes she gave at a national televised event.
[08:29.000 --> 08:31.000]  That's the video. It's in German.
[08:31.000 --> 08:33.000]  That's cold treason.
[08:33.000 --> 08:34.000]  We're going to ignore the people.
[08:34.000 --> 08:41.000]  We're going to ignore our law and we're going to take your freedom away and merge with the Middle East.
[08:41.000 --> 08:44.000]  What have we been telling you for 20 years?
[08:44.000 --> 08:51.000]  But see, now that it's all happening, we've got to be off the air because the credibility's so high.
[08:51.000 --> 08:52.000]  That's what I've told my crew.
[08:52.000 --> 08:56.000]  Just us staying on the air is an incredible victory.
[08:56.000 --> 08:58.000]  I'll talk about that later in the broadcast.
[08:58.000 --> 09:04.000]  Just you spreading the word in any way is the end of these people.
[09:04.000 --> 09:06.000]  But you got to do it.
[09:06.000 --> 09:10.000]  Let's stop there.
[09:10.000 --> 09:19.000]  I'm going to get into a subject of the extremism project and I'm just going to look at a few of the tentacles.
[09:19.000 --> 09:23.000]  But two of the larger ones.
[09:23.000 --> 09:28.000]  And I'm going to look at one third tentacle as well.
[09:28.000 --> 09:36.000]  But all of these tentacles need you to opt into them.
[09:36.000 --> 09:37.000]  It's a metaphysical rule.
[09:37.000 --> 09:42.000]  It's like in the Bible it says the devil has to go out and get permission from God to do certain things.
[09:42.000 --> 09:44.000]  And so we have to be warned first.
[09:44.000 --> 10:00.000]  So in all three of these tentacles, you notice it's a Trojan horse you take in and that you accept and that you acquiesce to.
[10:00.000 --> 10:06.000]  And now we're entering the phase where even that's being removed and they're going to forced.
[10:06.000 --> 10:08.000]  So let me get into it.
[10:08.000 --> 10:14.000]  But first for TV viewers, radio listeners, obviously I will break it down.
[10:14.000 --> 10:25.000]  I went to see Vice, the movie about Dick Cheney yesterday because obviously I wanted to see it and reportedly the movie ended with yours truly as the ultimate sign of evil.
[10:25.000 --> 10:31.000]  Which it does end with yours truly as if I'm bathomet.
[10:31.000 --> 10:44.000]  Now, as if here's the new Cheney, here's the new enemy, which I'm the complete opposite of Dick Cheney.
[10:44.000 --> 10:55.000]  Now, before I get into the tentacles of death that are 100% already in your body, already in your DNA, already killing you right now.
[10:55.000 --> 11:04.000]  Most of us are walking dead. This is an absolute fact and they're about to really accelerate the extermination.
[11:04.000 --> 11:13.000]  So far it's just been ambient, it's been background, kind of like crickets sawing their feet together.
[11:13.000 --> 11:18.000]  Or like frogs or a leaf blower off in the distance.
[11:18.000 --> 11:26.000]  It's going to be a freight train if you wanted to quantitate it on a sound scale.
[11:26.000 --> 11:42.000]  And actually some of it is sound at the microwave frequency that ravels water molecules and rubs them together at a perfect oscillation frequency to rip DNA apart.
[11:42.000 --> 11:54.000]  And it was designed and the exact oscillation has been chosen to make it the most vicious out of hundreds of combinations that wouldn't be as damaging.
[11:54.000 --> 11:57.000]  Oh, I'm sorry I haven't gotten to it yet.
[11:57.000 --> 12:18.000]  But the movie Cheney, Vice, about Cheney, opens up with we get so used to tyranny and so used to oppression that we can be standing right next to death itself and we don't even notice it.
[12:18.000 --> 12:27.000]  And I remember thinking the same thing when I saw this video in this photo I'm going to put on screen now of a golfer, a group of golfers in Washington State last year.
[12:27.000 --> 12:33.000]  And you see them playing golf, they're on the putting green.
[12:33.000 --> 12:47.000]  And as you zoom back, you see that there is giant fires in the background.
[12:47.000 --> 12:56.000]  So they say an image can say a thousand words.
[12:56.000 --> 12:57.000]  Well, it certainly has.
[12:57.000 --> 12:59.000]  We'll put it back on television for viewers.
[12:59.000 --> 13:01.000]  We can just put the Daily Mail article up if you'd like.
[13:01.000 --> 13:06.000]  Now, or we can roll the video for folks and we can do that to be nice as well.
[13:06.000 --> 13:25.000]  Now, this is illustrative of how you can be right next to a burning inferno with ash raining down on you.
[13:25.000 --> 13:37.000]  And you don't even care because everyone else goes on about their business as if it's no big deal and as if it doesn't matter.
[13:37.000 --> 13:47.000]  Because no one around you behaves like it's serious or something should be done so you don't take action even though people are dying.
[13:47.000 --> 13:54.000]  Even though governments won't cut fire breaks as they did before and are allowing it to happen, even though it's burning down houses.
[13:54.000 --> 14:04.000]  You adapt to living in hell instead of changing your environment to make it better and to fix it.
[14:04.000 --> 14:14.000]  Now, if you can become callous or blind to fires in California or fires in Washington or fires wherever,
[14:14.000 --> 14:21.000]  and not even be upset at the government that it has policies in place for 30 years, not letting you cut fire breaks that have allowed the epidemic.
[14:21.000 --> 14:32.000]  Well, what are you going to do about things you can't see like gravity or cell phone radiation up to 5G and higher that they admit gives you cancer?
[14:32.000 --> 14:33.000]  We'll cover that when we come back.
[14:33.000 --> 14:34.000]  What are you going to do?
[14:34.000 --> 14:41.000]  Well, everybody knows if you jump off a cliff, you can't see the gravity, the gravity well of planet Earth.
[14:41.000 --> 14:47.000]  But you know that if you jump off a 200 foot cliff, you're going to probably die.
[14:47.000 --> 14:51.000]  You're certainly going to wish you were dead. You're going to break your legs, your back, your head.
[14:51.000 --> 14:54.000]  You're going to break most of the bones in your body.
[14:54.000 --> 14:58.000]  But if a couple hundred yards away, there's a giant fast moving inferno.
[14:58.000 --> 15:03.000]  Well, it turned out in this case they had enough time to finish up their 18 holes and get in their car and go.
[15:03.000 --> 15:06.000]  But later the golf course did burn down.
[15:06.000 --> 15:12.000]  But it doesn't matter. You're going to finish your game.
[15:12.000 --> 15:17.000]  And again, it's part of a culture of total and complete selfishness.
[15:17.000 --> 15:23.000]  But if we could get people to understand cell phone radiation and things like that are like gravity.
[15:23.000 --> 15:28.000]  They're there, but you can't see them and they're killing you.
[15:28.000 --> 15:33.000]  But instead of jumping off a cliff and you die 10 seconds, 20 seconds later, we hit the bottom.
[15:33.000 --> 15:39.000]  With radiation, it takes a few years, 20, 30 years, 10 years, 5 years, depending on the person.
[15:39.000 --> 15:43.000]  Some people are more susceptible to it. Others aren't.
[15:43.000 --> 15:49.000]  But within that recognizing the threat and being conscious of it, there's a way out of this.
[15:49.000 --> 15:59.000]  But if you can't see a giant fire coming your direction, how are you ever going to do anything for yourself or your family?
[15:59.000 --> 16:02.000]  Silver has always been nature's very own antibiotic.
[16:02.000 --> 16:08.000]  And only one system allows you to produce an endless supply of nano-sized silver solutions right from the convenience of your home.
[16:08.000 --> 16:09.000]  Silver Lungs.
[16:09.000 --> 16:13.000]  With the addition of our unique lung delivery system, respiratory infections are targeted directly,
[16:13.000 --> 16:16.000]  where traditional oral administration simply cannot reach.
