[00:00.000 --> 00:25.000]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:25.000 --> 00:45.000]  Welcome my friends, welcome and thank you so much for joining us on this very special Sunday worldwide broadcast.
[00:45.000 --> 00:55.000]  We are live for the next two hours here as we are every Sunday. It's the 22nd day of May.
[00:55.000 --> 01:04.000]  Stalin famously said that if one man dies, it's a tragedy. If 10,000 die, it's a statistic.
[01:04.000 --> 01:17.000]  And a lot of times when I talk about my personal experiences studying the globalist operation and opposing it, it's not in some Gonzo journalistic fashion that I'm trying to insert myself in the narrative.
[01:17.000 --> 01:29.000]  But that's the only way I've got to basically describe to people what I personally have internalized that I'm trying to externalize.
[01:29.000 --> 01:39.000]  And when I personally am just at home with my family or exercising or reading a book or driving in my car, I'm a very zen person.
[01:39.000 --> 01:43.000]  My thoughts are completely clear. They're ordered. They're super complex.
[01:43.000 --> 02:10.000]  And then I get here and try to look at hundreds of news articles and dozens of video clips and it just really sometimes I think sidetracks me, but I don't know how to deal with that to where I don't get caught up in the minutiae of the news but still cover it all but also get into the big themes of what we're dealing with as a civilization.
[02:10.000 --> 02:17.000]  But today we're going to cover a lot of breaking news obviously and we have Joel Scousen joining us in the second hour.
[02:17.000 --> 02:39.000]  But I really want today to talk about the nature of the New World Order, the nature of humanity from my perspective and the fact that they're not invincible and that evil always thinks that it can't be stopped until humanity understands that we don't have any choice but to resist it.
[02:39.000 --> 02:52.000]  But the social engineers have cheated humanity to be in control and they are envious of freedom and intellect and competition and they are at their base very, very evil.
[02:52.000 --> 03:04.000]  Elijah Wood, you know, the huge actor has come out and said Hollywood's basically run by people like Jimmy Savelle, the child kidnapper murderer that hangs out with a royal family in England and the prime ministers and the rest of it.
[03:04.000 --> 03:10.000]  And that's just one sign of the underbelly of what's going on in all of this.
[03:10.000 --> 03:26.000]  We have really bad people in control who have very twisted visions of the world and want us to just be these unthinking automatons that follow their stimuli and they're so arrogant they think that we just don't even count.
[03:26.000 --> 03:40.000]  And so much of humanity is in a trance, has been put into a trance and is just half dead shuffling around, just waiting to die and I guess be dumped into some hell.
[03:40.000 --> 03:45.000]  Well, here's the issue. I don't see this planet as purgatory.
[03:45.000 --> 03:55.000]  But it is a launchpad into the heavens, whether you look at that metaphysically or technologically. It is a big old launchpad.
[03:55.000 --> 04:06.000]  And we'll look back on this planet in the future, like looking back and going in and having Sunday brunch at Grandma's house.
[04:06.000 --> 04:12.000]  But we've got to make it past this next hurdle. And there are people that want to stop that.
[04:12.000 --> 04:19.000]  And it really does come down to that in this universe. Those that have good will, those that have bad will.
[04:19.000 --> 04:25.000]  And I really want to put the minions of the system on notice when we come back.
[04:25.000 --> 04:33.000]  You already have an idea of the fact that you're going to be betrayed. That's why you enjoy playing like you're the boss and betraying others below you.
[04:33.000 --> 04:40.000]  But you're coming to the end of the game here and you can't kick the can down the road.
[04:40.000 --> 04:45.000]  It's really sad to see people out there uncloking themselves and showing which side they're really on.
[04:45.000 --> 04:57.000]  We're going to focus a lot on the way they're bringing censorship to the United States through Facebook and the next wave of suppression that Supreme Court Justice warned Matt Drudge of last year, because it's now here.
[05:16.000 --> 05:24.000]  It's amazing. And because I want to see even more of these shirts out there, 50% off, 995 at infowarstore.com.
[05:24.000 --> 05:30.000]  Or you can choose the Molan Labe shirt as well, come and take it from my cold dead hands.
[05:30.000 --> 05:38.000]  Two different t-shirts, both 995 this Friday through Sunday, 48 hours only, and this special will end.
[05:38.000 --> 05:46.000]  Here's the key. You've got to go to infowars.com forward slash newsletter and sign up for our free newsletter and we will send you the promo code.
[05:46.000 --> 05:56.000]  Directly your email at checkout to get these t-shirts, one or both, for 50% off infowarstore.com at infowars.com forward slash newsletter.
[05:56.000 --> 06:12.000]  Sign up and get 50% off with the promo code.
[06:26.000 --> 06:38.000]  It is Sunday, the 22nd of May, 2016. I'm Alex Jones, your host.
[06:38.000 --> 06:44.000]  We're going to be here for the next few hours, as we are every Sunday, 4 to 6 p.m. Central.
[06:44.000 --> 06:49.000]  We broadcast on stations around the country we're very thankful for.
[06:49.000 --> 07:02.000]  It is my distinct honor to be here with you. It is my distinct honor in my own humble way to put on the best defense I can of the species I love.
[07:02.000 --> 07:16.000]  Species that I am just one example of, and all of us share this great honor of the experience that our species has gone through in the shared knowledge.
[07:16.000 --> 07:28.000]  We're being robbed of our birthright right now, but I want the globalist social engineers to understand that they will be betrayed.
[07:28.000 --> 07:40.000]  And that they will not be the transcendent superhumans they claim they'll be by robbing humanity of its birthright and trying to dumb down the whole of the population, cut off the resources and stop human expansion.
[07:40.000 --> 07:54.000]  A truly enlightened elite would not keep the general public in the dark and would not try to reduce the general population to that of servile brain damaged slaves.
[07:54.000 --> 08:09.000]  There's a lot I want to cover today, obviously, but the first thing I want to do is just take a case point example as best I can that is a key.
[08:09.000 --> 08:19.000]  To open a door to understand how our civilization has been controlled.
[08:19.000 --> 08:33.000]  There is false opposition in this country and every other major nation that is controlled by the three different power syndicates.
[08:33.000 --> 08:47.000]  And what happens immediately when opposition rises to this larger global plan, power brokers from the Chinese complex, the Russian complex or the Anglo-American complex is the dominant complex.
[08:47.000 --> 08:51.000]  It's got about 80% of the power right now. It's about to take out the others.
[08:51.000 --> 08:57.000]  This is the most ruthless and fourth dimensional in warfare.
[08:57.000 --> 09:06.000]  They go and they basically intimidate, they buy off, they infiltrate, they scare, they death threat people until they join them.
[09:06.000 --> 09:19.000]  But in many cases, they take social climbers who they know can be puppets, marionettes, and they put them forward to lead the opposition.
[09:19.000 --> 09:26.000]  So the opposition can be hamstrung and defeated.
[09:26.000 --> 09:35.000]  I want to be clear. When I criticize Glenn Beck here on air, it is not because he's a popular talk show host who has made hundreds of millions of dollars.
[09:35.000 --> 09:39.000]  It's not because of his success.
[09:39.000 --> 09:53.000]  I criticize him because he obviously knows the truth of what's going on and has covered a lot of issues and done some good, but then only to have control of the opposition to betray it at critical junctures.
[09:53.000 --> 09:58.000]  And Glenn Beck at some point may have been a good person. I can't judge him. Only God can do that.
[09:58.000 --> 10:04.000]  But he is a perfect case point example of what we don't want to be.
[10:04.000 --> 10:08.000]  And folks asked me a few weeks ago, Drudge linked to it, a bunch of newspapers linked to it.
[10:08.000 --> 10:20.000]  It got millions and millions of views. Just a clip from the show where I talked about Glenn Beck being the modern Benedict Arnold for what he was doing with Ted Cruz and saying folks are going to hell if you don't vote for Ted Cruz.
[10:20.000 --> 10:34.000]  I said, you know, a lot of things need to be said there, but people ask why I actually started crying and not sobbing on air.
[10:34.000 --> 10:46.000]  I uncontrollably had tears running down my face because when you see a Judas Iscariot tarot card, an archetype.
[10:46.000 --> 10:56.000]  When you actually see Judas Iscariot in the modern world, a true Benedict Arnold.
[10:56.000 --> 11:07.000]  And just the spirit of deception and true manifest evil. It's very painful.
[11:07.000 --> 11:16.000]  And when I talk about Glenn Beck, I talk about him because he is a very evil person, very evil.
[11:16.000 --> 11:22.000]  And now you see him destroying himself, his so-called empire collapsing.
[11:22.000 --> 11:36.000]  As he grasps the hold of the power structure and says, oh, I've got the person from American Idol coming to work for me and the guy that did Oreo cookies and it is burrowing himself deeper and then going to this Zuckerberg meeting.
[11:36.000 --> 11:45.000]  When Zuckerberg is an admitted CIA front guy for a giant data tracking control grid that put Obama into office.
[11:45.000 --> 11:48.000]  I'm going to show you the news articles here in our Facebook file here in a moment.
[11:48.000 --> 11:55.000]  If you're a TV viewer, I'll read them for radio listeners that is admittedly the number one contributor to Hillary Clinton.
[11:55.000 --> 12:04.000]  And this guy's putting statements out like they're good liberals over at Facebook, not progressives.
[12:04.000 --> 12:09.000]  I mean, now he's telling you that Zuckerberg is good so that he'll get promoted on Facebook.
[12:09.000 --> 12:11.000]  There's like a third of the Internet now.
[12:11.000 --> 12:15.000]  You got Google hanging out at the White House, basically running things.
[12:15.000 --> 12:18.000]  It can predict the future now in mass movements.
[12:18.000 --> 12:21.000]  No one of the politicians are arrogant and out of control.
[12:21.000 --> 12:26.000]  And you've got this guy fawning at their feet and still a lot of people can't see it.
[12:26.000 --> 12:31.000]  So it's bigger than Glenn Beck. I want to make that clear.
[12:31.000 --> 12:40.000]  Glenn Beck is just a symbol of deception because it's one thing if you're a Rachel Maddow or it's one thing if you're Hillary Clinton,
[12:40.000 --> 12:45.000]  working for the globalist, openly selling evil, breaking up the family, destroying our sovereignty,
[12:45.000 --> 12:51.000]  coming after our right to self-defense, attacking manhood, trying to sexualize children,
[12:51.000 --> 12:56.000]  all the wicked things they do to create a bunch of zombies, bunch of slaves.
[12:56.000 --> 12:58.000]  These are spiritual slave masters.
[12:58.000 --> 13:02.000]  They trade in the men's souls, as Revelation talks about.
[13:02.000 --> 13:09.000]  But to see someone go into that position, be made the, quote, leader of the Liberty Movement by the media,
