[00:00.000 --> 00:29.000]  It's Sunday. July 8th, the year is 2021.
[00:29.000 --> 00:38.000]  More top scientists have come forward confirming that the mRNA injections are designed to attack women's ovaries, rendering them sterile.
[00:38.000 --> 00:43.000]  We're going to be laying it all out here for you today.
[00:43.000 --> 00:54.000]  But first, let's look at a few flashbacks of the last decade where we predicted from the Rockefeller Foundation documents and other insider reports what they've now carried out.
[00:54.000 --> 00:59.000]  The Alex Jones Show. There is a war on for your mind.
[00:59.000 --> 01:03.000]  I mean, I'm not even worthy to be bringing you information that's powerful.
[01:03.000 --> 01:12.000]  And I hope that you pay attention to what we cover here minute by minute, because I've had chills since last night.
[01:12.000 --> 01:17.000]  This just confirms everything else we've already researched.
[01:17.000 --> 01:26.000]  A Rockefeller study envisions future dictatorship controlled by elite, millions being killed, mandatory quarantines, checkpoints, the end of the family.
[01:26.000 --> 01:28.000]  Everything that's in the other documents.
[01:28.000 --> 01:34.000]  But this dovetails of all the other Rockefeller Foundation documents about the GMO food to sterilize you and force vaccines.
[01:34.000 --> 01:41.000]  And the hell we're already living in that's just going to continue to intensify until we take our governments back from these eugenics madmen.
[01:41.000 --> 01:43.000]  But that story is up on PrisonPlanet.com.
[01:43.000 --> 01:47.000]  The question is, will you have the courage to really do the research yourself?
[01:47.000 --> 01:50.000]  Because I don't want you to just sit here and hear me make these claims.
[01:50.000 --> 01:54.000]  These people are so arrogant that they write policy papers.
[01:54.000 --> 02:02.000]  So many of them that they're producing these policy papers and reports and white papers so fast that you could never read them all.
[02:02.000 --> 02:06.000]  It is an open conspiracy against you and your family.
[02:06.000 --> 02:14.000]  I pray to God, I pray to my heavenly Father Jesus Christ every night to give me the strength and the will to be able to face this fire.
[02:14.000 --> 02:16.000]  And to give me the strength to carry on.
[02:16.000 --> 02:25.000]  Because I know why a lot of you don't want to look at this information and just want to comment on the YouTube videos or on message boards and on the line.
[02:25.000 --> 02:32.000]  I know why. Because it's scary.
[02:32.000 --> 02:36.000]  You're not going to be able to go to the ball games anymore.
[02:36.000 --> 02:39.000]  You're not going to be able to just go out and get drunk with your friends.
[02:39.000 --> 02:44.000]  You're not going to be able to just go out and enjoy yourself all the time.
[02:44.000 --> 02:55.000]  The only chance we've got of beating this scientific dictatorship, this creeping death that takes its time to incrementally enslave you.
[02:55.000 --> 02:58.000]  Mentally, psychologically, physically, spiritually.
[02:58.000 --> 03:09.000]  The only way to defeat it is for the rank and file of this planet to realize that you have a choice to make on what your destiny is going to be.
[03:09.000 --> 03:14.000]  Once you face this information, once you've consciously admitted it to yourself, it will take over your life.
[03:14.000 --> 03:16.000]  It should take over your life.
[03:16.000 --> 03:18.000]  I mean, what else?
[03:18.000 --> 03:21.000]  What else could it do?
[03:21.000 --> 03:33.000]  We've got to get past the artificial stigma that the control corporate media has been putting out for decades ahead of their open unveiling of planetary dictatorship.
[03:33.000 --> 03:37.000]  They all talk about how we need a police state to carry this out.
[03:37.000 --> 03:45.000]  Canada and the United States are going to work in lockstep, display the seriousness of our commitment at both home and abroad.
[03:45.000 --> 03:52.000]  If you lose or draw, you need to choose a sign.
[03:52.000 --> 03:54.000]  Infowars, Tomorrow's News Today.
[03:54.000 --> 03:55.000]  Welcome, my friends.
[03:55.000 --> 03:59.000]  Welcome again on this live Sunday broadcast.
[03:59.000 --> 04:02.000]  We're going to be here for the next two hours.
[04:02.000 --> 04:08.000]  Then we're going to have Sunday live with the great Owen Schreuer, 6 to 8 p.m. central time.
[04:08.000 --> 04:13.000]  Well, to say that the plot has thickened would be an understatement.
[04:13.000 --> 04:18.000]  Everything the globalists said they do in their own internal reports, they're now carrying out.
[04:18.000 --> 04:25.000]  They're now preparing lockdown to worldwide and the further collapse of the third world and the further destruction of the economy here in the West.
[04:25.000 --> 04:35.000]  China has been completely open for business the entire time and has publicly bragged that they did this with the deep state to destroy all their competition worldwide and take over.
[04:35.000 --> 04:37.000]  This is absolute complete economic warfare.
