[00:00:15.474 --> 00:00:23.121]  InfoWars, the most banned network in the world.
[00:00:23.121 --> 00:00:29.527]  It never occurred to me after three highly effective vaccines were developed
[00:00:30.942 --> 00:00:37.704]  In under a year, that we'd have difficulty getting Americans to take the shots.
[00:00:37.704 --> 00:00:41.045]  But that's obviously where we are.
[00:00:41.045 --> 00:00:57.470]  I want to underscore in the strongest possible manner I can, and I say this with some authority, as you all know, as a result of being a polio victim myself, and being very aware that it took seven decades
[00:00:58.424 --> 00:01:02.185]  To come up with two effective polio vaccines.
[00:01:02.185 --> 00:01:05.406]  This was done in under one year.
[00:01:05.406 --> 00:01:18.771]  These shots need to get in everybody's arm as rapidly as possible, or we're going to be back in a situation in the fall that we don't yearn for that we went through last year.
[00:01:18.771 --> 00:01:25.533]  The way to defeat getting back into the position we were last year is to get vaccinated.
[00:01:25.533 --> 00:01:27.274]  This is not complicated.
[00:01:28.699 --> 00:01:36.044]  97% of the people who are in the hospital now for COVID are unvaccinated.
[00:01:36.044 --> 00:01:46.652]  So if there's anybody out there willing to listen, get vaccinated.
[00:01:46.652 --> 00:01:48.193]  It's Saturday, July 24th, 2021.
[00:01:50.632 --> 00:01:55.033]  I'm your host Alex Jones and this is an Emergency Saturday Breaking Bulletin.
[00:01:55.033 --> 00:02:09.877]  It is critical that you stay with us throughout this transmission and check every piece of evidence we're going to show you and then warn others because we have the government documents directly from the Federal Reserve as well as the UN that they were always planning a second
[00:02:10.208 --> 00:02:13.750]  How did I know a year and a half ago that the so-called 15-day shutdown
[00:02:38.137 --> 00:02:38.477]  To quote,
[00:03:08.837 --> 00:03:15.701]  When you can and can't leave your house, where you can go, what you can do, and how much red meat you can eat.
[00:03:15.701 --> 00:03:23.565]  I'm going to get into that today because they've already officially launched this just three days ago in the UK, causing a panic.
[00:03:23.565 --> 00:03:26.026]  And some of you may say, I don't care about the UK.
[00:03:26.026 --> 00:03:27.027]  I don't live there.
[00:03:27.027 --> 00:03:29.208]  This is global governance.
[00:03:29.208 --> 00:03:38.433]  As I've told you a thousand times, what happens in Australia, what happens in South Africa, what happens in the UK, what happens in Canada is coming to your country.
[00:03:39.247 --> 00:03:40.068]  It's on record.
[00:03:57.426 --> 00:04:05.310]  And now the Rockefeller Foundation is publicly directing the United States of America's U.S.
[00:04:05.310 --> 00:04:08.972]  domestic and international COVID response.
[00:04:08.972 --> 00:04:15.595]  Just like that, the United Nations and the Fortune 100 corporations that founded it and control it
[00:04:16.385 --> 00:04:25.472]  are in control of what medicine you can get, what your doctor can treat you with, and what you're allowed to even say online.
[00:04:25.472 --> 00:04:28.053]  And again, who creates the policy for the UN?
[00:04:28.053 --> 00:04:34.278]  The Bill and Melinda Gates Foundation, controlled by the Rockefeller Foundation, the Carnegie Endowment, and others.
[00:04:34.278 --> 00:04:36.980]  Who's the new CIA director?
[00:04:36.980 --> 00:04:38.981]  The former head of the Carnegie Endowment.
[00:04:38.981 --> 00:04:45.486]  This is the robber barons, this is the eugenics movement, this is the planetary corporate world government
[00:04:45.802 --> 00:04:55.047]  Being built in your face and if you submit to these seasonal lockdowns and you submit to travel passes to leave your home,
[00:04:56.380 --> 00:05:03.704]  You are committing yourself and your children to a nightmare hell where we don't get out of the lockdowns by submitting to them.
[00:05:03.704 --> 00:05:07.926]  We ensure that more intense lockdowns are going to come.
[00:05:07.926 --> 00:05:14.870]  Because in Klaus Schwab's own words, this is 21st century warfare against the industrial world.
[00:05:14.870 --> 00:05:18.412]  This is the UN stated goal from Rio de Janeiro in 1992 of building
[00:05:21.351 --> 00:05:30.735]  a post-industrial planet and reducing the world population to 500 million that is on the Georgia Guidestones.
[00:05:30.735 --> 00:05:42.819]  And just a few weeks ago, Jane Goodall, the renowned naturalist, came out and said we should reduce the world population to what it was 500 years ago, which again is 500 million.
[00:05:42.819 --> 00:05:47.141]  You've alluded a couple times to the problem of overpopulation.
[00:05:48.126 --> 00:05:57.948]  Yet, at all the world conferences on global warming, this and that, we never hear about the problem of overpopulation.
[00:05:57.948 --> 00:06:00.649]  Do you think it's a taboo subject?
[00:06:00.649 --> 00:06:02.570]  And if so, why?
[00:06:02.570 --> 00:06:06.471]  It's been politically incorrect for a very long time.
[00:06:06.471 --> 00:06:11.612]  If you go to a global conference on those issues, and I'm there, you will hear me talking about
[00:06:12.216 --> 00:06:24.022]  The mushrooming human population growth that's led to deforestation that leads not just to harm for the animals and the environment, but the people living there too, no question.
[00:06:24.022 --> 00:06:26.643]  Like what I described at Gombe.
[00:06:26.643 --> 00:06:34.527]  And if you talk about overpopulation and not population control, that's really what got to people.
[00:06:34.527 --> 00:06:36.628]  They don't want to be controlled.
[00:06:36.628 --> 00:06:39.810]  And then, of course, there's the Catholic Church.
[00:06:39.810 --> 00:06:41.851]  And that makes quite
[00:06:42.628 --> 00:06:45.850]  Everything you've been told about COVID-19 has been a lie.
[00:07:00.776 --> 00:07:03.157]  You were told millions and millions of Americans would die.
[00:07:03.157 --> 00:07:07.458]  You were told it had a 4% death rate when it didn't have 1 tenth of 1% rate.
[00:07:07.458 --> 00:07:16.902]  They used fake PCR tests that were totally fraudulent to say that all these people that were completely healthy were sick and they would say, oh, you're just asymptomatic.
[00:07:16.902 --> 00:07:25.145]  And now they're bringing in global contact tracing run by the UN and Google with the Bill Gates Foundation and the Clinton Global Initiative
[00:07:26.294 --> 00:07:27.635]  to come to your door.
[00:07:27.635 --> 00:07:35.978]  And now I've gotten text alerts on my phone and seen on the local news in Austin that I better comply when the contact tracers come to my house.
[00:07:35.978 --> 00:07:41.920]  And Biden has launched his strike force teams to come to your door and try to intimidate you to take shots.
[00:07:41.920 --> 00:07:53.025]  And Mitch McConnell is there holding America hostage and saying, we're going to have more lockdowns this fall if all of you don't take your shot.
[00:07:53.985 --> 00:08:02.337]  But I thought if you took the shot, like Joe Biden said just last week at that town hall, you're supposedly completely safe and can't get COVID.
[00:08:03.114 --> 00:08:10.336]  But I'll tell you what is going to remain open during the next lockdowns they bring in to shut down small businesses and bankrupt our families and
[00:08:32.113 --> 00:08:38.094]  Force us onto a universal income so they can control our lives with that money.
[00:08:38.094 --> 00:08:55.238]  That's right, ladies and gentlemen, the border, where the Border Patrol reports already millions of people have crossed in just the first seven months of this year from all over the world, including thousands of Africans from Africa and people as far south as Venezuela.
[00:08:55.238 --> 00:09:00.319]  And what do they tell the Border Patrol when they show up here by the thousands a day per checkpoint?
[00:09:01.254 --> 00:09:02.055]  We're good to go.
[00:09:19.568 --> 00:09:21.389]  The West isn't buying food from them anymore.
[00:09:21.389 --> 00:09:23.351]  The farmers have no one to sell their food to.
[00:09:23.351 --> 00:09:27.253]  And so we have to let them in because they're starving to death.
[00:09:27.253 --> 00:09:29.775]  But what caused them to starve to death?
[00:09:29.775 --> 00:09:31.076]  What destroyed Africa?
[00:09:31.076 --> 00:09:32.376]  What destroyed Latin America?
[00:09:32.376 --> 00:09:33.537]  What destroyed the Middle East?
[00:09:33.537 --> 00:09:34.958]  What destroyed Asia?
[00:09:34.958 --> 00:09:36.359]  The lockdowns.
[00:09:36.359 --> 00:09:40.582]  What starved an extra 20 million people to death?
[00:09:40.582 --> 00:09:42.643]  The lockdowns.
[00:09:42.643 --> 00:09:44.945]  Popular podcaster Tim Pool made this point.
[00:09:46.004 --> 00:09:49.852]  Mitch McConnell says we're going to be under lockdowns if we don't take their deadly shots.
[00:09:49.852 --> 00:09:54.802]  But don't worry, the border's going to be wide open and nobody's making the illegals take the shots.
[00:09:54.802 --> 00:09:55.984]  And by the way, I agree with that.
[00:09:55.984 --> 00:09:56.546]  Nobody should.
[00:10:11.926 --> 00:10:14.407]  This is bipartisan tyranny.
[00:10:14.407 --> 00:10:31.253]  We have Mitch McConnell, and we have the puppet president, Joe Biden, working in concert together to violate the Nuremberg Code, to tell us that you could lose your job, or you could lose your children, or you could not be allowed to go outside.
[00:10:31.253 --> 00:10:39.236]  You're going to be listed as non-essential, basically subhuman if you don't take an experimental, unauthorized injection.
[00:10:40.475 --> 00:10:54.743]  That is the essence of the Nuremberg Code passed and that our government signed onto and that we passed similar laws here in the United States after World War II because the Nazis would coerce people into dangerous experimentation as well.
[00:10:54.743 --> 00:11:04.789]  And so what Mitch McConnell and what Joe Biden are doing is patently illegal, patently un-American, and it is our right and our duty to resist this assault.
[00:11:04.789 --> 00:11:08.852]  Thank God the governor of Arkansas, excuse me, of Alabama
[00:11:09.901 --> 00:11:12.984]  Had one of the lowest vaccination rates in the country.
[00:11:12.984 --> 00:11:20.611]  Is now, and I'm genuinely complimenting her.
