[00:00.000 --> 00:11.000]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:30.000 --> 00:59.000]  We're live, my friends. It is the 23rd day of June 2013. I am your host, Alex Jones, and we are going to be live here for the next few hours as we are every single day.
[01:01.000 --> 01:18.000]  And of course we come back weekdays live, 11 to 2 central as well. I have absolutely spent hours Friday and yesterday on Saturday and today thinking about the things I want to say here today.
[01:18.000 --> 01:40.000]  And I've probably said this a hundred times in just the last few years when I started broadcast and I've never really succeeded in getting in that quiet focused place and then just presenting the real essence of what's going on to everybody so that we can understand what we're facing as a culture and a society.
[01:40.000 --> 02:04.000]  So when we start the next segment I will start plowing into the first big report that I want to get into. The case of Michael Hastings, the associate editor of Rolling Stone magazine who had recently
[02:04.000 --> 02:19.000]  been planning to release a lot of really powerful information concerning General Petraeus, the CIA, NSA, you name it. He was working on all of it.
[02:19.000 --> 02:45.000]  So we're going to be getting into all of that today and the fact that hiding in plain view on Friday, the TV stations in LA and then the LA Times were forced to report on what WikiLeaks and then everybody else in the real media was talking about on Wednesday and Thursday.
[02:45.000 --> 02:58.000]  And that is that Hastings said that he was going into hiding and that he was being followed by the FBI and that they were harassing his friends and family.
[02:58.000 --> 03:22.000]  Now the fact that they've had a bunch of old dinosaur media and then other fake alternative media come out and make fun of people, New York Daily News, New York Magazine, Daily Caller come out and say, oh look at the crazies, they're saying that he could have been murdered.
[03:22.000 --> 03:33.000]  It would be surprising if he was not murdered with all of this evidence.
[03:33.000 --> 03:43.000]  And how would you have someone who's reporting on big national security stories and who is exposing top generals and people are losing their jobs over it.
[03:43.000 --> 03:53.000]  And then he comes out on television and says we should release all the NSA data. We should have the press stop complying with this corrupt government. He said that about a week before his car blew up.
[03:53.000 --> 03:59.000]  And I've looked at the evidence. It looks like a car bomb.
[03:59.000 --> 04:13.000]  But even that particular model of Mercedes is absolutely remote controllable and that's in car and driver. I'm going to be showing you that news where they could drive him at 100 miles an hour into the tree.
[04:13.000 --> 04:23.000]  Except I've seen what the witnesses said of the explosion and how it basically came up to rest up against the tree not really into the tree.
[04:23.000 --> 04:36.000]  It's a bigger issue here, not that the establishment kills people, but that the media is so compliant in going along with this and then criticizing people.
[04:36.000 --> 04:41.000]  I mean you'd be crazy to not look at a murder investigation, to not look at it being foul play.
[04:41.000 --> 04:47.000]  But day one they said no foul play, which is always another big telltale sound. We've got that big story.
[04:47.000 --> 04:59.000]  We've got police busting people's houses over three inch grass in their yards. We've got the latest geopolitically and the latest on Snowden planning to go to Ecuador.
[04:59.000 --> 05:15.000]  Now is the perfect time to spring clean your body with supernatural silver, a non-toxic disinfectant for the body that can be used internally or externally. It helps the immune system by killing the bacteria, viruses and mold that cause disease.
[05:15.000 --> 05:33.000]  This helps to reduce the workload of your already overworked immune system and allows the immune system to refocus its energy and recharge. Supernatural silver can help combat over 300 different conditions and it has the ability to kill over 143 types of bacteria, viruses, mold and yeast.
[05:33.000 --> 05:46.000]  Supernatural silver's patented technology includes advanced scientific research with over 180 scientific studies conducted at independent universities, hospitals, research institutions and nursing homes.
[05:46.000 --> 06:00.000]  To see how supernatural silver can change your life, go to supernaturalsilver.com. Use the promo code Silver2013 for 20% off and like us on Facebook.
[06:00.000 --> 06:18.000]  Waging war on corruption. It's Alex Jones coming to you live from the front lines of the Info War.
[06:30.000 --> 06:47.000]  Monday through Friday from 11 a.m. to 2 p.m. Central, we're here live and then I come back Sundays live and we're live.
[06:47.000 --> 07:07.000]  4 to 6 p.m. also Central Standard Time and I want to thank you for joining us on this live Sunday broadcast. The 23rd day of June 2013.
[07:07.000 --> 07:34.000]  All right, we are going to try to cover a lot of ground here today looking at what the kleptocratic establishment is up to and ways that humanity is trying to awaken itself and also organize against all of this tyranny.
[07:34.000 --> 07:54.000]  But I really want today to try to calmly go over this news and information and really have the listeners take notes, whether they be physical or mental and to go follow along either today or tomorrow or tonight.
[07:54.000 --> 08:05.000]  Whenever you have time with the information I'm going to present here so that you can discover for yourself how much trouble we're in.
[08:05.000 --> 08:16.000]  The United States is a very wealthy powerful country because we've had more liberty and freedom than other nations. That does not mean that we were some paragon of justice.
[08:16.000 --> 08:35.000]  But compared to most other nations, we have empowered the middle class, we have empowered the individual. But because of that, we became the most powerful nation on earth and then corrupt influences moved in to capitalize on that power and wealth.
[08:35.000 --> 08:53.000]  And now as tyranny takes hold and as crony monopoly systems take hold in government interfacing with major offshore corporations, we see the justice and the liberty and along with that the prosperity exiting very, very quickly.
[08:53.000 --> 09:19.000]  And we have a mix of malaise, general naivete in the public that mixed with high tech propaganda and complexity in government is a recipe for allowing government tyranny to grow to a level that has never before been seen on the face of this globe.
[09:19.000 --> 09:33.000]  And make no mistake, I know historian would disagree with you. I challenge you to find one that would if you make the point that government has been the greatest non natural killer of masses of people in history.
[09:33.000 --> 09:42.000]  University of Hawaii did a study a few years ago and found that conservatively government in the 20th century alone.
[09:42.000 --> 10:01.000]  In the hundred years preceding 2001. If you look at the previous hundred years, government confirmed killed 262 million people, men, women and children that were non military deaths.
[10:01.000 --> 10:16.000]  I'm not talking about people dying and the fire bombing of Dresden, Germany or the or the fragmentation bombing of London vice versa. I'm not talking I'm talking about government lining people up and shooting them or working them to death and death camps.
[10:16.000 --> 10:36.000]  And so my great concern being a novice historian and someone who's in the common sense is that we're taught that government is like mommy's milk and the best thing since air conditioning and that all it can do is good for us and that anybody that questions it is is a trader.
[10:36.000 --> 10:54.000]  If you go up to info wars.com today, there is a Anthony Frieda graphic on the front page in the featured news area and it's a giant Uncle Sam hand pointing down to a man on the plane.
[10:54.000 --> 11:11.000]  And he says, I think we should restore the rule of law and bill of rights, stop waging illegal wars and stop illegal surveillance of American citizens. That's what the man is saying the American Uncle Sam is pointing his fingers saying extremist.
[11:11.000 --> 11:19.000]  And that's not satire at all. That's actually what the system does.
[11:19.000 --> 11:32.000]  You see, once a country starts putting up with corruption and once corruption takes hold and becomes the economy, and once the mafia system of government and and and gangs gets in place.
[11:32.000 --> 11:43.000]  And once the crime is inculcated into the culture, like a too big to fail for the offshore banks that run our country by design into the ground.
[11:43.000 --> 11:53.000]  Once they can sell you on we're too big to fail, you can't remove us that you know the cancer is metastasize embrace the cancer.
[11:53.000 --> 11:59.000]  Once we get to that point, there is probably no coming back.
[11:59.000 --> 12:22.000]  And the corrupt hordes of people on the dole people with corporate welfare government and then all the accompanying bureaucracies of groups that have scores to settle and you know different cliques and groups that are allied with the power structure.
[12:22.000 --> 12:30.000]  They will go out and feed on and abuse and hunt down the good and virtuous.
[12:30.000 --> 12:38.000]  That's how tyranny works because the good and virtuous won't organize and get together and defend themselves generally.
[12:38.000 --> 12:43.000]  And they can't even imagine the tyranny because their brains don't work like that.
[12:43.000 --> 12:53.000]  They have no auto immune system to it and the power structure will demonize groups as things begin to contract to rob them.
[12:53.000 --> 12:56.000]  It isn't that you'll even resist them.
[12:56.000 --> 13:03.000]  It isn't that the system will come after you because you fight against them.
[13:03.000 --> 13:09.000]  It will come after you because you're not part of a crew.
[13:09.000 --> 13:11.000]  You're not part of a gang.
[13:11.000 --> 13:13.000]  You're not part of a power structure.
[13:13.000 --> 13:15.000]  This is how the world has always worked.
[13:15.000 --> 13:32.000]  Our founders said we'll get the middle class together, organize with weapons and have rules that we will absolutely go after any big government that tries to violate any of these basic rights because we've seen throughout history that when they go after these rights, hell follows.
[13:32.000 --> 13:48.000]  So it was about a gang of liberty, a gang of freedom, a gang of independence, a gang of the individual that we the individuals would band together when people tried to form gangs to come feed on us.
[13:48.000 --> 13:53.000]  But we were taught it was sexy and cool not to want to be part of the liberty gang.
[13:53.000 --> 13:56.000]  We were taught it was sexy and cool to be corrupt.
[13:56.000 --> 14:01.000]  We were taught that that's how you got ahead by not caring about your neighbors, by not caring about anybody in the society but yourself.
[14:01.000 --> 14:13.000]  We were taught that laughing at people that warn about big government and warn about the Bill of Rights and Constitution was somehow a shield against tyranny.
[14:13.000 --> 14:17.000]  We were sold cultural death.
[14:17.000 --> 14:19.000]  We don't have a culture in America.
[14:19.000 --> 14:21.000]  What you think football is our culture.
[14:21.000 --> 14:25.000]  You think acting toughs the culture or acting trendies the culture.
[14:25.000 --> 14:37.000]  People regurgitate and reflect what the culture put out by Hollywood, which is a weaponized culture, which is a system to where you don't really have a culture.
[14:37.000 --> 14:46.000]  And if you have no culture and you stand for nothing, you will fall for anything.
[14:46.000 --> 14:48.000]  And we're at that historic crossroads.
[14:48.000 --> 14:53.000]  I've got big news coming up after the break.
[14:53.000 --> 14:57.000]  Where either the corruption all comes out in the open as it is because it's emerging.
[14:57.000 --> 14:58.000]  It's taking over.
[14:58.000 --> 14:59.000]  It's metastasizing.
[14:59.000 --> 15:02.000]  And we reject it.
[15:02.000 --> 15:05.000]  Our body beats the cancer.
[15:05.000 --> 15:10.000]  We vomit out the poison.
[15:10.000 --> 15:16.000]  Or if we tell ourselves, no, this isn't poison and we don't take measures against it.
[15:16.000 --> 15:19.000]  We will surely die as a republic.
[15:19.000 --> 15:21.000]  And it will happen very quickly.
[15:21.000 --> 15:23.000]  We're not talking about your children's time now.
[15:23.000 --> 15:25.000]  We've been saying that for 20 years.
[15:25.000 --> 15:27.000]  Now it is the time of your children.
[15:27.000 --> 15:30.000]  The time that they've grown up and their children.
[15:30.000 --> 15:37.000]  And so all the rot you've seen the last 100 years or so under the Federal Reserve Governorship, the foreign banking cartel.
[15:37.000 --> 15:42.000]  All of the rot you've seen will now be doubled just the next three or four years.
[15:42.000 --> 15:44.000]  And then doubled again and doubled again.
[15:44.000 --> 15:46.000]  We've gone off the cliff, folks.
[15:46.000 --> 15:47.000]  We're off the cliff now.
[15:47.000 --> 15:49.000]  We're in free fall.
[15:49.000 --> 15:59.000]  We're going to break down absolute evidence of American whistleblowers and media people being exterminated by Obama NDAA death squads.
[16:20.000 --> 16:22.000]  Wonder if there'll really be a problem?
[16:22.000 --> 16:28.000]  eFoodsDirect has a plan to maximize your food dollar and guarantee you'll be glad you ordered food.
[16:28.000 --> 16:34.000]  Until June 30th, buy three of any food item and receive the fourth one free, with free shipping.
[16:34.000 --> 16:35.000]  The guarantee.
[16:35.000 --> 16:40.000]  After September 20th, when you've seen what happened with food prices and shortages,
[16:40.000 --> 16:45.000]  if you're not glad you ordered food, return the food unopened for a full refund.
[16:45.000 --> 16:51.000]  Go to eFoodsDirect.com slash Alex or call 800-409-5633.
[16:51.000 --> 16:59.000]  Your peace of mind guarantee eFoodsDirect.com slash Alex or 800-409-5633.
[17:00.000 --> 17:03.000]  You prepare by purchasing gold, food and firearms.
[17:03.000 --> 17:09.000]  But if you don't have a home security system, then you're missing a critical weapon in your arsenal for home protection.
[17:09.000 --> 17:13.000]  When you're sleeping or away from home, who's watching out for intruders?
[17:13.000 --> 17:15.000]  Check out Simply Safe.
[17:15.000 --> 17:19.000]  It's a new do-it-yourself home security system that is completely wireless.
[17:19.000 --> 17:22.000]  Go to GetSimplySafe.com.
[17:22.000 --> 17:25.000]  Simply Safe is independent and off the grid.
[17:25.000 --> 17:29.000]  It runs on battery power, so even if the grid goes down, you're protected.
[17:29.000 --> 17:36.000]  It's completely customizable, so you can use it in your home, business, boat, trailer, storage unit or shed.
[17:36.000 --> 17:38.000]  GetSimplySafe.com.
[17:38.000 --> 17:45.000]  Simply Safe is also ridiculously easy to install yourself in under 20 minutes, so there's no need to let a stranger into your home.
[17:45.000 --> 17:49.000]  If you move or need to relocate, you can take the system with you wherever you go.
[17:49.000 --> 17:56.000]  You aren't always at home, but Simply Safe will stand guard protecting your property 24 hours a day, 7 days a week.
[17:56.000 --> 18:09.000]  Again, that's GetSimplySafe.com.
[18:27.000 --> 18:30.000]  It is the only one that does it and out of the gates.
[18:30.000 --> 18:34.000]  We have it discounted at 10% off with promo code WATER.
[18:34.000 --> 18:45.000]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilic acid,
[18:45.000 --> 18:51.000]  the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[18:51.000 --> 18:59.000]  You're a pro-pure with a new pro-one filter today at mfolwarstore.com, or by calling 888-253-3139.
[19:22.000 --> 19:29.000]  Order the sampler, a one to two month supply, or get a one to two year supply of soaps for all your cleaning needs.
[19:29.000 --> 19:32.000]  You're getting soap products twice as good as what you're using now.
[19:32.000 --> 19:37.000]  This is an amazing deal and you will love the way real soap makes your skin feel.
[19:37.000 --> 19:44.000]  Call 1-800-340-7091 or visit www.5starsope.com.
[19:44.000 --> 19:49.000]  Alex and his staff have used these earth-friendly pure soaps for years.
[19:49.000 --> 19:59.000]  See them on the web, www.5starsope.com, or call 1-800-340-7091 for a catalog.
[20:01.000 --> 20:04.000]  Coast to coast, direct from Austin.
[20:04.000 --> 20:09.000]  You're listening to the Alex Jones Broadcasting Network.
[20:09.000 --> 20:21.000]  I have sworn upon the altar of God eternal hostility against every form of tyranny over the mind of man.
[20:21.000 --> 20:27.000]  Thomas Jefferson, it's Alex Jones on the GCN Radio Network.
[20:27.000 --> 20:37.000]  All right, ladies and gentlemen, we are back live. Coming up, I'm going to get into the Edward Snowden situation.
[20:37.000 --> 20:51.000]  Going to Russia and then he's planning to hop a plane to another South American country, hoping to try to get some type of political asylum there.
[20:51.000 --> 20:58.000]  We're going to be breaking that down in the next segment and the responses of the establishment saying this guy is a traitor.
[20:58.000 --> 21:07.000]  The people that are engaged in the spying against the American people are the ones that are breaking the law.
[21:07.000 --> 21:09.000]  We're going to be going over that.
[21:09.000 --> 21:16.000]  In fact, I have known someone that worked for Air Force Intelligence and the NSA for about 15 years.
[21:16.000 --> 21:22.000]  I know him very well. He's a good friend of mine. And he also worked on the Apollo program.
[21:22.000 --> 21:25.000]  You can see him there. He's been on the show before.
[21:25.000 --> 21:31.000]  You can see him in the Apollo program on the very front line. He was one of the main mission controllers.
[21:31.000 --> 21:38.000]  And he came by the office. He's 71 years old. He came by the office Thursday.
[21:38.000 --> 21:47.000]  He's agreed to come on in a few weeks. Not about NSA, but he said, I'll tell you this. And he had trouble even saying that.
[21:47.000 --> 21:58.000]  He said there was 150,000 analysts in D.C. alone when I was involved in it in the 70s, the last time he was involved there.
[21:58.000 --> 22:08.000]  And he was, and I've known this guy forever, and he was having trouble saying it. And he goes, and they said they will kill anyone at the graduations at the Air Force and then another one.
[22:08.000 --> 22:14.000]  Anyone that talks will be killed. So that's why Snowden came out. It's Raymond Teague. He was here Thursday.
[22:14.000 --> 22:19.000]  He's saying it happens to Raymond, but he's not going to give out any NSA secrets. We know what you're doing.
[22:19.000 --> 22:32.000]  And he was just talking about everything then was just in printouts with computers and then analysts listening and it being typed out and just sheets to be sent off to other people.
[22:32.000 --> 22:43.000]  And it was everything. It was, he said, narcotics trafficking. He said all the analysts knew the government ran almost all the drugs and that you just weren't supposed to say anything.
[22:43.000 --> 22:49.000]  You just sat there and they had the analysts listening, typing it all out and then it was in teletypes being sent off.
[22:49.000 --> 22:55.000]  150,000 analysts in D.C. alone.
[22:55.000 --> 23:01.000]  By the way, Raymond was in a meeting with, well, John Bowne, you were in the meeting.
[23:01.000 --> 23:05.000]  Yeah, turn your microphone on. Tell people about it. You were in there.
[23:05.000 --> 23:08.000]  Yeah, I just sat in awe of what this guy was saying.
[23:08.000 --> 23:15.000]  And by the way, I've been to his house and everything and he's got the national security letters all over the wall. He's got a presidential medal.
[23:15.000 --> 23:22.000]  Anyways, we'll get into it more later. The point is, it's unbelievable. And Raymond would never really tell me much about this.
[23:22.000 --> 23:27.000]  He said, well, this is in the 70s and I'm not giving you specifics, but absolutely.
[23:27.000 --> 23:34.000]  And I've known people in the modern NSA. Well, you've heard them on here as guests.
[23:34.000 --> 23:42.000]  And so it's so naive when Snowden comes out and says that they're going to try to kill me last week.
