[00:00:00.000 --> 00:00:25.000]  Music
[00:00:25.000 --> 00:00:29.000]  Monday through Friday from 11 to 2 Central Standard Time
[00:00:29.000 --> 00:00:34.000]  I do this show live and then of course back from 9 to midnight Central Standard Time
[00:00:34.000 --> 00:00:40.000]  we go out on a growing list of wonderful AM and FM affiliates around the country
[00:00:40.000 --> 00:00:44.000]  from New York to Texas to Colorado to California
[00:00:44.000 --> 00:00:46.000]  many points between
[00:00:46.000 --> 00:00:52.000]  we have a giant audience on the internet listening at InfoWars.com and PrisonPlanet.com
[00:00:52.000 --> 00:00:57.000]  and I want to thank the listeners for spreading the word via the internet about the show
[00:00:57.000 --> 00:01:01.000]  and the incredible guests and news we cover here and our analysis
[00:01:01.000 --> 00:01:04.000]  and also on Global Shortwave
[00:01:04.000 --> 00:01:11.000]  you can listen if you're on vacation in Europe or on a job in Guatemala
[00:01:11.000 --> 00:01:19.000]  you can listen via the Global Shortwave during the day on 12.172 and 9320
[00:01:19.000 --> 00:01:24.000]  and at night from 9 to midnight Central at 5.085 and 6890
[00:01:24.000 --> 00:01:26.000]  coming up here in just a few minutes
[00:01:26.000 --> 00:01:31.000]  Bev Harris, author of Black Box Voting, Ballot Tampering in the 21st Century
[00:01:31.000 --> 00:01:36.000]  has provided numerous articles on voting machine ownership, errors and security
[00:01:36.000 --> 00:01:39.000]  to news publications worldwide and writing black box voting
[00:01:39.000 --> 00:01:43.000]  she's spent over 2000 hours researching voting machines
[00:01:43.000 --> 00:01:46.000]  and interviewed dozens of witnesses including many election officials
[00:01:46.000 --> 00:01:51.000]  and even voting machine programmers who work directly for the firms that build these machines
[00:01:51.000 --> 00:01:58.000]  Harris owns Talon.com publicity firm and has been writing professionally for 10 years
[00:01:58.000 --> 00:02:05.000]  she is also the author of How to Embezzle a Fortune, Tips on How to Identify Accounting Fraud and Recover Embezzled Funds
[00:02:05.000 --> 00:02:08.000]  and we're going to her here in a few minutes
[00:02:08.000 --> 00:02:11.000]  I just want to say something. I've read her book
[00:02:11.000 --> 00:02:13.000]  I have listened to her on other talk shows
[00:02:13.000 --> 00:02:16.000]  we've had many other guests on who have researched this
[00:02:16.000 --> 00:02:20.000]  I have caught people engaged in election fraud here locally
[00:02:20.000 --> 00:02:24.000]  I have tracked who owns these voting machine companies
[00:02:24.000 --> 00:02:28.000]  I've probably done 100 hours of research
[00:02:28.000 --> 00:02:31.000]  and it's so horrible it would take me years to explain it all
[00:02:31.000 --> 00:02:37.000]  this woman has done 50 times the research I've done, conservatively
[00:02:37.000 --> 00:02:42.000]  and she has just found wholesale evil that's unspeakable
[00:02:42.000 --> 00:02:46.000]  and of course the average person knows all about the baseball scores
[00:02:46.000 --> 00:02:50.000]  or how to apply cosmetics but not how to understand
[00:02:50.000 --> 00:02:53.000]  little black boxes with modems hooked up to them
[00:02:53.000 --> 00:02:55.000]  with the Pentagon involved sneaking around
[00:02:55.000 --> 00:02:58.000]  with election companies tied to major political parties
[00:02:58.000 --> 00:03:02.000]  and we have a county clerk here in Austin who has been caught engaged in election fraud
[00:03:02.000 --> 00:03:04.000]  I don't just say that, it was in the newspaper
[00:03:04.000 --> 00:03:07.000]  she got caught and the state board said well it was an accident
[00:03:07.000 --> 00:03:10.000]  falsifying safety seals, breaking safety seals
[00:03:10.000 --> 00:03:12.000]  double counting ballot boxes
[00:03:12.000 --> 00:03:15.000]  and she's all for the wonderful touch screens we've got
[00:03:15.000 --> 00:03:19.000]  so we go from bad to worse with the bubble punch outs to this
[00:03:19.000 --> 00:03:21.000]  so that's coming up in a few minutes with Bev Harris
[00:03:21.000 --> 00:03:23.000]  she's got a new bombshell to drop on you
[00:03:23.000 --> 00:03:26.000]  her news service blackboxvoting.com
[00:03:26.000 --> 00:03:28.000]  just folks I've researched this
[00:03:28.000 --> 00:03:32.000]  she is spot on really key info
[00:03:32.000 --> 00:03:34.000]  so that's coming up in about two minutes
[00:03:34.000 --> 00:03:36.000]  before we do that
[00:03:36.000 --> 00:03:38.000]  and then we'll get into political assassinations
[00:03:38.000 --> 00:03:42.000]  and Ron Paul exposing the Republicans as neocons
[00:03:42.000 --> 00:03:45.000]  and is trying to destroy the republic
[00:03:45.000 --> 00:03:48.000]  that's coming up in the third hour
[00:03:48.000 --> 00:03:50.000]  or the middle of the second hour into the third hour
[00:03:50.000 --> 00:03:52.000]  but before I do that
[00:03:52.000 --> 00:03:54.000]  please get my videos
[00:03:54.000 --> 00:03:56.000]  they're waking people up
[00:03:56.000 --> 00:03:59.000]  they're one of the best tools we've found to wake America up
[00:03:59.000 --> 00:04:02.000]  we have America Destroyed by Design
[00:04:02.000 --> 00:04:05.000]  Police State 2000, Police State 2 The Takeover
[00:04:05.000 --> 00:04:08.000]  Police State 3 Total Enslavement is my newest film
[00:04:08.000 --> 00:04:10.000]  just came out
[00:04:10.000 --> 00:04:13.000]  and 9-1-1 the road to tyranny frankly my best film
[00:04:13.000 --> 00:04:16.000]  detailing how the globalists carried out September 11th
[00:04:16.000 --> 00:04:19.000]  to usher in this police state
[00:04:19.000 --> 00:04:22.000]  and it goes through the evidence that is irrefutable
[00:04:22.000 --> 00:04:25.000]  no rationally minded person can watch the video
[00:04:25.000 --> 00:04:27.000]  and check out these documents
[00:04:27.000 --> 00:04:31.000]  and come away from the facts with any other conclusion
[00:04:31.000 --> 00:04:34.000]  but that operation Northwood
[00:04:34.000 --> 00:04:37.000]  the official government plan to carry out 9-1-1
