[00:00:07.858 --> 00:00:11.340]  The Alex Jones Show.
[00:00:11.340 --> 00:00:16.123]  Because there is a war on for your mind.
[00:00:16.123 --> 00:00:18.345]  There is a war on for your mind.
[00:00:18.345 --> 00:00:20.586]  On this Christmas Eve worldwide broadcast.
[00:00:30.885 --> 00:00:39.053]  And that's why they want to bring down the basic icons of Christmas, which is even bigger than, quote, Christianity.
[00:00:39.053 --> 00:00:47.581]  And by that I mean not more important, or not truly overshadowing Christ, but politically and socially, it is.
[00:00:47.581 --> 00:00:52.465]  When John Lennon said we're bigger than Jesus, it was an arrogant statement he later apologized for.
[00:00:53.607 --> 00:01:05.956]  As he tried to lose his ego and come back down to earth and speak out against those that wanted to reduce world population as fascist because he'd been led into the higher levels of the New World Order and rejected it.
[00:01:07.026 --> 00:01:13.527]  My point is, is that in the secular world, Christmas is bigger than just Christianity.
[00:01:13.527 --> 00:01:26.010]  But because it has its roots in Christianity and the birth of baby Jesus 2,000 plus years ago, in Israel today, the system wants to censor it and shut it down.
[00:01:26.010 --> 00:01:30.451]  Because if they can do that, they can get away with anything.
[00:01:31.587 --> 00:01:41.557]  If they can feed us superbug bacteria-infected chicken and have the federal government certify it, that's the Reuters headline, then they can get away with anything.
[00:01:41.557 --> 00:01:47.883]  If they can give us flu via the flu shots and put sodium fluoride to brain damages in the water, the sky's the limit.
[00:01:47.883 --> 00:01:55.811]  Why, they can pass Obamacare, written to double and triple and quadruple your rates, written to cut the quality of care, written to set up death panels, all on record!
[00:01:56.451 --> 00:02:12.739]  And they denied it, knowing their idiot constituents, like lambs to the slaughter, would not go research the information, knowing that they would instead simply go along with it until it was too late.
[00:02:12.739 --> 00:02:24.265]  And then even after they found that it was a screw job, they would just submit to it and the system, the war machine, the deindustrialization machine, the consolidation machine, would simply roll forward.
[00:02:25.455 --> 00:02:37.797]  Well, the good news is humanity is awakening and you're listening to an original worldwide transmission on the 24th day of December 2013.
[00:02:37.797 --> 00:02:46.339]  And I'll be popping in throughout the transmission with original recording that I made on what?
[00:02:46.339 --> 00:02:49.959]  Friday the 20th day of December 2013.
[00:02:49.959 --> 00:02:53.600]  So even though this fresh original recording for you
[00:02:54.580 --> 00:02:59.885]  The great people that would tune in on Christmas Eve, uh, is not live.
[00:02:59.885 --> 00:03:02.046]  What is live?
[00:03:02.046 --> 00:03:06.810]  Most of my broadcasts are live, but soon it'll be 2014, then 2015, then 2027, and then 2058, and then 2198, and then 2274, and then 2020.
[00:03:18.346 --> 00:03:22.409]  23, and then on and on until it's the year 3000, 5000, 10,000.
[00:03:22.409 --> 00:03:25.412]  If humanity survives and moves forward.
[00:03:25.412 --> 00:03:27.314]  Because time really is relative, isn't it?
[00:03:27.314 --> 00:03:29.956]  We're all basically in the past, the present, and the future.
[00:03:29.956 --> 00:03:33.139]  We're all part of creation, all part of reality.
[00:03:33.139 --> 00:03:36.902]  And it's important to remember the universe and the individual mind.
[00:03:37.643 --> 00:03:50.392]  Is bigger than all the bureaucrats and all the sandcastles they build that will crumble into the sea eventually, to quote the great Jimi Hendrix, the great poet Jimi Hendrix.
[00:03:50.392 --> 00:03:55.055]  And off in the distance, the Wildcats were approaching.
[00:03:55.055 --> 00:03:56.857]  And they heard the Wildcats howl.
[00:03:58.021 --> 00:04:03.484]  Because the writers were approaching to paraphrase and butcher Jimi Hendrix.
[00:04:03.484 --> 00:04:09.086]  Because it is teleprompter, talking point, free radio, TV, ladies and gentlemen.
[00:04:09.086 --> 00:04:21.212]  All right, when we come back, we are going to have an original premiere here of InfoWars review of It's a Wonderful Life with Jimi Stewart.
[00:04:22.165 --> 00:04:23.987]  With our own David Knight!
[00:04:23.987 --> 00:04:26.929]  So, that is coming up, and then... Oh, I forgot it!
[00:04:26.929 --> 00:04:38.779]  Will you guys bring me my print-off of the text of... It was the night before Christmas, when all through the house, not a creature was stirring, not even a genetically engineered mouse.
[00:04:39.850 --> 00:04:42.573]  So that is coming up as well.
[00:04:42.573 --> 00:04:46.696]  And then we've got some big interviews the last month or so that we're going to be re-airing as well.
[00:04:46.696 --> 00:04:49.799]  I want to commend the great crew for coming in to get all this done as well.
[00:04:49.799 --> 00:04:53.022]  And of course you, the listeners, spending time with us on Christmas.
[00:04:53.022 --> 00:04:55.144]  Merry Christmas to all of you.
[00:05:02.051 --> 00:05:11.136]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[00:05:11.136 --> 00:05:19.540]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:05:19.540 --> 00:05:24.423]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:05:24.423 --> 00:05:30.566]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowars Live
[00:05:30.606 --> 00:05:31.247]  I don't think so.
[00:05:49.890 --> 00:05:53.272]  Available in original or with our immune support infusion blend.
[00:05:53.272 --> 00:05:55.153]  You will be supporting a free press.
[00:05:55.153 --> 00:05:59.576]  All the while enjoying a truly great tasting cup of my favorite coffee.
[00:05:59.576 --> 00:06:01.997]  Available at Infowarslife.com.
[00:06:01.997 --> 00:06:08.881]  In the last 50 years, iodine has been phased out of our staple foods and replaced with the halogen bromine.
[00:06:08.881 --> 00:06:12.683]  A practice now banned in nations around the world.
[00:06:12.683 --> 00:06:14.544]  Guess what else is in the halogen family?
[00:06:14.744 --> 00:06:15.624]  Fluoride.
[00:06:15.624 --> 00:06:17.545]  Ladies and gentlemen, Alex Jones here.
[00:06:17.545 --> 00:06:24.108]  In 1924, the federal government did the right thing and encouraged salt producers to add iodine.
[00:06:24.108 --> 00:06:27.070]  It's the good halogen on the periodic table.
[00:06:27.070 --> 00:06:29.051]  And the results are on record.
[00:06:29.051 --> 00:06:35.354]  Reports documented a 15-point IQ increase in areas that had previously been deficient in iodine.
[00:06:35.354 --> 00:06:37.775]  Bottom line, iodine is important.
[00:06:37.775 --> 00:06:40.716]  Unbound, clean, in a glycerin base.
[00:06:40.716 --> 00:06:44.078]  Nascent iodine was the answer for myself and my family.
[00:06:44.218 --> 00:06:49.645]  You will find Survival Shield Nascent Iodine exclusively at InfoWarsLife.com.
[00:06:49.645 --> 00:06:54.752]  InfoWars Life Survival Shield Nascent Iodine isn't just for emergencies.
[00:06:54.752 --> 00:06:55.953]  I take it every day.
[00:06:55.953 --> 00:06:58.817]  That's InfoWarsLife.com or call toll free 888-253-3139.
[00:07:01.901 --> 00:07:03.802]  Introducing Pro-1.
[00:07:03.802 --> 00:07:07.442]  All of your filtration in one system, portable, on-the-go.
[00:07:07.442 --> 00:07:12.004]  No more do you have two or three filters to just reduce sodium fluoride.
[00:07:12.004 --> 00:07:18.085]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:07:18.085 --> 00:07:28.868]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals all in one filter element.
[00:07:29.088 --> 00:07:31.949]  It is the only one that does it, and out of the gates!
[00:07:31.949 --> 00:07:35.570]  We have it discounted at 10% off with promo code WATER.
[00:07:35.570 --> 00:07:50.295]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands,
[00:07:50.475 --> 00:07:51.275]  This is thought crime.
[00:07:51.275 --> 00:07:53.137]  He aligns himself with the truth.
[00:07:53.137 --> 00:07:55.418]  And it's time for you to choose a side.
[00:07:55.418 --> 00:07:56.358]  That's illegal.
[00:07:56.358 --> 00:07:57.399]  You're listening to Alex Jones.
[00:08:21.346 --> 00:08:26.147]  The government is God.
[00:08:26.147 --> 00:08:33.329]  The state and the bureaucrats that run it are king.
[00:08:33.329 --> 00:08:35.329]  Christ?
[00:08:35.329 --> 00:08:36.409]  Call the FCC!
[00:08:36.409 --> 00:08:44.371]  You're not allowed to speak nasty, dirty words that sting in the ears of our beloved Lord and Savior, Satan.
[00:08:45.922 --> 00:08:54.746]  Pull down the Christmas trees, destroy the churches, and Al Qaeda spread throughout the world, not just Syria, and take on our enemies.
[00:08:54.746 --> 00:09:00.129]  This satanic broadcast brought to you by Barack H. Obama and trendy loving liberalness.
[00:09:01.690 --> 00:09:11.159]  No, ladies and gentlemen, it's actually brought to you by the Infowar, and only a satanic, pig-like government would try to restrict free speech and attack Christianity.
[00:09:11.159 --> 00:09:15.683]  But why is the system always after Christians?
[00:09:15.683 --> 00:09:18.045]  Why is that happening?
[00:09:18.045 --> 00:09:20.267]  Why is that going on?
[00:09:20.267 --> 00:09:22.910]  It's because the tyrants fear liberty.
[00:09:23.510 --> 00:09:28.334]  And if they can pull down the icons of our culture, they can replace it with anything.
[00:09:28.334 --> 00:09:34.399]  And any conquered people have their religion destroyed and overwritten by the usurpers.
[00:09:34.399 --> 00:09:37.862]  And so we are here speaking out against this today.
[00:09:37.862 --> 00:09:39.784]  Again, it is the night before Christmas.
[00:09:40.484 --> 00:09:43.947]  And I'm going to give you my rendition of the Night Before Christmas, literally unscripted.
[00:09:43.947 --> 00:09:48.551]  I'm just going to read it and then make my little comments on it as we go.
[00:09:48.551 --> 00:09:57.079]  But first, we have a review by the great David Knight of InfoWars Nightly News of It's a Wonderful Life with Jimmy Stewart.
[00:09:57.079 --> 00:10:01.764]  And so he's going to parallel this Christmas time special about the banksters, the gangsters,
[00:10:02.684 --> 00:10:03.184]  A.K.A.
[00:10:03.184 --> 00:10:09.165]  the 100-year anniversary of the Federal Reserve that just passed yesterday and their occupational rule over us.
[00:10:09.165 --> 00:10:15.806]  And then we're going to come back and I will give you my night before Christmas right off the top.
[00:10:15.806 --> 00:10:16.807]  This is going to be original.
[00:10:16.807 --> 00:10:17.967]  You know I do it.
[00:10:17.967 --> 00:10:19.607]  And so that's coming up as well.
[00:10:19.607 --> 00:10:22.568]  Thank you for joining us on this Christmas Eve.
[00:10:22.568 --> 00:10:27.088]  Here is David Knight and his review of the great Christmastime special.
[00:10:27.088 --> 00:10:28.969]  If you haven't seen it, I suggest you watch it.
[00:10:28.969 --> 00:10:30.169]  It's a wonderful life.
[00:10:32.605 --> 00:10:41.391]  Over the last 100 years, the Federal Reserve has created bubbles and burst them, enslaved us with debt, and destroyed our purchasing power through inflation.
[00:10:41.391 --> 00:10:45.133]  Yes, it's been a wonderful lie for the bankers.
[00:10:45.133 --> 00:10:52.838]  There are striking parallels in Frank Capra's It's a Wonderful Life to the lies and tricks that real bankers used to create the Federal Reserve.
[00:10:52.838 --> 00:10:55.880]  Human nature doesn't change, and the greedy elite of 1913 and 2013
[00:10:58.786 --> 00:11:01.990]  Look and act a lot like Potter, the banker in the movie.
[00:11:01.990 --> 00:11:09.039]  And many Americans are left like George Bailey, staring into the abyss as their dreams collapse and they face financial ruin.
[00:11:09.039 --> 00:11:12.643]  Do we live in a country that looks a lot more like Pottersville than Bedford Falls?
[00:11:12.643 --> 00:11:15.827]  What does Frank Capra's film show us about how we got here?
[00:11:16.508 --> 00:11:17.769]  And how we can get out.
[00:11:17.769 --> 00:11:26.193]  When the Federal Reserve was created two days before Christmas, a hundred years ago, it was a culmination of six years of fraud, fear, and manipulation.
[00:11:26.193 --> 00:11:30.635]  I've never really seen one, but that's got all the earmarks of being a run.
[00:11:30.635 --> 00:11:34.618]  The panic of 1907 was used to shape public support for the Fed.
[00:11:34.618 --> 00:11:39.960]  The panic was triggered by rumors that two major banks were about to become insolvent, just as we see in the movie.
[00:11:39.960 --> 00:11:44.143]  George, there is a rumor around town that you closed your doors.
[00:11:44.143 --> 00:11:44.883]  Is that true?
[00:11:45.675 --> 00:11:49.601]  I am going all out to help in this crisis.
[00:11:49.601 --> 00:11:54.808]  I have just guaranteed the bank sufficient funds to meet their needs.
[00:11:54.808 --> 00:11:58.994]  They will close up for a week and then reopen.
[00:11:58.994 --> 00:11:59.855]  Just took over the bank.
[00:12:01.269 --> 00:12:06.690]  I may lose a fortune, but I am willing to guarantee your people, too.
[00:12:06.690 --> 00:12:11.871]  Just tell them to bring their shares over here, and I will pay 50 cents on the dollar.
[00:12:11.871 --> 00:12:14.272]  Boy, you never miss a trick, do you, Potter?
[00:12:14.272 --> 00:12:15.452]  Unfortunately, J.P.
[00:12:15.452 --> 00:12:21.653]  Morgan got away with the deception, and was able to shut down competitors and snapped up assets at fire sale prices.
[00:12:21.653 --> 00:12:24.914]  Now, take during the Depression, for instance.
[00:12:24.914 --> 00:12:28.055]  You and I were the only ones that kept our heads.
[00:12:28.055 --> 00:12:29.395]  You saved the building in loans,
[00:12:30.503 --> 00:12:32.105]  You saved all the rest.
[00:12:32.105 --> 00:12:34.627]  Yes, well, most people say you stole all the rest.
[00:12:34.627 --> 00:12:36.830]  The envious ones say that, George.
[00:12:36.830 --> 00:12:37.951]  The suckers!
[00:12:37.951 --> 00:12:39.172]  Charles Lindbergh Sr.
[00:12:39.172 --> 00:12:47.561]  warned people at the time of the creation of the Federal Reserve that it would not stop boom and bust cycles, but would actually create them in order to benefit its private owners.
[00:12:47.561 --> 00:12:48.662]  Here's what he said.
[00:12:48.662 --> 00:12:53.207]  To cause high prices, all the Federal Reserve Board will do will be to lower the re-discount rate.
[00:12:53.627 --> 00:12:56.952]  Producing an expansion of credit and a rising stock market.
[00:12:56.952 --> 00:13:03.440]  Then when businessmen are adjusted to these conditions, it can check prosperity in mid-career by arbitrarily raising the rate of interest.
[00:13:03.440 --> 00:13:10.870]  It can cause a pendulum of a rising and falling market to swing gently back and forth, or cause violent fluctuations by greater rate variation.
[00:13:11.704 --> 00:13:19.868]  And in either case, it will possess inside information as to the financial conditions and advanced knowledge of the coming change, either up or down.
[00:13:19.868 --> 00:13:27.292]  This is the strangest, most dangerous advantage ever placed in the hands of a special privileged class by any government that ever existed.
[00:13:27.292 --> 00:13:33.835]  The system is private, conducted for the sole purpose of obtaining the greatest possible profits from the use of other people's money.
[00:13:33.835 --> 00:13:38.197]  They know in advance when to create panics to their advantage, and they know when to stop panic.
[00:13:39.079 --> 00:13:44.321]  Inflation and deflation work equally well for them when they control the finance.
[00:13:44.321 --> 00:13:49.584]  As we see in the movie, not all lending institutions have the same motivations.
[00:13:49.584 --> 00:13:52.345]  Now you take this loan here, the Ernie Bishop.
[00:13:53.010 --> 00:13:59.333]  You know, that fellow that sits around all day on his brains in his taxi, you know?
[00:13:59.333 --> 00:14:02.635]  I happen to know the bank turned down this loan.
[00:14:02.635 --> 00:14:08.038]  But he comes here, and we're building him a house worth $5,000!
[00:14:08.038 --> 00:14:08.618]  Why?
[00:14:08.618 --> 00:14:12.500]  Well, I handled that, Mr. Potter.
[00:14:12.500 --> 00:14:15.081]  You have all the papers there, his salary, insurance.
[00:14:15.081 --> 00:14:16.822]  I can personally vouch for his character.
[00:14:16.822 --> 00:14:17.703]  Friend of yours?
[00:14:17.703 --> 00:14:18.023]  Yes, sir.
[00:14:18.780 --> 00:14:19.500]  Uh-huh.
[00:14:19.500 --> 00:14:25.723]  You see, if you shoot pool with some employee here, you can come and borrow money.
[00:14:25.723 --> 00:14:27.404]  What does that get us?
[00:14:27.404 --> 00:14:32.806]  A discontented, lazy rabble instead of a thrifty working class.
[00:14:32.806 --> 00:14:40.249]  As a former FDIC chair said, all too often the large banks use their models and their algorithms, and if you don't fit in their boxes, you don't get the loan.
[00:14:40.809 --> 00:14:46.456]  And Dodd-Frank legislation is tying the hands of small lenders, shutting out buyers, and shutting down lenders.
[00:14:46.456 --> 00:14:50.621]  Today, there are fewer lenders than at any time the government has kept records.
[00:14:50.621 --> 00:14:52.963]  10,000 banks disappeared between 1984 and 2011.
[00:14:52.963 --> 00:15:00.392]  This town needs this measly one-horse institution, if only to have some place where people can come without crawling the potter.
[00:15:02.290 --> 00:15:09.014]  In the movie, George gets to see what happens to the small town if Potter didn't have competition from credit unions and smaller lenders.
[00:15:09.014 --> 00:15:13.056]  If it hadn't been for you... Yeah, if it hadn't been for me, everybody would be a lot better off.
[00:15:13.056 --> 00:15:18.459]  My wife and my kids and my friends... Look, little fella, why don't you go off and haunt somebody else?
[00:15:18.459 --> 00:15:23.282]  Yeah, so you still think killing yourself would make everyone feel happier, eh?
[00:15:23.282 --> 00:15:25.603]  Oh, I don't know.
[00:15:25.603 --> 00:15:26.424]  I guess you're right.
[00:15:28.826 --> 00:15:31.427]  It's both been better if I'd never been born at all.
[00:15:31.427 --> 00:15:34.569]  The only businesses thriving are vice.
[00:15:34.569 --> 00:15:35.769]  People are angry.
