[00:00.000 --> 00:04.740]  Gavin McInnes is back with his all-new online network, FreeSpeech.tv.
[00:04.740 --> 00:10.240]  Gavin McInnes, Joe Biggs, Miley Unopolis, and Sof, all at FreeSpeech.tv.
[00:10.240 --> 00:18.240]  Waging war on corruption, it's Alex Jones.
[00:22.240 --> 00:26.740]  Alright, welcome to the Alex Jones show. Mike Adams filling in for Alex today.
[00:26.740 --> 00:29.740]  We've got a bombshell show. I mean, that's an understatement.
[00:29.740 --> 00:35.740]  Everything is at stake right now. The deep state attack on America has reached a new crescendo.
[00:35.740 --> 00:38.740]  All the chips are on the table. Everything is at stake.
[00:38.740 --> 00:46.740]  And importantly, this is what's coming up here today, InfoWars has decoded the deep state coup to some extent here.
[00:46.740 --> 00:55.740]  InfoWars knows the identity of the second, quote, whistleblower, who of course was the source for the first, quote, whistleblower.
[00:55.740 --> 01:01.740]  And as I said, I don't know, 10 days ago or so, there is no first whistleblower. The whole thing is a farce.
[01:01.740 --> 01:08.740]  And now this second, quote, whistleblower is being called a testify. So it's really one person pretending to be three people.
[01:08.740 --> 01:16.740]  We're going to cover that in much more detail today as we embark on this extraordinary show.
[01:16.740 --> 01:23.740]  I'm going to bring in some things here today. In fact, I'm going to ask you to call your friends, tell them to tune in.
[01:23.740 --> 01:27.740]  I have an emergency message for President Trump at the bottom of this hour.
[01:27.740 --> 01:32.740]  Alex Jones has a special report in about 45 minutes or so from now.
[01:32.740 --> 01:41.740]  And in the second hour, we're being joined by a special guest who is an expert in preparedness for civil war activities, an expert in strategy,
[01:41.740 --> 01:51.740]  someone who has a tremendous amount of experience in surviving and being prepared and understanding what happens when countries shift into chaos,
[01:51.740 --> 01:56.740]  which is exactly the goal of this deep state coup. They want America to fall into chaos.
[01:56.740 --> 02:05.740]  They want to push Trump to where he has no choice but to declare or invoke the Insurrection Act, possibly declare martial law.
[02:05.740 --> 02:14.740]  And then they will say that he's a dictator, but they're pushing him toward it because they, the radical left in the deep state, they abide by no laws whatsoever.
[02:14.740 --> 02:22.740]  We're going to start off with a clip, the most powerful and tear-jerking words ever spoken by President Trump from Band.Video.
[02:22.740 --> 02:25.740]  Go ahead and roll that clip. Watch. This is amazing.
[02:25.740 --> 02:32.740]  I have to sign letters. It's the hardest thing I have to do. I signed letters.
[02:32.740 --> 02:39.740]  Dear Mr. and Mrs. Smith from Arkansas. Dear Mr. and Mrs. Jones from Alabama.
[02:39.740 --> 02:50.740]  Dear Mr. and Mrs. Somebody from some great state. I'm sorry to inform you. Your son has been killed in combat. I'm so sorry.
[02:50.740 --> 02:57.740]  It's the hardest thing that I have to do. And I signed those letters and it just, it breaks your heart.
[02:57.740 --> 03:04.740]  And sometimes I go out to a place, Dover Air Force Base. It's a very tough experience.
[03:04.740 --> 03:12.740]  We go out there and we meet the parents and the families, the wives, the children, the sisters, the brothers.
[03:12.740 --> 03:22.740]  We meet them and we talk to them. These things are just impossible. I don't know how parents can do it even.
[03:22.740 --> 03:27.740]  And I'll be talking to some of the parents and they'll act like they're fine.
[03:27.740 --> 03:32.740]  I said, how are you doing? We're fine, sir. We're fine. We're really good.
[03:32.740 --> 03:37.740]  I said, that's great. And I'll tell the colonel, I said, Colonel, I think they're doing great.
[03:37.740 --> 03:43.740]  No, sir. They're not going to do great. You'll see. And I didn't know what he was talking about. This is the first time.
[03:43.740 --> 03:53.740]  And then we went outside to the runway and this incredible machine is flying in and it lands and it comes over and it pulls up.
[03:53.740 --> 04:00.740]  That door opens up. And the colonel told me, he said, sir, when that door opens up,
[04:00.740 --> 04:06.740]  those same people that you think are okay, do things that you'll never see.
[04:06.740 --> 04:09.740]  You will hear sounds like you've never heard. That's what he does.
[04:09.740 --> 04:15.740]  And I saw that door open up with a coffin, with a flag over it.
[04:15.740 --> 04:25.740]  And these beautiful soldiers, five or six on each side, lifting the coffin and walking down the runway, the plank, they call it,
[04:25.740 --> 04:36.740]  off this cargo plane. And I see parents make sounds, scream and cry like you've never seen before.
[04:36.740 --> 04:47.740]  A mother who was fine 20 minutes ago, you think, breaking the military line and jumping off and then jumping onto a coffin of her son or her daughter.
[04:47.740 --> 04:53.740]  Jumping on, on top of the flowers, on top of the American flag. I've seen this.
[04:53.740 --> 04:59.740]  We were supposed to be in Syria for 30 days. We've now been there for 10 years.
[04:59.740 --> 05:07.740]  We were supposed to be in Afghanistan for a short period of time. We're now going to be there for close to 19 years.
[05:07.740 --> 05:09.740]  It's time to bring them home.
[05:09.740 --> 05:14.740]  Do you feel that my style is wrong or my substance is wrong, trying to fact check the present?
[05:14.740 --> 05:26.740]  An receptive, humpy, dumpty troll known as Brian Stelter and his little weasel minion, Oliver Darcy, have made it their life's mission to take patriots off the air into censor us.
[05:26.740 --> 05:30.740]  And of course, he famously settled on many others that Trump is the Info Wars president.
[05:30.740 --> 05:37.740]  President Trump's furious reaction to Facebook's action showcases that he is, I'm sorry to say, the Info Wars president.
[05:37.740 --> 05:47.740]  And you know what? It's true. Our audience of activists, our guests, our crew and my drive and your drive has brought Trump to the White House and other nationalists to power around the world.
[05:47.740 --> 05:53.740]  And now Trump's openly coming out declaring war on these globalist tyrants and their unelected anti-human tyrannies.
[05:53.740 --> 05:58.740]  So this is a day of great victory and I salute you all, but now I'm the thick of the fight.
[05:58.740 --> 06:06.740]  So infowarstore.com for products you need, massive sales now so we can continue on to the future and give these bastards one hell of a fight right until the end.
[06:06.740 --> 06:08.740]  Until the end, until we've defeated them.
[06:36.740 --> 06:44.740]  This is Mike Adams here filling in for Alex Jones today. Thank you for joining us on the Sunday, October 13, 2019.
[06:44.740 --> 07:04.740]  Today is a day that it has come to our awareness, all of us across America, that there is a deep state coup, an illegal unconstitutional collusion attempt being carried out against our president and our republic to nullify the election of 2016 to override the will of the people
[07:04.740 --> 07:14.740]  and to permanently install a deep state intelligence overlord system from which none of us will ever escape with our freedom intact.
[07:14.740 --> 07:22.740]  The deep state now demands absolute authoritarian control over everything, over our elections, over our speech.
[07:22.740 --> 07:26.740]  The deep state dictates the terms of the tech giants.
[07:26.740 --> 07:43.740]  They control our schools and the messaging that's taught in our schools, they control our media, they determine what is broadcast on CNN and elsewhere, and they now control all quote facts, even though their facts are hoaxes.
[07:43.740 --> 07:57.740]  And in today's broadcast here on infowars.com, we're going to be exposing the identity of the so-called second whistleblower, why this is a bombshell that you will only find exclusively here on infowars.com.
[07:57.740 --> 08:09.740]  You don't want to go anywhere. Today's broadcast is a game changer, and it shows why the independent media, especially here at infowars.com, but there are many others as well, the independent media is the real media in America.
[08:09.740 --> 08:16.740]  We are the real press. We are the real journalists. We are telling the real story about what's happening in our nation.
[08:16.740 --> 08:29.740]  And we need your support and your help to continue to fight this fight for freedom and our republic, our president, our constitution, and for history to tell the truth about what's really happening right now.
[08:29.740 --> 08:39.740]  Now, before I get into all that, I'm going to just blaze through some of the big headlines that have broken over the last two days that you need to know about.
[08:39.740 --> 08:48.740]  I mean, there are so many, it's hard to know where to begin, but let's just start right here. Hunter Biden stepping down from the Chinese firm following Trump criticism.
[08:48.740 --> 08:58.740]  Now, I thought it was a conspiracy theory, according to Democrats, that Hunter Biden was receiving money from sitting on boards of companies involved in China or Ukraine.
[08:58.740 --> 09:05.740]  I thought that was a conspiracy theory. So I guess Hunter Biden is stepping down from a conspiracy theory. That should be the new headline.
[09:05.740 --> 09:09.740]  Hunter Biden steps down from conspiracy theory, according to Democrats.
[09:09.740 --> 09:13.740]  Here's another headline that you don't want to miss from waking times.
[09:13.740 --> 09:23.740]  Guard of silver vaccine found to increase cervical cancer risk by 44.6% in women who are already exposed to HPV, which is most women.
[09:23.740 --> 09:34.740]  So there you go. The guard of silver vaccine causing cancer or increasing the risk of cancer in potentially millions of young women every year.
[09:34.740 --> 09:38.740]  Here's a story you won't find reported almost anywhere in the mainstream media.
[09:38.740 --> 09:41.740]  Judicial Watch announced this a couple of days ago.
[09:41.740 --> 09:46.740]  Trump reads major U.S. container port of Chinese communist control.
[09:46.740 --> 09:53.740]  Turns out the communist China had signed a lease agreement, a multi-decade lease agreement with Barack Obama.
[09:53.740 --> 10:01.740]  I think that was back in 2012. It was a 40-year lease agreement because, of course, Obama was selling out America to the Chinese.
[10:01.740 --> 10:08.740]  Oh, big surprise, right? Well, Trump has nixed that deal and is kicking them out of the Long Beach port.
[10:08.740 --> 10:16.740]  And that port, of course, is a strategic port for controlling California and access to California.
[10:16.740 --> 10:22.740]  It could even theoretically be a beachhead in an invasion of the United States through that port.
[10:22.740 --> 10:29.740]  Well, Trump is on to these people, these traitors like Governor Newsom of California and these communists.
[10:29.740 --> 10:41.740]  And what is it now today where it seems like every corporation, every organization in America is celebrating communist China while trashing America?
[10:41.740 --> 10:46.740]  What is it with the NBA? Suddenly, they just love China so much.
[10:46.740 --> 10:55.740]  I mean, what's next? I wrote a story that said, are they going to now have official NBA basketballs made out of surplus harvested organs?
[10:55.740 --> 11:02.740]  Because that seems to be what the NBA believes in now, and the NFL hates America as well. ESPN hates America.
[11:02.740 --> 11:09.740]  What is it? Why are we supporting these organizations who are supporting communist China?
[11:09.740 --> 11:15.740]  Why are people at home right now watching the NFL or the NBA, perhaps recordings?
[11:15.740 --> 11:19.740]  Why are they supporting these organizations that don't even support America? It's insane.
[11:19.740 --> 11:27.740]  Moving on with today's news. California Governor signs law forcing colleges to offer students abortion pills.
[11:27.740 --> 11:32.740]  This is from LifeSite News. You have to have abortion pills on campus now.
[11:32.740 --> 11:39.740]  This is the law under the state of California. This tyranny, this child murdering tyranny.
[11:39.740 --> 11:43.740]  Oh, and wait, there's something else out of California too. This is also from LifeSite.
