whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
whisper_model_load: n_audio_ctx   = 1500
whisper_model_load: n_audio_state = 1280
whisper_model_load: n_audio_head  = 20
whisper_model_load: n_audio_layer = 32
whisper_model_load: n_text_ctx    = 448
whisper_model_load: n_text_state  = 1280
whisper_model_load: n_text_head   = 20
whisper_model_load: n_text_layer  = 32
whisper_model_load: n_mels        = 80
whisper_model_load: f16           = 1
whisper_model_load: type          = 5
whisper_model_load: adding 1608 extra tokens
whisper_model_load: mem_required  = 4712.00 MB
whisper_model_load: ggml ctx size = 2950.97 MB
whisper_model_load: memory size   =  304.38 MB
whisper_model_load: model size    = 2950.66 MB

system_info: n_threads = 6 / 16 | AVX = 1 | AVX2 = 1 | AVX512 = 0 | NEON = 0 | F16C = 1 | FP16_VA = 0 | WASM_SIMD = 0 | BLAS = 0 | 

main: processing 'wav/20131231_Tue_Alex.wav' (203776000 samples, 12736.0 sec), 6 threads, 1 processors, lang = en, task = transcribe, timestamps = 1 ...


[00:00:00.000 --> 00:00:04.760]   water filters and accessories. But did you know the Berkey's have had independent
[00:00:04.760 --> 00:00:08.920]   lab tests done to prove just how effective they are? It's true and he can
[00:00:08.920 --> 00:00:14.140]   email you the test results. Just visit goberkey.com. You may also know that the
[00:00:14.140 --> 00:00:18.360]   Berkey guy has helped tens of thousands of people get better prepared. Now here's
[00:00:18.360 --> 00:00:23.680]   something you may not know. Goberkey.com has amazing specials and deals all the
[00:00:23.680 --> 00:00:28.240]   time on a wide variety of survival and preparedness products. Most ready to ship
[00:00:28.240 --> 00:00:33.160]   same day. Visit the Berkey guy at goberkey.com and be sure to click the
[00:00:33.160 --> 00:00:40.520]   red products on sale now button. You can always call toll-free 877-886-3653.
[00:00:40.520 --> 00:00:49.840]   Again that's 877-886-3653. Goberkey.com, home of a Berkey guy.
[00:00:49.840 --> 00:00:53.760]   American gardeners and fellow Patriots make the right choice with your money,
[00:00:53.760 --> 00:00:58.120]   time, and your family food supply. Choose 100% pure heirloom seeds in the
[00:00:58.120 --> 00:01:02.560]   survival seed vault from mypatriotsupply.com. Why spend more? The survival
[00:01:02.560 --> 00:01:07.560]   seed vault from mypatriotsupply.com is only $37.95 and includes 20 varieties of
[00:01:07.560 --> 00:01:13.360]   pure, hardy, easy to grow heirloom seeds. Yes, only $37.95. That's 70% less than our
[00:01:13.360 --> 00:01:17.320]   competitors. You could buy three survival seed vaults for less than one of theirs.
[00:01:17.320 --> 00:01:21.240]   The survival seed vault from mypatriotsupply.com includes detailed
[00:01:21.240 --> 00:01:25.400]   planting and seed saving instructions and ships same day. Plus all orders over
[00:01:25.400 --> 00:01:30.680]   $49 ship free. mypatriotsupply.com is American owned by Patriots like you.
[00:01:30.680 --> 00:01:36.680]   Passionate about freedom and preparedness. Call now 866-229-0927.
[00:01:36.680 --> 00:01:42.560]   That's 866-229-0927 or discover more emergency preparedness items when you
[00:01:42.560 --> 00:01:47.240]   order at mypatriotsupply.com. Choose the original. Choose the survival seed
[00:01:47.240 --> 00:01:51.560]   vault at mypatriotsupply.com.
