[00:00:13.612 --> 00:00:15.535]  We're live!
[00:00:15.535 --> 00:00:20.501]  Saturday, February 19, 2022, on the verge of thermonuclear war.
[00:00:20.501 --> 00:00:21.482]  Called by the two and now!
[00:00:26.707 --> 00:00:34.570]  The bottom line on nuclear weapons is that when the president gives the order, it must be followed.
[00:00:34.570 --> 00:00:42.492]  There's about four minutes between the order being given and the people responsible for launching nuclear weapons to do so.
[00:00:42.492 --> 00:00:44.593]  As president, I will make it clear.
[00:00:45.473 --> 00:00:50.778]  That the United States will treat cyber attacks just like any other attack.
[00:00:50.778 --> 00:00:56.204]  We will be ready with serious political, economic, and military responses.
[00:00:56.204 --> 00:00:59.747]  They're voting for peace on planet Earth if they vote for Trump.
[00:00:59.747 --> 00:01:02.610]  But if they vote for Hillary, it's war.
[00:01:02.610 --> 00:01:05.173]  We came, we saw, he died.
[00:01:07.575 --> 00:01:09.938]  With her, you'll end up in World War III.
[00:01:09.938 --> 00:01:13.623]  I want the Iranians to know that if I'm the president, we will attack Iran.
[00:01:13.623 --> 00:01:21.494]  Right now, Senator, for us to control all of the airspace in Syria would require us to go to war against Syria and Russia.
[00:01:23.442 --> 00:01:23.942]  The U.S.
[00:01:23.942 --> 00:01:27.924]  military has just raised the threat level to DEFCON 2.
[00:01:27.924 --> 00:01:35.907]  Meanwhile, Hillary Clinton is still threatening Russia with military action, following unconfirmed reports of further hacking.
[00:01:35.907 --> 00:01:38.268]  It's like she's not even concerned about the repercussions.
[00:01:38.268 --> 00:01:42.970]  Of course not, because she's... Hang on guys, look, there's a really loud noise.
[00:01:42.970 --> 00:01:47.012]  Alright, looks like we're having a little bit of technical difficulties.
[00:01:47.012 --> 00:01:49.213]  We'll try to get Leanne back on in a few minutes.
[00:01:53.095 --> 00:01:57.478]  When the President gives the order, it must be followed.
[00:02:24.369 --> 00:02:32.164]  There are millions now waking up to the fact that they have been used in some sort of nefarious scientific experiment.
[00:02:32.164 --> 00:02:35.851]  And many are suffering serious physical side effects as a result.
[00:02:36.823 --> 00:02:50.109]  We can clearly see in the evidence presented by Dr. Yeadon's crew at HowBadIsMyBatch.com that different batches of the same vaccine are being deployed and monitored on a set schedule.
[00:02:50.109 --> 00:02:55.912]  And studies from New Zealand and Spain have shown that there is cutting-edge nanotech in the Pfizer vaccine.
[00:02:56.932 --> 00:02:59.433]  It is a massive human experiment.
[00:02:59.433 --> 00:03:08.417]  It's killing people, injuring people, and destroying people's immune, neurological, cardiovascular, and reproductive systems.
[00:03:08.417 --> 00:03:12.959]  People who trusted their government, and people who trusted the pharmaceutical industry.
[00:03:14.355 --> 00:03:17.936]  Trust is a beautiful thing with someone close.
[00:03:17.936 --> 00:03:20.516]  But not with strangers we see on the television.
[00:03:20.516 --> 00:03:23.817]  And there is never a good reason to trust your government.
[00:03:23.817 --> 00:03:35.300]  When a bloated government's main concern is profit and war, then psychopaths with degrees will be funded to research and develop more efficient ways of killing and controlling people.
[00:03:35.300 --> 00:03:38.861]  This has been going on for a long, long time.
