[00:00.000 --> 00:05.000]  You're listening to the Alex Jones show.
[00:31.000 --> 00:43.000]  Ladies and gentlemen, thank you so much for joining us as we kick off another global transmission on this Monday, the 17th day already of July 2017.
[00:43.000 --> 01:01.000]  Remember this headline from November 5, 2016? Madam President Newsweek printed up hundreds of thousands of Madam Presidents. You can still buy one for like $3 on eBay. Hillary Clinton's historic journey to the White House.
[01:01.000 --> 01:17.000]  Yes, ladies and gentlemen, President Trump really has a 65% approval rating. They claim it's 37% right now. We also have mobs of youth attacking police for no reason. That video is coming up today. It's all key intel.
[01:17.000 --> 01:35.000]  But first, remembering Dr. Michael Kaufman, who I just learned last night, died a month ago. A great patriot who first exposed Jenna 21. Without him, right now, we would be up the creek without a paddle. But because of his key seminal work, the sleeping giant is awake.
[01:35.000 --> 01:56.000]  Basically, back in the early 1990s, I was leading a multi-million dollar research effort on global warming, contacting and working with scientists all over the world. And it became pretty obvious to me that by 1992, actually in the early 1990s, that man probably wasn't causing global warming.
[01:56.000 --> 02:10.000]  We have now overwhelming evidence that man is not causing global warming. And that's why I think they're ramping up this hype and scare story that Hurricane Sandy was caused by global warming and so forth.
[02:11.000 --> 02:20.000]  But nonetheless, at that particular point in time, I was also following what was going on in an organization called the IUC and the International Union for the Conservation of Nature.
[02:20.000 --> 02:29.000]  Now, some of you probably know this because you've heard me before, but most of our international treaties are written by the IUC and the International Union for the Conservation of Nature.
[02:30.000 --> 02:41.000]  The Convention on Biological Diversity was one of those. And at the same time, there was another project called the Wildlands Project, which was basically also coming out of the United Nations.
[02:41.000 --> 02:49.000]  The Wildlands Project called for setting aside 50% of the United States into wilderness, as you suggested just a few minutes ago.
[02:50.000 --> 02:59.000]  And the same people that were writing this particular project, the Wildlands Project, were also writing the Convention on Biological Diversity.
[03:00.000 --> 03:07.000]  And it didn't take a rocket scientist for me to realize that they're one of the same things. And when the treaty finally came out, all the language was there.
[03:07.000 --> 03:11.000]  It was really sanitized. You couldn't really see it. It sounded like motherhood and apple pie.
[03:12.000 --> 03:19.000]  But when the Global Biodiversity Assessment was published, it was actually written by the IUCN and the World Resources Institute.
[03:20.000 --> 03:28.000]  When that was published by the UN, it was basically referred back to the Wildlands Project and named the authors and so forth in doing that.
[03:28.000 --> 03:38.000]  I had been in August of 1994 down to the Senate trying to convince them that this was the Wildlands Project wasn't the heart of the Convention or the treaty.
[03:39.000 --> 03:42.000]  They ignored me because it didn't say anything in the treaty about it.
[03:43.000 --> 03:48.000]  When the Global Biodiversity Assessment came out a month or two later, it was still in draft form.
[03:49.000 --> 03:52.000]  We didn't have the actual copy. That wasn't going to be published until the end of 1994.
[03:52.000 --> 03:59.000]  But we had the draft copy in it specifically said the Wildlands Project. It was a smoking gun.
[04:00.000 --> 04:06.000]  I had been doing actually drawing maps for two years. I don't know why I was drawing them. I just really felt compelled by God to do it.
[04:07.000 --> 04:11.000]  I didn't have any idea why. It was a lot of work, but nonetheless I did.
[04:11.000 --> 04:22.000]  When the draft of the GPA came out, I sent FedEx down to the U.S. Senate along with the map. There was actually a couple of us working on it at the time.
[04:23.000 --> 04:28.000]  That map was blown up into a four by six foot poster taken out of the Senate floor at three o'clock in the afternoon.
[04:29.000 --> 04:35.000]  The closure vote was scheduled for four o'clock on September 29th. It just literally died on the fine.
[04:35.000 --> 04:40.000]  Mitchell, Senator Mitchell, the majority leader at the time just took it right off the exciting calendar. It was never voted on.
[04:41.000 --> 04:46.000]  But that's how close we came to having this actually passed and ratified by the Senate.
[04:47.000 --> 04:56.000]  And as you said, very accurately, it's now the marching orders of the U.S. government and every federal agency through a document called Sustainable America.
[04:57.000 --> 05:03.000]  Hi, folks. We'll be right back. He was the first to discover all this. And again, we are now winning.
[05:03.000 --> 05:05.000]  All right, so let me get this straight.
[05:06.000 --> 05:17.000]  Hillary Clinton, when accused of using her private e-mail server to send out classified information, immediately deleted her e-mails and physically smashed her hard drives.
[05:18.000 --> 05:23.000]  Yet liberal logic says she's innocent and there is no evidence of any wrongdoing.
[05:23.000 --> 05:35.000]  And now Donald Trump Jr. is accused of breaking campaign laws because he had an e-mail exchange and a meeting with a Russian lawyer who claimed to have dirt on Hillary Clinton.
[05:36.000 --> 05:41.000]  Donald Trump Jr. immediately published his e-mails, which showed no wrongdoing.
[05:42.000 --> 05:48.000]  Yet liberal logic says he's guilty. They haven't found the exact law yet, but he's got to be guilty of something, right?
[05:48.000 --> 05:53.000]  After all, he is the son of Donald Trump and there must be a Russian conspiracy.
[05:54.000 --> 06:00.000]  But wait a minute. It turns out that the Russian lawyer has deep state connections to all things anti-Trump.
[06:01.000 --> 06:03.000]  You can learn more right now at Infowars.com.
[06:05.000 --> 06:16.000]  Thousands of years ago, there was a basic form of chivalry. Our ancestors would hear the drums of war, giving the warriors of the tribe a chance to organize and prepare a defense.
[06:16.000 --> 06:25.000]  Sixty years ago, when foreign air forces were approaching filled with bombs, they had drums of their own, air raid sirens.
[06:26.000 --> 06:29.000]  But in the 21st century, there are silent weapons for quiet war.
