[00:00.000 --> 00:02.000]  You
[00:31.000 --> 00:36.260]  If you are receiving this transmission, you are the resistance
[00:47.520 --> 00:52.360]  And thank you for joining us we are live broadcasting worldwide I am your host Alex Jones
[00:52.360 --> 00:55.800]  We're gonna have I'll ensure your coasting from the ATX with us today
[00:55.800 --> 01:02.360]  We have Katie Hopkins from Moscow with some big developments from there joining us the skype and so much more
[01:02.360 --> 01:08.080]  We're obviously gonna be opening the phones up. So all of you have a chance to give your take your view on what's happening in North Korea
[01:08.600 --> 01:11.100]  But here's the final equation
[01:11.960 --> 01:16.760]  Mainstream media is trying to spin this that it's a good thing for communist China that it's a good thing for North Korea
[01:17.560 --> 01:23.800]  The Washington Post is you've got the Democrats apoplectic. We've got compilation videos on info wars comm
[01:23.800 --> 01:26.360]  Just running the whole thing down. Here's what's happening
[01:27.080 --> 01:32.680]  The globalists were using North Korea as a set piece giving it to weapons giving it to missiles, but keeping it in a very very
[01:33.600 --> 01:38.160]  Control collapsed fashion as a set piece to control that whole region
[01:39.000 --> 01:45.360]  If Trump can come in and swoop in like we did 40 years after being enemies with Vietnam and turn it into an American ally
[01:45.360 --> 01:49.680]  It's a giant coup for humanity, especially the people of North Korea
[01:49.680 --> 01:53.480]  Kim Jong-un the third-generation dictator and
[01:54.920 --> 01:57.880]  They have committed unbelievable communist crimes against their people
[01:57.880 --> 02:04.040]  But it was our CIA and 49 to put Mao in it was the leftist of the Ford Foundation. This is all declassified
[02:04.960 --> 02:06.320]  That made
[02:06.320 --> 02:13.200]  MacArthur stand down in 53 and not take out the 3 million Chinese troops that have come in to supplement the millions that have already come in
[02:13.200 --> 02:17.760]  And so this is all been part of a UN action since then 60 plus years ago
[02:17.760 --> 02:22.920]  July 27th, 1953. We do the math 60 plus years ago
[02:22.920 --> 02:31.040]  And so Trump's coming in and saying listen, you're the land between two lands South Korea with the highest GDP for any one nation in the world
[02:32.240 --> 02:36.640]  Per capita with China with this third largest GDP in the world
[02:37.320 --> 02:41.320]  per total numbers or a second because it would be US China and then
[02:41.320 --> 02:48.880]  You know for total GDPs it would then look like something like the EU but for individual nations South Korea has the largest GDP in the world
[02:49.880 --> 02:56.880]  And they've got a 12.3 billion dollar GDP in North Korea and a 1.4 trillion dollar GDP
[02:57.600 --> 02:59.600]  113 times bigger
[02:59.680 --> 03:01.200]  in
[03:01.200 --> 03:03.560]  That's according to the IMF World Bank in
[03:04.280 --> 03:07.800]  South Korea, so they have 113 times bigger. So Trump comes in
[03:07.800 --> 03:14.920]  And he's trying to cut North Korea out from communist China and out from the globalists that have used it for strategic tension
[03:15.560 --> 03:17.560]  Then it's simply saying listen
[03:17.840 --> 03:23.880]  The best way for you to empower your people and let them eat meat and let them have a high calorie diet and for an American
[03:23.880 --> 03:28.000]  You know people make jokes about that most North Koreans have never had meat might have had fish
[03:28.000 --> 03:32.600]  I mean, that's how enslaved they are. That's the true dark ages of communism therein
[03:32.600 --> 03:38.480]  So if if he can go in there and at least create some type of capitalist system with a ruling class
[03:38.480 --> 03:42.520]  That will trickle down the people and be a better system and reform them over time
[03:43.480 --> 03:49.040]  Like we've seen in China but China is still terrible and horrible in the slave factories and kills political dissidents
[03:49.040 --> 03:53.560]  But compared to Mao killing 80 plus million people. They probably only killed most estimates are
[03:53.960 --> 03:57.880]  15 million since Mao was in it's a it's a reform of sorts
[03:57.880 --> 04:03.280]  Well, if you've got hundreds of thousands of people in slave camps millions that have been killed starving death in North Korea
[04:03.920 --> 04:07.760]  The sanctions only work if you crush the regime that still hurts the people
[04:07.760 --> 04:13.080]  But then get them to get off the people's back and then allow liberalization as it's called
[04:13.920 --> 04:19.680]  Economically in these regimes that doesn't mean liberalization as in the liberals turning us into North Korea
[04:20.200 --> 04:24.880]  So Trump is shaking it up. He's got a lot of smart advisors doing this
[04:24.880 --> 04:29.760]  I agree with it. It doesn't mean I like back slapping of Kim Jong-un
[04:30.160 --> 04:34.960]  It doesn't mean I like all the glad-handing, but it shows that Trump understands the Asian
[04:35.600 --> 04:40.200]  System of face as well and they has to do that for their own propaganda North Korea
[04:40.320 --> 04:45.720]  Almost forcing Kim Jong-un to accept the deal of a carpet of gold instead of a carpet of bombs
[04:46.120 --> 04:52.680]  They'll break it all down straight ahead. I'm Alex Jones. History's happening in full wars.com whose wars.com
[04:52.680 --> 04:58.600]  Please be part of the history spread those links jam it down sorrows and he'll respect that sticky disgusting throats
[05:00.320 --> 05:06.800]  Nourish a probiotic friendly environment in your gut with prebiotic fiber by info wars life
[05:07.400 --> 05:15.120]  Help the good bacteria thrive and support overall digestive health with our specially formulated prebiotic fiber
[05:15.120 --> 05:20.000]  a mixture of clinically studied and organic acacia fruit and flax fiber
[05:20.000 --> 05:26.000]  Prebiotic fiber is soluble fiber that ferments in the gut to help feed good bacteria
[05:26.000 --> 05:31.320]  Which helps you digest food absorb nutrients and even support your immune system
[05:31.680 --> 05:38.640]  Info wars life's cutting-edge formula only brings you the highest quality organic and clinically studied ingredients
[05:38.960 --> 05:42.960]  Cheap prebiotic fibers are used up only at the beginning of the colon
[05:42.960 --> 05:48.840]  But our premium organic acacia fiber is slowly digested by the good bacteria
[05:48.840 --> 05:56.360]  Throughout the entire colon for maximum prebiotic effect head to info wars life.com or call
[05:56.760 --> 05:59.160]  1-888-253-3139
[06:01.040 --> 06:06.200]  From the front lines of the information war it's Alex Jones
[06:14.160 --> 06:16.680]  Welcome ladies and gentlemen, thank you so much for joining us
[06:16.680 --> 06:24.560]  Here is President Trump going to shake hands with the North Korean hereditary dictator Kim Gung-un. This is just yesterday
[06:46.680 --> 06:48.680]  All right
[06:59.800 --> 07:06.520]  Again, ladies and gentlemen, it is Tuesday we are broadcasting worldwide ladies and gentlemen, of course, it's really
[07:07.200 --> 07:11.040]  Now Wednesday over in North Korea over in Singapore
[07:11.040 --> 07:14.560]  Let's look at the calculus of what's happened here
[07:15.440 --> 07:17.680]  Trump has said he wants planetary victory
[07:18.480 --> 07:24.960]  He wants free market truly open societies that aren't run by the globalists that aren't anti-human that aren't anti-family
[07:24.960 --> 07:31.040]  That aren't based in an austerity plan to create neo feudalistic fascism in the globalist own terms
[07:32.080 --> 07:34.080]  The ultimate example of neo
[07:35.120 --> 07:36.640]  feudalistic
[07:36.640 --> 07:38.640]  authoritarianism is North Korea
[07:38.640 --> 07:44.320]  Third-generation hereditary dictator the land between South Korea and North Korea and Trump
[07:44.880 --> 07:46.880]  rightfully said look at yourself
[07:47.920 --> 07:49.920]  as the land
[07:50.720 --> 07:52.720]  between these two
[07:52.720 --> 07:57.040]  Giant economic superpowers you have a 12.3 billion dollar
[07:58.000 --> 08:05.520]  Gross domestic product in North Korea, and that's probably puffed up numbers South Korea has a 1.4 trillion
[08:05.520 --> 08:10.960]  GDP that is the largest for that a population that size in the world per capita
[08:10.960 --> 08:14.480]  They have the number one economy in the world the most connected internet-wise
[08:15.280 --> 08:18.080]  highest level test scores you name it South Korea
[08:18.640 --> 08:21.920]  now you have the genetically identical people to the north and
[08:22.880 --> 08:24.880]  geographically almost the same mental and
[08:25.440 --> 08:30.880]  And they can't produce one automobile or tie their shoelaces because that's communism
[08:30.880 --> 08:36.000]  Something with all these kids with skinny jeans and smartphones. They don't want to have a job and they're little you know
[08:36.000 --> 08:39.840]  Sailor outfits and stuff that you know make fun of info wars can hardly talk
[08:39.840 --> 08:43.920]  But they want to live under communism or socialism and they like Bernie Sanders
[08:44.480 --> 08:51.040]  Who likes you know, he likes hundred thousand dollar howdy's a million dollar houses and million dollar vacation
[08:53.040 --> 08:55.040]  Oh
[08:56.560 --> 08:58.560]  But you dirty Americans don't have it
[08:58.560 --> 09:00.560]  So Trump goes in there
[09:02.240 --> 09:03.520]  And
[09:03.520 --> 09:08.720]  He rightfully shows him a video. In fact, I sent that video to you guys if you haven't then we can roll it in the background
[09:09.440 --> 09:13.120]  For him. He just shows them a real estate development video from Miami
[09:14.240 --> 09:17.520]  And how they took real areas a decade ago and built them up
[09:18.240 --> 09:21.600]  Outside Miami and the media said well that wasn't even North Korea. That's Miami
[09:22.080 --> 09:27.680]  The point is is it's how they can develop things very quickly and the fastest thing North Korea can do versus raw material
[09:27.680 --> 09:29.680]  They've already been selling to China and others
[09:30.160 --> 09:32.160]  is and Russia
[09:32.400 --> 09:36.640]  Is become a big tourist attraction open up. They got great beaches. They got great land
[09:37.280 --> 09:42.720]  End all the tyranny and we're you're talking in five years. You could already have six or seven big resorts
[09:43.200 --> 09:48.160]  Building like Cancun did you name it people want to go somewhere new they want to go check out North Korea
[09:48.160 --> 09:50.160]  But wasn't so authoritarian
[09:50.800 --> 09:54.080]  And so that's what Trump's telling him now again. China wants to keep them poor
[09:54.080 --> 10:00.000]  They want to keep North Korea Korea period under their control. China has had more than 20 wars
[10:00.720 --> 10:02.320]  with Korea
[10:02.320 --> 10:10.160]  China absolutely hates Korea Korea has always been nothing but problems for China for 2000 years
[10:11.040 --> 10:14.960]  The Japanese can't stand Korea. They're constantly invading it. So these three groups
[10:15.760 --> 10:17.760]  have always been in war with each other
[10:18.480 --> 10:20.400]  and
[10:20.400 --> 10:23.760]  Trump is going to there and saying look at South Korea. They went with us
[10:24.720 --> 10:27.280]  And they've got a 1.4 trillion dollar economy
[10:28.160 --> 10:33.200]  Their average person makes like 80 thousand dollars a year your average person makes what a couple hundred dollars a year
[10:34.000 --> 10:36.000]  You want to join us?
[10:36.320 --> 10:40.640]  They have the top medicine. They have the top everything you want to go that direction
[10:42.240 --> 10:47.920]  Look at the culture. Look at the music. Look at everything coming out of South Korea. It's it's super successful all over the world
[10:47.920 --> 10:49.360]  Yeah
[10:49.360 --> 10:55.840]  Movies music art literature computers science technology weapons. It's all out of South Korea
[10:56.320 --> 11:00.480]  It's it's rivaling japan. What what happened to you? What happened to you?
[11:01.200 --> 11:03.200]  Well, you've been under communism
[11:03.600 --> 11:10.160]  And so Trump shows them art literature culture shows them a video with cut-ins of north korea
[11:10.560 --> 11:16.400]  Of symphonies and music and industry and and things you know to show them the difference
[11:16.400 --> 11:24.400]  Of what you've been under just like he'd show eastern germans a video if he could a film clip of what you're living under versus what you could do
[11:25.120 --> 11:30.800]  And our sickening evil media when you've got the west and capitalism and freedom of religion and everything
[11:31.200 --> 11:36.400]  Literally reaching a hand out to north korea something our elite since 1949 have not done
[11:37.840 --> 11:43.200]  Our corrupt ford foundation and annemburg foundation and these big globalist foundations since 49
[11:43.200 --> 11:48.880]  put Mao Zedong in power had him invade korea and ordered macArthur to stand down
[11:49.360 --> 11:55.120]  And they use it as a model of un control to practice just like hitler and Stalin had split up poland
[11:56.000 --> 12:01.200]  Or split up other areas of europe before world war two or in the first years of it before the big war kicked off
[12:01.680 --> 12:03.680]  during the the german expansion
[12:05.360 --> 12:10.240]  Russia and and germany would divide countries well the un set it up where it'd be the arbiter
[12:10.240 --> 12:14.560]  Set up by the rockenfellers on record to decide how land would get divided up
[12:14.560 --> 12:20.560]  If you look all over the world the west and russia would divide up land or the west and china would divide up land
[12:21.840 --> 12:27.920]  So that's basically what happened. They tested that whole police action to kill hundreds of thousands of americans three million koreans on both sides
[12:28.640 --> 12:30.640]  Now 60 plus years later
[12:30.720 --> 12:35.120]  To the grandson of the first communist dictator trump is turn it loose
[12:35.120 --> 12:41.040]  We'll have no more drills. We'll pull our military out 80 percent. You've got to cut your military
[12:41.040 --> 12:44.480]  You've got to get rid of all the nukes. We will instantly come in with power stations
[12:44.800 --> 12:49.680]  We'll come in with surre treatment. We will come in and we will start building giant hotels here
[12:50.480 --> 12:54.160]  Next year by next year. We will start building gigantic hotels
[12:54.160 --> 12:59.280]  The south is ready to pour in with hundreds of billions of dollars. We're ready to come in there will be a
[12:59.280 --> 13:06.480]  Gold rush into your country the likes of which you've never seen guaranteed just put down all the communist flags
[13:06.880 --> 13:12.000]  Stop it. Stop starving people to death. So you get to be powerful and lord over them. Stop being devil worshipers
[13:12.560 --> 13:15.360]  I mean, it's that simple put down the red devil flags
[13:16.400 --> 13:17.920]  Just stop it
[13:17.920 --> 13:19.520]  If you'll just do that
[13:19.520 --> 13:24.240]  And you notice they were using their national flag at these events not their communist party flags
[13:24.240 --> 13:26.720]  See they're already starting to remove that a little bit
[13:26.720 --> 13:33.920]  So that's the reality of what trump went in and showed him and and it's the right thing to do because you could leave it
[13:33.920 --> 13:36.160]  Where china gets all the raw materials for nothing
[13:36.640 --> 13:39.120]  China uses it as an absolute slave colony
[13:39.520 --> 13:43.440]  Just like the the chinese uses its own people as slaves the communist chinese see the
[13:43.840 --> 13:50.480]  Poor farmers and and all their people is his dog meat. They see them as absolute food. They see them as absolute garbage
[13:51.280 --> 13:54.800]  They the chinese told the us go ahead and do because we want to get rid of half our population
[13:54.800 --> 13:57.280]  While they sign up with the rocket fillers to reduce their population
[13:57.840 --> 13:59.840]  massively with the one-shot policy and killed
[14:00.480 --> 14:03.520]  500, you know, uh, I mean I mean per town
[14:04.400 --> 14:10.160]  In some areas we're talking about 50 million, uh, you know children little girls nationwide that got killed
[14:10.480 --> 14:16.960]  But we're talking about massive massive massive numbers of people and in mobile execution vans and just this ruthless
[14:17.360 --> 14:19.920]  cold-blooded anti-human perfectly communist
[14:19.920 --> 14:25.920]  Perfectly technocrat attitude of china who really is the villain china owns hollywood china owns our debt
[14:26.160 --> 14:30.400]  China's all over the south china sea china's expanding china's threatening everybody
[14:30.880 --> 14:34.720]  China got the office of personnel management files 21 million from obama
[14:35.920 --> 14:39.360]  China is the dominant force expanding russia is not in our business
[14:40.080 --> 14:43.520]  Russia's trying to stabilize itself the u.s. Is trying to stabilize itself
[14:43.520 --> 14:50.080]  And trump's trying to use our power. He's trying to use that to parlay it into
[14:51.920 --> 14:59.680]  Unifying korea basically with economic power into the next decade into the decade after that having real unification like eastern
[15:00.800 --> 15:02.800]  and western germany and it's within grasp
[15:03.120 --> 15:09.360]  We have people absolutely demonizing that idea and coming after it and saying well
[15:09.360 --> 15:13.520]  You know, this is a terrible thing trump's done if obama could have done one tenth of this they would have given him another
[15:14.000 --> 15:14.960]  Nobel peace prize
[15:14.960 --> 15:21.840]  I don't think trump wants one of these so-called peace prizes because kissinger and algore and people have got them and obama has them
[15:21.840 --> 15:27.040]  It's a albatross around your neck when we come back. We'll play some clips of trumps powerful press conference
[15:27.040 --> 15:32.720]  Oh, and shroyer is going to chime in as well. And we've got katie hobgains from Moscow coming up bottom of the hour
[15:32.960 --> 15:36.880]  But straight ahead trump says I sit look at it for the perspective of real estate
[15:36.880 --> 15:39.920]  between China the second biggest economy in the world south korea
[15:40.480 --> 15:46.640]  Individually the highest GDP in the world. Thank for yourself. Be smart. Get out of the communism
[15:47.280 --> 15:54.320]  Get rid of it and stop enslaving your people. This is the best shot for communist evil to get its boot off the neck of those people
[15:54.320 --> 15:56.320]  And trumps knocks it out of the park again
[15:56.960 --> 16:04.080]  Heart disease is on the rise clogged arteries high blood pressure and high cholesterol levels may not be fully detected by you
[16:04.080 --> 16:08.160]  But the symptoms are there loss of energy blood sugar spikes and drops
[16:08.160 --> 16:13.840]  Poor circulation and irregular heartbeat are just a few of these that can alert you that something is wrong
[16:13.840 --> 16:19.840]  Hear how heart and body extract is making a difference in thousands of people's lives across america
[16:19.840 --> 16:23.760]  My blood pressure has normalized my diabetes has totally improved
