[00:00:00.329 --> 00:00:01.751]  I don't know.
[00:00:12.003 --> 00:00:13.804]  We're good to go.
[00:00:33.277 --> 00:00:34.077]  We're good to go.
[00:00:56.605 --> 00:00:58.126]  Why did you lock me inside?
[00:01:26.528 --> 00:01:28.870]  Do you face the light?
[00:01:28.870 --> 00:01:33.993]  Three, your soul is resonant.
[00:01:33.993 --> 00:01:37.555]  And four, you can't deny.
[00:01:37.555 --> 00:01:39.717]  You've got to win this.
[00:01:39.717 --> 00:01:42.699]  You've got to win this.
[00:01:52.445 --> 00:01:53.545]  We're good to go.
[00:02:34.975 --> 00:02:36.776]  Hello, Austin, Texas!
[00:02:36.776 --> 00:02:41.378]  I'm Alex Jones, and you are watching Exposing Corruption.
[00:02:41.378 --> 00:02:44.620]  Every Tuesday night from 8.30 to 11 p.m.
[00:02:44.620 --> 00:02:46.161]  right here on Channel 10.
[00:02:46.161 --> 00:02:48.642]  But coming up in a couple months, I'll have a new showtime.
[00:02:50.101 --> 00:02:59.586]  And so stay tuned for that, but for the next couple months, we'll be right here on Tuesday nights, live, and I am shimmering this evening.
[00:02:59.586 --> 00:03:02.087]  They tell me not to wear blue, and I still do it.
[00:03:02.087 --> 00:03:04.909]  I guess that's me.
[00:03:04.909 --> 00:03:08.751]  But I want to thank my crew.
[00:03:08.751 --> 00:03:10.892]  I want to thank the Freedom Report.
[00:03:10.892 --> 00:03:12.953]  Mike puts out on Monday evenings from 7 a.m.
[00:03:12.953 --> 00:03:13.573]  to 8 p.m.
[00:03:13.573 --> 00:03:17.995]  And I want to thank everybody across the nation that is standing up.
[00:03:17.995 --> 00:03:19.456]  Now we're going to have a special guest tonight.
[00:03:21.195 --> 00:03:24.238]  Y'all have really grown to enjoy them, and I get a lot of requests for them to come back.
[00:03:24.238 --> 00:03:26.840]  So, even though I disagree with them, they're going to be here.
[00:03:26.840 --> 00:03:29.863]  We're going to have a new guest tonight, though.
[00:03:29.863 --> 00:03:30.884]  We're going to have fun as we've had.
[00:03:30.884 --> 00:03:33.386]  Global Love Cop's going to be here.
[00:03:33.386 --> 00:03:36.089]  Actually, one of his bosses is going to be here.
[00:03:36.089 --> 00:03:39.532]  He's a little more... He's not quite as rambunctious.
[00:03:39.532 --> 00:03:43.776]  He's going to actually stand up and give you a speech about how wonderful the police state's going to be.
[00:03:46.542 --> 00:03:58.472]  Then we're going to have Dr. Anselmo here, but Dr. Anselmo is going to interview, excuse me, Professor Anselmo is going to interview Dr. Flatulence.
[00:03:58.472 --> 00:04:12.203]  So two, a Harvard and a UT professor, are going to be here tonight and they're going to talk to you about a lot of important issues that are important to you and your family's security to make sure that you're safe.
[00:04:13.653 --> 00:04:18.836]  And they're going to talk about firearms, good firearms and bad firearms.
[00:04:18.836 --> 00:04:22.657]  What is a good firearm to the radical egalitarian?
[00:04:29.835 --> 00:04:34.857]  A firearm in the hands of a bureaucrat or federal police force or international police force.
[00:04:34.857 --> 00:04:36.817]  We're going to have President Clinton here for you tonight.
[00:04:36.817 --> 00:04:37.517]  It's some video.
[00:04:37.517 --> 00:04:38.338]  It's kind of bad video.
[00:04:38.338 --> 00:04:40.338]  I'm not sure why.
[00:04:40.338 --> 00:04:43.639]  Looks like the table wasn't hooked up right, but we have Clinton on C-SPAN.
[00:04:43.639 --> 00:04:45.920]  I don't have time to monitor C-SPAN 98% of the time.
[00:04:47.017 --> 00:04:49.639]  Talking about the 80,000 U.N.
[00:04:49.639 --> 00:04:51.200]  drug interdiction forces.
[00:04:51.200 --> 00:04:54.062]  So the drug war is going to get a lot bigger and we'll have U.N.
[00:04:54.062 --> 00:04:58.525]  troops here in our country to keep us safe and make sure Clinton stays in office.
[00:04:58.525 --> 00:05:04.230]  I mean, make sure everything goes good for President Clinton, our loving President.
[00:05:04.230 --> 00:05:06.071]  You remember John Shalekashvili?
[00:05:06.071 --> 00:05:07.732]  He was the last Joint Chief of Staff.
[00:05:07.732 --> 00:05:08.993]  Before him was Colin Powell.
[00:05:08.993 --> 00:05:13.416]  Well, John Shalekashvili is from Poland and his father was a Polish death camp operator.
[00:05:13.416 --> 00:05:14.137]  He was a general.
[00:05:14.992 --> 00:05:15.973]  He worked for the Nazis.
[00:05:15.973 --> 00:05:19.155]  80% of the death camps were in Poland.
[00:05:19.155 --> 00:05:22.777]  And his father was very well known for running the death camps where the Nazis liked it.
[00:05:22.777 --> 00:05:24.418]  He was our Joint Chiefs of Staff.
[00:05:24.418 --> 00:05:27.600]  I'll get into foreign forces inside our country.
[00:05:27.600 --> 00:05:40.588]  Something six months ago I was still laughing at, but I'm getting reports, and Clinton's admitting it, and they're admitting that Chinese troops are training in Alaska, and the Chinese have got Long Beach.
[00:05:40.588 --> 00:05:41.048]  I've been there.
[00:05:41.048 --> 00:05:41.768]  I've shown you that.
[00:05:43.577 --> 00:05:46.539]  It's really starting to get sick.
[00:05:46.539 --> 00:05:51.263]  It looks like... God, this sounds so insane.
[00:05:51.263 --> 00:05:52.343]  It's really happening.
[00:05:52.343 --> 00:05:55.045]  The Third World War has been declared against our country.
[00:05:55.045 --> 00:06:01.490]  Agents are installed and we're in deep trouble.
[00:06:01.490 --> 00:06:04.432]  Yeah, I have a Guns and Weapons for Law Enforcement.
[00:06:04.432 --> 00:06:04.972]  Very interesting.
[00:06:04.972 --> 00:06:05.913]  We'll read from this.
[00:06:05.913 --> 00:06:07.374]  This is a good magazine to
[00:06:11.079 --> 00:06:15.040]  Dr. Anselmo and Professor Flatulence.
[00:06:15.040 --> 00:06:16.141]  They really enjoy this one.
[00:06:16.141 --> 00:06:18.962]  They don't like guns and ammo for the common people.
[00:06:18.962 --> 00:06:20.062]  That's bad for them.
[00:06:20.062 --> 00:06:23.884]  But they're going to be here coming up at about 9.15 or so.
[00:06:23.884 --> 00:06:39.149]  And we're going to take some of your phone calls tonight, but we're going to take care and make sure we've got people that really have something they want to talk about before we go to the phone calls.
[00:06:40.094 --> 00:06:44.317]  I forgot to warn my crew about that, now that it makes a big difference.
[00:06:44.317 --> 00:07:02.250]  I have some interesting reports I read last night to you off the AP, out of the Austin American-Statesman, and out of the BBC, and then from La Jornada, a large Mexican newspaper, and I'll get into those in the 10 o'clock hour coming up this evening.
[00:07:02.250 --> 00:07:06.272]  But I'm only going to be on probably about an hour tonight myself.
[00:07:06.272 --> 00:07:09.395]  The professor and the doctor and the Global Lovecock are going to be on.
[00:07:10.350 --> 00:07:11.071]  Most of the evening.
[00:07:11.071 --> 00:07:19.738]  We're going to have the Professor and the Doctor together coming up at about 9.15 and then we're going to have Global Love Cop on after they come on.
[00:07:19.738 --> 00:07:26.724]  But the first clip we're going to go to is Tony Brown from Tony Brown's Journal.
[00:07:26.724 --> 00:07:32.309]  A popular program on PBS and I've always liked Nova and I've always liked Tony Brown's Journal.
[00:07:32.309 --> 00:07:34.811]  For years those are two programs that I have said I enjoy.
[00:07:35.734 --> 00:07:44.178]  Tony Brown never talked about a conspiracy to rob you of your wealth at the Illuminati, a known organized criminal crime ring from Europe.
[00:07:44.178 --> 00:07:44.979]  Now he has!
[00:07:44.979 --> 00:07:50.762]  He's come out with a new book called The Seven Step Plan to Overthrow the Conspiracy that is Stealing Your Money and Your Freedom.
[00:07:50.762 --> 00:07:51.942]  It's called Empower the People.
[00:07:51.942 --> 00:07:54.884]  It's his new book.
[00:07:54.884 --> 00:07:58.025]  And I talked about this last night at length.
[00:07:58.025 --> 00:08:00.587]  I talked about it on my radio program.
[00:08:00.587 --> 00:08:04.669]  I had Congressman Ron Paul on my radio program this Saturday.
[00:08:05.686 --> 00:08:08.908]  The Congressman openly let me... I didn't talk to him personally on the phone.
[00:08:08.908 --> 00:08:12.410]  I talked to his aide and said, just come on the show and talk about whatever you want to talk about.
[00:08:12.410 --> 00:08:13.851]  First thing he talked about was the U.N.
[00:08:13.851 --> 00:08:14.972]  taking over our national parks.
[00:08:14.972 --> 00:08:17.794]  I have that on tape and that'll be here for you next week.
[00:08:17.794 --> 00:08:18.494]  Or perhaps tonight.
[00:08:18.494 --> 00:08:21.196]  Who knows?
[00:08:21.196 --> 00:08:22.117]  Play some audio of that.
[00:08:22.117 --> 00:08:26.600]  Put some images up and things of Congress and Ron Paul and the parks and Clinton and the U.N.
[00:08:26.600 --> 00:08:30.702]  Biodiversity Treaty we signed with them, handing over our parks to them.
[00:08:30.702 --> 00:08:31.823]  This is all real.
[00:08:31.823 --> 00:08:33.784]  It's not conspiracy.
[00:08:33.784 --> 00:08:34.945]  It's a program of slavery.
[00:08:35.911 --> 00:08:41.614]  It is a conspiracy to rob you of your wealth and control of your destiny.
[00:08:41.614 --> 00:08:44.656]  That's what this program is about.
[00:08:44.656 --> 00:08:53.280]  First and foremost is refusing to go along with the Ponzi scheme that the government and its controllers have created.
[00:08:53.280 --> 00:08:59.644]  A scheme where the primary investment for people, they believe, is the stock market.
[00:09:00.578 --> 00:09:15.374]  Well, as long as more money's coming in at the bottom, they can keep these ridiculous profits going, which are conservatively four to five times the actual money value of the actual assets of the company.
[00:09:15.374 --> 00:09:18.298]  You have the Federal Reserve and the Treasury printing
[00:09:19.494 --> 00:09:23.837]  Just in the last six months, 10% more money into the money supply.
[00:09:23.837 --> 00:09:25.038]  They're printing money.
[00:09:25.038 --> 00:09:26.759]  The pressures are going absolutely wild right now.
[00:09:26.759 --> 00:09:31.822]  That's why you have this false healthy economy.
[00:09:31.822 --> 00:09:39.007]  The problem is, is that once the plane comes down, it has no landing gear with this economy.
[00:09:39.007 --> 00:09:46.612]  So I think they should keep printing money for as long as they can, simply because I don't want a crash to come, but it's just going to get worse the longer it goes and the deeper it gets.
[00:09:48.826 --> 00:09:55.850]  Before we go to Tony Brown and then some of your phone calls, that's the clip, let me read to you.
[00:09:55.850 --> 00:10:06.177]  Let me read to you from this week's Capital Times, the newspaper here in Austin, which is a little bit better than the Statesman.
[00:10:06.177 --> 00:10:10.100]  It says, Hope for the Future of America.
[00:10:10.100 --> 00:10:15.003]  The host of Tony Brown's journal describes his vision for saving America from herself and her enemies.
[00:10:15.003 --> 00:10:15.503]  Her enemies!
[00:10:16.596 --> 00:10:18.137]  Now, here's a quote from Tony Brown.
[00:10:18.137 --> 00:10:19.497]  You get to see him personally.
