[00:00:10.435 --> 00:00:10.735]  R-Charge.com.
[00:00:10.735 --> 00:00:11.695]  That's R-Charge.com.
[00:00:11.695 --> 00:00:12.316]  Or call us at 989-637-4179.
[00:00:12.316 --> 00:00:12.636]  That's 989-637-4179.
[00:00:12.636 --> 00:00:14.076]  Be a part of the revolution today.
[00:00:14.076 --> 00:00:15.217]  This is the GCN Radio Network.
[00:00:15.217 --> 00:00:16.277]  Home to hard-hitting talk radio.
[00:00:37.434 --> 00:00:40.561]  IRN USA Radio News, I'm Jody Jordan.
[00:00:40.561 --> 00:00:45.993]  President Barack Obama seems to have charmed one of America's most outspoken Latin American critics.
[00:00:46.661 --> 00:00:47.842]  Here's Mark Smith.
[00:00:47.842 --> 00:00:57.487]  Instead of denouncing Yankee imperialism, Venezuela's Hugo Chavez spent much of this summit either praising the new American leader or exchanging pleasantries with him.
[00:00:57.487 --> 00:01:06.112]  In fact, Chavez even told Secretary of State Hillary Rodham Clinton he'd like their two countries to reinstate the ambassadors they expelled last September.
[00:01:06.112 --> 00:01:10.255]  And NATO forces have foiled a pirate attack on a tanker in the Gulf of Aden.
[00:01:10.695 --> 00:01:11.576]  Meanwhile, U.S.
[00:01:11.576 --> 00:01:15.758]  Navy Admiral Gary Roughead says he will discuss boosting ties between the U.S.
[00:01:15.758 --> 00:01:18.019]  Navy and China Naval Forces.
[00:01:18.019 --> 00:01:30.404]  As we create naval capability, indeed any military capability, that there should be clear communications with regard to what the intentions of that capability are.
[00:01:30.404 --> 00:01:34.006]  This is IRN USA Radio News.
[00:01:34.006 --> 00:01:35.747]  Hi, my name is Shirley Van Heest.
[00:01:35.747 --> 00:01:39.889]  I'm from Michigan, and I've been using Andy Willoughby's three-step plan for about nine months.
[00:01:40.290 --> 00:01:45.891]  When I was introduced to the three-step plan, I saw the value of it, and I saw the potential in it.
[00:01:45.891 --> 00:01:51.933]  It offers an opportunity to provide some security that you can be in charge of.
[00:01:51.933 --> 00:02:03.735]  So many things are out of our control in today's economy, and if we can set ourselves up in business, and we can secure our own future, then I guess we don't have to worry too much.
[00:02:03.735 --> 00:02:06.436]  We will get through whatever difficulties may lie ahead.
