[00:00.000 --> 00:02.060]  you
[00:30.000 --> 00:32.060]  you
[01:00.000 --> 01:02.000]  you
[01:30.720 --> 01:32.720]  you
[01:33.080 --> 01:37.880]  Live from the info wars.com studios. It's Alex Jones
[01:41.760 --> 01:44.960]  Wow a packed show today
[01:45.480 --> 01:53.000]  Owen shroyer David Knight filling in for Alex Jones, and I'm just gonna lay out everything that we've got planned for you today
[01:53.000 --> 01:58.580]  On the Alex Jones show absolutely stocked full. We've got the Democrats. Oh for
[01:58.580 --> 02:06.420]  2017 another loss last night a very expensive loss for the Democrats. How embarrassing we've got World War three building with Russia
[02:06.980 --> 02:12.500]  Coming out of Syria. We've got a J. Johnson hearing today more bombshells out of that funny
[02:12.500 --> 02:14.020]  I didn't hear any build up to that
[02:14.020 --> 02:20.380]  I didn't see the media of fawning over the J. Johnson hearing wonder why that was we've got of course North Korea
[02:20.460 --> 02:25.500]  Tensions building there the media making fun of auto warm beer who is now deceased may he rest in peace
[02:25.500 --> 02:31.860]  We've got developments on the real collusion between Comey the Clintons Loretta Lynch shoes and rise that's developing
[02:31.860 --> 02:38.140]  And then we're gonna have Gary Haven and Joe Biggs joining us to talk about UN sex trafficking in Haiti
[02:38.140 --> 02:43.340]  And of course Alex Jones will be joining us as well. I now bring in my tag team partner David Knight
[02:43.340 --> 02:48.180]  I know that you have a slew of stories that you want to get to as well. Yeah, you know, it's pretty amazing when we look at
[02:48.620 --> 02:50.740]  this referendum on Trump
[02:50.740 --> 02:56.300]  Oh, and one of the best comments I saw was Kellyanne Conway tweeting out
[02:56.300 --> 02:58.800]  I'm laughing my ass off and
[02:59.340 --> 03:04.940]  They have to be laughing because we've seen increasingly saying that they're going to have a referendum on Trump
[03:04.940 --> 03:10.580]  This is every one of these special elections is going to be that and I actually saw Reuters saying well
[03:10.580 --> 03:15.980]  These margins are getting smaller and smaller. So that means that the Democrats are getting momentum and it's like
[03:15.980 --> 03:20.380]  Yeah, that's the most desperate spin. I've seen yet. That's what Robert
[03:20.820 --> 03:24.020]  Rike the fourth tweeted out as well a professor at Berkeley
[03:24.020 --> 03:28.860]  And I was just like what a delusional thought from a very delusional person on delusional Island
[03:29.020 --> 03:33.900]  Thinking that this loss is somehow a victory for you. So the Democrats continue to lose
[03:33.980 --> 03:41.180]  You've got leftist media that wants to make fun of Otto Warmbier calling him a white American frat boy
[03:41.180 --> 03:47.420]  He deserves what he gets. Well, he's dead now. You've got the media going full Isis with CNN and
[03:47.700 --> 03:49.260]  Kathy Griffin and then
[03:49.260 --> 03:52.420]  Representative Scalise gets shot no responsibility there
[03:52.420 --> 03:58.660]  But then you've got I believe her name was Michelle Carter who is responsible now being held responsible for her boyfriend's suicide
[03:59.380 --> 04:04.500]  Because apparently a tweet or apparently a message that she sends him causes him to commit suicide
[04:05.020 --> 04:08.700]  Well, if you're gonna use that precedent, which I completely disagree with in that case
[04:08.700 --> 04:16.140]  How can you not use that precedent against media that is encouraging violence against Trump encouraging violence against Trump supporters?
[04:16.140 --> 04:22.500]  And we continue to see this go on and on and then during this hearing David
[04:22.820 --> 04:26.780]  I'm quoting Jay Johnson. They're talking about fake news
[04:26.780 --> 04:30.020]  We're gonna have more clips from Jay Johnson Alex Jones coming up on the other side of this break
[04:30.180 --> 04:34.220]  But Jay Johnson during the hearing today talking about fake news
[04:34.220 --> 04:39.260]  Says people have little and I'm quoting here. I don't know the exact quote
[04:39.260 --> 04:44.820]  But people have little or no recourse for social media posts. He's talking about fake news there
[04:44.860 --> 04:48.500]  Well, what about all the people calling for the assassination of Trump?
[04:49.180 --> 04:53.380]  Little or no recourse on that. Can you believe that double standard David?
[04:53.380 --> 04:56.460]  Let's talk about the fake news because when he opened up his statement. He said in
[04:57.940 --> 05:03.180]  2016 at the direction of the Russian government at the direction of Russian president Vladimir Putin himself
[05:03.180 --> 05:07.980]  They're orchestrated cyber attacks on our nation for the purpose of influencing our election
[05:07.980 --> 05:14.460]  He doesn't we have that clip too. Go ahead know that he doesn't they don't have and of course when I talked to John McAfee
[05:14.460 --> 05:17.200]  He pointed out he said that this would be the most incompetent
[05:18.020 --> 05:21.380]  Spycraft ever if they left fingerprints all over this
[05:21.380 --> 05:25.900]  He said you can't tell where these things are routed from and they have ways of
[05:26.340 --> 05:31.700]  Disguising this and then subsequent to that we had the WikiLeaks vault seven releases that showed the owners
[05:31.700 --> 05:38.220]  The owners manuals the operating manuals of how they would mask things even making the keystrokes
[05:38.220 --> 05:40.720]  Look as if they're coming from Russia and yet we hear that
[05:41.220 --> 05:44.340]  They are saying this has all happened and we know that it happened
[05:44.340 --> 05:50.300]  You know what we know is we know that the Department of Homeland Security Jay Johnson the guy who is
[05:50.660 --> 05:56.980]  Testifying today in the house the Department of Homeland Security are the ones who hacked into state boards of elections
[05:56.980 --> 06:04.700]  This is the issue everywhere. They're trying to cover themselves with a Russian red herring when they are the ones who broke the law
[06:04.700 --> 06:12.060]  And we got something else coming up about obstruction of justice and trying to take these unmasking documents and hide them in the Obama library
[06:12.060 --> 06:19.380]  We write back with Alex Jones. I say abolish the DHS and the CIA immediately based on what we know about those two departments
[06:19.380 --> 06:21.380]  We've got those clips on the other side
[06:21.380 --> 06:28.740]  Leftists in Europe carried out 27 terror attacks in 2016 which debunks the claim that conservatives and libertarians represent a bigger
[06:28.780 --> 06:35.540]  Extremist threat over 140 terrorist attacks occurred in Europe last year and 27 of them were blamed on leftists in comparison
[06:35.540 --> 06:42.060]  Just one right-wing terror attack was recorded for the entire year 13 attacks were blamed on jihadis while the majority of the attacks nearly
