[00:00:06.278 --> 00:00:08.060]  Mainstream media.
[00:00:08.060 --> 00:00:09.841]  Government cover-ups.
[00:00:09.841 --> 00:00:11.382]  You want answers?
[00:00:11.382 --> 00:00:12.944]  Well, so does he.
[00:00:12.944 --> 00:00:17.147]  He's Alex Jones on the GCN Radio Network.
[00:00:17.147 --> 00:00:22.311]  And now, live from Austin, Texas, Alex Jones.
[00:00:22.311 --> 00:00:31.219]  Blasting out on the AM and FM dial, from Oregon to Colorado, to Florida to New York, I'm Alex Jones.
[00:00:31.929 --> 00:00:49.079]  Your host, Simulcasting at InfoWars.com, InfoWars.net, PresentPlanet.com, as well as Global Shortwave 12.172 and 93.20 during the day and back from 9 to midnight at 5.085 and 68.90.
[00:00:49.079 --> 00:00:58.264]  Yesterday I read a New Jersey Herald article, DNA legacy still water first in the country to identify pupils through genetic fingerprinting.
[00:00:59.068 --> 00:01:09.178]  And the article goes on to say, peoples were brought into the school cafeteria one class at a time, had their DNA collected by patrolman Tom Cicetti, who took two swabs of each people's mouth.
[00:01:09.178 --> 00:01:13.982]  There were a few complaints from the peoples who seemed eager for their turn to be swabbed.
[00:01:13.982 --> 00:01:16.344]  It wasn't bad, said one first grader.
[00:01:16.344 --> 00:01:17.285]  Some kids actually liked it.
[00:01:17.285 --> 00:01:20.989]  The police officer said, it tickles, so a lot of kids start laughing.
[00:01:22.589 --> 00:01:34.341]  Now, they started drug testing about 10 years ago in more conservative areas of the country where people were foolishly brought into it just for football players, or if you wanted to park in the parking lot, or a privilege, or being banned.
[00:01:34.341 --> 00:01:35.202]  Now it's universal.
[00:01:35.202 --> 00:01:36.804]  They're going to test for nicotine.
[00:01:36.804 --> 00:01:38.926]  That's the problem with this, and we've got the
[00:01:44.560 --> 00:01:55.864]  DNA-Fingerprint.com, hyperlink on the main guest section of InfoWars.com, and he now joins me here on the air.
[00:01:55.864 --> 00:02:00.646]  I really appreciate you coming on the show, sir.
[00:02:00.646 --> 00:02:03.107]  Do we have Joe there?
[00:02:03.107 --> 00:02:04.067]  Yeah, hello, Alex.
[00:02:04.067 --> 00:02:05.308]  Fantastic.
[00:02:05.308 --> 00:02:07.928]  I appreciate you joining us today, sir.
[00:02:07.928 --> 00:02:09.129]  No, thank you for inviting me.
[00:02:09.933 --> 00:02:11.694]  Now, we know they've been taking fingerprints.
[00:02:11.694 --> 00:02:14.674]  The parents store them or the school stores them.
[00:02:14.674 --> 00:02:16.455]  Now it's DNA.
[00:02:16.455 --> 00:02:21.036]  Have you heard about Colorado's going to have federal checkpoints taking hair forcibly?
[00:02:21.036 --> 00:02:24.057]  That came out a few days ago.
[00:02:24.057 --> 00:02:25.178]  No, I'm not aware of that.
[00:02:25.178 --> 00:02:36.121]  But, you know, there's a problem with just like a parent taking like a lock of hair from their child because there's two things that affect DNA negatively.
[00:02:36.121 --> 00:02:39.282]  And one is bacteria and the other is the sunlight.
[00:02:40.049 --> 00:02:46.352]  So, by just taking a locker here, over a period of time, you're not going to be able to extract the DNA.
[00:02:46.352 --> 00:02:53.555]  Instead, you take the soft, tender mucous membrane tissue out of the side of the cheek.
[00:02:53.555 --> 00:03:03.500]  Right, by rubbing it for like five seconds, it absorbs the buccal cells, and then you place that in the tube, and there's a fixative agent that preserves the DNA.
[00:03:03.500 --> 00:03:08.142]  Antibacterial fixative agent that preserves the DNA, and then you place that tube
[00:03:08.837 --> 00:03:18.543]  That's vapor-proof in a red envelope that filters off the ultraviolet light and it literally preserves the DNA for an indefinite period of time, forever.
[00:03:18.543 --> 00:03:21.804]  Again, we're talking to the president and founder of DNA LifePrint.
[00:03:21.804 --> 00:03:23.886]  DNA-LifePrint.com's website.
[00:03:23.886 --> 00:03:26.387]  Want to find out more?
[00:03:26.387 --> 00:03:28.428]  Look, if parents want this thing, they'll go out and buy it.
[00:03:28.428 --> 00:03:30.029]  I have no problem with that.
[00:03:30.029 --> 00:03:32.911]  It says the school takes two swabs.
[00:03:33.732 --> 00:03:42.654]  Now, this always starts where it's just the parents having it, but why it says two swabs, then it says, oh, one of the kids goes home with the parents.
[00:03:42.654 --> 00:03:44.634]  Now, is there... What happens here?
[00:03:44.634 --> 00:03:45.015]  No, no.
[00:03:45.015 --> 00:03:55.197]  The reason why we have two swabs instead of one is the amount of DNA that's absorbed on each swab is an enormous amount.
[00:03:55.197 --> 00:03:58.097]  It's going to be a minimum of 1,000 to 7,800 nanograms of DNA.
[00:04:01.358 --> 00:04:01.698]  I don't
[00:04:22.816 --> 00:04:26.739]  Those cotton swabs are in the tube together, and they stay with the family.
[00:04:26.739 --> 00:04:29.802]  There's no big brother involved, no repository.
