[00:00:09.894 --> 00:00:11.475]  This is our land.
[00:00:11.475 --> 00:00:16.257]  These are our people.
[00:00:16.257 --> 00:00:18.619]  The workers.
[00:00:18.619 --> 00:00:20.019]  The strivers.
[00:00:20.019 --> 00:00:21.720]  The builders.
[00:00:21.720 --> 00:00:26.763]  These are our people.
[00:00:27.865 --> 00:00:31.126]  Who are they?
[00:00:31.126 --> 00:00:34.807]  They are the Dark Armies.
[00:00:34.807 --> 00:00:40.088]  The dark, murdering armies whose only honor is atrocity.
[00:00:40.088 --> 00:00:42.008]  The answer to 1984 is 1776.
[00:00:42.008 --> 00:00:50.670]  You're listening to the Alex Jones Show.
[00:00:55.052 --> 00:00:58.316]  First off, we saw how phony all this new Flynn news was on Friday.
[00:00:58.316 --> 00:01:04.923]  We're proven right that it was a fake news story from ABC News that Trump had been caught lying about when he told Flynn to meet with the Russians.
[00:01:06.624 --> 00:01:10.688]  It's all coming up today, but there is an internal war going on that's now going public.
[00:01:10.688 --> 00:01:15.533]  It turns out the FBI and Mueller's been criminally investigated for 11 months.
[00:01:15.533 --> 00:01:19.797]  They are preparing imminent indictments of Trump and others, as I broke first Friday.
[00:01:19.797 --> 00:01:20.978]  That's now in the news.
[00:01:20.978 --> 00:01:23.301]  But first, let's go to this John Bowne report.
[00:01:23.301 --> 00:01:30.468]  I saw the headlines Friday morning about Flynn was ordered by Trump to make contact with the Russians.
[00:01:33.126 --> 00:01:35.989]  And then I began to read the ABC News report.
[00:01:35.989 --> 00:01:38.411]  I went, wait a minute.
[00:01:38.411 --> 00:01:48.121]  These transcripts from Intercepts have been alluded to before from December of last year when he was the incoming president-elect.
[00:01:48.121 --> 00:01:48.821]  And I sat on air.
[00:01:49.750 --> 00:01:51.691]  I said, this is fake news.
[00:01:51.691 --> 00:01:55.873]  At 11am, when I went live, I said, Drudge isn't fake.
[00:01:55.873 --> 00:01:58.754]  When I'm reading headlines off Drudge, he's just linking to the news.
[00:01:58.754 --> 00:02:01.155]  But I said, look at the headlines on Drudge.
[00:02:01.155 --> 00:02:02.996]  I said, that's fake.
[00:02:02.996 --> 00:02:05.577]  Flynn talked to them once.
[00:02:05.577 --> 00:02:08.039]  He was the incoming National Security Advisor.
[00:02:08.039 --> 00:02:08.459]  Look at that!
[00:02:09.392 --> 00:02:12.096]  Merry Christmas, Mr. Mueller!
[00:02:12.096 --> 00:02:21.870]  When he's not on tarmacs handing out uranium, or when the FBI's not, you know, trying to cover up illegal Clinton Attorney General meetings on the tarmac.
[00:02:21.870 --> 00:02:23.372]  Why, Mueller...
[00:02:24.668 --> 00:02:30.994]  Flips Flynn and gets him to plead guilty to lying to the FBI.
[00:02:30.994 --> 00:02:35.137]  Report, Flynn says Trump directed him to make contact with the Russians.
[00:02:35.137 --> 00:02:37.379]  Feels president has abandoned him.
[00:02:37.379 --> 00:02:43.684]  Prepared to testify against Trump family, White House staff.
[00:02:43.684 --> 00:02:48.088]  Now that's what the media is telling us about this information.
[00:02:48.088 --> 00:02:50.871]  I followed all this in absolute detail.
[00:02:52.267 --> 00:02:56.050]  How they illegally surveilled President-elect Trump.
[00:02:56.050 --> 00:02:59.853]  And then they said, oh watch out, we've got the surveillance proving you colluded with the Russians.
[00:02:59.853 --> 00:03:00.694]  And Trump went, really?
[00:03:00.694 --> 00:03:02.035]  Without a warrant?
[00:03:02.035 --> 00:03:04.137]  And you demasked the information?
[00:03:04.137 --> 00:03:05.918]  And you leaked it to the news?
[00:03:05.918 --> 00:03:07.079]  That's multiple crimes!
[00:03:07.079 --> 00:03:08.500]  They went, oh no!
[00:03:08.500 --> 00:03:09.141]  No, no, no!
[00:03:09.141 --> 00:03:10.082]  We never did that!
[00:03:10.082 --> 00:03:12.924]  Once he was President-elect, they suddenly went, we never did that!
[00:03:12.924 --> 00:03:14.085]  We never said that!
[00:03:14.085 --> 00:03:15.226]  No one ever spied on you!
[00:03:15.226 --> 00:03:16.167]  That's insane!
[00:03:16.167 --> 00:03:17.388]  We had that whole controversy!
[00:03:18.834 --> 00:03:29.141]  So the minute I saw this and it said intercepts, well I remember the congressional hearings about the intercepts that came months ago.
[00:03:29.141 --> 00:03:40.329]  I remember all the reports and they just hope you get confused in all the minutiae and just tune out and just believe that Trump's been caught lying when it's all right there.
[00:03:41.257 --> 00:03:47.378]  They've already testified on the demasking, they've testified on the FISA court warrants they did get, a bunch of the stuff they didn't get.
[00:03:47.378 --> 00:03:52.099]  They just call it intercepts, monitoring, and then they go in and listen to it later.
[00:03:52.099 --> 00:04:04.842]  But if they didn't order direct wiretapping, as they call it, which is still monitoring, wiretapping is the old term, then they don't call it illegal surveillance just because you were being surveilled.
[00:04:04.842 --> 00:04:07.102]  It's all semantical manipulation.
[00:04:07.102 --> 00:04:09.143]  And so I knew as soon as I read
[00:04:10.282 --> 00:04:15.244]  The news, not just from ABC but other big fake news outlets, said it was fake.
[00:04:15.244 --> 00:04:21.787]  Because they were talking about the intercepts that have already been in the news, they've already had hearings on under oath.
[00:04:21.787 --> 00:04:32.151]  And I was like, oh my god, they're recycling it, but just changing the date to five or six months previous to that in the middle of 2016, which is exactly what they did.
[00:04:32.151 --> 00:04:38.813]  Flynn and Trump deserve service medals for how good they did coming in as the
[00:04:40.234 --> 00:04:47.244]  President-elect, the National Security Advisor-elect, how good a job they were doing, how hard they were working, it's just unprecedented.
[00:04:47.244 --> 00:04:50.609]  How they're representing America and getting things done.
[00:04:50.609 --> 00:04:55.035]  Folks, we'll be right back on the other side of this break with the bombshell news, and it is bombshell.
[00:04:55.035 --> 00:04:56.657]  They are getting ready to indict the president.
[00:04:56.657 --> 00:04:56.897]  Watch.
