[00:00.000 --> 00:04.880]  Founder Alex Jones is calling out alleged collusion between Google and Democrats
[00:11.720 --> 00:18.660]  Well Alex you're the gladiator and you keep on pounding the opposition. I love it Alex Jones. Nice. Yeah, you've been demonized
[00:20.960 --> 00:27.000]  I mean you must be a threat if they call you out by name Alex Jones Alex Jones Alex Jones
[00:27.000 --> 00:33.840]  Yeah, I know we had Alex Jones in the room earlier promoting conspiracy theories Alex Jones
[00:33.840 --> 00:39.240]  Obviously is one of the conspiracy theorists whose brand is bully. You didn't call me to testify in America
[00:39.240 --> 00:46.400]  I have a right to fix my accusers and you congressman doge are a liar and a fraud the real election medley is by Facebook and Google and others
[00:46.400 --> 00:50.560]  That are shadow banning people that are outright banning people and they're blocking conservatives
[00:50.560 --> 00:57.600]  Involved in their own first amendment political speech info war tells viewers that the world is out to death. The FCC is cracking down on
[00:57.840 --> 01:04.160]  Conspiracy theorist Alex Jones info war is just lost their war on info yesterday Apple
[01:04.160 --> 01:10.400]  I choose video and Spotify YouTube Twitter and Facebook have all blocked Alex Jones and info wars
[01:10.400 --> 01:17.600]  So there's also guys on CNN that spend their whole day calling Facebook and saying can you ban this person? I want them shut down
[01:17.600 --> 01:22.360]  I want them silence. I want to mute it. I think they are horrible for our society. I want them shut down
[01:22.640 --> 01:26.880]  I want them silence Alex Jones, which is now been taken off Facebook thank God
[01:26.880 --> 01:32.200]  But who is the most banned news network in the world info wars dot com info wars?
[01:32.200 --> 01:37.480]  It's a radio show hosted by Alex Jones info wars comes to mind. What's happened with info wars
[01:37.480 --> 01:43.760]  I would love it if you would follow up also about Alex Jones info war info wars. You want info wars president Trump is
[01:43.760 --> 01:51.880]  The info wars president Trump appeared on Jones's show. He actually went on Jones's show and said your reputations
[01:51.880 --> 01:54.280]  It's amazing. I will not let you down
[01:54.280 --> 02:11.640]  And the way as well, why do you hate the first amendment so much that man's breath
[02:18.280 --> 02:20.280]  I'm getting pissed out
[02:20.280 --> 02:25.920]  The defibrillator didn't work with me. It's all straightforward attack. That's the real power. Hello
[02:25.920 --> 02:30.240]  This is Hank Hill, and I'm telling you what you need to listen to Alex
[02:35.520 --> 02:39.600]  Shame on the mainstream corporate media for not defending the first amendment
[02:39.600 --> 02:53.480]  But instead attack dogging calling for federal regulators to shut down independent free press working with big tech
[02:59.560 --> 03:07.040]  We cannot continue to rely only on our military in order to achieve the national security objectives that we've set
[03:07.040 --> 03:13.240]  We've got to have a civilian national security force. That's just as powerful just as strong
[03:13.800 --> 03:19.400]  Just as well fun growing concerns that the IRS is building an army of new auditors
[03:20.880 --> 03:26.320]  When it comes to the internal revenue service the IRS your first thoughts are likely about money and taxes not
[03:26.720 --> 03:31.760]  Tactical training. That's the kind of training though typically associated with the FBI or secret service
[03:31.760 --> 03:34.640]  Yes, the tax ban is also getting trained in a similar way
[03:34.640 --> 03:39.600]  Senate passes sweeping tax climate change package
[03:39.760 --> 03:49.440]  It hires 80 plus thousand IRS agents in the legislation to target blue collar and middle-class people to shut down small businesses
[03:51.200 --> 03:55.800]  An IRS internal report shows heavily armed agents
[03:56.200 --> 04:01.640]  Practicing and all-out assault on a suburban home as part of their training exercise
[04:01.640 --> 04:10.280]  These agents now carry firearms. They wear tactical gear and according to a recent job posting at irs.gov
