[00:00.000 --> 00:26.000]  Defending the Republic from enemies, foreign and domestic, it's Alex Jones.
[00:26.000 --> 00:42.000]  Ladies and gentlemen, thank you so much for joining us on this Monday, the 5th day of February 2018.
[00:42.000 --> 00:48.000]  Every show gets more power packed because time is compressing, we're headed towards the singularity.
[00:48.000 --> 00:50.000]  It is an incredible time to be alive.
[00:50.000 --> 01:08.000]  The Eagles have the big upset win and the big story behind the story is that it was the binding force of their Christian faith according to the coach and the players that had them break the back of the NFL's globalist poison.
[01:08.000 --> 01:22.000]  And that's why all of them unanimously have not kneeled, that's why they've been basically immune to the Hollywood brainwashing and that's the story behind the story that's coming up in the broadcast.
[01:22.000 --> 01:36.000]  Also, obviously, we have a whole other twist on that front. Colts, Edwin Jackson, starring linebacker, killed after being struck by suspected drunk driver and the media didn't get it right nationally.
[01:36.000 --> 01:41.000]  Locally, they did. Liberal media wouldn't say the guy was an illegal alien.
[01:41.000 --> 01:58.000]  Conservative media would say he was from Mexico, deported twice. Now, he was from Guatemala, deported at least twice, an illegal alien. And the issue here is they won't say it when you see somebody run over folks in France or Germany or shoot people or bomb them.
[01:58.000 --> 02:04.000]  They'll say a German man attacked people with a truck today. And then he's been there two years, he's a quote, migrant refugee.
[02:04.000 --> 02:24.000]  And it's the same thing with that. If you were a illegal alien in Mexico from wherever in the world, say China, the US, wherever, and you run over somebody drunk, they'd say, in the country illegally, this individual ran over X.
[02:24.000 --> 02:37.000]  But it's such a unified front all over the Western world for the left to cover up the crime statistics. And the big one with the illegals is the serious, serious, serious drunk driving.
[02:37.000 --> 02:42.000]  But it just shows the media controls. We're going to go through all the different sections of that.
[02:42.000 --> 02:54.000]  There's a very illustrative quote, an audio file from a podcast he was on, Jimmy Kimmel. He used to be funny. There's turned into a total mouthpiece of Chuck E. Schumer. He talks to Chuck E. Schumer.
[02:54.000 --> 03:02.000]  He said pretty much seven days a week, but five nights a week. He talks to him about what to put in his monologue, what to say, what to do.
[03:02.000 --> 03:08.000]  The Democrats also work with Colbert. You name it. And you can see the talking points there every day.
[03:08.000 --> 03:15.000]  But he's come out and said, Libs excel at late night hosting because job requires intelligence.
[03:15.000 --> 03:25.000]  No, we know for a fact that Jay Leno is more of a libertarian, certainly not a liberal, and that he had double the ratings of his replacement.
[03:25.000 --> 03:34.000]  And that he was rooted out because he isn't vicious and nasty. And he's spoken about that. So people that have better ratings than you.
[03:34.000 --> 03:42.000]  I mean, how many other TV hosts, how many other comics have been removed off of their television programs?
[03:42.000 --> 03:54.000]  Mr. Allen last year, the list goes on and on because they didn't tell the line, even though he had a hit show. By the way, in talk radio and in the publication world and so many other areas,
[03:54.000 --> 04:08.000]  it's universally libertarians and conservatives and nationalists where you've got to stand alone and really talk for hours and hours. There are not leftists that can ever be successful or get ratings.
[04:08.000 --> 04:16.000]  No one. They all get talking points. They read off teleprompters. They wear fancy suits and they say the same thing.
[04:16.000 --> 04:29.000]  Saturday Night Live, Nunez is a slave, a rat. Same thing was said on Bill Maher's program. He's a dirty rat. They get the talking point.
[04:29.000 --> 04:38.000]  They regurgitate it reading off a teleprompter and then they call that smart and they celebrate how smart they are. Sorry, I've been to your rallies.
[04:38.000 --> 04:51.000]  I've seen your constituents. They look like they've been shot with a mutation ray. They look like the undead. Everybody knows it. Everybody knows you prey on a giant, dumbed down poor population.
[04:51.000 --> 05:00.000]  Now, on the top, the richest people three to one are leftist because they're parasites feeding on their slaves. That part's true.
[05:00.000 --> 05:12.000]  Feel your body with carnivore, the new digestive enzyme product by Infowars Life. Digestive enzymes assist in the digestive process and increase the bioavailability of nutrients by breaking down foods into easily absorbable components.
[05:12.000 --> 05:20.000]  They also help prevent discomfort from a digestion caused by fermentation of undigested food particles in the gut. Digestive enzyme production declines as we age.
[05:20.000 --> 05:35.000]  Carnivore is filled with digestive enzymes like those naturally present in the body. Enjoy the full potential of protein rich foods again. You can eat protein heavy foods now while minimizing the later indigestion and discomfort commonly associated with high meat diets.
[05:35.000 --> 05:43.000]  Just one pill with every high protein meal helps increase the bioavailability and absorption of amino acids, the building blocks to your muscles.
[05:43.000 --> 05:54.000]  Carnivore also contains digestive enzymes to help digest fats and carbohydrates so you can fully digest all types of meals. Don't let a meal go to waste. Use carnivore by Infowars Life.
[05:54.000 --> 06:17.000]  Head to InfowarsLife.com and secure your bottle now. That's InfowarsLife.com.
[06:17.000 --> 06:37.000]  The first thing I want to cover out of the gates today is what I'm going to be covering in the next four hours.
[06:37.000 --> 06:49.000]  And that is the incredible lies of little Adam Schiff, the Ranking Democrat on the House Select Intelligence Committee.
[06:49.000 --> 07:12.000]  Little Adam Schiff, it turns out, was a favorite on RT over the years, even when Obama was in office saying that the FISA courts should be transparent and shouldn't be political and that their activities should be made public.
[07:12.000 --> 07:21.000]  And this video has gotten basically no attention. It's up on Infowars.com and NewsWars.com, an article that Paul Watson wrote.
[07:21.000 --> 07:34.000]  And then we've got videos beneath it of him on Fox News over the weekend and other networks saying there's going to be a new Oklahoma City bombing if you keep making this political.
[07:34.000 --> 07:49.000]  You made it political, lying with DNC funding, and you've been involved, we now know, going to the FISA court and then having a bunch of Democrat operatives at the top of the FBI and Justice Department sit around and try to keep Trump out of office.
[07:49.000 --> 08:00.000]  It has to come out. It's amazing. You did spy on the president. You guys went all over television starting in late January of last year.
[08:00.000 --> 08:13.000]  So a little more than a year ago and said on every channel over and over again, like parrots, until my head was going to explode, that there was never any spying on anybody in Trump's entourage, his campaign zero.
[08:13.000 --> 08:24.000]  Now, they just previously, until January 20th, been everywhere, New York Times, Washington Post saying, we had spying on Trump Tower. We were spying on his campaign.
[08:24.000 --> 08:33.000]  You better watch it, Trump. We've got evidence. You're a Russian. They were bluffing. They were hoping there was something there. They had Susan Rice, all of them in the White House.
[08:33.000 --> 08:44.000]  We now know in daily briefings with Obama, who ordered it, listening to everything they were doing with hundreds of people dialed in. I mean, they had a war room going.
[08:44.000 --> 09:03.000]  Admiral Rogers on the 17th of November of 2016, when the president only been in office, elect 10 days, not even in office, but president elect 10 days, went to Trump Tower to brief him and said, sir, you were illegally surveilled.
[09:03.000 --> 09:10.000]  That's why they then days later said that was not authorized. Well, he's the incoming president. That's normal.
[09:10.000 --> 09:17.000]  Then they all called Clapper and Brennan for his firing because he wasn't a traitor.
[09:17.000 --> 09:37.000]  So think about this. They're all over the news in September and October and November, recklessly saying, we know they're all Russian agents. We've been spying on them.
[09:37.000 --> 09:47.000]  Trump gets in. Rogers comes and meets. Rogers explains how it was illegal, how the FISA court three times refused it, and they came back with orders from Obama.
[09:47.000 --> 09:54.000]  Rogers explains, sir, you can't release it until you're actively the president. Then you can, but you need to know what's happened.
[09:54.000 --> 10:10.000]  Trump becomes president. He sworn in on the 20th of January, 2017. And then he says there's a lot of leaking going on. There's been spying on me. It's illegal.
[10:10.000 --> 10:19.000]  And it's going to come out soon to the proper channels. They all lie and say, Trump is insane. No one ever spied.
[10:19.000 --> 10:25.000]  Comey goes and testifies. No one ever spied on anybody in the Trump campaign or any of his honor.
[10:25.000 --> 10:39.000]  Mueller says it. Rosenstein says it. Clapper says it. Brennan says it. They all go on television, under oath, and say this is insane.
[10:39.000 --> 10:50.000]  Close quote. The president is crazy. Close quote. Even though they were all on record saying, you watch it, buddy. There's seven ways to Sunday.
[10:50.000 --> 10:56.000]  The intelligence community to bring you down. We've been spying on you and we have the intercepts. Member one Schumer said that on CNN.
[10:56.000 --> 11:03.000]  We have them all bragging until the president goes, you know, that's illegal. And you know, leaking it's illegal.
[11:03.000 --> 11:13.000]  They went, oh, gosh, he's the president now. You're crazy. You're insane. No one was spying on you in a 24 hour period from the 20th.
[11:13.000 --> 11:22.000]  We're on the front page of the paper. Wiretaps of Trump Tower proved Russian collusion. Roger Stone's an agent. We haven't been under direct command under under Putin.
[11:22.000 --> 11:27.000]  Totally made up like change under direct command of Mary Poppins.
[11:27.000 --> 11:34.000]  Trump goes, you know, that's all illegal. The next day they go, you're insane. We never said it. It's crazy. Oh, my gosh.
[11:34.000 --> 11:42.000]  And I know you all remember this, but it's key to get this out to everybody and to take this live video and slash radio transmission.
[11:42.000 --> 11:54.000]  And I'm going to post this later in fours, this little segment and send it out to your friends and family because I can't tell you how many people have called me and texted me from Hollywood media Congress.
[11:54.000 --> 12:04.000]  You name it and said, will you send me one of your best videos explaining, because I'm arguing with my wife that there was illegal spying, but she's saying there wasn't.
[12:04.000 --> 12:10.000]  But now they're admitting there was. This is an important topic because they didn't just get the warrants illegally with lies.
[12:10.000 --> 12:16.000]  They didn't just purge themselves to Congress. They lied to everybody and said they never spied on anybody in the Trump entourage.
[12:16.000 --> 12:33.000]  When you have the Nunez memo and then you've got the actual 99 page investigation put out last year and got attention a few weeks ago of the FISA court where they said it was illegal.
[12:33.000 --> 12:42.000]  What was going on? This is their own report to the president saying, sir, this is what happened to you.
[12:42.000 --> 12:49.000]  And you got Peter Schiff fighting to have any of this released because him and Obama are both involved.
[12:49.000 --> 12:55.000]  That's why they're so scared. That's why they're so bug out. It's why they're so desperate because they thought they would get away with this.
[12:55.000 --> 12:57.000]  They thought Hillary was going to end up being elected.
[12:57.000 --> 13:15.000]  Now Nunez, as Trump said in his cover letter last week, is getting ready to release a bunch of other damning information because they're not backing down where they threatened to go after the president physically, where they're getting orders to take them down, where they're talking and text messages about leaking,
[13:15.000 --> 13:20.000]  classified information which didn't even contain treason or crime.
[13:20.000 --> 13:32.000]  But they claim it's a leak, so it makes it one. You understand? So they're using the secrecy wall to make stuff up and then pass it through like Comey and others got caught doing.
[13:32.000 --> 13:43.000]  So they want it. It's all going to happen and see they can't give up because they're innately criminal and they know they're criminal and their whole system's going over the edge right now.
[13:43.000 --> 14:02.000]  So the next big question is, what are they going to pull next? Because they spied on a candidate, the Republican nominee, president elect, right through the day he was president and it came out.
[14:02.000 --> 14:12.000]  They had their deep state people still in the NSA, still in the FBI, still in the CIA, and they were still leaking disinfo against the country.
[14:12.000 --> 14:30.000]  It's being reported. Nunes wants to publish as many as five more memos. What did I say two weeks ago? I said, I'm told it's a roadmap for more memos to come out that are going to be extensive with the bibliography, with the fact sheets, with a roadmap.
[14:30.000 --> 14:44.000]  Some of these memos they're saying are going to be hundreds of pages long of just text messages. We're going to get this son of a bitch. Don't worry. We're going to bring him down.
[14:44.000 --> 14:53.000]  You know, if we can't find it, we're going to have to make it up. If we can't get him on Russian connections, we're going to say he obstructed justice.
[14:53.000 --> 15:01.000]  We got to get somebody to roll and say that he said something that isn't true. I mean, they've already told the public what's there. I've talked to the sources.
[15:01.000 --> 15:13.000]  You think this other stuff hurt the FBI? What's hurting it is they won't roll over and stop their criminal activity at the Clinton crime network and the media, the globalist media won't give up.
