[00:00:04.735 --> 00:00:06.256]  It is Wednesday.
[00:00:35.402 --> 00:00:37.144]  June 3rd, 2009.
[00:00:37.144 --> 00:00:40.207]  We're going to be live here for the next four hours.
[00:00:40.207 --> 00:00:48.616]  Well, he's probably going to be announcing he's running for governor again here on this radio show today coming up in two hours.
[00:00:48.616 --> 00:00:49.697]  Best-selling author.
[00:00:50.814 --> 00:00:56.417]  Political activist, all-around interesting character, friends with Willie Nelson, Jesse Ventura, and many others.
[00:00:56.417 --> 00:01:01.621]  That's how I got to know Jesse Ventura, and then discovered he was already aware of my work.
[00:01:01.621 --> 00:01:06.203]  Kiki Friedman will be in studio today with us.
[00:01:06.203 --> 00:01:09.645]  We'll talk about a host of issues.
[00:01:09.645 --> 00:01:14.789]  Coming up in two hours, and I've never had him on the show before, but I found out that he is a listener.
[00:01:15.885 --> 00:01:19.608]  And he is Steve Voss, my favorite Patriot musician.
[00:01:19.608 --> 00:01:34.361]  You hear some of his little clips of some of his music here, some of the bumper music, but we'll be playing a few of his songs in their entirety coming up in the final hour today, because music's a great way to reach out to people and a great way to get your message across.
[00:01:35.444 --> 00:01:55.069]  And I've also decided to add Steve Voss's new Greatest Hits album and several other albums he's done to the InfoWars.com video slash bookstore slash music shop slash InfoWars gear where you can get great colors.
[00:01:55.069 --> 00:02:02.751]  Show your colors with pride at the Pro-Liberty, Anti-Tyranny t-shirts and ball caps at InfoWars.com.
[00:02:05.057 --> 00:02:09.280]  So that is coming up today.
[00:02:09.280 --> 00:02:25.353]  I am going to, at the bottom of this hour, get into Part 2 of the Cybersecurity Bill and exactly what it will do and what it will set up.
[00:02:25.353 --> 00:02:28.356]  So that is coming up in about 30 minutes.
[00:02:32.987 --> 00:03:01.446]  More and more, I realize that of the thousands and thousands of wonderful, outspoken, prominent filmmakers, authors, statesmen, researchers, fighting globalization, fighting the New World Order, that this radio show and my websites and what we do
[00:03:02.924 --> 00:03:13.231]  encompasses the largest and most effective operation against the globalists.
[00:03:13.231 --> 00:03:15.512]  Ron Paul is kind of a different animal.
[00:03:15.512 --> 00:03:32.724]  He is a statesman, politician, congressman, and overall that movement has energized people to basically then kind of use Ron Paul as a gateway to discover what we do, and it's a symbiotic relationship
[00:03:38.004 --> 00:03:52.193]  But overall, this radio show, my films, the work we do, is the most effective, biggest voice against the globalists, and that is an incredible responsibility.
[00:03:52.193 --> 00:03:56.876]  More and more, I am crushed by the responsibility.
[00:03:56.876 --> 00:03:58.958]  I am humbled.
[00:03:58.958 --> 00:04:04.661]  I am chastened.
[00:04:04.661 --> 00:04:05.562]  I am steeled.
[00:04:07.305 --> 00:04:23.016]  I am braced, buffeted by that responsibility and by the fact that we've done a lot of good, we've been very, very effective in many ways, but also I've made a lot of mistakes
[00:04:26.517 --> 00:04:29.440]  And I'm certainly not perfect, but I'll tell you this.
[00:04:29.440 --> 00:04:31.342]  I am trying the best I can.
[00:04:31.342 --> 00:04:33.684]  I am trying to be the best leader I can.
[00:04:33.684 --> 00:04:35.325]  I am trying to make the best decisions.
[00:04:35.325 --> 00:04:37.988]  I'm trying to bring you the most accurate information.
[00:04:37.988 --> 00:04:45.395]  I'm trying to take all the intensifying attacks from every quarter and put a good face on it and move forward.
[00:04:48.032 --> 00:04:49.533]  We have a lot of important news.
[00:04:49.533 --> 00:04:54.216]  It's very important on the eugenics front, the economy, a lot more.
[00:04:54.216 --> 00:04:56.037]  We'll break it all down on the other side.
[00:04:56.037 --> 00:04:57.398]  Big transmission lined up.
[00:04:57.398 --> 00:05:00.320]  Stay with us.
[00:05:00.320 --> 00:05:00.961]  Hello friends.
[00:05:00.961 --> 00:05:02.021]  This is Alex Jones.
[00:05:02.021 --> 00:05:03.382]  I've told you for a long time.
[00:05:03.382 --> 00:05:04.343]  It's important to be self
[00:05:13.507 --> 00:05:13.727]  We're good.
[00:05:30.930 --> 00:05:32.351]  Last year's grocery prices.
[00:05:32.351 --> 00:05:37.494]  Call 1-800-409-5633 or on the web go to eFoodsDirect.com.
[00:05:37.494 --> 00:05:43.757]  Visit eFoodsDirect.com and look over the fine list of high quality, pre-scribed and dehydrated foods they have to offer.
[00:05:43.757 --> 00:05:47.359]  Watch the free videos, look at their online catalog or give them a call at 1-800-409-5633.
[00:05:47.359 --> 00:05:48.900]  Again, 1-800-409-5633 or on the web at eFoodsDirect.com.
[00:05:48.900 --> 00:05:49.500]  Take action today.
[00:05:49.500 --> 00:05:51.341]  The first step is getting storable food.
[00:06:00.905 --> 00:06:02.306]  It is a big idea.
[00:06:02.306 --> 00:06:05.147]  A New World Order.
[00:06:05.147 --> 00:06:09.568]  In the near future, Earth is dominated by a powerful world government.
[00:06:09.568 --> 00:06:12.870]  It's known as the Bilderberg Group.
[00:06:12.870 --> 00:06:15.651]  Could their objective be world domination?
[00:06:15.651 --> 00:06:18.832]  For thousands of years, their dark order grew.
[00:06:18.832 --> 00:06:26.155]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:06:29.181 --> 00:06:34.625]  For the first time in history, the elite's plan for world government is blown wide open.
[00:06:34.625 --> 00:06:38.487]  You will learn the secret that drives the entire New World Order agenda.
[00:06:38.487 --> 00:06:41.069]  Build America is making great progress toward a world government.
[00:06:41.069 --> 00:06:42.050]  Most people have no idea.
[00:06:42.050 --> 00:06:43.030]  They're not after money.
[00:06:43.030 --> 00:06:44.311]  They have all the money they need.
[00:06:44.311 --> 00:06:45.272]  They're after power.
[00:06:45.272 --> 00:06:46.413]  That's what they're after these years.
[00:06:46.413 --> 00:06:54.918]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com or watch it online right now at PrisonPlanet.tv.
[00:06:54.918 --> 00:06:57.940]  Endgame, blueprint for global enslaving.
[00:06:57.940 --> 00:06:59.041]  You have been warned.
[00:07:01.603 --> 00:07:03.224]  Hi, I'm Steve Shank.
[00:07:03.224 --> 00:07:07.086]  A wise man once said, if a dog ain't bitin', dogs don't bite.
[00:07:07.086 --> 00:07:10.949]  This means most people don't really believe a disaster will hit them until it does.
[00:07:10.949 --> 00:07:20.335]  The ones who truly understand self-reliance are those who've experienced the devastation of a Midwest ice storm, tornadoes, floods, or the Southeast hurricane season.
[00:07:20.335 --> 00:07:26.740]  No matter where you live in our great country, fearless independence and safety means water, food, and an evacuation plan.
[00:07:27.586 --> 00:07:30.628]  Find efoodsdirect.com on the internet.
[00:07:30.628 --> 00:07:36.011]  They have a two-month grab-and-go kit that provides more than three super meals a day for two months.
[00:07:36.011 --> 00:07:39.073]  The cost is about five dollars a day.
[00:07:39.073 --> 00:07:41.614]  Call 800-409-5633.
[00:07:41.614 --> 00:07:50.880]  It will be tempting to eat these foods right now, but each one of us needs to keep one in the car and one next to the door just in case.
[00:07:51.866 --> 00:08:01.473]  Call 800-409-5633 or look on the web at efoodsdirect.com.
[00:08:01.473 --> 00:08:07.036]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[00:08:25.888 --> 00:08:40.454]  One of the favorite accusations of people is to say that Alex Jones exaggerates.
[00:08:40.454 --> 00:08:48.897]  That Alex Jones is painting things in a worse light than it is.
[00:08:48.897 --> 00:08:49.457]  I don't know.
[00:08:49.457 --> 00:08:51.578]  I saw mainstream government
[00:08:53.626 --> 00:09:12.320]  Press releases, and I saw corporate jockeying statements and documents two and a half years ago that they were planning to bankrupt Chrysler and GM, at least, perhaps Ford, and sell it off to China, India, Brazil, and Europe, and Russia.
[00:09:12.320 --> 00:09:15.682]  And I got on air and I said, this is the plan.
[00:09:15.682 --> 00:09:18.605]  And I said, during the economic implosion that will start in 2008 and run through 2012.
[00:09:21.724 --> 00:09:25.526]  And exactly what we said has now happened.
[00:09:25.526 --> 00:09:32.991]  I mean, I was just going off what they said they were going to do.
[00:09:32.991 --> 00:09:44.299]  And it's like this on hundreds and hundreds of issues, almost everything we talk about here ends up being worse when it actually happens than we had originally said.
[00:09:44.299 --> 00:09:49.362]  Everything we say is going to happen happens, and then even more horrible things happen on top of it.
[00:09:50.796 --> 00:09:57.342]  We have a criminal, illegitimate, rogue government, a planetary government, operating in the open.
[00:09:57.342 --> 00:09:59.784]  You can watch European Union Parliament meetings.
[00:09:59.784 --> 00:10:01.966]  You can read RAND Corporation documents.
[00:10:01.966 --> 00:10:03.427]  We play the clips here.
[00:10:03.427 --> 00:10:14.557]  We post the documents at Infowars.com and PrisonPlanet.com where they brag we're already under global governance and that they're going to expand it and mop up the final pockets of resistance.
[00:10:15.868 --> 00:10:26.363]  And that they will use financial terrorism, and economic terrorism, and pharmacological terrorism, and physical terrorism, and famine, and war.
[00:10:26.363 --> 00:10:30.228]  And it's all out in the open in the scholarly volumes.
[00:10:32.341 --> 00:10:46.586]  Meanwhile, the average American, the average European has no idea this is even going on, or if the Europeans go and vote down the expansion of EU power, destroying their liberties and freedoms, the EU Parliament just says, we don't care, we're doing it anyways.
[00:10:46.586 --> 00:10:58.270]  Take Britain, has sworn not to sign on to the treaty without a vote, and then they've just gone ahead and by fiat done it, and the news admits, yes, we're under EU regulation and control, and there's nothing you can do about it.
[00:11:00.100 --> 00:11:10.836]  Ireland says no, so their government moves to go ahead and start implementing the Treaty of Lisbon without
[00:11:11.929 --> 00:11:13.570]  Getting the people to approve it.
[00:11:13.570 --> 00:11:14.991]  That is tyranny.
[00:11:14.991 --> 00:11:16.313]  Plain and simple.
[00:11:16.313 --> 00:11:18.034]  The government is illegitimate.
[00:11:18.034 --> 00:11:19.855]  It's out of control.
[00:11:19.855 --> 00:11:25.440]  When we have private banks that have stolen $14.8 trillion, that number's a month old.
[00:11:25.440 --> 00:11:27.221]  Every few months we get new numbers.
[00:11:27.221 --> 00:11:30.103]  In seven months they stole $14.8 trillion.
[00:11:30.103 --> 00:11:34.227]  And I know I make that point ad nauseum because it's devastating.
[00:11:34.227 --> 00:11:36.669]  That's more than the GDP.
[00:11:36.669 --> 00:11:40.792]  That's a trillion, 800 billion more than the GDP in half a year.
[00:11:47.583 --> 00:11:51.505]  They are going for broke.
[00:11:51.505 --> 00:12:15.934]  And as if it couldn't get any more ridiculous, I'm driving into work this morning, listening to one of the local talk stations, and a caller calls in and talks about how blacks continue to be killed, shot in the back, homeless blacks, retarded blacks, autistic blacks,
[00:12:17.748 --> 00:12:30.593]  Blacks in their cars at night, and there's always an excuse for why it happens, and the squad car videos always malfunction, and then we always find out, oh, it didn't malfunction, there is a surveillance camera, and then they say, oh, but he had a gun.
[00:12:30.593 --> 00:12:36.776]  Then you read the news article closely, at the bottom it says, no, officers thought he reached for a gun.
[00:12:36.776 --> 00:12:40.517]  Just, just deception.
[00:12:40.517 --> 00:12:47.080]  And then another, and then the hosts start making jokes saying, oh, oh, Prison Planet, oh, the government wants to kill the blacks.
