[00:00:04.906 --> 00:00:06.447]  Ladies and gentlemen,
[00:00:35.407 --> 00:00:46.752]  Several years ago, as you know, North Korea detonated a low-yield atomic bomb in an underground facility, an underground test.
[00:00:46.752 --> 00:00:51.434]  They did that again Monday, as we mentioned yesterday.
[00:00:51.434 --> 00:00:56.356]  And they're doing this because the Stalinist regime is collapsing.
[00:00:58.979 --> 00:01:08.091]  It is run by the hereditary dictator, as all crime syndicates are generally in history, just like the Queen of England runs the Commonwealth countries.
[00:01:08.091 --> 00:01:10.454]  And he is running that nation completely into the ground.
[00:01:10.454 --> 00:01:12.837]  Millions and millions have been starved to death and killed.
[00:01:16.471 --> 00:01:24.036]  During the 50 plus year reign, it's almost 60 year reign, of these monsters.
[00:01:24.036 --> 00:01:25.297]  He and his father.
[00:01:25.297 --> 00:01:31.201]  He's preparing to pass it on to one of his little ne'er-do-well sons.
[00:01:31.201 --> 00:01:35.244]  Pass on the keys to the seven-story pleasure palace, as it's called.
[00:01:35.244 --> 00:01:39.927]  He literally has Asian film stars kidnapped.
[00:01:39.927 --> 00:01:46.031]  He's had planes hijacked by his security services to bring him to North Korea because he must have a particular
[00:01:48.072 --> 00:01:50.713]  Japanese or South Korean film star.
[00:01:50.713 --> 00:02:01.379]  I mean, he is... Well, you always see these James Bond-type villains and, you know, villains from history books and fables, fairy tales.
[00:02:01.379 --> 00:02:06.662]  Those are based on real personalities throughout history.
[00:02:06.662 --> 00:02:12.565]  In fact, the real McCoy, the bonafide, is always worse than what we can even fantasize about.
[00:02:12.565 --> 00:02:12.605]  So...
[00:02:20.458 --> 00:02:21.258]  It's just amazing.
[00:02:21.258 --> 00:02:29.441]  The real thing is worse than what any author can conjure up in their minds.
[00:02:29.441 --> 00:02:45.447]  I mean, who can conjure up Hitler having some of the assassins, people involved in the plot to try to kill him at the Wolf's Lair, hung with piano wire and then he would watch it and have them follow him around with a film projector in the film.
[00:02:45.447 --> 00:02:49.529]  He would watch it every day for nine months leading up to him
[00:02:51.479 --> 00:02:56.484]  Committing suicide in his Berlin bunker.
[00:02:56.484 --> 00:03:03.270]  I mean, watching people being executed every day, getting off on it.
[00:03:03.270 --> 00:03:04.671]  I digress.
[00:03:04.671 --> 00:03:11.718]  It's kind of like tunnel vision, getting hypnotized by the target I'm covering.
[00:03:11.718 --> 00:03:13.420]  That happens to a lot of
[00:03:15.077 --> 00:03:31.845]  Gunners in World War II flying in with their aircraft, with their cannons and machine guns, firing at a train or a ship, they would, they would kind of get target narcosis and fly right into it.
[00:03:31.845 --> 00:03:38.388]  But, I mean, just this diminutive, goblin-like, pot-bellied, weak, effeminate,
[00:03:39.255 --> 00:03:41.736]  Demon Kim Jong-il.
[00:03:41.736 --> 00:03:46.136]  And so you set the New World Order up against him, it makes the New World Order look good.
[00:03:46.136 --> 00:03:52.578]  But see, they're far worse because they're more refined and slick in the way they bring in their dehumanization and control.
[00:03:52.578 --> 00:03:56.299]  And they move slowly and they target the strong worldwide.
[00:03:56.299 --> 00:04:00.899]  They want to bring society down so they can more easily manage it and cull the population.
[00:04:00.899 --> 00:04:08.241]  They are light years more wicked than the uncontrolled psychopath Kim Jong-il of North Korea.
[00:04:09.633 --> 00:04:10.873]  But I digress.
[00:04:10.873 --> 00:04:23.558]  You know, I was so busy covering other issues in big international films, covering my work yesterday, that I didn't spend enough time on this.
[00:04:23.558 --> 00:04:29.800]  And that shows that we all get focused on things that aren't as important
[00:04:31.264 --> 00:04:34.207]  As the big geopolitical movements that are taking place.
[00:04:34.207 --> 00:04:38.332]  North Korea threatens armed strike into armistice.
[00:04:38.332 --> 00:04:40.014]  They basically ended that.
[00:04:40.014 --> 00:04:42.717]  That's the headline up on PrisonPlanet.com.
[00:04:42.717 --> 00:04:44.799]  It's absolutely key.
[00:04:44.799 --> 00:04:48.903]  Kurt Nimmo also did a story at InfoWars.com covering it.
[00:04:48.903 --> 00:04:52.748]  The Iranians have had their ships steam out to meet the US forces.
[00:04:54.480 --> 00:04:56.303]  I mean, this is just getting more and more insane.
[00:04:56.303 --> 00:04:58.245]  Russia fears World War III.
[00:04:58.245 --> 00:04:59.167]  So does China.
[00:04:59.167 --> 00:05:00.729]  Those are the mainstream headlines.
[00:05:00.729 --> 00:05:06.017]  What can you do to keep you and your family safe from the resistant new strains of deadly bacteria and viruses?
