[00:00:09.119 --> 00:00:10.480]  Kissed a renegade.
[00:00:10.480 --> 00:00:12.722]  You only want things that God has made.
[00:00:12.722 --> 00:00:17.205]  Go to hempusa.org.
[00:00:17.205 --> 00:00:19.446]  We offer free shipping anywhere in the states.
[00:00:19.446 --> 00:00:23.829]  Go to hempusa.org.
[00:00:23.829 --> 00:00:26.611]  Into a system that rank doctors based on cost.
[00:00:26.611 --> 00:00:28.812]  Thank you for listening to GCN.
[00:00:28.812 --> 00:00:31.694]  Visit gcnlive.com today.
[00:00:31.694 --> 00:00:33.336]  KLBJ Austin.
[00:00:36.773 --> 00:00:39.857]  Hier in USA Radio News, I'm Jason Walker.
[00:00:39.857 --> 00:00:44.283]  Just one week ago, North Korea launched that rocket against the urging of world leaders.
[00:00:44.283 --> 00:00:51.273]  Now the five permanent members of the UN Security Council, along with Japan, have finished working on a draft presidential statement.
[00:00:51.613 --> 00:01:06.470]  The document being circulated to the full 15-nation council says, quote, Security Council condemns the April 5th launch by the Democratic People's Republic of Korea, which is the contravention of its Security Council resolution number 1718.
[00:01:08.272 --> 00:01:13.877]  Pirates have seized a U.S.-owned tugboat in the Gulf of Aden, just north of Somalia.
[00:01:13.877 --> 00:01:19.882]  A Portuguese warship in the area says 10 members of the 16-man crew are Italian citizens.
[00:01:19.882 --> 00:01:21.544]  Crew believed to be unharmed.
[00:01:21.544 --> 00:01:29.070]  Meanwhile, still no resolution to that standoff with pirates who have captured the captain of a U.S.-flagged vessel.
[00:01:29.070 --> 00:01:31.933]  This is IRN USA Radio News.
[00:01:33.527 --> 00:01:38.010]  If you've been watching the news lately, you've been hearing a lot about the obstacles in our economy.
[00:01:38.010 --> 00:01:47.296]  If you'll listen for just a few seconds, I'll share the opportunities that this economic downturn is offering to those with the energy, courage, and know-how to take advantage of it.
[00:01:47.296 --> 00:01:49.297]  Hi, how in the world are you anyway?
[00:01:49.297 --> 00:01:52.499]  I'm Andy Willoughby with the Three Step Plan Home Business System.
[00:01:52.919 --> 00:01:57.705]  The three-step plan helps people feel better, look better, and make more money.
[00:01:57.705 --> 00:02:02.330]  History has shown that our product line actually grows during an economic slowdown.
[00:02:02.330 --> 00:02:09.618]  Our newest product category actually grew 21% during the last 12 months, while most business categories were dropping like a rock.
[00:02:10.143 --> 00:02:19.289]  With the 3-Step Plan, you can help yourself and others develop another stream of income to survive and prosper in today's uncertain business climate.
[00:02:19.289 --> 00:02:21.230]  Don't wait for things to get worse.
[00:02:21.230 --> 00:02:23.451]  Check out the 3-Step Plan today.
[00:02:23.451 --> 00:02:25.672]  Go to 3stepplan.com or call 800-480-2102.
[00:02:25.672 --> 00:02:25.712]  800-480-2102.
[00:02:33.664 --> 00:02:36.225]  Devastating twisters in the Volunteer State.
[00:02:36.225 --> 00:02:40.166]  Tennessee authorities say two people are dead after a tornado slammed the city of Murfreesboro.
[00:02:40.166 --> 00:02:44.348]  The bodies of a mother and her nine-year-old baby were found outside their damaged home.
[00:02:44.348 --> 00:02:46.408]  This man says he lost everything.
[00:02:46.408 --> 00:02:47.989]  Completely gone.
[00:02:47.989 --> 00:02:48.749]  Everything gone.
[00:02:48.749 --> 00:02:50.510]  Everything we've worked for all of our life.
[00:02:51.190 --> 00:02:52.151]  I'm Dave Fossari.
[00:02:52.151 --> 00:02:58.295]  President Obama expressing his best wishes to those celebrating Easter during his weekly radio address.
[00:02:58.295 --> 00:03:10.903]  Then turning to the economy, Obama pointed out that his recent overseas trip to meet with G20 leaders was to ensure the world's largest economies launch strong and unified action to address financial hurdles.
[00:03:10.903 --> 00:03:19.729]  French agency claiming American cyclist Lance Armstrong violated anti-doping rules after a training session in France.
[00:03:20.189 --> 00:03:28.559]  The AFLD claims that he failed to quote meet the obligation to remain under direct observation of the person controlling the test.
[00:03:28.559 --> 00:03:31.503]  For the latest news analysis log on to IRNnews.com
[00:03:33.439 --> 00:03:37.100]  You could be financially independent and never have to worry about money again.
