[00:00.000 --> 00:27.900] ...
[00:57.900 --> 00:59.900]  You
[01:28.900 --> 01:35.900]  It's not your fault Baby, it's not mine
[01:36.900 --> 01:43.900]  Our chance we're crossing the same roads All at one time
[01:44.900 --> 01:51.900]  Even if you say it, come in no time To beg a graceful theme
[01:51.900 --> 01:59.900]  One thing I know for sure But be no doubt when you see you
[02:00.900 --> 02:06.900]  Grats make their in the middle Grats make their in the middle
[02:09.900 --> 02:16.900]  I've always been the same wheels turning Won't you hear me say
[02:16.900 --> 02:25.900]  I've always been the same fires burning Above and away we are
[02:26.900 --> 02:31.900]  Grats make their in the middle of it Grats make their in the middle
[02:31.900 --> 02:39.900]  Grats make their in the middle of it Grats on the schedule
[02:39.900 --> 02:45.460]  I thought you were
[02:57.900 --> 03:06.900]  Not hoping for debate, I look for discussion We don't have to late
[03:06.900 --> 03:11.900]  You're supposed to have your own opinion
[03:11.900 --> 03:16.900]  Better hurry up and get one, get one
[03:16.900 --> 03:19.900]  Before it's too late
[03:19.900 --> 03:22.900]  Better hurry, listen, listen
[03:22.900 --> 03:25.900]  Before you know it, they'll be lining us
[03:25.900 --> 03:29.900]  One by one, one by one
[03:29.900 --> 03:34.900]  One word on the right smack dab in the middle of it
[03:34.900 --> 03:39.900]  Right smack dab in the middle, we are
[03:39.900 --> 03:43.900]  Right smack dab in the middle of it
[03:43.900 --> 03:46.900]  Right on schedule
[03:46.900 --> 04:06.900]  We're right smack dab in the middle of it
[04:16.900 --> 04:23.900]  Right smack dab in the middle, we are
[04:23.900 --> 04:29.900]  Right smack dab in the middle, we are
[04:29.900 --> 04:37.900]  Right smack dab in the middle, we are
[04:37.900 --> 04:59.540]  Okay folks welcome to info wars Alex Jones is in New York and we're expecting him to
[04:59.540 --> 05:06.820]  call in with a live report anytime now today's date is September 2, 04.
[05:06.820 --> 05:12.020]  If you're watching this at 7.04 you're watching a live show and Alex Jones will be calling
[05:12.020 --> 05:19.420]  in to give you a report from New York City I said get a rope New York City but he should
[05:19.420 --> 05:26.100]  be calling in here about 30 minutes until then we're fixing to change another tape out
[05:26.100 --> 05:32.260]  for your viewing pleasure but stay tuned for Alex Jones from New York City and we also
[05:32.260 --> 05:40.020]  have one more thing to tell you about and I'll let Sherry tell you about the Texas
[05:40.020 --> 05:50.380]  Liberty Jamboree coming up on September 18, 2004 at 9 a.m. and it should go to about 9
[05:50.380 --> 05:59.100]  p.m. in Curville, Texas and it's going to be at the Louise Hayes Park and that is September
[05:59.100 --> 06:02.940]  18th and she's going to tell you a little bit about what's going to go on there and
[06:02.940 --> 06:08.780]  it's free and open to the public Sherry thanks for coming.
