[00:00.000 --> 00:02.000]  now
[00:02.440 --> 00:04.440]  They think you're a goldfish
[00:05.340 --> 00:10.780]  I've been betting on you my whole life. I believe it. Yeah, I don't think you're stupid
[00:17.200 --> 00:21.360]  And we're kicking these trainers asses politically and we're not backing down at her
[00:23.280 --> 00:28.640]  Get these people we're waiting. I can feel the spirit rising can't you we have broken their back
[00:28.640 --> 00:30.640]  Yes, I can feel it
[00:30.640 --> 01:00.420]  Ah, come on. Come on, come on. Come onции
[01:00.640 --> 01:15.640]  And it's time for humanity to stand up in the Info War and say, I don't know what's going to happen at the end of this, but you want to fight, you better believe, you've got one!
[01:15.640 --> 01:35.640]  From the front lines of the information war, it's Alex Jones.
[01:35.640 --> 02:04.640]  It is incredibly sensational and important to everybody in the world, not just here in the US, that the Democrats are openly preparing a physical uprising, revolution in the United States, with enough violence in burning cities and racial conflict to be able to sell the idea to the weak need establishment.
[02:04.640 --> 02:09.640]  Establishment Republicans to remove President Trump.
[02:09.640 --> 02:23.640]  And in the moment that that's done, we see the mouse taming the tiger or the lion with always more demands from the globalist.
[02:23.640 --> 02:37.640]  The Democrats are, as constituents, the most weak-minded, easily led followers, but above them are criminals that are 100% conscious of their operations.
[02:37.640 --> 02:56.640]  Now, it cannot be overstressed that they are trying to trigger a civil war and that we already have a cultural civil war going on in this country by the anti-prosperity, anti-free market, anti-family, anti-Christian, and it's being programmed anti-white, even though it's white people actually trying to create the racial control.
[02:56.640 --> 03:07.640]  That's who's leading it and quarterbacking it. Most of the minorities are not buying into it because they know they're the majority and why would they want to burn down the country that's theirs.
[03:07.640 --> 03:21.640]  So there's a huge global awakening happening and the establishment has got its moron rena-mobbs out across the world, not just here, trying to bully nationalist, capitalist, populist back into submission.
[03:21.640 --> 03:24.640]  But they were never under your submission. They were asleep.
[03:24.640 --> 03:29.640]  I believe history shows, the evidence already shows, that this will cause a greater awakening to take place.
[03:29.640 --> 03:35.640]  The problem is that's two different freight trains at high speed moving towards each other on the same track.
[03:35.640 --> 03:42.640]  And you've got a lot of top historians coming out and saying that current political environment is pre-civil war.
[03:42.640 --> 03:54.640]  Well, there's that point in flux, flashpoint, where when were you pre, when were you in it, by the time you're in the civil war, it's too late.
