[00:00.000 --> 00:10.000]  The globalist great error is to believe that as they collapse humanity they end up on top.
[00:10.000 --> 00:14.000]  The truth is humanity is coming down fast.
[00:14.000 --> 00:20.000]  But we're miles above them on our journey to hell.
[00:20.000 --> 00:24.000]  You're listening to the Alex Jones Show.
[00:24.000 --> 00:31.000]  Ladies and gentlemen, we're live on this Sunday Worldwide Transmission, the 20th day of November 2016.
[00:31.000 --> 00:37.000]  We now know Trump's official battle plan, Americanism Not Globalism, is on the menu.
[00:37.000 --> 00:41.000]  In fact, it's the main course. This is incredibly, incredibly good news.
[00:41.000 --> 00:46.000]  And Ron Poles come out with a list of fake news organizations to counter mainstream media's new fake list.
[00:46.000 --> 00:53.000]  And guess who's on it? The mainstream media that lied us into wars and spews racism and gives us fake polls.
[00:53.000 --> 00:55.000]  First, let's look at fake news.
[00:55.000 --> 01:04.000]  Having lost the election and lost the argument, the butthurt left and the rigged media is desperate to salvage some scrap of credibility.
[01:04.000 --> 01:08.000]  So they've decided to create a new panic over so-called fake news.
[01:08.000 --> 01:12.000]  Pressuring Google and Facebook to take action against fake news websites.
[01:12.000 --> 01:19.000]  Oh, and when they say fake news, that includes any reporting or opinion that contradicts their leftist narrative.
[01:19.000 --> 01:29.000]  The blacklist that all the mainstream media websites are circulating as the official designation of what constitutes fake news includes info wars and bright bar.
[01:29.000 --> 01:31.000]  Well, imagine my shock.
[01:31.000 --> 01:37.000]  But this list of fake news websites, it had to be created by a reasoned, level-headed, impartial source.
[01:37.000 --> 01:40.000]  There can't be any bias involved in this, right? Wrong.
[01:40.000 --> 01:53.000]  It was created by a radical leftist safe space social justice warrior assistant professor who describes herself as a feminist activist and who supports extreme left-wing groups like Black Lives Matter and Occupy Wall Street.
[01:53.000 --> 01:55.000]  Well, imagine my shock.
[01:55.000 --> 02:12.000]  So the media is circulating a list of fake news websites created by an incredibly biased left-wing social justice warrior, which just by coincidence is full of conservative news websites and then demanding Google and Facebook censor that content.
[02:12.000 --> 02:20.000]  This is all happening while Twitter also mass purges so-called alt-right accounts for daring to express unauthorized opinions.
[02:20.000 --> 02:30.000]  They're also promoting a Chrome browser extension that automatically flags so-called fake news websites based on this same SJW created blacklist.
[02:30.000 --> 02:32.000]  And imagine my shock.
[02:32.000 --> 02:35.000]  Infowars.com is on that list.
[02:35.000 --> 02:38.000]  Listen, we all know that there are actual fake news websites.
[02:38.000 --> 02:40.000]  They're pretty easy to spot.
[02:40.000 --> 02:43.000]  And some of them even admit that they're fake news websites.
[02:43.000 --> 02:50.000]  But there's a difference between fake news stories like this and having a conservative opinion.
[02:50.000 --> 02:57.000]  And anyway, who gave the mainstream media the right to be judge, jury, and executioner of what constitutes fake news?
[02:57.000 --> 03:00.000]  All you do is put out fake news.
[03:00.000 --> 03:03.000]  You're the aficionados of fake news.
