[00:00:02.040 --> 00:00:02.720]  Is the U.S.
[00:00:02.720 --> 00:00:15.005]  involved with any procuring of weapons, transfer of weapons, buying, selling, anyhow transferring weapons to Turkey out of Libya?
[00:00:15.005 --> 00:00:17.405]  To Turkey?
[00:00:17.405 --> 00:00:18.746]  It is a big idea.
[00:00:19.941 --> 00:00:21.482]  A new world order.
[00:00:21.482 --> 00:00:25.205]  How is it that this organization is so well-funded, so organized?
[00:00:25.205 --> 00:00:32.629]  Islamic State-linked militants have gained a stronger foothold in Libya, seizing new economically vital areas of the country.
[00:00:32.629 --> 00:00:40.695]  The leader of ISIS in Libya is none other than Abdel Hakim Belhadj, and of course he was armed to the teeth by NATO.
[00:00:41.015 --> 00:00:45.178]  The world in which there is the very real prospect of a new world order.
[00:00:45.178 --> 00:00:49.701]  The Russians say they're negotiating with North Korea to hold joint military exercises.
[00:00:49.701 --> 00:00:56.765]  Kim Jong-un and Vladimir Putin teaming up, creating an ominous alliance against the United States.
[00:00:56.765 --> 00:01:03.489]  Maxine... Maxine Waters says that Putin hit... Korea.
[00:01:03.489 --> 00:01:08.713]  Saudi Arabia is apparently prepared to allow Israeli jets into its airspace to conduct attacks on Iran.
[00:01:09.133 --> 00:01:14.057]  We have an unprecedented opportunity to build a new world order.
[00:01:14.057 --> 00:01:20.363]  I set up a foundation in Ukraine and play an important part in events now.
[00:01:20.363 --> 00:01:24.786]  Ukraine is set to receive the first tranche of an international monetary fund aid package.
[00:01:24.786 --> 00:01:29.510]  We had brokered a deal to transition power in Ukraine.
[00:01:29.510 --> 00:01:31.272]  Vladimir Putin is on the move.
[00:01:33.636 --> 00:01:44.683]  Only when this transformation is complete will we be able to take full measure of the opportunities presented by this new and involving world order.
[00:01:44.683 --> 00:01:47.484]  It's known as the Bilderberg Group.
[00:01:47.484 --> 00:01:49.706]  Could their objective be world domination?
[00:01:55.023 --> 00:01:56.563]  Here we are, Friday, March 17, 2017.
[00:01:56.563 --> 00:01:58.184]  I'm your host, Alex Jones.
[00:01:58.184 --> 00:02:04.986]  I'll tell you about some of the special guests that are coming up a little bit later in the broadcast.
[00:02:04.986 --> 00:02:12.928]  The big news, obviously, Tellerson, that's the Secretary of State, folks, doesn't rule out preemptive strike on North Korea.
[00:02:14.232 --> 00:02:28.895]  That's our headline today as we kick off the broadcast that the United States is closer to war with North Korea since the ceasefire was set at the end of the Korean War more than 50 plus years ago.
[00:02:28.895 --> 00:02:31.476]  Tillerson doesn't rule out perhaps strikes on North Korea.
[00:02:31.476 --> 00:02:43.499]  They fired scores of missiles this year right over the coastline of Japan and are openly threatening to use nuclear weapons on Tokyo and Seoul, South Korea.
[00:02:44.636 --> 00:02:47.939]  Two of the most populous cities in the world.
[00:02:47.939 --> 00:02:49.060]  They're both in the top ten.
[00:02:49.060 --> 00:02:53.604]  Some of the leftist media is criticizing Tillerson.
[00:02:53.604 --> 00:02:57.247]  What is he supposed to do?
[00:02:57.247 --> 00:03:08.778]  When they're threatening to attack everybody, he's saying, well, we may have to preemptively strike you if we see nuclear weapons via satellite or surveillance aircraft being loaded onto those missiles, we're going to have to hit you.
[00:03:08.778 --> 00:03:10.800]  And at that point, they've got to decapitate
[00:03:11.820 --> 00:03:22.646]  The government in North Korea in Pyongyang, or however you pronounce it, and Kim Jong-un, the little satanic third-generation communist bloodsucker.
[00:03:22.646 --> 00:03:36.995]  So again, the whole world on the edge of destruction because of centralized, out-of-control communist dictatorships, run by completely insane weaklings with everyone worshipping them, because that's what people worship in a state-run system, is weakness.
[00:03:38.288 --> 00:03:42.132]  Tillerson, preemptive military action against North Korea, an option.
[00:03:42.132 --> 00:03:43.933]  The U.S.
[00:03:43.933 --> 00:03:47.837]  says strategic patience on North Korea is over.
[00:03:47.837 --> 00:03:49.318]  And China needs to be called right now.
[00:03:49.318 --> 00:03:53.222]  You were given the Panama Canal, you were given all the technology, you were given all this power.
[00:03:53.222 --> 00:03:58.147]  We let you send your unlimited populations over here to have their babies for free and become citizens.
[00:03:59.671 --> 00:04:02.214]  We don't even criticize you when you have mobile execution vans now.
[00:04:02.214 --> 00:04:04.776]  Hell, you even work with our media to help censor the American people.
[00:04:04.776 --> 00:04:06.277]  Hell, you're buying up Hollywood.
[00:04:06.277 --> 00:04:10.661]  You control North Korea, and Kim Jong-un needs to fall down and hit his head.
[00:04:10.661 --> 00:04:17.548]  That regime needs to fall, and you need to stop using it as something to menace Japan and South Korea as your set piece.
[00:04:17.548 --> 00:04:18.969]  But China doesn't care, see?
[00:04:18.969 --> 00:04:21.291]  They're taking over the South China Sea, 90 plus percent of it.
[00:04:22.116 --> 00:04:23.699]  Historically they had about a third of it.
[00:04:23.699 --> 00:04:34.318]  They're taking islands that have belonged to Japan and that have undisputedly belonged to the Philippines for hundreds and hundreds of years and they're just taking them.
[00:04:34.318 --> 00:04:35.199]  Islands people live on.
[00:04:36.462 --> 00:04:37.803]  Kicking them off and moving in.
[00:04:37.803 --> 00:04:39.543]  Or building artificial ones.
[00:04:39.543 --> 00:04:41.164]  So these are the big issues we're talking about.
[00:04:41.164 --> 00:04:43.545]  Why is all hell breaking loose now?
[00:04:43.545 --> 00:04:47.106]  It was already breaking loose during the election.
[00:04:47.106 --> 00:04:54.629]  It's all coming to a head now and Trump is handling it exactly like most top tacticians and historians say he should be.
[00:04:54.629 --> 00:04:57.831]  With strength, but controlled strength.
[00:04:57.831 --> 00:04:58.351]  We'll be back.
[00:04:58.351 --> 00:04:58.771]  Stay with us.
[00:05:02.065 --> 00:05:06.027]  We use cell phones against our heads every day, but now a landmark U.S.
[00:05:06.027 --> 00:05:11.649]  government study confirms increased health risks from exposure to EMF radiation emitted from these devices.
[00:05:11.649 --> 00:05:13.709]  The time to protect yourself is now.
[00:05:13.709 --> 00:05:15.570]  The solution is DefenderShield.
[00:05:15.570 --> 00:05:22.693]  Proudly made in the USA, DefenderShield blocks virtually 100% of EMF radiation emitted from cell phones, tablets, and laptops.
[00:05:22.693 --> 00:05:24.593]  Buy now at DefenderShield.com.
[00:05:24.593 --> 00:05:26.814]  Use discount code DEFENDER for 10% off.
[00:05:26.814 --> 00:05:28.195]  DefenderShield.com.
[00:05:28.195 --> 00:05:30.756]  The worldwide leader in EMF radiation protection.
[00:05:31.716 --> 00:05:38.701]  By now you know that wireless technology like cell phones do in fact pose dangers to the health and privacy of everyone.
[00:05:38.701 --> 00:05:43.685]  Block It Pocket's wide range of products are unmatched in providing the protection you deserve.
[00:05:43.685 --> 00:05:45.946]  No scare tactics, just common sense.
[00:05:45.946 --> 00:05:52.571]  BlockItPocket.com offers quality American-made options to alleviate and eliminate these invisible dangers.
[00:05:52.571 --> 00:05:54.572]  Learn more at BlockItPocket.com or call 888-315-9618.
[00:05:54.572 --> 00:05:56.414]  BlockItPocket.com, enhancing health and privacy.
[00:06:01.604 --> 00:06:07.547]  Men, if you're like me, you appreciate the feeling of a clean, smooth shave from a quality blade.
[00:06:07.547 --> 00:06:10.529]  The sort of shave that cuts clean without the burn.
[00:06:10.529 --> 00:06:20.694]  So why are you messing around with generic razors that cost $32 for an 8-pack, when you can shave with Harry's high-quality German-engineered blades for half the price?
[00:06:21.414 --> 00:06:34.298]  And because Harry's is so confident in the quality of their blades, they'll send you their most popular set, complete with a razor, one of their world-famous blades, shaving cream, and post-shave balm for free, if you cover shipping.
[00:06:34.298 --> 00:06:39.359]  A total value of $20 at no cost to you, with code 1165 at checkout.
[00:06:39.359 --> 00:06:41.380]  Their way of saying thank you for trying them.
[00:06:42.020 --> 00:06:46.846]  How is Harry's able to save you all this money and still give you the best shave you'll ever enjoy?
[00:06:46.846 --> 00:06:49.889]  By owning the factory that manufactures the blades.
[00:06:49.889 --> 00:06:50.911]  That's how.
[00:06:50.911 --> 00:06:57.458]  Go to harrys.com now and enter code 1165 at checkout to claim your free trial set and post-shave balm.
[00:06:57.458 --> 00:06:58.920]  That's harrys.com.
[00:06:58.920 --> 00:06:59.160]  Code 1165.
[00:07:00.942 --> 00:07:05.625]  President Trump is cleaning up Washington, but the media and Barack Obama want to stop him.
[00:07:05.625 --> 00:07:07.867]  They've declared total war against him.
[00:07:07.867 --> 00:07:13.190]  Now, David Horowitz's Big Agenda reveals Obama's secret plan to destroy Trump.
[00:07:13.190 --> 00:07:16.032]  Rush Limbaugh says you must read Big Agenda.
[00:07:16.032 --> 00:07:18.573]  Newsmax calls it the best Trump book yet.
[00:07:18.573 --> 00:07:22.356]  Get Big Agenda, a number one bestseller, or check out our free offer.
[00:07:22.356 --> 00:07:27.939]  Call 800-NEWSMAX, 800-NEWSMAX, or go online at bigagenda411.com.
[00:07:27.939 --> 00:07:29.040]  That's bigagenda411.com.
[00:07:30.782 --> 00:07:35.904]  The answer to being in control of your own health care is freedom from insurance.
[00:07:35.904 --> 00:07:41.586]  Become part of a group of self-pay patients that come together to share in each other's medical expenses.
[00:07:41.586 --> 00:07:46.789]  Individual share amounts begin at $107 a month and $347 for families.
[00:07:46.789 --> 00:07:48.749]  Choose from three health sharing programs.
[00:07:48.749 --> 00:07:51.130]  Holistic treatment may be eligible for sharing.
[00:07:51.130 --> 00:07:52.071]  See guidelines.
[00:07:52.071 --> 00:07:55.352]  Discount programs available for dental, vision, and pharmacy.
[00:07:55.352 --> 00:07:57.293]  Go to LibertyOnCall.org.
[00:07:57.293 --> 00:07:59.134]  That's LibertyOnCall.org.
[00:08:07.168 --> 00:08:13.209]  We now take you live to the Central Texas Command Center, in the heart of the resistance.
[00:08:13.209 --> 00:08:16.790]  You're listening to the Alex Jones Show!
[00:08:16.790 --> 00:08:29.793]  Well, the Secretary of State says military action and a first strike is on the table against the belligerent, spoiled, rotten, coward, and weakling, Kim Jong-un, who has been threatening to
[00:08:32.609 --> 00:08:38.352]  Nuke Japan, Tokyo, and nuke South Korea's capital, Seoul.
[00:08:38.352 --> 00:08:44.335]  They're threatening open mass murder, the killing of tens of millions of innocent people.
[00:08:44.335 --> 00:08:51.559]  If everyone doesn't submit to him and give him more money and more food and technology transfers, that he will
[00:08:54.110 --> 00:08:57.638]  Start World War III, because China will undoubtedly try to come in.
[00:08:57.638 --> 00:08:59.903]  Unless somehow they can be reasoned with.
[00:08:59.903 --> 00:09:01.326]  But see, they're all delusional.
[00:09:01.326 --> 00:09:03.791]  They've had power, the communists, since 1947.
[00:09:06.880 --> 00:09:07.200]  I think?
[00:09:25.540 --> 00:09:40.303]  But they've got over 100,000 pieces of artillery aimed at the South, and they've got missiles given to them by Communist China that can hit Japan and hit areas of Russia, you name it, and now they're threatening to attack Japan and South Korea.
[00:09:41.656 --> 00:09:45.939]  And our media is saying, is Tillerson being too tough, saying military options on the table?
[00:09:45.939 --> 00:10:01.790]  When someone's saying, I have nuclear weapons and I'm going, got the quotes here, he broadcast it two days ago, Kim Jong-un, to annihilate you and unleash hell and death and nuke you, you then got to ask yourself, why on earth?
[00:10:03.271 --> 00:10:19.076]  Did Bill Clinton and Hillary Clinton in the 1990s through ABB allow the transfer of nuclear reactors bipartisanly, but they honchoed it, to North Korea so they could then create the fissile material for atomic bombs?
[00:10:19.076 --> 00:10:21.137]  And why did they transfer to China?
[00:10:21.137 --> 00:10:32.641]  The booster technology, the separation technology, the guidance technology, the warhead miniaturization technology, the multiple re-entry device technology from
[00:10:34.778 --> 00:10:51.727]  Launch, to re-entry, to guidance, to counter systems so that missiles can't shoot down your missile, all of it transferred and given to them.
[00:10:51.727 --> 00:10:53.487]  That's the globalists.
[00:10:53.487 --> 00:10:55.428]  That's the New World Order.
[00:10:55.428 --> 00:10:58.830]  That's Bill Clinton and Hillary Clinton.
[00:10:58.830 --> 00:10:59.971]  On record, they gave
[00:11:01.204 --> 00:11:16.132]  Our basic MX missile technology, that wasn't even developed in the late 70s and early 80s, gave them 15 years later, 16 years later, those advanced ICBM technologies.
[00:11:16.132 --> 00:11:21.895]  Just remember that!
[00:11:21.895 --> 00:11:23.616]  Just let that sink in.
[00:11:23.616 --> 00:11:25.917]  And the very same people
[00:11:30.546 --> 00:11:39.629]  have now announced in Europe that if you criticize Islam you'll be arrested and they started flagging people five years ago with Facebook, Twitter, and Google.
[00:11:39.629 --> 00:11:50.433]  If you even mildly criticized Islam and said it's incompatible with our open free societies they would restrict you, block you, not let you surf, not let you share.
[00:11:50.433 --> 00:11:55.695]  Then three years ago they started fining people in Germany, in Sweden, in Denmark, and in France.
[00:11:57.486 --> 00:12:03.810]  Then a year ago they started coming and arresting you at your home.
[00:12:03.810 --> 00:12:10.275]  The leader in the French presidential election, Le Pen, was charged with a felony last year of criticizing Islam.
[00:12:10.275 --> 00:12:12.717]  It's illegal in France.
[00:12:12.717 --> 00:12:15.899]  She said it's as big a threat as we face in World War II to our sovereignty.
[00:12:15.899 --> 00:12:16.840]  Totally true.
[00:12:16.840 --> 00:12:17.620]  Completely true.
[00:12:17.620 --> 00:12:20.022]  In fact, the Nazis let the French have their French culture.
[00:12:21.135 --> 00:12:26.196]  The Nazis were bad, but you could say Islam is an even greater threat because it won't let you have your original culture.
[00:12:26.196 --> 00:12:30.877]  The Nazis saw French culture as pretty much Germanic and said, sure, keep your culture.
[00:12:30.877 --> 00:12:36.318]  In fact, we'll steal your artwork and your wine.
[00:12:36.318 --> 00:12:38.919]  So, you know, the Germans and the French are pretty related.
[00:12:38.919 --> 00:12:42.259]  The point is, is that that's a totally true statement.
