[00:00.000 --> 00:10.000]  Ladies and gentlemen, it's Sunday, October 24th, 2021.
[00:15.000 --> 00:20.000]  Live from Austin, Texas, it's Alex Jones.
[00:20.000 --> 00:27.000]  And thanks to our good Lord and Savior, working through all of you and your great action.
[00:27.000 --> 00:32.000]  We are closing in on Fauci and Peter Dazik and Bill Gates and all of them.
[00:32.000 --> 00:35.000]  I told you they were going to be exposed.
[00:35.000 --> 00:37.000]  I told you there were crimes would come out.
[00:37.000 --> 00:41.000]  I told you because they've been off more than they can chew.
[00:41.000 --> 00:45.000]  And we are coming to the end of an era, the end of their New World Order.
[00:45.000 --> 00:48.000]  That's what their great reset is, an attempt to suppress us.
[00:48.000 --> 00:54.000]  Okay, okay, we've got so much huge news on this live Sunday transmission.
[00:54.000 --> 00:58.000]  And Owen Schroyer is going to be in studio here with me coming up in just a few segments.
[00:58.000 --> 01:02.000]  But if you're a TV viewer, we're going to be putting this on screen for radio listeners.
[01:02.000 --> 01:07.000]  I'm going to post this in the live show feed of this broadcast today under the live show feed.
[01:07.000 --> 01:14.000]  I've seen tens of thousands of amazing memes in the last few decades before they even called them memes, internet memes.
[01:14.000 --> 01:21.000]  I've seen thousands and thousands of months just during the whole globalist takeover using the COVID-19 hysteria.
[01:21.000 --> 01:28.000]  And it's been hard to say which one is the most important, which one is the most powerful, because there's been so many.
[01:28.000 --> 01:40.000]  But I saw one just sent to me by a buddy at the Pentagon who's in PsyOps just a few minutes ago that is the best meme that I've ever seen.
[01:40.000 --> 01:42.000]  There it is on screen.
[01:42.000 --> 01:44.000]  The evolution of war.
[01:44.000 --> 01:50.000]  First it was a stone, then it was a spear, then it was an arrow, then it was a bullet,
[01:50.000 --> 01:54.000]  then it was a missile, and then it was an injector.
[01:54.000 --> 01:58.000]  Because it's a weapon that you don't even know is targeting you.
[01:58.000 --> 02:02.000]  It's rolled out under the auspices of your health and your safety.
[02:02.000 --> 02:03.000]  But it's a lie.
[02:03.000 --> 02:11.000]  This is the most important graphic because if people don't figure this out and have an epiphany and a great awakening about this,
[02:11.000 --> 02:16.000]  the globalist can be able to sterilize us and depopulate us with this program.
[02:16.000 --> 02:26.000]  And boy do we have evidence of information of that that is just so overwhelming and the biggest news ever that's come out yet on what's in these shots.
[02:26.000 --> 02:35.000]  The British government, the Swedish government, the government of the Netherlands, the U.S. government, the U.S. regulators.
[02:35.000 --> 02:42.000]  They've all come out and said that you're more apt to get sick or die if you take these shots, that it erases your immune systems,
[02:42.000 --> 02:47.000]  that it's causing all these problems and causing heart attacks and microcarditis, heart swelling.
[02:47.000 --> 02:52.000]  And it is not, repeat, not a rare side effect.
[02:52.000 --> 02:54.000]  In fact, it is the main effect of it.
[02:54.000 --> 02:59.000]  And now they have all these mystery colds where you don't have COVID, but people that are double-vaxxed, it seems.
[02:59.000 --> 03:02.000]  The London Telegraph said a few weeks ago, it's funny.
[03:02.000 --> 03:07.000]  The statistics show the double-vaxxed are the ones getting the mystery cold.
[03:07.000 --> 03:09.000]  They call it the super cold.
[03:09.000 --> 03:10.000]  It's a mystery cold.
[03:10.000 --> 03:12.000]  The super cold is a mystery cold.
[03:12.000 --> 03:13.000]  And it's killing people.
[03:13.000 --> 03:14.000]  They can't breathe.
