[00:00:00.249 --> 00:00:01.990]  Government cover-ups.
[00:00:01.990 --> 00:00:03.590]  You want answers?
[00:00:03.590 --> 00:00:05.131]  Well, so does he.
[00:00:05.131 --> 00:00:09.332]  He's Alex Jones on the GCN Radio Network.
[00:00:09.332 --> 00:00:13.374]  And now, live from Austin, Texas, Alex Jones.
[00:00:33.038 --> 00:00:35.779]  We've got a really big broadcast lined up for you today.
[00:00:35.779 --> 00:00:40.402]  I'll tell you about some of the guests that are coming up in a few minutes.
[00:00:40.402 --> 00:00:47.285]  In the meantime, I do want to let you know that I am going to Virginia next Wednesday, Thursday, Friday, Saturday, and coming back on Sunday.
[00:00:47.285 --> 00:00:50.226]  We'll be in Chantilly, right outside the District of Criminals.
[00:00:50.226 --> 00:00:58.410]  We'll be covering Bilderberg 2008 for you there, and we hope to see everybody out there as well.
[00:00:58.410 --> 00:00:59.671]  We'll be posting over the weekend.
[00:01:00.431 --> 00:01:19.109]  I mean, that's already up there in some stories we've written in the last two weeks, but we'll give everybody the exact details and where we're going to be at so that you can come out, demonstrate, engage in the First Amendment as free citizen press, whatever you'd like to cover the global elite coming into the United States and setting policy.
[00:01:20.799 --> 00:01:26.722]  First thing I want to do right now is air this little three-minute CNN piece where they attempt to whitewash.
[00:01:26.722 --> 00:01:30.324]  They don't deny that the United States government created HIV.
[00:01:30.324 --> 00:01:35.867]  And when I say United States government, the criminal government that sits atop our government and controls it.
[00:01:35.867 --> 00:01:41.811]  The parasite that sits in our central nervous system, controlling the levers.
[00:01:41.811 --> 00:01:47.414]  They just try to mix it in with some other issues that they claim can't be completely proven.
[00:01:48.007 --> 00:02:00.073]  And the fact that they can't deny it is because there is so much evidence, so many admissions, so many Nobel Prize winners and top scientists and documents, that when you look at it, it is horrifying.
[00:02:00.073 --> 00:02:14.760]  The question is, do you have the courage to admit psychopathic murderers, genius scientists, run the planet for a handful of banking families and are waging biological warfare, chemical warfare on all of us right now?
[00:02:16.312 --> 00:02:27.039]  Then, acting cool and primping or, you know, going to church for social reasons or, you know, all these little political things we do don't matter as much anymore, do they?
[00:02:27.039 --> 00:02:35.944]  Your precious local baseball team doesn't matter as much when you realize that we have psychopaths running our lives and it needs to change because things are about to get even worse.
[00:02:35.944 --> 00:02:36.885]  Let's go ahead and go to that clip.
[00:02:37.287 --> 00:02:41.113]  Reverend Jeremiah Wright has his theories and he's sticking to them.
[00:02:41.113 --> 00:02:43.135]  Take this assertion from a few years ago.
[00:02:43.135 --> 00:02:50.886]  The government lied about inventing the HIV virus as a means of genocide against people of color.
[00:02:50.886 --> 00:02:51.828]  Government's lie!
[00:02:52.777 --> 00:03:00.500]  Now, under the glare that's gotten Barack Obama into such a deep political dilemma, Reverend Wright is asked, do you really believe that?
[00:03:00.500 --> 00:03:04.642]  Have you read Horowitz's book, Emerging Viruses, AIDS and Ebola?
[00:03:04.642 --> 00:03:14.426]  In the 1996 book, Emerging Viruses, Dr. Leonard Horowitz wrote that HIV was introduced to gay men in New York and blacks in Central Africa by a U.S.
[00:03:14.426 --> 00:03:21.849]  government-sponsored hepatitis B vaccine, a program of genocide, Horowitz claims, designed to reduce the world's population.
[00:03:22.569 --> 00:03:25.973]  The author is grateful for Reverend Wright's acknowledgment.
[00:03:25.973 --> 00:03:40.269]  He's simply doing a godly service and a public service by pointing out the truth that has been heavily suppressed by government officials as well as, unfortunately, the mainstream media.
[00:03:40.831 --> 00:03:47.257]  Horowitz claims the Centers for Disease Control came up with one of the strains of the vaccine and then helped cover the scheme up.
[00:03:47.257 --> 00:03:56.726]  Contacted by CNN, a CDC official points to government-sponsored research that identifies a subspecies of chimpanzees in Western Africa as the original source of HIV.
[00:03:57.907 --> 00:04:01.129]  This is a widely held theory among medical researchers.
[00:04:01.129 --> 00:04:05.111]  But Reverend Wright cites another book that has more historical support.
[00:04:05.111 --> 00:04:06.832]  Have you read Medical Apartheid?
[00:04:06.832 --> 00:04:14.276]  Based on this Tuskegee experiment, and based on what has happened to Africans in this country, I believe our government is capable of doing anything.
