[00:00:01.049 --> 00:00:01.470]  I'm good.
[00:00:19.668 --> 00:00:20.669]  It is August 31st.
[00:00:20.669 --> 00:00:22.030]  The year is 2020.
[00:00:22.030 --> 00:00:23.952]  I am your host Alex Jones.
[00:00:23.952 --> 00:00:26.614]  I want to thank you all for joining us today.
[00:00:26.614 --> 00:00:30.297]  The only way I can start a broadcast is with the truth.
[00:00:30.297 --> 00:00:34.061]  And I've started this show hundreds of times this way because it's true.
[00:00:34.061 --> 00:00:34.561]  We have just been
[00:00:44.284 --> 00:00:52.670]  Peaking for 20 years going into the New World Order, and now we're hitting the peak of the peak of the peak.
[00:00:52.670 --> 00:01:06.401]  World governments being announced, brain chips are being announced, colleges across the Western world are announcing that students will stay in prison cells, apps will track everything you're doing, robots will control you.
[00:01:06.401 --> 00:01:11.625]  The dam broke and hell came in.
[00:01:11.625 --> 00:01:12.846]  And all of it is based
[00:01:14.611 --> 00:01:24.413]  On the COVID-19 hoax, and it turns out at Davos this year, some of the top globalists were bragging how they were going to use the virus to bring down the West and Trump.
[00:01:24.413 --> 00:01:26.974]  It's incredible.
[00:01:26.974 --> 00:01:34.436]  But here's what I'm going to start with right now that actually makes me breathless.
[00:01:34.436 --> 00:01:37.276]  Makes me have an anxiety attack.
[00:01:37.276 --> 00:01:40.277]  Because we have victory in our hands.
[00:01:42.259 --> 00:01:43.380]  If we recognize it.
[00:01:43.380 --> 00:01:53.128]  But I understand the criminal algorithm that the globalists are involved in.
[00:01:53.128 --> 00:02:05.418]  And so, I am doing my best here to try to impart to you, so it doesn't just get lost in the background noise, how huge this is.
[00:02:05.418 --> 00:02:09.541]  The CDC came out this weekend
[00:02:13.143 --> 00:02:24.195]  And release data quietly that 90 plus percent of the COVID-19 tests are false positive by design.
[00:02:24.195 --> 00:02:27.559]  That clinics across the country and hospitals are faking them to make money.
[00:02:27.559 --> 00:02:31.683]  And the big one.
[00:02:32.665 --> 00:02:39.187]  Just 6% of COVID deaths occurred without comorbidities, like being 85 years old with cancer and heart disease.
[00:02:39.187 --> 00:02:41.908]  And then they just put on the death certificate that you died of it.
[00:02:41.908 --> 00:02:45.770]  Now, we already know all of this.
[00:02:45.770 --> 00:02:49.311]  But it's now mainstream news.
[00:02:49.311 --> 00:02:55.053]  ABC, CBS, all of it.
[00:02:55.053 --> 00:02:57.213]  Fox News.
[00:02:57.213 --> 00:03:00.535]  Now, how did Trump know what to do to shut down?
[00:03:00.535 --> 00:03:01.415]  Because here's the deal.
[00:03:03.883 --> 00:03:08.269]  Fauci and Gates don't engage in fraud.
[00:03:08.269 --> 00:03:11.333]  They engage in corporate scams.
[00:03:11.333 --> 00:03:18.162]  Fraud is where you get together and you put out fake numbers with a plan to manipulate people and don't tell them.
[00:03:20.233 --> 00:03:25.374]  But have you ever noticed in the corporate fraud, they have small print at the bottom that actually tells you.
[00:03:25.374 --> 00:03:31.075]  And that's why small print, they said actually, almost no one actually has COVID.
[00:03:31.075 --> 00:03:33.395]  Actually, everybody really died of other things.
[00:03:33.395 --> 00:03:35.956]  And by the way, the tests were all basically false positive.
[00:03:35.956 --> 00:03:38.036]  They've been saying that from the beginning.
[00:03:38.036 --> 00:03:43.657]  Why do you think Gates came out two months ago and said, okay, the testing's a fraud, it's a big problem.
[00:03:43.657 --> 00:03:48.878]  And he referred to Roger Stone, saying that he was running a scam.
[00:03:50.816 --> 00:03:52.618]  And he said other people.
[00:03:52.618 --> 00:03:54.719]  You know who that is.
[00:03:54.719 --> 00:03:59.383]  So Gates even goes, oh yeah, the testing's a fraud.
[00:03:59.383 --> 00:04:03.707]  Show that he's covered later.
[00:04:03.707 --> 00:04:04.427]  Wow.
[00:04:04.427 --> 00:04:05.789]  Remember he said they're complete garbage.
[00:04:05.789 --> 00:04:14.616]  When his groups wrote the code for the NIH on what's acceptable and the Wuhan lab controls of the four tests, two of them.
[00:04:14.616 --> 00:04:18.739]  And who's the main financier of the COVID lab with US taxpayer money he controls?
[00:04:19.554 --> 00:04:22.896]  Bill Gates III.
[00:04:22.896 --> 00:04:25.058]  William Gates.
[00:04:25.058 --> 00:04:28.720]  Billy Boy.
