[00:00.000 --> 00:15.240]  The
[00:15.240 --> 00:21.560]  most banned of the most banned of the big mega tech titans and the corrupt armies of
[00:21.560 --> 00:28.240]  anti-free speech SJWs, Facebook put out a statement yesterday and they said, before
[00:28.240 --> 00:34.360]  people we've banned three being conservatives, Farrakhan was the cover to make it look political.
[00:34.360 --> 00:43.400]  Alex Jones is a new category. His name and his website will not be spoken or texted.
[00:43.400 --> 00:47.680]  They even got live systems now on their apps where they're going to listen to what you're
[00:47.680 --> 00:56.640]  saying in a lifetime. And if you speak the word, Alex Jones, you will be banned. Unbelievable.
[00:56.640 --> 01:02.560]  20,000 Southern Private Law Center operatives now inside Facebook. This is an incredible
[01:02.560 --> 01:10.840]  time to be alive. Ladies and gentlemen, it all crystallized at about 5.30 in the morning.
[01:10.840 --> 01:15.080]  I went to bed last night at about 10. I got up at 5.30, took a shower, had some coffee
[01:15.080 --> 01:21.880]  at about 5.45. Everything crystallized. And then I got on the phone with three different
[01:21.880 --> 01:26.760]  lawyers this morning and discussed it all with them and they said, absolutely, this
[01:26.760 --> 01:34.480]  is the lawsuit. We have them. You remember a month ago, back in late March, a little
[01:34.480 --> 01:42.400]  over a month ago, those internal emails came out and Business Insider of Facebook and their
[01:42.400 --> 01:49.760]  own people saying Jones is not making anti-semitic remarks. And so we can't take him down. And
[01:49.760 --> 01:53.360]  then that was leaked out to the press and they put pressure on him. So they went ahead
[01:53.360 --> 01:57.440]  with it and said I was anti-semitic and banned me. It'd be one thing if you argue you're
[01:57.440 --> 02:01.440]  a private company, you can ban somebody. But you're going to surveil your users in real
[02:01.440 --> 02:05.120]  time and tell them what words they can use or what they can discuss. And you're then
[02:05.120 --> 02:10.840]  going to put out a giant press release saying that I'm a hate leader when your own internal
[02:10.840 --> 02:15.560]  findings were it wasn't true. And so what have I was? Everybody deserves free speech.
[02:15.560 --> 02:22.080]  But I'm not. So you have defamed me while trying to bankrupt me and stop my free speech.
[02:22.080 --> 02:28.840]  This is authoritarianism, writ large. And when it rains, it pours. Paul Watson was supposed
[02:28.840 --> 02:33.120]  to be on the day. He's got a very ill family member. So I'm going to be private about that,
[02:33.120 --> 02:39.240]  but pray for Paul and his parents and Steve. Paul, I wouldn't even say he's devastated.
[02:39.240 --> 02:43.960]  He's really upset about humanity. People are calling me saying, how are you handling this?
[02:43.960 --> 02:49.480]  I mean, I'm fine. I'm not any of these things they say, but we've got some serious criminals
[02:49.480 --> 02:55.520]  here. And MasterCards announcing they're going to monitor all your purchases now. And if
[02:55.520 --> 02:58.680]  they think you buy it a hate site, you're going to be banned from using it. This is the
[02:58.680 --> 03:03.520]  Chinese social credit score. And so many people I know are deciding to just say, well, I'm
[03:03.520 --> 03:09.960]  going to submit to it. My God, are we Americans or what the hell are we? Well, Alex, these
[03:09.960 --> 03:18.160]  are mobsters. We better back down. Wow. We've really turned into a nation of chicken necks.
[03:18.160 --> 03:21.560]  Not this great audience, though. They fear you because of your strength and your will.
[03:21.560 --> 03:26.680]  But I fired the bat signal out yesterday. Halfway through the show, I found out this
[03:26.680 --> 03:32.000]  was happening. We had important coverage of it, but I was still floundering around, met
[03:32.000 --> 03:35.840]  three hours with Robert Barnes, a great lawyer who was here. We figured a lot of this out.
