[00:00.000 --> 00:12.000]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:12.000 --> 00:32.000]  Senator Warren released some of her DNA results that show a strong likelihood that she does have Native American roots.
[00:32.000 --> 00:48.000]  If she gets the nomination in a debate, I'll only do it if I can test her personally.
[01:02.000 --> 01:22.000]  It's now only 21 days from this incredible election and the globalists are like an insane beehive.
[01:22.000 --> 01:34.000]  Brunk on PCP, sting each other, running around in insane circles, and their mad desire for power and control as all of it slips through their fingers.
[01:34.000 --> 01:37.000]  I'm Alex Jones, your host. We're going to be here for the next four hours.
[01:37.000 --> 01:57.000]  I'll be back tonight with coverage right through to election night and for a whole week after, 8 to 10 o'clock central with the most censored broadcast in the world expanding its transmission with the referendum on President Trump and nationalism that is the midterm elections.
[01:57.000 --> 02:18.000]  You can watch the band live, 2018 midterm election coverage, why they're shutting us down, why they're shutting down thousands of other prominent conservatives all across the country, all across the world is so they can try to stop the populist uprising that is taking place that is happening.
[02:18.000 --> 02:31.000]  Obviously, Elizabeth Warren's lie that she's a Native American has blown up in her face spectacularly. We'll cover that coming up with the Cherokee Nation and others coming out saying this is absolute fraud.
[02:31.000 --> 02:55.000]  The average white person, it turns out, in North America has 10 times the native blood of Elizabeth Warren. She has 1.023 thousandths. In fact, she's one of the whitest people in America.
[02:55.000 --> 03:12.000]  Simply amazing. But then she calls that a victory. And then there's not even a chain of custody on who sit in the little swab of her cheek cells. That's why Trump said I'll have to get that myself, which he's not looking forward to.
[03:12.000 --> 03:20.000]  She then claimed that was some type of, you know, a veiled, creepy assault on her. No, he's saying he doesn't want to get near your stinking mouth.
[03:20.000 --> 03:33.000]  So if you're a TV viewer, you can see on screen the results of Elizabeth Warren's DNA results. Yes, it's two saltine crackers, ladies and gentlemen. I don't know if she's whitered a saltine cracker if you ask me.
[03:33.000 --> 03:42.000]  You know, that's a good point. Most, quote, white people really don't have white skin. A couple of my children do have, a couple of my daughters do have porcelain skin.
[03:42.000 --> 03:54.000]  My youngest daughter has completely porcelain skin. So I guess you could say white skin. Most white people have kind of a cracker complexion. It's kind of light brown and white and creamy and got spots all over it like a cracker.
[03:54.000 --> 04:01.000]  It's kind of true. My skin kind of looks like a cracker, but I don't get any sun. Just kind of little spots all over me like the surface of a cracker.
[04:01.000 --> 04:06.000]  I actually want to endear that name. I actually like it. But here's the deal.
[04:06.000 --> 04:14.000]  Elizabeth Warren is the definition of a cracker ass because she's made an ass out of herself and she is a cracker head.
[04:14.000 --> 04:29.000]  And she literally is such an idiot that she doesn't understand that when you release your DNA test and the average white person has 10 times more Native American blood than you do, you don't even have half a drop in the
[04:29.000 --> 04:40.000]  Hispanic equations. We did this yesterday out of 192 ounces of blood. I do the calculations like half a drop is what she has to use the blood scale.
[04:40.000 --> 04:51.000]  Okay, let's get serious when we come back. I'm going to break down the true diabolic nature of the transhumanist movement that's Vanguard is the transsexual movement.
[04:51.000 --> 05:00.000]  And again, the people that are caught up in it are just the victims of it. I'm going to give you the bigger end game and how this is the key to everything and why they're pushing it so hard.
[05:00.000 --> 05:19.000]  Fueling your body is hard work. That's why we've introduced the Info Wars Life Daily Digestive Pack to help you fuel it right. Combine fluorolife everyday maintenance and carnivore to help you fuel your gut and body and take advantage of the powerful nutrients you receive. There's no better way to power your body.
[05:19.000 --> 05:37.000]  Fluorolife is a powerful probiotic supplement with 20 of the most potent clinically studied probiotic strains. When paired with carnivore, our incredible enzyme formula that helps you break down nutrients, these formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[05:37.000 --> 05:51.000]  These incredible formulas can help keep your body in tip-top shape in the fight against stress, age, and outside toxins. There's no better time to try fluorolife and carnivore to see how well they can support your body.
[05:51.000 --> 06:11.000]  Don't miss out on the chance to fuel your body and support recovery. Try the Info Wars Life Daily Digestive Pack today.
[06:22.000 --> 06:40.000]  That's what's being taught in all the public schools in the western world today in a giant hoax story launched three days ago that two male penguins have an egg and that they are incubating it.
[06:40.000 --> 06:52.000]  When ignorant people think, oh, that means fertilizing it, no, it turns out they stole it from the mother and father and are sitting on it.
[06:52.000 --> 07:00.000]  Isn't that classic where you have the heterosexual families having their children taken so that gay families can have children because they don't biologically procreate?
[07:00.000 --> 07:10.000]  And there's big, big scandals of that, but we're just supposed to be here and be harvested by the upper class, gay and lesbians. And they say, oh, that's homophobic.
[07:10.000 --> 07:25.000]  You know, what the globalists are doing is using our open free society against us. If someone is gay, use that term, or homosexual or heterosexual, as long as they don't target children or target other people's rights, that's not my business.
[07:25.000 --> 07:39.000]  I'm a libertarian. But when you try to sexualize children and turn LGBT into LGBTP, pedophile, you are part of the larger Hollywood globalist, totally wicked transhumanist agenda.
[07:39.000 --> 07:49.000]  At the bottom of the hour, I'm going to break down the news behind the news, the rest of the story and what they do not want you to know.
