[00:00.000 --> 00:06.000]  Here is a sneak peek at the new head-to-head TV show I'm doing with Jesse Ventura.
[00:20.000 --> 00:26.000]  Energy dependency is always a big thing. Look at wars. How do they fight wars?
[00:26.000 --> 00:33.000]  One of the major things they do is cut off the energy in whatever form it is to the particular country you're going to war with.
[00:33.000 --> 00:39.000]  We did it with the Japanese in World War II. We embargoed they couldn't get any oil.
[00:39.000 --> 00:49.000]  We would have been even more successful against the Germans in World War II except the Germans had already figured out how to create synthetic oil.
[00:49.000 --> 00:57.000]  And by the way, in the German synthetic oil, there was no fossil fuel used.
[00:57.000 --> 01:02.000]  So I question whether oil is actually a fossil fuel. I don't believe that it is.
[01:02.000 --> 01:11.000]  I think that's made up in which to get people to believe so that they can control the pricing then that there's only a finite amount of it.
[01:11.000 --> 01:15.000]  The Keystone Pipeline isn't pushing us towards energy independence at all.
[01:15.000 --> 01:22.000]  All it is doing is going to make huge money for the oil companies as they export that oil out of the United States.
[01:22.000 --> 01:30.000]  The simple way to look at it, if Keystone was going to provide oil for us, they'd be loading it into trucks.
[01:30.000 --> 01:37.000]  But what are they doing? Keystone is going down to the Gulf of Mexico and it is being loaded onto tanker ships.
[01:37.000 --> 01:45.000]  So unless them ships are heading to LA or San Francisco, say goodbye to all that oil from Keystone. It's heading to China.
[01:45.000 --> 01:54.000]  There's your key to it right there. If it was coming to us, it would be loaded onto trucks and you wouldn't have to build a pipeline all the way to the Gulf.
[01:54.000 --> 02:03.000]  But because they need to load it onto ships, the pipeline goes to the Gulf to put it on ships so the oil companies can make big money over in China.
[02:03.000 --> 02:16.000]  We use so much oil, the United States of America, there is no way that we can provide it for ourselves without seeking it in other countries and other places throughout the world.
[02:16.000 --> 02:21.000]  Okay? That's the way I see it.
[02:21.000 --> 02:31.000]  What is energy dependence? Well, it's basically slavery. We are slaves to oxygen. We have to have it. Plants are slaves to carbon dioxide.
[02:31.000 --> 02:39.000]  If you go back to the most ancient form of warfare, practiced for more than 6,000 years, it's siege, shut off the city's water, shut off their food.
[02:39.000 --> 02:52.000]  So through oil dependence in the last 100 plus years, the Standard Oil and the Saudi Arabians today, we are slaves to OPEC and the cartels that control oil.
[02:52.000 --> 03:01.000]  And so they've done everything they can to block the development of independent renewable new forms of energy like solar, wind.
[03:01.000 --> 03:13.000]  The problem is the very same system has allowed the few innovations that have been made to be corrupted and wind power farms and solar systems that have been built by government
[03:13.000 --> 03:24.000]  have just turned into inefficient boondoggles for the establishment so they can basically make the new clean energy systems fail to discredit it.
[03:24.000 --> 03:32.000]  We're seeing right now Saudi Arabia and others out of bankrupt Russia and independent U.S. oil producers by driving down prices.
[03:32.000 --> 03:37.000]  So there's also a lot of manipulation within the oil market itself.
[03:37.000 --> 03:46.000]  But when you begin to research artificial energy dependence, you're really hitting at the heart of how the globalist control our planet today.
[03:46.000 --> 03:51.000]  And that's why I encourage people to develop their own solar systems at their home that's off the grid.
[03:51.000 --> 03:59.000]  Government encourages certain solar systems or wind systems that are hooked directly into the grid and the system and are highly regulated.
[03:59.000 --> 04:05.000]  What we need is truly independent off the grid systems like Jesse Ventura has set up in Baja, Mexico.
[04:05.000 --> 04:12.000]  I'm Alex Jones, head to head with Jesse Ventura.
[04:12.000 --> 04:16.000]  And this is an idea that Jesse's folks had and I like it.
[04:16.000 --> 04:23.000]  Once a week he'll take two minutes and I'll take two minutes and we won't look at each other's video.
[04:23.000 --> 04:28.000]  And then we just sandwich them together to see if we agree or disagree.
[04:28.000 --> 04:33.000]  And then when he comes back on the radio show we can debate things we disagree about or flesh out things we agree about.
[04:33.000 --> 04:37.000]  And it's surprising how much we did agree on and the angles we went with.
[04:37.000 --> 04:42.000]  Because I did not look at it. He did not look at my video. They sent it to us. We sandwiched it together.
[04:42.000 --> 04:45.000]  And there you go. Jesse Ventura is joining us.
[04:45.000 --> 04:49.000]  When cells become toxic, they die early and aging sets in.
[04:49.000 --> 04:57.000]  No one has put together a formula that focuses directly on brain health, nerve growth factors and optimizing your cellular energy at the same time.
[04:57.000 --> 05:02.000]  Just one of the key compounds, BiopQQ, is backed by major clinical studies.
[05:02.000 --> 05:05.000]  You want the best that's out there at the lowest price anywhere?
[05:05.000 --> 05:07.000]  We now have the synergistic solution.
[05:07.000 --> 05:36.000]  Secure your DNA for today at InfoWarsLife.com or call toll-free 888-253-3139.
[05:37.000 --> 05:44.000]  For all of recorded history, civilizations around the world praised the health benefits of silver.
[05:44.000 --> 06:01.000]  At InfoWarsLife, our mission is to bring you the highest quality, purest, cleanest, effective colloidal silver on the market today for the lowest price available.
[06:01.000 --> 06:10.000]  You don't have to be a doctor to know the fall and winter months are the most dangerous time of year in North America when it comes to you and your family's health.
[06:10.000 --> 06:19.000]  InfoWarsLife.com is very excited to announce our biggest run yet of silver bullet colloidal silver exclusively available at InfoWarsLife.com.
[06:19.000 --> 06:26.000]  Now, InfoWarsLife.com has taken colloidal silver to the next level using a cutting-edge technique that is free of toxic artificial additives.
[06:26.000 --> 06:32.000]  Now, more than ever, it's important to stock up on high-quality silver bullet from InfoWarsLife.com.
[06:32.000 --> 06:35.000]  No survival chest is complete without silver bullet.
[06:35.000 --> 06:56.000]  Secure your silver bullet today at InfoWarsLife.com or by calling toll-free 888-253-3139 Silver Bullet.
[07:05.000 --> 07:19.000]  For more information and more than 4 million podcasts from every continent, 200,000 mobile downloads per day available on iPhone, iPad, Android, Android Tablets, Windows 8, BlackBerry, Amazon Kindle.
[07:19.000 --> 07:34.000]  Available in over 200 branded products with millions of devices sold worldwide including Samsung Smart TV, Roku, Sonos, Sony, Sony PlayStation, Amazon Echo, Panasonic Viera TV, Logitech Squeeze Box.
[07:34.000 --> 07:45.000]  Tune in, bring streaming radio to cars including GM, Ford, BMW, Tesla, Mercedes-Benz, Volvo, Nissan, Fiat, and more.
[08:04.000 --> 08:16.000]  Ladies and gentlemen, we're live, broadcasting worldwide. I am your host, Alex Jones.
[08:16.000 --> 08:20.000]  We're going to be here at Lord Willing for the next three hours.
[08:20.000 --> 08:34.000]  There is so much to get into today. It really is over the top how fast the globalists are moving on every single front.
[08:34.000 --> 08:53.000]  From Internet to ObamaNet, the Wall Street Journal, here are the type of headlines that are out today. Future of the entire Internet at stake, FCC chief presses to release new web rules.
[08:53.000 --> 09:13.000]  The regs will, quote, make the net as slow as in Europe. Isn't that just special? Meanwhile, the chairman of the Federal Reserve, Janet Yellen, has come out and testified before Congress today, this morning,
[09:13.000 --> 09:24.000]  saying that she does not want the Fed audited and they continue to plan to have zero interest rates for the establishment, not for the general public, into the foreseeable future.
[09:24.000 --> 09:34.000]  So free money for the elite and the insiders, but basically nobody else.
[09:34.000 --> 09:45.000]  There's the CNBC headline of your TV viewer. I strongly oppose audit, the Fed Yellen says. And that ties into this article that's up on infowars.com.
[09:45.000 --> 09:56.000]  14 signs that most Americans are flat broke and totally unprepared for the coming economic crisis.
[09:56.000 --> 10:05.000]  And you can have arguments about whether it's a year away or five years away. It's already here when four out of 10 Americans are living paycheck to paycheck.
[10:05.000 --> 10:14.000]  And if they have one unforeseen emergency bill, they're bankrupted. We are net debtors now in this country.
[10:14.000 --> 10:28.000]  And only the establishment is standing to gain from all of this. That's coming up. We've got some good news. Montana House Judiciary Committee pushes back against agenda 21.
[10:28.000 --> 10:33.000]  We're going to be breaking that down. We've got some other positive news.
[10:33.000 --> 10:45.000]  Record U.S. farmers switching a record number of U.S. farmers are switching to non GMO crops in 2015 continue to vote with your dollar.
[10:45.000 --> 10:52.000]  An infowars.com story with the Department of Agriculture's own numbers.
[10:52.000 --> 11:07.000]  But here's the bad news. 75% of air and rain samples contain Monsanto's Roundup. Biotech isn't just tainting the food supply. We're going to break that down.
[11:07.000 --> 11:16.000]  Secret TSA program quizzes travelers returning to the U.S. but illegal aliens are let in with no quiz and no ID.
[11:16.000 --> 11:28.000]  Federal agency interviews Americans abroad before allowing them to fly home. It's all about letting the slaves know that they better give up all their liberties and learn to behave like prisoners.
[11:28.000 --> 11:38.000]  Scare tactics or possible threat? Last time Homeland Security was threatened with budget cuts, America suffered a terror attack. That of course was the Boston bombing.
[11:38.000 --> 11:46.000]  Threat advisories have been circulated about a possible terror attack on the Mall of America in Minnesota, as you know, since the weekend, right as their budget's up.
[11:46.000 --> 11:54.000]  And Jay Johnson came out, of course, a few days ago and said, hey, if you don't want the mall to get hit, you need to go ahead and up our funding.
[11:54.000 --> 12:04.000]  While they leave the borders wide open, I mean, terrorists could randomly attack a restaurant, randomly attack a train station, randomly attack anything.
[12:04.000 --> 12:15.000]  A PTA meeting. The idea that we need Homeland Security everywhere to protect every, quote, soft target inside the country when the borders are wide open, except for citizens.
[12:15.000 --> 12:23.000]  Citizens dutifully have their laptops downloaded, their cell phones downloaded, or ask all these questions harassed, your bags are dug through.
[12:23.000 --> 12:38.000]  But oh, you're coming in out of Mexico and you walk over and say, I have no ID. They just waved you right through it. I witnessed this five, six years ago in Texas and in California at airports flying around internally in the U.S.
[12:38.000 --> 12:52.000]  And then last year, it came out in mainstream news that indeed there's memos and TSA is told, let them fly without IDs. I mean, this is a joke. It has nothing to do with stopping terrorism.
[12:52.000 --> 13:11.000]  It's all about dominating and controlling the American people. We're going to get into that report as well. James O'Keefe, of course, came out yesterday and said he was afraid for his life out of scores of huge reports and stories that he has broken.
[13:11.000 --> 13:27.000]  Well, now he's released the report and it's on drugsreport.com out of the New York Post and other publications. It's Garner, the man who was choked to death by police and New York daughter on Sharpton says he's all about the money.
[13:27.000 --> 13:41.000]  And it's basically collection of videos exposing the people of New York don't like Sharpton. Some people will say you went up against Obama, you brought down Acre and you've been arrested. You've done all these big stories.
[13:41.000 --> 13:56.000]  Why would you be scared, O'Keefe, of Sharpton? Well, you don't live in New York like O'Keefe does. People that have gone up against Sharpton end up getting burned alive, end up getting stabbed. I mean, he is a gangster and an FBI informant.
[13:56.000 --> 14:18.000]  And a coke dealer. So he's kind of the king of Harlem. And that's why whenever we had Pastor Manning on a month or so ago with his initiative to get Sharpton fired off MSNBC for all of his activities, that I said, boy, that takes a lot of cojones because Sharpton is a very dangerous individual.
[14:18.000 --> 14:30.000]  Some people kind of struck their soldiers and said, you know, what's the big deal, O'Keefe? Well, O'Keefe never put out tweets before saying, I fear for my life on this. Believe me, I'd fear for my life bringing down Acre.
[14:30.000 --> 14:39.000]  He's been arrested. He's been thrown in jail. He's been accused of wiretapping in Louisiana. And this guy's earned his bones in the press over and over again.
[14:39.000 --> 14:52.000]  So I respect the fact that he's probably got some threats coming through. We're working to get him on the show sometime this week, not today or tomorrow to get the inside scoop on what's happening on that from the Veritas Project Director.
[14:52.000 --> 15:00.000]  That's a model of grassroots media and really just an example of how to counter these people.
[15:00.000 --> 15:10.000]  So those reports are up on DrudgeReport.com as well, including our infowars.com article on James O'Keefe. I'm afraid for my life. You want to read those actual quotes and more.
[15:10.000 --> 15:24.000]  Jesse Ventura joins us in about 15, 20 minutes from now. Jesse had the idea a few months ago for once a week for him to shoot a video on a topic or for me to shoot a video on a topic.
[15:24.000 --> 15:35.000]  Either one of us could come up with a topic and then he sends us two minutes and then we produce two minutes without watching his video, but on the subject that is mentioned.
[15:35.000 --> 15:48.000]  And then we put the two videos together so that it's a real, not even so much debate. Sometimes it'll be a debate. Sometimes it'll be a head scratcher. Sometimes it'll be something that spurs thought.
[15:48.000 --> 15:58.000]  And it's kind of exciting. I mean, I like the idea because you don't know what the other person's views are exactly on, say, energy dependence.
[15:58.000 --> 16:07.000]  So Ventura sent us his two minutes and, you know, Josh back there, the video editor, he looked at it and I didn't watch the video.
[16:07.000 --> 16:15.000]  Didn't tell me what the video was about. He said, oh, he talks about Keystone and some other stuff. That was it.
[16:15.000 --> 16:30.000]  Next time I wouldn't be told that. And I didn't really even get into Keystone. So I went and shot my two minutes at my house and then we slapped the two together.
[16:30.000 --> 16:37.000]  And that's going to be head to head that he'll air on his show and then we'll also air here. And then when he occasionally comes on the broadcast, we can further discuss those.
[16:37.000 --> 16:48.000]  So I'm going to air the first installment. It's only five minutes long total with a 30 second intro and outro, four minutes of content. We're going to air that at the bottom of the hour as Ventura joins us.
[16:48.000 --> 17:04.000]  And the full video is on infowars.com and prisonplanet.com. I think it's very, very interesting that we agreed on so much and brought up different angles that really just complimented each other.
[17:04.000 --> 17:11.000]  Because you'll notice when you hear Ventura, it's not an establishment left or right talking point, same thing with us. We're just going off how energy really works.
[17:11.000 --> 17:18.000]  And a lot of people say, well, I'm not into energy or I don't know energy stocks. Why would I care? Energy is everything. We're not going to just talk about energy today.
[17:18.000 --> 17:30.000]  We're going to talk about police violence in this country. And is it an epidemic or is it the fact that social media is showing the bad examples, creating that perception?
[17:30.000 --> 17:48.000]  And what's the end game there? We're going to look at the different wars, the economy, Obama and the future of the Internet and so much more with Jesse Ventura coming up at the bottom of the hour.
[17:48.000 --> 18:01.000]  Now, before I go any further, here are some of the headlines on infowars.com. FCC or ex-FCC chief shocked by feds attempting to regulate the Internet.
[18:01.000 --> 18:10.000]  And they're doing it under the guise of protecting and under net neutrality. So they've got to bring in all these anti-free speech, SOPA and SISPA rules.
[18:10.000 --> 18:23.000]  Video, barbaric sheriff's deputy drags woman through courthouse by shackled feet. There's just an epidemic of these videos and we could fill the entire show with just the craziest stuff.
[18:23.000 --> 18:44.000]  Cupcake, cupcake cop, pepper sprays grandmother in the face, dislocates her shoulder, took a gladiatorial event, FBI cops raid Republic of Texas meeting, fingerprint members see cell phones and computers, secret TSA program, quizzes travelers returning to the U.S.
[18:44.000 --> 18:56.000]  Got to love how it's secret. Eric Garner's daughter on Al Sharpton, he's all about the money. Just mentioned that.
[18:56.000 --> 19:16.000]  And the good news that I'll cover in the next segment, record number of U.S. farmers switching to non-GMO crops in 2015, but then how that ties into the bad news. That's just some of the news up on infowars.com and prisonplanet.com that we'll be covering today.
[19:16.000 --> 19:39.000]  Another report as well, feds fear patriots not murdering terrorists. I'm Alex Schoen, your host, infowars.com, and prisonplanet.com are our main websites. The subscription TV site is prisonplanet.tv, but hey, you need not be a subscriber if you just want to see the radio show slash TV show, the simulcast.
[19:39.000 --> 19:46.000]  Go to infowars.com forward slash show. You can find the free audio and video feeds to pass on to friends and family.
[20:09.000 --> 20:29.000]  I'm really glad my buddy Mark turned me on to guns80.com. I got to tell you, I didn't want to buy any more firearms. I didn't want a paperwork trail headed back to Big Brother. I want 100% privacy. I want to be an invisible gun owner.
[20:29.000 --> 20:45.000]  So Mark says, hey, you know, guns80.com, ghostAR15. Ghost means invisible, get it? GhostAR15, guns80.com. I got a couple, if you know what I mean. Go to guns80.com or call 844-2-Guns80.
[20:45.000 --> 21:01.000]  Usually the older one gets, the less you are able to absorb amino acids and the less you are able to repair the 100 trillion cells of your body. As a result, you'll have less energy, your tissues will shrink and you'll become wrinkled. An older person will typically injure more easily and heal more slowly. Not fun.
[21:01.000 --> 21:14.000]  However, if you could consume a protein powder that is easier to absorb, then you may be able to gain back some strength, muscle, and speed of recovery. One World Way is a highly digestible whey protein powder that may be the perfect answer for you.
[21:14.000 --> 21:34.000]  My name is Errol. I'm 74 years old. You know, the taste of One World Way is amazing. I play pickleball and since taking One World Way and your trace mineral supplement, I have more energy and recover faster from my working out. I used to take another grass-fed whey protein powder, but now I'm getting much better results using One World Way.
[21:34.000 --> 21:45.000]  Call 888-988-3325. That's 888-988-3325 or visit OneWorldWay.com.
