[00:00.000 --> 00:13.000]  Big Brother, mainstream media. Government cover-ups. You want answers? Well, so does he.
[00:13.000 --> 00:25.000]  He's Alex Jones on the GCN Radio Network. And now, live from Austin, Texas, Alex Jones.
[00:25.000 --> 00:34.000]  Ladies and gentlemen, welcome. It is Thursday, already the fourth day of November 2010.
[00:34.000 --> 00:40.000]  Obviously, we're going to talk about gold and silver skyrocketing today.
[00:40.000 --> 00:47.000]  That wasn't hard to predict with the announcement that they are going to kill the dollar.
[00:47.000 --> 01:00.000]  The big announcement yesterday at 1.15 central by the private Federal Reserve that is creating economic mayhem by design to consolidate power.
[01:00.000 --> 01:10.000]  I'm going to try to be as focused as possible today. You know, I rarely get sick, but I've been sick with some type of cold and sore throat since Sunday.
[01:10.000 --> 01:20.000]  And I was exhausted last night at about 8 o'clock, and George Norris producer called me to get me on for two hours until 4 a.m. central.
[01:20.000 --> 01:31.000]  And I went on the show. I think I did a pretty good job actually being exhausted. I wasn't my normal, you know, hyped up self.
[01:31.000 --> 01:40.000]  And we covered what was happening in the economy and the elections and the QE to the quantitative easing round number two.
[01:40.000 --> 01:51.000]  But I was totally exhausted at about 8 o'clock and I had to stay up for four or five hours till I was going on the show.
[01:51.000 --> 02:01.000]  And so I got in the car and went and saw a movie here after and later in the broadcast, if I have time, I'm going to talk a little bit about it.
[02:01.000 --> 02:06.000]  But I'm always impressed by Clint Eastwood, his directing skills.
[02:06.000 --> 02:15.000]  It was a very powerful movie with Matt Damon dealing with near death experiences and synchronicity.
[02:15.000 --> 02:32.000]  Things like that, things that are very similar to what I've experienced and what Colonel Craig Roberts experienced when he died multiple times on the operating table.
[02:32.000 --> 02:41.000]  And it's experiences that we all know people that have had experiences like that, but very, very touching film.
[02:41.000 --> 02:48.000]  Very, very powerful film in my humble opinion.
[02:48.000 --> 02:51.000]  Well, obviously the news is all completely insane.
[02:51.000 --> 02:57.000]  And I have the press release here by the Federal Reserve Board of Governors.
[02:57.000 --> 02:59.000]  I have this Business Insider report.
[02:59.000 --> 03:07.000]  The Federal Reserve is holding a conference on Jekyll Island to celebrate 100 years of dominating America.
[03:07.000 --> 03:11.000]  And they are openly bragging about it.
[03:11.000 --> 03:17.000]  The title of the conference is a return to Jekyll Island, the origins, history, and the future of the Federal Reserve.
[03:17.000 --> 03:23.000]  They met in November of 1910.
[03:23.000 --> 03:28.000]  And three years later, the private banking cartel took over the United States, 1913.
[03:28.000 --> 03:37.000]  So 100 year anniversary of the secret plot, and then they admit it was a secret plot and it's been successful.
[03:37.000 --> 03:38.000]  And this is amazing.
[03:38.000 --> 03:40.000]  This is absolutely amazing.
[03:40.000 --> 03:45.000]  I think people need to get out to this event.
[03:45.000 --> 03:46.000]  It is tomorrow.
[03:46.000 --> 03:48.000]  It's Friday and Saturday.
[03:48.000 --> 03:52.000]  The exact same building where the original 1910 meeting occurred.
[03:52.000 --> 03:54.000]  This is unbelievable.
[03:54.000 --> 03:58.000]  If I would have gotten a bigger heads up on this, I would have gone to this.
[03:58.000 --> 04:01.000]  This is the equivalent of a Bilderberg group meeting.
[04:01.000 --> 04:08.000]  And it's a celebration of conquering this country economically through fraud.
[04:08.000 --> 04:16.000]  And you notice they're meeting 100 years after they hatched their original plan right as they kill the dollar and bring us into the new system,
[04:16.000 --> 04:30.000]  this global government phase of the Ponzi scheme that they hold out as the solution to all the major problems that they are the progenitors of.
[04:30.000 --> 04:32.000]  So we've got all the election news.
[04:32.000 --> 04:34.000]  We've got the economic news.
[04:34.000 --> 04:43.000]  We've got light, the Large Hadron Collider researchers set to create a mini Big Bang BBC.
[04:43.000 --> 04:46.000]  Hey, boy, that sounds really smart.
[04:46.000 --> 04:55.000]  Yeah, they're accelerating these different particles into each other and admitting it could cause a giant explosion.
[04:55.000 --> 04:56.000]  But that isn't what matters.
[04:56.000 --> 04:58.000]  No, there's parcel bombs.
[04:58.000 --> 04:59.000]  That's what's dangerous.
[04:59.000 --> 05:00.000]  Give up all your rights immediately.
[05:00.000 --> 05:04.000]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[05:04.000 --> 05:09.000]  Number one, new climate legislation could easily double or triple your electric bill.
[05:09.000 --> 05:15.000]  Number two, our new energies are wants to control how much power your electric company allows you to have.
[05:15.000 --> 05:20.000]  It's true, total government control of electricity in the name of smart grid technology is coming.
[05:20.000 --> 05:25.000]  Number three, in some areas of the country, the power grid is dangerously overloaded.
[05:25.000 --> 05:29.000]  And now new socialist legislation is only compounding the problem.
[05:29.000 --> 05:32.000]  Number four, dangerous weather is always a threat to local grids.
[05:32.000 --> 05:36.000]  Every year, thousands of families lose their power from weather related onages.
[05:36.000 --> 05:41.000]  Number five, a solar power generator provides powerful backup insurance and peace of mind.
[05:41.000 --> 05:46.000]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[05:46.000 --> 05:50.000]  You can get more information at www.mysolarbackup.com.
[05:50.000 --> 05:52.000]  That's mysolarbackup.com.
[05:52.000 --> 06:00.000]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[06:00.000 --> 06:02.000]  Hello, friends. This is Alex Jones.
[06:02.000 --> 06:05.000]  You've heard me talk about Calvin five-star soaps for years.
[06:05.000 --> 06:10.000]  This is an American-made product of the highest quality and compares to nothing you will find in stores.
[06:10.000 --> 06:13.000]  You can buy factory direct, shipped via UPS right to your door.
[06:13.000 --> 06:20.000]  Check them out on the web at five-star soap.com or call 800-340-7091.
[06:20.000 --> 06:21.000]  Take my word for it.
[06:21.000 --> 06:24.000]  Once you've used pure soap, you won't buy anything else.
[06:24.000 --> 06:30.000]  Since 1947, Calvin Soap Company has been showing consumers that soap can be tough on dirt and gentle on the environment.
[06:30.000 --> 06:38.000]  Buy American and stay clean as well as support InfoWars. Visit five-star soap.com today or call 1-800-340-7091.
[06:38.000 --> 06:40.000]  Well, Marty, what do you have to say?
[06:40.000 --> 06:48.000]  As founder and owner for over 63 years, satisfaction is guaranteed on W-Dirtback.
[06:48.000 --> 06:58.000]  Call us at 1-800-340-7091 for a free catalog or visit our website five-starsoap.com.
[06:58.000 --> 07:00.000]  Thank you.
[07:28.000 --> 07:34.000]  A criminal off-short cartel held bent on destroying sovereignty and on its ashes constructing world government.
[07:34.000 --> 07:38.000]  Tim Geithner, Bernanke, they're arsonists. They're asking for more matches.
[07:38.000 --> 07:41.000]  And the Congress is saying, who do we make the check out to?
[07:41.000 --> 07:43.000]  Today seems like nobody does care.
[07:43.000 --> 07:48.000]  And right now in Washington, D.C., we have seen a fall of the Republic.
[07:48.000 --> 07:59.000]  Get your copy of Fall of the Republic on DVD at infowars.com or watch it online right now in super high quality at prisonplanet.tv.
[08:18.000 --> 08:30.000]  Remember when you were a child and six months out from Christmas, you were just so excited about the toys,
[08:30.000 --> 08:41.000]  that bike or that wagon or that cowboys and Indians set of toy guns and holsters and bows and arrows
[08:41.000 --> 08:48.000]  that you were so excited about getting or that doll you wanted if you were a girl,
[08:48.000 --> 08:55.000]  that toy stove and refrigerator and pots and pans that you were so excited about getting.
[08:55.000 --> 08:58.000]  And you would wait and wait and wait and it would just seem like it took forever.
[08:58.000 --> 09:01.000]  But finally Christmas came.
[09:01.000 --> 09:07.000]  Finally Christmas arrived.
[09:07.000 --> 09:11.000]  But bad things arrive as well.
[09:11.000 --> 09:18.000]  And you talk about them, you know they're coming, but you're not hoping for them to arrive.
[09:18.000 --> 09:22.000]  You don't want to get to that destination, but you know the road you're going down.
[09:22.000 --> 09:29.000]  And we have been arriving at these different signposts, these different road markers,
[09:29.000 --> 09:38.000]  as we go deeper into this dehumanizing scientific dictatorship known as the one world government,
[09:38.000 --> 09:47.000]  the New World Order, the corporate kleptocracy.
[09:47.000 --> 09:55.000]  And we're now here and it's just going to get worse from here on out and the propaganda is going to get more insane,
