[00:00:01.000 --> 00:00:16.000]  Intro Music
[00:00:16.000 --> 00:00:24.000]  InfoWars, tomorrow's news, today.
[00:00:24.000 --> 00:00:33.000]  Jesse Ventura's conspiracy investigators have tracked down the deadly secret behind the elite group that tries to rule the world.
[00:00:33.000 --> 00:00:39.000]  When the population gets too big to handle, the solution is, cut it down.
[00:00:39.000 --> 00:00:48.000]  There's an entire agenda afoot to force the population to undergo different type of medical treatments, namely vaccines.
[00:00:48.000 --> 00:00:55.000]  We're seeing a medical tyranny being set up, not just in the United States, but worldwide, under the UN and the World Health Organization.
[00:00:55.000 --> 00:01:00.000]  They want a planetary dictatorship so they can carry out their forced depopulation agenda.
[00:01:00.000 --> 00:01:02.000]  And they want to do it through the medical system.
[00:01:02.000 --> 00:01:05.000]  And that's why vaccines are so important.
[00:01:05.000 --> 00:01:09.000]  We know that many of these vaccines turn out to have serious adverse reactions.
[00:01:09.000 --> 00:01:11.000]  This is being done by design.
[00:01:11.000 --> 00:01:13.000]  They kill you slowly over time.
[00:01:13.000 --> 00:01:15.000]  That's why they're called soft kill.
[00:01:15.000 --> 00:01:26.000]  We must acknowledge that the genetic, COVID-19 genetic injections cause far more harm than good and provide zero benefit relative to risk.
[00:01:26.000 --> 00:01:36.000]  The death rates from this vaccine are, there's been more deaths in eight months than in all the billions of vaccines combined over the last 30 years.
[00:01:36.000 --> 00:01:39.000]  50% of the deaths occur within 48 hours, 80% within a week.
[00:01:39.000 --> 00:01:43.000]  And I've got an insider I think you should really talk to, Dr. Rima Labo.
[00:01:44.000 --> 00:01:56.000]  In a very short time, not today, not tomorrow, but very soon, we'll be facing compulsory vaccination under the mistaken term of voluntary vaccination.
[00:01:56.000 --> 00:02:00.000]  Now, what is it about these vaccinations? You think that they're bad?
[00:02:00.000 --> 00:02:10.000]  Well, first of all, let's start with the fact that the World Health Organization has decided that we have 90% too many people.
[00:02:10.000 --> 00:02:18.000]  The World Health Organization has been working since 1974 on vaccines to create permanent sterility.
[00:02:18.000 --> 00:02:20.000]  Now, this is pretty shocking.
[00:02:20.000 --> 00:02:23.000]  This process has already been ongoing.
[00:02:23.000 --> 00:02:33.000]  To make matters worse, the vaccines that were illegally approved by the FDA contain a substance called squalene.
[00:02:33.000 --> 00:02:40.000]  Squalene, an organic compound used in vaccines to stimulate the immune system and increase the response.
[00:02:40.000 --> 00:02:46.000]  If I inject you with squalene, your immune system will attack the squalene.
[00:02:46.000 --> 00:02:50.000]  But then it starts attacking all of the parts of your body.
[00:02:50.000 --> 00:02:53.000]  What does that look like when you meet a person to whom that is happening?
[00:02:53.000 --> 00:02:55.000]  It looks like Gulf War syndrome.
[00:02:55.000 --> 00:03:02.000]  It looks like every joint in the body swollen and intolerably painful and immobilized.
[00:03:02.000 --> 00:03:05.000]  This is in these shots they're going to give us?
[00:03:05.000 --> 00:03:09.000]  It's in some of them, but the U.S. government has a trick up their sleeve.
[00:03:09.000 --> 00:03:10.000]  Which is?
[00:03:10.000 --> 00:03:19.000]  They will induce a pandemic using the nasal mist vaccine, which is a live attenuated virus.
[00:03:19.000 --> 00:03:23.000]  That means that if I take it, I can infect you.
[00:03:23.000 --> 00:03:28.000]  You're going to get the flu. Everybody around us is going to get the flu.
[00:03:28.000 --> 00:03:31.000]  Yes, it's startling, but it's over in a moment.
[00:03:32.000 --> 00:03:33.000]  That's it. It's all done.
[00:03:33.000 --> 00:03:39.000]  A new report tonight that early CDC coronavirus tests were probably contaminated.
[00:03:39.000 --> 00:03:44.000]  Why didn't they work initially? The Post reports the cross-contamination most likely occurred
[00:03:44.000 --> 00:03:49.000]  because chemical mixtures were assembled into the kits within a lab space
[00:03:49.000 --> 00:03:53.000]  that was also handling synthetic coronavirus material.
[00:03:53.000 --> 00:03:58.000]  A production firm in Luxembourg said that core parts of their tests had been contaminated with coronavirus.
