[00:00.000 --> 00:10.000]  Defending the Republic from enemies, foreign and domestic, it's Alex Jones.
[00:31.000 --> 00:34.000]  You take my life, but I'll take yours too.
[00:36.000 --> 00:39.000]  You take my life, but I'll take yours too.
[00:39.000 --> 00:42.000]  You fire a musket, but I'll run you through.
[00:42.000 --> 00:48.000]  And that's what mutually assured destruction, I mean that's just about 1950-ish.
[00:49.000 --> 00:51.000]  It's mutually assured destruction.
[00:54.000 --> 00:57.000]  You're gonna kill me, but I'm gonna kill you right back.
[00:57.000 --> 01:03.000]  And so no one wins in that war games type scenario.
[01:06.000 --> 01:09.000]  In the 21st century, we live under a new type of war.
[01:10.000 --> 01:13.000]  There's always been psychological war in war.
[01:13.000 --> 01:16.000]  There's always been the war of ideas.
[01:16.000 --> 01:21.000]  In fact, it's always been more important overall than even the size of armies and weapons.
[01:21.000 --> 01:29.000]  But in the 21st century, silent weapons for quiet wars are king.
[01:32.000 --> 01:38.000]  A false reality is being built through which humanity itself is to be overthrown.
[01:41.000 --> 01:44.000]  And it is beyond humbling.
[01:44.000 --> 01:57.000]  To be in this seat here talking to millions of you, we're live on this Sunday broadcast.
[02:00.000 --> 02:02.000]  Broadcasting worldwide.
[02:05.000 --> 02:09.000]  Then I guess we have one more Sunday broadcast next week and that'll be it for the year.
[02:09.000 --> 02:13.000]  2015, come and go.
[02:17.000 --> 02:21.000]  Hard to believe it's already December 20th, 2015.
[02:22.000 --> 02:24.000]  This weekend I went to an event.
[02:24.000 --> 02:35.000]  I'm not gonna get into it today and ran into some of the more well-known famous special forces people.
[02:35.000 --> 02:46.000]  And I just already knew it, but I could believe that every one of them I ran into was a listener and said they were fans of the show.
[02:49.000 --> 02:51.000]  That is an incredible responsibility right there.
[02:51.000 --> 03:17.000]  You know, that's not hype that this is probably, well undoubtedly, the most popular radio program in the world inside intelligence agencies, on Navy ships, on foreign ships, in submarines, on the front lines of innumerable public and also secret wars inside genetic engineering facilities.
[03:17.000 --> 03:19.000]  You name it.
[03:19.000 --> 03:25.000]  This is the radio show that the insiders listen to.
[03:28.000 --> 03:30.000]  And what a responsibility.
[03:31.000 --> 03:40.000]  Last night after I left this event that I was at, it was just more shell-shocking that this is really all happening.
[03:40.000 --> 03:47.000]  This is real and I'm in the middle of it and so are you because you're not listeners.
[03:47.000 --> 03:53.000]  Almost all of you are participants in the fight for this country and for freedom worldwide.
[03:53.000 --> 04:08.000]  And never before has it been more cut and dried when you actually get down to the ground, but above it is this fake fog of disinformation that is sprayed out by the establishment in the hopes they can get away with what they're doing.
[04:08.000 --> 04:15.000]  But never before has that fog basically gotten so thin.
[04:15.000 --> 04:28.000]  I mean, there's more of it than ever, but it's almost like the people of the world are growing a sixth sense or they've got like ground-penetrating radar that just shoots through the garbage and they go right to the core of what's happening.
[04:30.000 --> 04:36.000]  Because I talk to just people on the street all the time and they're more informed than I am on many fronts.
[04:36.000 --> 04:50.000]  There's so much news when we come back. As I say, the good, the bad and the ugly, but this is really an amazing time to be alive and I just don't know how so many people can think that life's boring or doesn't have a meaning.
[04:50.000 --> 04:57.000]  Life has meaning when you get involved and try to make the world a better place. Then it's just incredibly real.
[04:57.000 --> 05:08.000]  We have been fighting this war tirelessly with you at our side, day in and day out, exposing the ludicrous lies and criminal operations of the globalist, and we're starting to see big effects.
[05:08.000 --> 05:16.000]  And the word is getting out. The globalists want to make us dependent, and as Napoleon famously said, an army marches on its stomach.
[05:16.000 --> 05:25.000]  Ammunition, food and supplies form the backbone of any offensive, including the Info War, and our enemies admit they're losing the Info War.
[05:25.000 --> 05:29.000]  We are in an information war and we are losing that war.
[05:29.000 --> 05:35.000]  With this in mind, we have held strong to our principles and the decision to refuse any money from globalists or government.
[05:35.000 --> 05:42.000]  We are funding our crusade against tyranny the old fashioned way with pure free market, free will capitalism.
[05:42.000 --> 05:52.000]  Visit infowarstore.com today or call 888-253-3139 and take advantage of free shipping right through December 18th and get your order before Christmas.
[05:52.000 --> 05:58.000]  May God bless you and your family and keep us strong as we forge ahead in this battle for humanity.
[06:23.000 --> 06:42.000]  In a world of universal deceit, telling the truth is a revolutionary act, George Orwell made that statements before he died in 1949.
[06:42.000 --> 07:06.000]  And as the lies, the fraud, the brainwashing intensifies, those of us that do tell the truth or even seek the truth will stand out like a lighthouse out on a peninsula in the middle of a hurricane to passing ships.
[07:06.000 --> 07:12.000]  And we have that intro that says you're basically battling the Empire.
[07:12.000 --> 07:16.000]  No, I'm not talking about the Empire from Star Wars.
[07:16.000 --> 07:29.000]  I mean the real Empire we live under today, a global corporate world government Empire tax exempt above the law seeking to monopolize not just the financial systems of the world,
[07:29.000 --> 07:39.000]  but to monopolize the sovereignty of the world and to basically end competition as we know it.
[07:39.000 --> 07:49.000]  And you know with the end of competition comes the end of any strength, any honor, any innovation.
[07:49.000 --> 07:55.000]  It's the equivalent of a baby growing up in zero gravity that baby wouldn't grow.
[07:55.000 --> 08:01.000]  They've taken baby mice into orbit. They've kept them on the space station for a year before.
[08:01.000 --> 08:11.000]  And they don't really grow and they just turn into basically mindless blobs because their bones don't have any gravitational force pulling down on them.
[08:11.000 --> 08:17.000]  There's no pressure. There's no oppression.
[08:17.000 --> 08:32.000]  And that's what the nanny state is really all about is making sure you never go through any crisis in your life so that you never learn any self sufficiency or confidence.
[08:32.000 --> 08:42.000]  So that you become a mindless dumbed down follower who can't think for yourself.
[08:42.000 --> 09:00.000]  The Pentagon in the Jade helm documents titled mastering the human domain admit that their main enemy in the future will be quote empowered individuals.
[09:00.000 --> 09:11.000]  No wonder they say retiring military personnel of the number one terror threat the number one enemy of Homeland Security in hundreds of Homeland Security memos scores of which we've broke here.
[09:11.000 --> 09:16.000]  Because those are empowered individuals. This is a snake eating itself.
[09:16.000 --> 09:24.000]  As they prepare to face humans out of combat roles and move to mechanized robotic systems for ground sea.
[09:24.000 --> 09:27.000]  Undersea air you name it.
[09:27.000 --> 09:36.000]  So the technocrats can call all the shots and make all the decisions and they can't have those pesky soldiers say no anymore.
[09:36.000 --> 09:44.000]  To unlawful or unconstitutional lawyers and that's been one of the main things holding back.
[09:44.000 --> 09:56.000]  Total and complete wild eyed totalitarianism from breaking upon the species.
[09:56.000 --> 10:06.000]  I talk about our military being some of the most virtuous good people we have that also talk a lot about the role they've been put in domestically to condition the public for a takeover.
[10:06.000 --> 10:10.000]  Which is one of the most treacherous positions to be in.
[10:10.000 --> 10:18.000]  And then the media plays that off against the public and says Alex Jones hates the military because I'm warning that our military is being turned into a globalist tool.
[10:18.000 --> 10:33.000]  It's the opposite I'm trying to protect our military from unconstitutional roles and thus protect my country and my republic that I personally before God and country and my family and all of you sworn to defend.
[10:33.000 --> 10:40.000]  And not because I'm some hero but because I have self preservation beating in my breast.
[10:40.000 --> 10:46.000]  I know an oppressive evil when I see it and everybody else can see it now.
[10:46.000 --> 10:50.000]  And that's the globalist biggest problem is they denied world government.
[10:50.000 --> 10:52.000]  They denied they were going to assault the family.
[10:52.000 --> 10:55.000]  They denied they were going to try to bankrupt the general public and get rid of the middle class.
[10:55.000 --> 10:57.000]  They denied the Federal Reserve was private.
[10:57.000 --> 11:02.000]  They denied that the interest rates were staged and that big banks were tax exempt.
[11:02.000 --> 11:06.000]  All of that is now public.
[11:06.000 --> 11:12.000]  About 95% of what we cover daily is now public.
[11:12.000 --> 11:20.000]  And the social engineers have a big problem because they expected to bring all this in with a dumbed down population that knew nothing.
[11:20.000 --> 11:27.000]  But the difference is patriots like yourselves and countless others and all those that came before us even before Ron Paul.
[11:27.000 --> 11:38.000]  The Barry Goldwaters and the Ronald Reagan spoke out against the Trilateral Commission, the CFR and the plan to take over US sovereignty.
[11:38.000 --> 11:44.000]  We've been battling this program for a long, long time.
[11:44.000 --> 11:48.000]  And the truth is we're in a pretty good position right now against the globalist.
[11:48.000 --> 11:50.000]  They are losing credibility on every front.
[11:50.000 --> 11:57.000]  One of the biggest examples is two years ago around military saying we will not serve on the side of al Qaeda.
[11:57.000 --> 12:01.000]  And now ISIS in Syria, we're not going to do it.
[12:01.000 --> 12:08.000]  And Kerry had to back off bringing down the Assad regime to turn it over to the most vicious, hateful, murderous people you can imagine.
[12:08.000 --> 12:11.000]  That process is still ongoing.
[12:11.000 --> 12:15.000]  And so now segue into all the huge news today.
