[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones, coming to you live from the front lines of the Info War.
[00:18.000 --> 00:35.000]  We see the earth now, DA14 is now a rapidly accelerated past the earth on its elliptical orbit.
[00:35.000 --> 00:40.000]  We'll reportedly be back our way for another 267 years.
[00:40.000 --> 00:50.000]  I don't know when it's going to be back, I just thought I'd have some fun with the regular intro, being astronauts from the Apollo program saying we see the earth from here.
[00:50.000 --> 00:58.000]  Ladies and gentlemen, it is Sunday the 17th day of February 2013.
[00:58.000 --> 01:12.000]  We'll be joining us to break down the open military training to condition the military, the police, and the public to acclimate us for open martial law.
[01:12.000 --> 01:22.000]  The TSA checkpoints expanding. Everything we warned about were called conspiracy theorists for being well researched and actually going to the government documents and finding out about what was happening.
[01:22.000 --> 01:31.000]  It's now unfolding out in the open and we'll also get into a California police chief and others saying the citizens should not have any guns.
[01:31.000 --> 01:35.000]  Guns are not defensive weapons, therefore the police to intimidate us with.
[01:35.000 --> 01:40.000]  He basically says that very bizarre, but actually it's bizarre he'd be so truthful.
[01:40.000 --> 01:49.000]  It was like a police chief, what was it in Maryland? Baltimore a few years ago said we wear black uniforms and ski masks to intimidate you.
[01:49.000 --> 01:52.000]  And he was talking about why they wanted to militarize more police.
[01:52.000 --> 01:59.000]  So the idea is governments, God, everybody else's criminals and the state is here to basically feed on us.
[01:59.000 --> 02:01.000]  So that is coming up.
[02:01.000 --> 02:10.000]  Alan Greenspan, of course, years ago famously said the Federal Reserve is above the law and no group of government can oversee it, which is asinine.
[02:10.000 --> 02:13.000]  It's clearly in the Constitution that that is the Congress.
[02:13.000 --> 02:21.000]  We're going to play that clip later, but there's a new clip where he said that the odds of the government going into automatic cuts are very high.
[02:21.000 --> 02:31.000]  Well, he's a big insider and that's because it's cuts on benefits, not cuts to the banker bailouts.
[02:31.000 --> 02:34.000]  I want to explain all that and break down the economy today.
[02:34.000 --> 02:44.000]  Americans, financial downfall citizens are now desperately raiding 401k plans to pay bills long before retirement.
[02:44.000 --> 02:48.000]  We're going to be going over all of that today.
[02:48.000 --> 02:54.000]  We're going to look at G20 summit to focus on currency war, threat to the economy and a lot more.
[02:54.000 --> 03:06.000]  And I ran across another article out of Forbes dealing with John Paul DeGoria, the individual worth over $4 billion started.
