[00:00.000 --> 00:18.800]  Infowars, tomorrow's news, today.
[00:30.960 --> 00:36.960]  I've never done more of a vaccine. Allow people access to a vaccine, an approved vaccine,
[00:38.240 --> 00:43.520]  without getting liability protected. Now the the emergency use authorization vaccines
[00:45.200 --> 00:51.840]  have liability protection under the PREP Act and the CARES Act. So as long as you take an emergency
[00:51.840 --> 01:01.440]  use, you can't sue them. Once they get approved, now you can sue them, unless they can get it
[01:01.440 --> 01:08.400]  recommended for children. What? Because all vaccines that are recommended, officially recommended
[01:08.400 --> 01:15.120]  for children, get it liability protection, even if an adult gets that vaccine. That's why they're
[01:15.120 --> 01:20.000]  going after kids. They know this is going to kill an injured, a huge number of children,
[01:20.000 --> 01:23.520]  but they need to do it for the liability protection.
[01:28.720 --> 01:32.480]  But of course, they want to kill children. That's why they did it in the beginning,
[01:32.480 --> 01:36.880]  and why they put liability protection in. But yes, here it is from the CDC's own
[01:37.840 --> 01:43.360]  globalist website, cdc.gov, the captured federal government at war, the American people.
[01:43.360 --> 01:50.400]  CDC expands updated COVID-19 vaccines to include children ages five through 11.
[01:57.280 --> 02:03.440]  So this is the big issue. This is the giant 50-foot vampire in the living room.
[02:06.080 --> 02:11.680]  And I've got so much news to deal with that issue today. Also, the next phase of the war on speech
[02:11.680 --> 02:17.600]  we warned you of is here. We'll be laying that out. The next target is, of course,
[02:18.560 --> 02:24.000]  Kanye West, George Floyd's family threatens to sue. Kanye, we're telling the truth about his death.
[02:25.280 --> 02:30.080]  Whether it's right or wrong, the coroner said it was probably fentanyl, not the knee on the head.
[02:31.920 --> 02:36.720]  It doesn't matter. The Democrat Party lawyers said that they're going to use the Alex Jones
[02:36.720 --> 02:43.120]  exception and take him out next with a rigged case and a rigged jury after Kanye's defaulted.
[02:44.160 --> 02:51.920]  So he can't defend himself. So that's how they roll. I tell you, this is such a disgraceful
[02:51.920 --> 02:58.800]  statement by the disgraced former FBI official who tried to overturn the 2016 election with fraud.
[03:00.000 --> 03:03.840]  We even have his text messages where he said, I'll never allow Trump to become president.
[03:03.840 --> 03:06.880]  And once it happened, he said, now we're going to remove him. We're going to stop him
[03:06.880 --> 03:14.800]  with the fake dossier and all the rest of it. Peter Strock has now gone on national television
[03:14.800 --> 03:19.360]  and said something even worse than what Chuck E. Schumer and Nancy Pelosi set up for January 6.
[03:19.360 --> 03:24.960]  Remember, they said, this is the worst attack in U.S. history, worse than 9-11 and Pearl Harbor.
[03:25.520 --> 03:32.560]  Now, 9-11, he says, doesn't even compare. Here it is.
[03:32.560 --> 03:38.560]  Can you look at something that is an attack on democracy, something that could actually bring
[03:38.560 --> 03:44.160]  about a fundamental change to American governance as we understand it? 9-11 is nothing compared
[03:44.160 --> 03:48.960]  to January 6. And the fact that the FBI and the rest of the government, if they are not on the
[03:48.960 --> 03:55.760]  same sort of war footing that we were on in the weeks and months and years after 9-11, shame on
[03:55.760 --> 04:02.800]  everyone. So this is a guy that not only helped run the Russia hoax to overturn an election
[04:03.360 --> 04:09.200]  and an impeachment in the whole nine yards, so he is what he says we're doing. He says
[04:10.880 --> 04:16.240]  that 9-11 doesn't even compare. 3,000 dead people, firemen and police dying in mass,
[04:16.240 --> 04:19.120]  people jumping off the top of the burning building, it collapsing.
[04:19.120 --> 04:27.360]  3,000 dead, hundreds of billions of dollars in damage to the world economy, absolute tens of
[04:27.360 --> 04:34.880]  thousands dying later from the poison dust, that is nothing, nothing. The gaslighting of
[04:34.880 --> 04:41.040]  these people is just incredible. So I'm bad for saying maybe Sandy Hook didn't happen years ago.
[04:41.040 --> 04:45.680]  They said, oh, you belittled the deaths not happening, you owe a billion dollars, but he says,
[04:45.680 --> 04:49.920]  the deaths happened, but they're nothing. But under the Hurt Feelings Rule,
[04:49.920 --> 05:16.240]  Peter Strock owes the families of 9-11 victims quadrillions. They'll be right back. Stay with us.
[05:20.240 --> 05:29.520]  It's all three types of the very best atomic iodine out there that supercharges your energy,
[05:29.520 --> 05:34.960]  your stamina, your libido, and number one, your immune system. So X3, despite the fact
[05:34.960 --> 05:43.520]  there's a run on iodine, is still on sale at 50% off right now at infowarstore.com and it funds
[05:43.520 --> 05:48.480]  the info war, which is a 360 win. If you've not experienced the power of iodine, takes two weeks
[05:48.480 --> 05:57.280]  to kick out on average, you've got to go to infowarstore.com and get X3 50% off. X3 50% off infowarstore.com.
[06:18.480 --> 06:44.800]  It is Tuesday, October 18th, 2022.
[06:44.800 --> 06:50.080]  I'm your host Alex Jones. We'll be here live for the next four hours
[06:50.080 --> 06:53.520]  for the most censored attack demonized program in the world because we're pro-family,
[06:53.520 --> 07:00.800]  pro-America, pro-God, pro-justice, pro-self-defense, pro-capitalism, pro-humanity,
[07:02.000 --> 07:06.880]  and I am honored to be the most hated, probably the most hated person in the world
[07:06.880 --> 07:09.200]  by the pedophiles, by the Satanists, by the globalists.
[07:09.200 --> 07:16.000]  Yes, they think of the bringer of death against humanity and their great new population,
[07:16.000 --> 07:19.280]  but the trap that the New World Order has laid for us will be the pick
[07:19.280 --> 07:22.800]  in which they are buried in the ash heap of history.
[07:25.840 --> 07:31.280]  It is not Satan that is the bringer of death, it is God that controls life and death,
[07:31.280 --> 07:41.440]  creation and destruction. It is Azrael, the angel of death that delivers death under the orders of God.
[07:41.440 --> 07:55.600]  Azrael works for God, not Satan.
[08:12.160 --> 08:22.000]  All right, thank you for joining us. Let me tell you what's coming up today. Boy, there's a lot
[08:23.600 --> 08:27.440]  as the New World Order pretends that they control life and death and commit mass murder
[08:27.440 --> 08:34.240]  that they'll be punished for greatly. CDC is quietly slipping it in to go after newborn babies
[08:34.240 --> 08:38.800]  with poisoned injections, not just six months old and up, and to make it mandatory in public
[08:38.800 --> 08:43.520]  schools under federal regulations to inject five-year-olds and up with the experimental
[08:43.520 --> 08:47.760]  death shot. No other country on earth is doing this. Everybody else is banning the shots
[08:47.760 --> 08:52.560]  hell of a year ago. European countries started banning it. As of a month ago, more than half
[08:52.560 --> 08:57.920]  of them have banned it, but they're just moving forward, attacking us, ladies and gentlemen.
[08:58.720 --> 09:04.240]  And the media spends it, the corporate enemy of America, as if it's a good thing. And they're
[09:04.240 --> 09:09.360]  now available to you. Now, the school is going to say it's on the list of mandatory, but that's a
[09:09.360 --> 09:13.600]  fraud, too, under law. It's not really mandatory. They're just saying that it's what they want you
[09:13.600 --> 09:18.640]  to take. The waivers are not to get around a law. They just trick you into signing the waivers.
[09:18.640 --> 09:24.560]  Come out of Babylon, my friends. We're going to hit the massive new developments with the situation
[09:24.560 --> 09:30.960]  in Ukraine as we sleepwalk into World War III. It's posted on the front page of infowars.com.
[09:30.960 --> 09:35.360]  We've written an article about it. It broke here yesterday. Francis Boyle, who's introduced
[09:36.160 --> 09:42.800]  legislation that's become impeachments before, big time law professor, has written Biden impeachment
[09:42.800 --> 09:47.680]  bill. And it's circulating on Capitol Hill in response to World War III threat. I hope everybody
[09:47.680 --> 09:54.960]  goes infowars.com against the article that has a link and a copy of the impeachment legislation.
[09:54.960 --> 09:58.720]  And we'll play a clip of Tulsi Gabbard's coming up next segment. Again, we already played it on
[09:58.720 --> 10:05.680]  Friday and Saturday on Sunday, but it's important where she says the Democrats are a power cult
[10:05.680 --> 10:14.400]  of warmongers. And that is absolutely what they are. They are a cult. And if you like living,
