[00:00.000 --> 00:05.000]  You're listening to the Alex Jones show.
[00:30.000 --> 00:38.000]  Worldwide, you're listening to the voice of human resistance against the technotronic technocracy cankoper.
[00:39.000 --> 00:42.000]  You're listening to Alex Jones.
[00:42.000 --> 00:47.000]  You're listening to Alex Jones.
[01:12.000 --> 01:19.000]  When she got called out by Pierce Morgan, she issued an apology which was almost as bad as the fake news itself.
[01:19.000 --> 01:35.000]  The fake news originated with Harry Potter author J.K. Rowling, who went on an extensive Twitter rant saying that the president couldn't bring himself to shake the hand of a small handicap boy who just wanted to be touched by the president when the president came out to give a speech about the victims of Obamacare and met with some of them.
[01:35.000 --> 01:44.000]  When her Twitter rampage began, my mother used a wheelchair. I witnessed people uncomfortable around her disability, but if they had a shred of decency, they got over it.
[01:44.000 --> 01:53.000]  So yes, that clip of Trump looking deliberately, she says, over a disabled child's head, ignoring his outstretched hand has touched me on the raw.
[01:53.000 --> 02:02.000]  That man occupies the most powerful office in the free world, and his daily outrages against civilized norms are having a corrosive effect.
[02:02.000 --> 02:11.000]  How stunning and how horrible that Trump could not bring himself to shake the hand of a small boy who only wanted to touch the president.
[02:11.000 --> 02:20.000]  So Chelsea Clinton retweeted this fake news, which I will debunk for you in just a second, to the almost 2 million morons who follow her on Twitter, thus further spreading it across social media.
[02:20.000 --> 02:29.000]  First of all, here's the president when he first came out to give his remarks, and you can see one of the first things he did was greet the small child right there talking with him.
[02:29.000 --> 02:39.000]  Having a cold conversation. Then he came over, says hello to some of the other kids, and then he takes the podium.
[02:39.000 --> 02:40.000]  Thank you very much.
[02:40.000 --> 02:52.000]  So what happened here is the anti-Trump idiots on the internet again took an isolated clip and totally misrepresented what was happening and started spreading it around the internet at the very end of the president's speech.
[02:52.000 --> 03:00.000]  When he is greeting some of the families again, and you can see the little boy here, isn't trying to shake the president's hand.
[03:00.000 --> 03:06.000]  The boy has a little secret service patch that was given to him and he's showing it to the president.
[03:06.000 --> 03:08.000]  Hey, look at what I got. Look what I got.
[03:08.000 --> 03:17.000]  So not only did the president greet the boy, which was the first thing that he did when he came out onto the stage, but the little boy wasn't even trying to shake his hand.
[03:17.000 --> 03:21.000]  He was just showing the president his new secret service patch.
[03:21.000 --> 03:25.000]  You can see it right here in his hand. He's just showing him what he's got.
[03:25.000 --> 03:32.000]  Oh, it gets even better. The boy's mother then took to Facebook and wrote, um, if someone can please get a message to J.K. Rowling.
[03:32.000 --> 03:37.000]  Trump didn't snub my son and Monty wasn't even trying to shake his hand.
[03:37.000 --> 03:40.000]  One, he's three and hand shaking is not his thing.
[03:40.000 --> 03:45.000]  And two, he was showing off his newly acquired secret service patch.
[03:45.000 --> 03:47.000]  Thanks.
[03:47.000 --> 03:54.000]  Surprisingly, Pierce Morgan, who I think hopefully is left the United States and went back to England, has been calling out the insanity of the left
[03:54.000 --> 03:59.000]  and called out J.K. Rowling being a fellow Brit and called out Chelsea Clinton.
[03:59.000 --> 04:05.000]  And then Chelsea Clinton deleted the retweet and issued this insane apology.
[04:05.000 --> 04:08.000]  Hello, Pierce. I hadn't seen the full video until now.
[04:08.000 --> 04:14.000]  I removed the retweet and the president should have shaken the boy's hand at the end.
[04:14.000 --> 04:16.000]  What the hell kind of an apology is that?
[04:16.000 --> 04:24.000]  This creature, Chelsea, who has a dog's name, by the way, is just like her evil mother in that she can't even apologize when she does something ridiculously wrong.
[04:24.000 --> 04:34.000]  After the pig demon Rosie O'Donnell started bullying Trump's young 10-year-old son, Baron, Chelsea appeared to come to his aid and made headlines for supposedly defending him
[04:34.000 --> 04:39.000]  when she said, Baron Trump deserves the chance every child does to be a kid.
[04:39.000 --> 04:46.000]  Standing up for a kid also means opposing the president's policies that hurt kids.
[04:46.000 --> 04:48.000]  What the hell kind of defense is that?
[04:48.000 --> 04:53.000]  You're using the president's kid to attack the president, you despicable donkey.
[04:53.000 --> 04:56.000]  What else could we expect from a creature that was birthed by Hillary Clinton, I guess?
[04:56.000 --> 05:10.000]  I'm Mark Dice. Thanks for watching.
[05:26.000 --> 05:36.000]  I'm Mark Dice.
[05:56.000 --> 06:10.000]  As most of you already know, I am a voracious consumer of news and information.
[06:10.000 --> 06:23.000]  And in the last four or five years doing more and more research, I came across the fact that the elite establishment is fully aware of the fact that our ancient ancestors, in many cases, had much better nutrition than we do today.
[06:23.000 --> 06:30.000]  And our ancient ancestors sought out the bones of the animals that they were hunting, killing, and then processing.
[06:30.000 --> 06:43.000]  And so I set out to develop Caveman, but to not just have concentrated bone broth from chicken, but seven other superfood ingredients known for cleansing and supercharging the body at the same time.
[06:43.000 --> 06:53.000]  InfoWars isn't just fighting the globalist, we're getting results and we're expanding in the face of the complete media assault and winning because of your support.
[06:53.000 --> 06:56.000]  Caveman is finally back at the InfoWars store.
[06:56.000 --> 07:05.000]  You can get 25% off the regular price for a limited time only at infowarslife.com or by calling toll-free, triple-A-2-5-3-3-1-3-9.
[07:05.000 --> 07:19.000]  Rediscover your fire with the EcoZoom Coal Rocket Camping Stove. It's easy to light and you can cook with wood, charcoal, or any biomass fuel in a rugged and durable design.
[07:19.000 --> 07:22.000]  And that means big power in a portable package.
[07:22.000 --> 07:28.000]  The Versa cooks fast. It produces less smoke and it's fuel efficient.
[07:28.000 --> 07:32.000]  No wonder the Versa is the most popular model in America.
[07:32.000 --> 07:39.000]  It's the ultimate stove for camping, outdoor cooking, or emergency preparedness.
[07:39.000 --> 07:45.000]  All it takes is a handful of sticks or charcoal. You got yourself an entire meal.
[07:45.000 --> 07:47.000]  Now that looks good.
[07:47.000 --> 08:00.000]  Go to infowarsstore.com for more details and see how you can become the master outdoor chef and enjoy cooking freedom with the EcoZoom Versa Outdoor Stove.
[08:00.000 --> 08:05.000]  Available right now at youguestitinfowarsstore.com.
[08:17.000 --> 08:26.000]  Gun violence has been on the rampage as we know firsthand and we know painfully.
