[00:00:00.000 --> 00:00:02.000]  Subs by www.zeoranger.co.uk
[00:00:00.038 --> 00:00:08.478]  ...Muslims in mosques, whether it's people like Mr. Ian Spears, who is not Muslim and
[00:00:08.478 --> 00:00:13.918]  not Arab-American, whoever it is, we all ought to cooperate and cooperate cheerfully. I appreciate
[00:00:13.918 --> 00:00:19.998]  your call. I was listening to one of my colleagues on InTalk Radio, and no, I'm not going to
[00:00:19.998 --> 00:00:23.798]  tell you which one, and it made me embarrassed. It happens every once in a while. It made
[00:00:23.798 --> 00:00:27.858]  me seriously embarrassed, because it was a guy who was complaining about the Transportation
[00:00:27.858 --> 00:00:34.658]  Security Administration. Now look, at the TSA, I deal with a lot, because I fly a lot.
[00:00:34.658 --> 00:00:40.018]  And I respect the people who do those jobs, for goodness sake. Yes, they may not be brain
[00:00:40.018 --> 00:00:44.938]  surgeons, but for goodness sake, they're people trying, for the most part, to do an honest
[00:00:44.938 --> 00:00:49.758]  job, and I am glad that they're there. Should they racially profile? Of course they should
[00:00:49.758 --> 00:00:55.358]  racially profile. Should they look specially at Middle Eastern males? Of course they should.
[00:00:55.358 --> 00:00:59.278]  But to say that, gosh, these are the kind of low-lives, these are the kind of people
[00:00:59.278 --> 00:01:04.378]  I've worked my whole life to get away from, I'm sorry, these are decent working Americans
[00:01:04.378 --> 00:01:09.198]  who are trying to do a job. And they deserve respect, and they deserve cooperation, for
[00:01:09.198 --> 00:01:13.518]  goodness sake. Let's go to Alan in Tacoma. You're on the Michael Medved Show on Talk
[00:01:13.518 --> 00:01:19.838]  770 KTTH. Hi, how you doing, Michael? I'm doing well, Alan. Hey, great. Well, I just
[00:01:19.838 --> 00:01:24.118]  called because I heard you talking. I'm a regular listener of yours. Thank you. And
[00:01:24.118 --> 00:01:29.678]  a friend of mine who's a filmmaker in Seattle was doing some research on the Internet about
[00:01:29.678 --> 00:01:37.198]  Illuminati and conspiracy theories and things like that. And he found a video that really
[00:01:37.198 --> 00:01:42.318]  moved him, and he started duplicating it. The author of the video, I guess, gives people
[00:01:42.318 --> 00:01:48.078]  permission to duplicate it. And he started passing these out, and the next thing he knows,
[00:01:48.078 --> 00:01:54.078]  he's being investigated by the Secret Service. What's the video? It's called 9-11,
[00:01:54.078 --> 00:02:04.438]  The Road to Tyranny by Alex Jones. Okay, wonderful. Do you know the context in which
[00:02:04.438 --> 00:02:10.398]  he was handing out the video? Yeah, he was basically duplicating them and then just passing
[00:02:10.398 --> 00:02:17.638]  them out to whoever was interested. Was he just giving them to friends, or did he advertise
[00:02:17.638 --> 00:02:22.238]  on his own website? Just giving them to friends. And so what happened in the Secret Service
[00:02:22.278 --> 00:02:28.958]  investigation? Well, at first, you know, he saw a white van kind of posted outside of
[00:02:28.958 --> 00:02:38.478]  his house for a while, obviously with people looking at him. And then after that, you know,
[00:02:38.478 --> 00:02:45.838]  a couple of guys, late 20s, maybe early 30s, came to his door, and they started asking
[00:02:45.838 --> 00:02:50.198]  him a bunch of questions. And then they asked if they could search his house, and they searched
[00:02:50.198 --> 00:02:54.478]  his house, and they found a lot of books like, you know, Bush Lies and things like
[00:02:54.478 --> 00:03:00.398]  that. He's liberal. And they just said that he's the weirdest guy he's ever met, and they
[00:03:00.398 --> 00:03:06.238]  started digging up his medical history and his past and grilling him for days and days
