[00:00.000 --> 00:07.000]  music
[00:12.480 --> 00:17.000]  before America can be great again she must be free
[00:17.000 --> 00:21.000]  again you're listening to the Alex Jones show
[00:21.000 --> 00:25.000]  listen in the light night
[00:25.000 --> 00:30.000]  if you ever wanted front row seats to the fall of this republic
[00:30.000 --> 00:33.000]  you have got them
[00:33.000 --> 00:41.000]  if you ever wanted front row seats living in a dystopic science fiction dream world
[00:41.000 --> 00:43.000]  you've got them
[00:43.000 --> 00:47.000]  if you ever wanted front row seats for the fall
[00:47.000 --> 00:49.000]  the second fall
[00:49.000 --> 00:52.000]  the great fall of humanity
[00:52.000 --> 00:56.000]  you've got them
[00:56.000 --> 01:01.000]  the illogic of the propaganda coming out of the establishment media
[01:01.000 --> 01:11.000]  creating absolute abject division in this nation is so transparent
[01:11.000 --> 01:14.000]  is so weaponized
[01:14.000 --> 01:17.000]  is so nasty
[01:17.000 --> 01:24.000]  and it then just generates a nasty response
[01:24.000 --> 01:26.000]  from the so-called other side
[01:26.000 --> 01:30.000]  and the clash of civilizations that the globalist use
[01:30.000 --> 01:34.000]  in different permutations in different combinations
[01:34.000 --> 01:41.000]  across this world to keep humanity in ignorant squalor
[01:41.000 --> 01:43.000]  there is so much news to cover
[01:43.000 --> 01:49.000]  a lot of it really exciting, a lot of it really positive, a lot of it horrifying
[01:49.000 --> 01:51.000]  in fact I know I mentioned it yesterday
[01:51.000 --> 01:55.000]  but you guys reprint me Paul Joseph Watson's article that links to the Chinese People's Daily
[01:55.000 --> 02:00.000]  where the Chinese president says prepare for war
[02:00.000 --> 02:03.000]  with the United States and that it could be imminent
[02:03.000 --> 02:05.000]  I know that's two day old news
[02:05.000 --> 02:08.000]  but I've got all these hundreds of news articles in front of me and they're important
[02:08.000 --> 02:11.000]  and I'm sitting back thinking what am I going to cover first
[02:11.000 --> 02:13.000]  because I don't cover first what I think will get the ratings
[02:13.000 --> 02:16.000]  or what I think is the most popular topic
[02:16.000 --> 02:18.000]  sometimes I do but I think it's interesting
[02:18.000 --> 02:20.000]  I tend to focus on what I think is really most important
[02:20.000 --> 02:22.000]  look at that headline here TV viewer
[02:22.000 --> 02:27.000]  Chinese president orders People's Liberation Army to prepare for combat
[02:27.000 --> 02:33.000]  Beijing vows to ignore a ruling of international tribunal in South China Sea
[02:33.000 --> 02:36.000]  Jiang Ziping, that's how I pronounce it
[02:36.000 --> 02:40.000]  has ordered the People's Liberation Army to prepare for combat
[02:40.000 --> 02:48.000]  as a massive fleets basically on both sides build up in the area
[02:48.000 --> 02:54.000]  he says there's a measure against possible hostile U.S. action in the South China Sea
[02:54.000 --> 03:00.000]  after an international tribunal ruled that Beijing had no exclusive control of the area
[03:00.000 --> 03:05.000]  and yes people can point out there are Chinese maps going back a thousand years ago
[03:05.000 --> 03:07.000]  that claim some of those islands
[03:07.000 --> 03:14.000]  I mean I can show you maps Genghis Khan had claiming all of the old world
[03:14.000 --> 03:17.000]  the point is there's a bunch of other countries in the area
[03:17.000 --> 03:19.000]  it's an international shipping lane
[03:19.000 --> 03:22.000]  and China is now expanding control into that area
[03:22.000 --> 03:26.000]  and they had to deal with the Anglo-American establishment
[03:26.000 --> 03:28.000]  that they would be given the Panama Canal
[03:28.000 --> 03:36.000]  they would be given basically exclusive control over manufacturing household goods
[03:36.000 --> 03:39.000]  and crap but also a lot of electronics
[03:39.000 --> 03:42.000]  and that they had an exclusive over rare earth minerals
[03:42.000 --> 03:47.000]  as part of the globalist system of dividing up power into different sectors
[03:47.000 --> 03:49.000]  and then playing it off against each other
[03:49.000 --> 03:52.000]  but now as we get towards the end game of world government
[03:52.000 --> 03:54.000]  you notice the double crossing is going into the stratosphere
[03:54.000 --> 03:56.000]  they're launching huge space programs
[03:56.000 --> 03:58.000]  they're weaponizing space
[03:58.000 --> 04:01.000]  they are copying U.S. weapons technologies
[04:01.000 --> 04:04.000]  they are shelling it to enemies
[04:04.000 --> 04:10.000]  and some folks will say well then who's bad and who's good
[04:10.000 --> 04:13.000]  our government's bad and so is the Chinese government
[04:13.000 --> 04:18.000]  and it's rapidly deteriorating very very very quickly
[04:18.000 --> 04:20.000]  and here's a headline
[04:20.000 --> 04:25.000]  war is coming and the global financial situation is a lot worse than you may think
[04:25.000 --> 04:29.000]  the conditions for a perfect storm are coming together very rapidly
[04:29.000 --> 04:32.000]  Michael Schneider writes for economic collapse blog
[04:32.000 --> 04:34.000]  WorldWarZ.com
[04:34.000 --> 04:37.000]  it's not just Schneider saying and he links to all the top analysts saying this
[04:37.000 --> 04:41.000]  meanwhile I turn on the television or just read the newspaper
[04:41.000 --> 04:42.000]  I can't get away from it
[04:42.000 --> 04:45.000]  we have to cover it it's like half the website
[04:45.000 --> 04:52.000]  are all these social change globalist disinformation operatives
[04:52.000 --> 05:00.000]  out just beating the drum for class warfare with a nice icing of idiotic racism
[05:00.000 --> 05:05.000]  I have an exciting announcement from articles by viewzone.com and transpersonal.de
[05:05.000 --> 05:07.000]  our physical bodies run on light
[05:07.000 --> 05:08.000]  that's right
[05:08.000 --> 05:12.000]  Russian scientist Alexander G. Gerfitsch discovered biophotons in 1923
[05:12.000 --> 05:16.000]  with further research supported in the 1970s by Fritz Albert Popp
[05:16.000 --> 05:18.000]  a theoretical biophysicist
[05:18.000 --> 05:21.000]  this system of light could possibly cure disease and cancer
[05:21.000 --> 05:23.000]  the process is called photo repair
[05:23.000 --> 05:26.000]  Fritz Popp found that cancer cells actually distort light they absorb
[05:26.000 --> 05:29.000]  while normal cells let light pass through them untampered
[05:29.000 --> 05:33.000]  if you blast a cell with harsh amounts of UV light until the cell is almost destroyed
[05:33.000 --> 05:37.000]  you can repair the cell by illuminating it with the same UV at a lower intensity
[05:37.000 --> 05:39.000]  but this is old news to the scientific community
[05:39.000 --> 05:43.000]  Fritz Popp concluded that cancer is a result of light already in the body
[05:43.000 --> 05:46.000]  that is blocked and scrambled by cancer causing compounds
[05:46.000 --> 05:49.000]  if the body's photo repair process could itself be repaired
[05:49.000 --> 05:54.000]  could that mean the end of cancer and eventually the end of deception by big pharma in the medical industry
[05:54.000 --> 06:00.000]  this is Gabe Goldiman for infowars.com
[06:25.000 --> 06:29.000]  it discounts on the amazing products and free shipping when you sign up for auto-ship
[06:29.000 --> 06:33.000]  and you're able to promote the products to friends and family and neighbors in your community
[06:33.000 --> 06:36.000]  and make money while helping people at the same time
[06:36.000 --> 06:37.000]  another win-win
[06:37.000 --> 06:41.000]  that's why I'm a member of the young Jebedy team at infowarsteam.com
[06:41.000 --> 06:42.000]  and you can be too
[06:42.000 --> 06:45.000]  it's simple, just go to infowarsteam.com today
[06:45.000 --> 06:48.000]  complete a short sign up and you're part of the team
[06:48.000 --> 06:51.000]  that's infowarsteam.com or infowarshealth.com
[06:51.000 --> 06:54.000]  so many people call into my radio show and tell me how young Jebedy
[06:54.000 --> 06:57.000]  and the products at infowarsteam.com have changed their lives
[06:57.000 --> 07:24.000]  check it out for yourself today
[07:28.000 --> 07:31.000]  Super metal vitality and so many others
[07:31.000 --> 07:35.000]  but I am most proud of the product we're now launching today
[07:35.000 --> 07:39.000]  with its unique delivery system and proprietary manufacturing process
[07:39.000 --> 07:41.000]  designed for maximized effects
[07:41.000 --> 07:45.000]  this formula is the platinum standard of multivitamin mineral products
[07:45.000 --> 07:52.000]  the ingredients in vitamin mineral fusion are either plant derived or of the highest quality lab standard
[07:52.000 --> 07:55.000]  that means it's clean, that means it's pure
[07:55.000 --> 07:58.000]  that's infowarsteam.com and vitamin mineral fusion
[07:58.000 --> 08:27.000]  take action now before we sell out
[08:28.000 --> 08:38.000]  it's the 14th day of July 2016 on this live global Thursday broadcast
[08:38.000 --> 08:41.000]  I intend to open the phones up and take a lot of calls today
[08:41.000 --> 08:46.000]  and one of my favorite investigative journalists James O'Keefe of Project Veritas
[08:46.000 --> 08:48.000]  will be joining us
[08:48.000 --> 08:51.000]  he's had several big coups as of late
[08:51.000 --> 08:58.000]  burrowing inside an anti-gun congressman's meeting
[08:58.000 --> 09:03.000]  where some very interesting information was discovered about these hypocrites
[09:03.000 --> 09:07.000]  he'll be popping in for 30 minutes in the second hour
[09:07.000 --> 09:11.000]  Anthony Gucciardi will host the fourth hour of overdrive
[09:11.000 --> 09:15.000]  if you're tuning in to us on a local MRFM station
[09:15.000 --> 09:17.000]  please spread the word about this wonderful affiliate
[09:17.000 --> 09:22.000]  and please don't take it for granted that they're willing to put information on the air
[09:22.000 --> 09:31.000]  post on the air that are actually defending this republic in some of its most dangerous hours
[09:31.000 --> 09:36.000]  it's also important to note we simulcast the radio show at infowarsteam.com
[09:36.000 --> 09:40.000]  forward slash show where anyone can find the free video feed
[09:40.000 --> 09:45.000]  the free podcast feeds later after each show that are sent out
[09:45.000 --> 09:47.000]  so you can subscribe to that for free
[09:47.000 --> 09:49.000]  the iPhone apps all of it and a lot more
[09:49.000 --> 09:57.000]  and the audio streams infowars.com forward slash show
[09:57.000 --> 10:03.000]  we're going to be finding out obviously very very soon about Trump's VP
[10:03.000 --> 10:10.000]  and I have talked to a lot of big pollsters who are doing private polls
[10:10.000 --> 10:12.000]  to actually really gauge what's going on
[10:12.000 --> 10:21.000]  not just political polls paid for to find out what the candidate wants to hear
[10:21.000 --> 10:26.000]  so they can then put that back out to the public and create a self-fulfilling prophecy
[10:26.000 --> 10:30.000]  but I will tell you Trump is not in this realm
[10:30.000 --> 10:33.000]  Trump just like he's not taking big money from the establishment
[10:33.000 --> 10:40.000]  is not paying for push polls where you call up and basically have the questions arranged
[10:40.000 --> 10:43.000]  so that it makes it more opportunistic
[10:43.000 --> 10:48.000]  makes it sound more moral to be for one candidate or the other
