[00:00.000 --> 00:06.000]  That's right, Headache Stay Gone must work for you before you pay for it.
[00:06.000 --> 00:16.000]  Try Headache Stay Gone risk-free by calling 1-800-327-0727 or visit www.headacestaygone.com.
[00:16.000 --> 00:20.000]  Again, that's 1-800-327-0727.
[00:20.000 --> 00:27.000]  And don't forget to ask about your risk-free trial today. Call now. Start living life without the headaches.
[00:31.000 --> 00:34.000]  Thank you for listening to GCN.
[00:42.000 --> 00:50.000]  Big brother. Mainstream media. Government cover-ups. You want answers? Well, so does he.
[00:50.000 --> 00:59.000]  He's Alex Jones on the GCN radio network. And now, live from Austin, Texas, Alex Jones.
[01:00.000 --> 01:03.000]  We're going in. We're going in full throttle.
[01:05.000 --> 01:14.000]  Welcome, ladies and gentlemen. I'm glad that you've decided to join us today. It is the 24th day of January, 2007.
[01:16.000 --> 01:24.000]  And before I go any further, let me tell you that we have Ed Brown joining us.
[01:24.000 --> 01:30.000]  He was holed up in his home in New Hampshire, found guilty of tax evasion.
[01:30.000 --> 01:43.000]  And in the past, they send in armored SWAT teams to murder anyone who resists the private collection agency for the private banks that own us as chattel slaves.
[01:43.000 --> 01:49.000]  The people of the country are rapidly learning that the Federal Reserve is private.
[01:49.000 --> 01:56.000]  They are rapidly learning that even Alan Greenspan wrote a book admitting it in 1966. I'd said 1968.
[01:56.000 --> 02:05.000]  It was Capitalism, the Unrealized Dream, 1966. I'd read it years ago, I'd mentioned it, and I now have found the book.
[02:06.000 --> 02:16.000]  People are learning that our government is criminal and funded at Mao Tse Tung, Joseph Stalin, Vladimir Lenin, and Adolf Eloise Hitler.
[02:16.000 --> 02:24.000]  The people are learning that the entire economic system is a fraud and a matrix-level lie.
[02:25.000 --> 02:36.000]  And they're getting angrier and angrier and angrier. We are going to win. We are going all the way.
[02:37.000 --> 02:49.000]  So Alberto Gonzalez and Viet Dinh and Fox News and the CIA, CNN can try to put their New World Order back together again,
[02:49.000 --> 02:58.000]  but all of your pomps and pimps and minions and viceroys and duchies are not going to be able to resurrect your system.
[02:58.000 --> 03:07.000]  Oh, your system's a train of its own momentum that's going to roll into the station, but it's going to be dead on arrival.
[03:08.000 --> 03:14.000]  So coming up in the second hour from his home, holed up in New Hampshire, Ed Brown will join us.
[03:14.000 --> 03:21.000]  And for those that don't know about this case, we'll re-air that local Fox News clip coming up in the next segment.
[03:22.000 --> 03:30.000]  The number two former head of the Treasury Department, chief economist for Ronald Reagan, the father of Reaganomics,
[03:30.000 --> 03:35.000]  who's gone public saying clearly terrorism is predominantly an inside job,
