[00:00:13.618 --> 00:00:16.899]  Texas, broadcasting worldwide.
[00:00:16.899 --> 00:00:26.121]  It's Alex Jones.
[00:00:26.121 --> 00:00:32.923]  This strategy includes over 100 bold and unprecedented actions that government agencies are going to take to counter anti-Semitism.
[00:00:33.803 --> 00:00:42.965]  And that includes calls for action for Congress, state and local governments, companies, technology platforms, civil society, and faith leaders, all of them to act.
[00:00:42.965 --> 00:00:43.686]  Act.
[00:00:43.686 --> 00:00:49.687]  Silence is complicity.
[00:00:49.687 --> 00:01:00.670]  America sits quietly as the tyrannical New World Order injustice system throws patriots behind prison walls for merely expressing their natural-born rights.
[00:01:01.167 --> 00:01:03.529]  Stuart Rhodes learns his fate finally.
[00:01:03.529 --> 00:01:10.575]  In the longest sentence yet related to the Capitol riot, Rhodes has been ordered to spend 18 years in a federal prison.
[00:01:10.575 --> 00:01:16.860]  Take a good hard look at where we are and what's been done to not just us but other people.
[00:01:16.860 --> 00:01:23.406]  What's going to continue to be done in the name of stopping the insurrection against the entire MAGA movement.
[00:01:29.171 --> 00:01:35.455]  To be radicalized in Joe Biden's America is to demand an end to his corruption and fraud.
[00:01:35.455 --> 00:01:41.319]  There have been many developments in the House investigations into the First Family's international business dealings recently.
[00:01:41.319 --> 00:01:45.361]  There's one committee trying to get an FBI file alleging that President Biden took bribes.
[00:01:45.361 --> 00:01:49.404]  There's another IRS whistleblower who's alleging there's a cover-up in the investigation.
[00:01:49.404 --> 00:01:56.208]  There was a Harvard-Harris poll this month that found that 53% of the public, including a fourth of Democrats, believe, quote,
[00:01:56.668 --> 00:02:01.294]  Joe Biden was involved with his son in an illegal influence peddling scheme.
[00:02:01.294 --> 00:02:06.500]  So what do you say to the majority of Americans who believe that the president is himself corrupt?
[00:02:06.500 --> 00:02:09.203]  Let's go.
[00:02:11.488 --> 00:02:27.644]  So the flames are fanned by propagandists like Michael Jensen, senior researcher at the National Consortium for the Study of Terrorism and Responses to Terrorism at the University of Maryland, and the leader of the profiles of individual radicalization in the U.S.
[00:02:27.924 --> 00:02:31.885]  ...project known as PURIS, a database tracking how U.S.
[00:02:31.885 --> 00:02:34.086]  extremists can be radicalized.
[00:02:34.086 --> 00:02:39.448]  Jensen claims that, according to his data, 90% of the cases of U.S.
[00:02:39.448 --> 00:02:41.869]  terrorists are classed as domestic.
[00:02:41.869 --> 00:02:46.690]  Of those domestic extremists, 95% are far-right.
[00:02:46.690 --> 00:02:53.793]  Jensen lists them as white supremacists, proud boys, anti-immigrant groups, and anti-government groups.
[00:02:54.233 --> 00:03:03.250]  It's as if the multi-million dollar, country-wide, Antifa and BLM carnage resulting from the George Floyd PSYOP never happened.
[00:03:07.358 --> 00:03:12.041]  We saw federal agents force them to the west, but they soon returned around 11.30 p.m.
[00:03:12.041 --> 00:03:18.266]  That's when agents again tried to push back the crowd with tear gas and pepper bullets.
[00:03:18.266 --> 00:03:29.393]  About an hour later, around 12.30, protesters again showed up on the west side of the federal courthouse, this time trying to set a fire to the outside of the building.
[00:03:29.393 --> 00:03:33.576]  Investigators want to talk to them about the murder of retired police captain David Dorn.
[00:03:33.576 --> 00:03:34.777]  This man will never speak a lie today.
[00:03:35.017 --> 00:03:38.400]  Cannon was convicted of six charges including first-degree murder.
[00:03:38.400 --> 00:03:42.543]  Dorn was shot and killed while responding to a burglar alarm at a friend's business in North St.
[00:03:42.543 --> 00:03:43.244]  Louis.
[00:03:43.244 --> 00:03:49.029]  Dorn confronted looters who had broken into the store during a protest of George Floyd's death in Minneapolis.
[00:03:49.029 --> 00:04:01.339]  But of course, it is actually Biden's Marxist minions that are radicalized, protected by Democrat extremists, and continuing to openly wage domestic terrorism as Jamie White reports
[00:04:01.579 --> 00:04:11.743]  A Utah Target was evacuated after multiple store locations received bomb threats from LGBTQ advocates, according to reports.
[00:04:11.743 --> 00:04:26.370]  The threats appear to have been made by trans extremists triggered over Target's decision to pull LGBTQ merchandise and sever ties with a satanic trans artist following massive public backlash.
[00:04:27.110 --> 00:04:44.205]  I started noticing that there was an influx of videos being made by members of the Christian Right in the United States who were taking pictures from my Instagram and from my web store and claiming that that was being launched in Target.
[00:04:44.205 --> 00:04:46.767]  They were taking work like Satan Respects Pronouns.
[00:04:46.767 --> 00:04:52.772]  The person who sent us this threat said that Target turned its back on the LGBT community.
[00:04:52.772 --> 00:04:55.033]  A little before 12.30 Friday afternoon...
[00:04:56.101 --> 00:04:57.682]  We'll be right back, ladies and gentlemen.
[00:04:57.682 --> 00:05:01.023]  Stay with us.
[00:05:01.023 --> 00:05:14.409]  Sold out for more than a year, we now have back in stock a limited run of our extremely popular Tooth Whitening Coral Calcium Toothpaste, full of essential oils, back in stock at InfoWarsTore.com.
[00:05:14.409 --> 00:05:20.372]  Another great product, sold out for almost a year, is our Activated Charcoal Essential Oil Toothpaste as well.
[00:05:20.652 --> 00:05:26.920]  These are both incredible for your gums, polish your teeth, amazing to counter gingivitis, and they fund the InfoWar.
[00:05:26.920 --> 00:05:29.483]  There are no fillers in these products.
[00:05:29.483 --> 00:05:38.255]  These are fluoride-free, next-level toothpaste, 10,000 of each tube, limited run, available exclusively at InfoWarStore.com.
[00:05:38.795 --> 00:05:41.456]  And your purchase funds the operation.
[00:05:41.456 --> 00:05:43.356]  Plus, these are incredible products you need.
[00:05:43.356 --> 00:05:51.637]  So, the Coral Calcium Tooth Lightening and the Activated Charcoal Essential Oil Toothpaste are now both back in stock at infoawarestore.com.
[00:05:51.637 --> 00:05:52.998]  I thank you for your support.
[00:05:52.998 --> 00:05:55.158]  But regardless, these are great products you need.
[00:05:55.158 --> 00:05:56.418]  So take action now.
[00:05:56.418 --> 00:05:59.859]  Go to infoawarestore.com for both this great toothpaste back in stock.
[00:06:15.530 --> 00:06:19.732]  InfoWars, the most banned network in the world.
[00:06:19.732 --> 00:06:37.363]  It's Sunday, June 4th, 2023.
[00:06:37.363 --> 00:06:44.647]  I'm your host, Alex Jones, very honored and blessed to be sitting here in the Austin studios of InfoWars on this live Sunday broadcast.
[00:06:45.740 --> 00:06:55.686]  All right, Kent Heckin-Lively, an incredible author and scientist researcher, will be joining us in studio coming up in about 30 minutes.
[00:06:55.686 --> 00:07:04.931]  We're then going to have, riding shotgun with him, Dr. Judy Majkovic in studio as well.
[00:07:04.931 --> 00:07:12.416]  And they were both here in town, along with a lot of other amazing individuals, for the premiere of The Great Awakening.
[00:07:13.939 --> 00:07:16.841]  Film by Mickey Willis.
[00:07:16.841 --> 00:07:17.841]  That is excellent.
[00:07:17.841 --> 00:07:23.544]  He's already made some incredible films that helped break the back of the globalists, but this one is even more powerful.
[00:07:23.544 --> 00:07:28.007]  Exposing their authoritarian endgame goal and how we can, must, and will stop them.
[00:07:29.304 --> 00:07:32.165]  I have a book coming out on the same title, The Great Awakening.
[00:07:32.165 --> 00:07:36.547]  A lot of people have asked me why I've been talking about The Great Awakening for 20 plus years on air.
[00:07:36.547 --> 00:07:40.209]  Well, that's because I've been talking about the New Renaissance for 20 plus years.
[00:07:40.209 --> 00:07:42.970]  And there have been hundreds of what they call Great Awakenings.
[00:07:42.970 --> 00:07:46.732]  But in the Renaissance tradition, it started right after the invention of the Gutenberg Press.
[00:07:47.372 --> 00:07:47.813]  We're good to go.
[00:08:04.176 --> 00:08:04.776]  We're good to go.
[00:08:24.591 --> 00:08:26.632]  is the Great Awakening.
