[00:00:00.473 --> 00:00:01.534]  You've got it.
[00:00:01.534 --> 00:00:07.379]  This transmission is coming to you.
[00:00:07.379 --> 00:00:11.762]  Waging war on corruption.
[00:00:11.762 --> 00:00:17.247]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[00:00:17.247 --> 00:00:20.830]  Ladies and gentlemen,
[00:00:31.793 --> 00:00:36.015]  It is the last Sunday radio broadcast of 2012.
[00:00:36.015 --> 00:00:41.477]  As we prepare to plunge into 2013, we are live.
[00:00:41.477 --> 00:00:45.339]  It is 4 o'clock Central Standard Time, 5 o'clock Eastern.
[00:00:45.339 --> 00:00:51.382]  That of course would be 2 o'clock Pacific, 3 o'clock Mountain or Montana time.
[00:00:51.382 --> 00:00:53.863]  And again, it is the 30th day of December 2012.
[00:00:58.226 --> 00:01:02.949]  Mike Adams did a great job sitting in on Friday for most of the broadcast.
[00:01:02.949 --> 00:01:10.395]  I did a fourth hour of overdrive and I was jogging today and listened to myself.
[00:01:10.395 --> 00:01:19.502]  I happened to click on the restream on the iPhone app and I heard myself with Mike Adams and I was basically gibbering.
[00:01:19.502 --> 00:01:22.304]  I was so upset, stumbling over myself.
[00:01:23.464 --> 00:01:29.549]  Because I understand what this gun grab signifies and what it means.
[00:01:29.549 --> 00:01:42.460]  And I just feel sorry for the fools out there that buy in to the fact that they're being told this is for your safety.
[00:01:42.460 --> 00:01:46.524]  Just how foolish and childlike they are.
[00:01:49.861 --> 00:01:51.242]  How naive they are.
[00:01:51.242 --> 00:01:59.066]  But then I also get frustrated by mainline conservatives that think liberals are idiots and just don't understand gun culture.
[00:01:59.066 --> 00:02:01.867]  Oh, they understand it.
[00:02:01.867 --> 00:02:08.190]  That's why they all have bodyguards and concealed carry permits and are launching wars all over the planet.
[00:02:08.190 --> 00:02:15.054]  They understand force, just like Mao Zedong did when he said all power, political power, grows out of the barrel of a gun.
[00:02:16.004 --> 00:02:17.225]  These are dominators.
[00:02:17.225 --> 00:02:20.506]  These are total and absolute controllers.
[00:02:20.506 --> 00:02:31.050]  And the good news is I'm seeing a lot of libertarian constitutional style conservatives really put it all on the line right now.
[00:02:31.050 --> 00:02:38.914]  I'm seeing more and more groups actually just come right out and say, we have a criminal tyranny that wants to dishonor the American people.
[00:02:38.914 --> 00:02:40.955]  If you go to DrudgeReport.com right now,
[00:02:42.327 --> 00:02:46.891]  It says, Obama to go over the guns, there will be resistance, is the headline, Associated Press.
[00:02:46.891 --> 00:02:51.595]  And it shows redcoats firing on Americans.
[00:02:51.595 --> 00:02:52.976]  That's right.
[00:02:52.976 --> 00:02:54.757]  That's truth.
[00:02:54.757 --> 00:02:58.260]  See, it isn't sensationalism when it's really happening.
[00:02:58.260 --> 00:03:02.103]  Reality is much more sensational than fiction.
[00:03:02.103 --> 00:03:09.009]  That's my play on the old adage, or maxim, of truth is stranger than fiction.
[00:03:11.872 --> 00:03:15.255]  You see, I'm someone who studies these people constantly.
[00:03:15.255 --> 00:03:21.821]  In fact, it's gotten to the point where I dream about politics, and I dream that I'm video editing and researching.
[00:03:21.821 --> 00:03:24.504]  And when I get up at 5.30 in the morning, it's all I do.
[00:03:24.504 --> 00:03:30.049]  And when I'm playing with my children out in the yard on the swing set, it's all I'm thinking about.
[00:03:30.049 --> 00:03:32.251]  And when I see something beautiful,
[00:03:33.641 --> 00:03:37.185]  Like the leaves off the trees and the moon rising.
[00:03:37.185 --> 00:03:38.306]  And I feel the cold air.
[00:03:38.306 --> 00:03:41.970]  I think about how beautiful this world is and how much good there is in it.
[00:03:41.970 --> 00:03:52.161]  And then it makes it even more painful to know that a bunch of wickedly vicious control freaks are in control who absolutely hate you and your family.
[00:03:53.575 --> 00:03:55.316]  They're like, oh, they're not that bad.
[00:03:55.316 --> 00:03:57.578]  You don't know history and you don't know these people.
[00:03:57.578 --> 00:03:58.378]  You see, that's the thing.
[00:03:58.378 --> 00:04:00.140]  It's not hyperbole.
[00:04:00.140 --> 00:04:01.461]  It's not demonization.
[00:04:01.461 --> 00:04:02.802]  It's real.
[00:04:02.802 --> 00:04:03.422]  It's real.
[00:04:03.422 --> 00:04:19.854]  I mean, they have the Journal of Pediatrics coming out saying we want mercury back in shots because it has reduced, in the last five years since they took it out of most vaccines, some of the acute brain damaging we were seeing in children.
[00:04:21.353 --> 00:04:38.727]  And may even start to reverse the acceleration of the trend in autism going from 1 in 25,000 30 years ago, depending on the metric, 1 in 89, 1 in 58, 1 in... And you're like, but that's so evil!
[00:04:38.727 --> 00:04:44.232]  Yes, the people that run the major pediatric associations are eugenicists.
[00:04:44.232 --> 00:04:46.434]  You do not get in the club unless you are, okay?
[00:04:47.301 --> 00:04:51.987]  Go find any head of a major medical association of the five or six that are out there.
[00:04:51.987 --> 00:04:56.933]  Go have dinner with them if you can and ask them if they think there's too many people and they need to kill the population.
