[00:00:00.149 --> 00:00:01.549]  EANS.
[00:00:01.549 --> 00:00:05.010]  And thanks to Inventech, no one's gonna cash in but me!
[00:00:05.010 --> 00:00:09.091]  They're going to help me get my invention off the drawing board and into the marketplace!
[00:00:09.091 --> 00:00:10.791]  I really need Inventech.
[00:00:10.791 --> 00:00:11.872]  What's that number again?
[00:00:11.872 --> 00:00:13.012]  1-800-313-6868 One more time?
[00:00:13.012 --> 00:00:13.192]  Call 1-800-313-6868.
[00:00:13.192 --> 00:00:13.492]  That's 1-800-313-6868.
[00:00:30.327 --> 00:00:39.835]  Thank you for listening to GCN.
[00:00:39.835 --> 00:00:41.157]  Big Brother.
[00:00:41.157 --> 00:00:42.918]  Mainstream media.
[00:00:42.918 --> 00:00:44.680]  Government cover-ups.
[00:00:44.680 --> 00:00:46.261]  You want answers?
[00:00:46.261 --> 00:00:47.162]  Well, so does he.
[00:00:47.162 --> 00:00:52.006]  He's Alex Jones on the GCN Radio Network.
[00:00:52.006 --> 00:00:54.349]  And now, live from Austin, Texas,
[00:00:55.229 --> 00:01:05.134]  Alex Jones.
[00:01:05.134 --> 00:01:06.655]  I have returned.
[00:01:06.655 --> 00:01:09.756]  It is the 22nd day of January 2007.
[00:01:09.756 --> 00:01:19.641]  We'll be transmitting worldwide live for the next three hours and we have absolutely no guest today.
[00:01:19.641 --> 00:01:24.604]  By design, because I wish to be able to cover all the news that developed while I was gone for a week,
[00:01:25.829 --> 00:01:42.697]  And the latest developments that are unfolding in the last couple days, including Hillary Clinton, new battle plans for Iran, much more expansive than we were originally told, and much, much more.
[00:01:42.697 --> 00:01:46.498]  We do have Hutton Gibson joining us tomorrow.
[00:01:46.498 --> 00:01:52.421]  He hasn't done an interview on the radio since the Passion of the Christ came out, what, in 2004?
[00:01:52.421 --> 00:01:54.422]  So it's been about two and a half
[00:01:55.419 --> 00:02:04.202]  Uh, years since Hutton Gibson has done an interview and, uh, he will be, uh, going back on the airwaves.
[00:02:04.202 --> 00:02:12.785]  We're honored that he has chosen this program, uh, to go public on several different issues.
[00:02:12.785 --> 00:02:16.686]  And that will be taking place tomorrow in the second hour.
[00:02:17.395 --> 00:02:33.460]  I'm also working on getting Congressman Ron Paul, who graciously visited with Phil and host Jack Blood last week here on this broadcast, on for a full hour in the near future to talk more about his presidential run, his exploratory committee.
[00:02:33.460 --> 00:02:45.864]  We have Aaron Russo undergoing cancer treatment in Houston, coming back on with us on Thursday for a full hour to talk about Ron Paul's presidential run, and a lot more.
[00:02:46.787 --> 00:02:48.368]  So that's just some of what's coming up this week.
[00:02:48.368 --> 00:02:53.192]  We're also working on getting Darja Maul on to cover the latest developments in Iraq.
[00:02:53.192 --> 00:02:57.695]  So a lot of big guests coming up this week.
[00:02:57.695 --> 00:03:02.098]  I gotta tell ya, it's like I live on an alien planet or something.
[00:03:02.098 --> 00:03:03.239]  I love Austin, Texas.
[00:03:03.239 --> 00:03:04.580]  This is where my mom's from.
[00:03:04.580 --> 00:03:08.603]  My family, of course, here from Texas, going back almost eight generations.
[00:03:08.603 --> 00:03:12.866]  And I don't think I'll ever leave Texas, but I'm tempted to because I left town for a week.
[00:03:14.009 --> 00:03:15.470]  Zero allergies.
[00:03:15.470 --> 00:03:16.471]  My brain worked.
[00:03:16.471 --> 00:03:18.513]  My photographic memory came back.
[00:03:18.513 --> 00:03:21.195]  I felt absolutely wonderful.
[00:03:21.195 --> 00:03:24.498]  I felt like I could work 20 hours a day again.
[00:03:24.498 --> 00:03:32.804]  And then being back, I got back Saturday, being back one day, one day the allergies returned.
[00:03:32.804 --> 00:03:36.727]  So, we'll be doing shows on allergies and getting guests on about the subject.
[00:03:36.727 --> 00:03:41.231]  And I'm going to have to, I've never been a person who, I mean I go to the doctor maybe every five years or something.
[00:03:42.157 --> 00:03:47.938]  I'm somebody who hardly ever gets sick, and we're going to be talking about this phenomenon of people who never had them, now have them.
[00:03:47.938 --> 00:03:52.899]  The entire city, I'd say 95% of people have them, and it's the same around the country.
[00:03:52.899 --> 00:03:56.580]  Massive increase in allergies, and it's just incredible.
[00:03:56.580 --> 00:04:04.201]  Of course it's cedar fever, mountain cedars, what they call it, is prime from December through February in Austin.
[00:04:04.201 --> 00:04:08.262]  And I don't mean to start the show with that, it's just an interesting phenomenon.
[00:04:09.173 --> 00:04:18.498]  To literally be robbed of much of your intellect, to be robbed of much of your self-control, to be robbed of... Frankly, I'm not an irritable person.
[00:04:18.498 --> 00:04:22.841]  But when these stupid allergies hit me, I become angry.
[00:04:22.841 --> 00:04:28.624]  And because it causes inflammation in the sinus and then inflammation in the brain, and it is not fun.
[00:04:28.624 --> 00:04:29.465]  So enough whining.
[00:04:29.465 --> 00:04:34.228]  Please don't call with your cures and, you know, telling me how to get better.
[00:04:34.228 --> 00:04:36.309]  You're very sweet, and I appreciate that.
[00:04:36.309 --> 00:04:38.190]  I'm not here talking about myself.
