[00:00.000 --> 00:02.320]  Visit survivalistseeds.com.
[00:02.320 --> 00:04.480]  Check out our doomsday water filter system.
[00:04.480 --> 00:06.240]  Without water, you die.
[00:06.240 --> 00:09.840]  It's all online at survivalistseeds.com.
[00:09.840 --> 00:10.960]  Are you prepared?
[00:10.960 --> 00:13.520]  That's survivalistseeds.com.
[00:13.520 --> 00:15.720]  Go to survivalistseeds.com.
[00:15.720 --> 00:20.360]  Do it now or become property of the New World Order.
[00:20.360 --> 00:21.920]  Policymakers will meet here in Austin
[00:21.920 --> 00:23.320]  to work on growing green.
[00:23.320 --> 00:25.280]  Yeah!
[00:25.280 --> 00:28.400]  You are listening to GCN.
[00:28.400 --> 00:30.080]  On News Radio 590.
[00:33.080 --> 00:36.920]  By our bank, USA Radio News, I'm Pete LaValle.
[00:36.920 --> 00:39.720]  The president-elect is working to choose a cabinet
[00:39.720 --> 00:43.080]  that is diverse according to his transition sheet.
[00:43.080 --> 00:45.760]  I think his charge to us is that he wants
[00:45.760 --> 00:48.680]  a broad, diverse cabinet, one that's built
[00:48.680 --> 00:51.200]  on first criteria's excellence,
[00:51.200 --> 00:52.520]  and that's what we're trying to produce.
[00:52.520 --> 00:55.200]  John Podesta appeared on Fox News
[00:55.200 --> 00:57.400]  as did Congressman Eric Cantor,
[00:57.400 --> 01:00.240]  who says House Republicans are willing to work
[01:00.240 --> 01:02.880]  with the Obama administration to get the job done.
[01:02.880 --> 01:05.760]  I think you will see a Republican party in Congress
[01:05.760 --> 01:08.160]  serving as a check and a balance against
[01:08.160 --> 01:11.240]  Mr. Obama's power and Speaker Pelosi's power.
[01:11.240 --> 01:13.760]  Podesta also says the incoming administration
[01:13.760 --> 01:16.640]  is reviewing President Bush's executive orders
[01:16.640 --> 01:20.400]  on stem cell research, oil and gasoline, and other matters.
[01:20.400 --> 01:22.800]  Hurricane Paloma is now weakening.
[01:22.800 --> 01:24.880]  The once powerful storm has lost its function.
[01:24.880 --> 01:27.000]  It's now a tropical storm.
[01:27.000 --> 01:29.280]  This is IRN USA Radio News.
[01:30.240 --> 01:32.800]  The following from News Broadcast Network.
[01:32.800 --> 01:35.120]  If you haven't had CPR training for a while,
[01:35.120 --> 01:37.680]  you may be surprised to learn that doctors are now saying
[01:37.680 --> 01:40.240]  you should skip the mouth-to-mouth part of resuscitation
[01:40.240 --> 01:43.280]  in most cases and concentrate on restarting the heart.
[01:43.280 --> 01:45.520]  Dr. Charles Otto of the University of Arizona
[01:45.520 --> 01:47.600]  College of Medicine told the American Society
[01:47.600 --> 01:49.560]  of Amnesthesiologists annual meeting,
[01:49.560 --> 01:52.080]  research shows that starting the heart in most cases
[01:52.080 --> 01:54.480]  will allow the person in distress to get some oxygen
[01:54.480 --> 01:56.960]  on his own, one side benefit Dr. Otto says,
[01:56.960 --> 01:58.880]  more bystanders may be likely to help
[01:58.880 --> 02:00.880]  because people are often less comfortable
[02:00.880 --> 02:01.960]  giving mouth-to-mouth.
[02:01.960 --> 02:04.080]  John Dritton, Orlando.
[02:04.080 --> 02:06.080]  To educate our community about breast health
[02:06.080 --> 02:08.400]  and to celebrate the 10th anniversary of Yo-Ple's
[02:08.400 --> 02:10.360]  Safe Lids to Safe Lives campaign,
[02:10.360 --> 02:12.720]  Cheryl Crow joined forces with Yo-Ple.
[02:12.720 --> 02:15.120]  The goal is to raise 1.5 million dollars
[02:15.120 --> 02:16.920]  to go to the Susan G coming for the cure.
[02:16.920 --> 02:19.280]  Join Cheryl and Yo-Ple in the fight against breast cancer
[02:19.280 --> 02:22.000]  by mailing in special pink lids from Yo-Ple yogurt cups.
[02:22.000 --> 02:24.880]  For every pink lid mailed in by December 31, 2008,
[02:24.880 --> 02:28.080]  Yo-Ple will donate $0.10 to Susan G Komen for the cure.
[02:28.080 --> 02:30.680]  I'm Jennifer Morrow.
[02:30.680 --> 02:33.640]  A deadly accident on a Russian submarine.
[02:33.640 --> 02:36.440]  20 people suffocated when a fire extinguishing system
[02:36.440 --> 02:40.520]  aboard a new Russian sub-mouth function during a test run.
[02:40.520 --> 02:43.320]  The accident released free on gas.
[02:43.320 --> 02:45.360]  Correspondent Vladimir Izachevkoff
[02:45.360 --> 02:47.000]  is following the story in Moscow.
[02:47.000 --> 02:50.000]  There are unconfirmed at the stage reports
[02:50.000 --> 02:54.840]  that the submarine was to be leased by India for 10 years.
[02:54.840 --> 02:57.880]  And the trials were actually part of preparations
[02:57.880 --> 02:58.920]  for the lease.
[02:58.920 --> 03:02.880]  The Russian Navy says the sub itself was not damaged.
[03:02.880 --> 03:05.880]  The owner of a collapsed school in Haiti is in custody
[03:05.880 --> 03:08.120]  as a desperate search for survivors continues.
[03:08.120 --> 03:10.720]  At least 88 children are known dead.
[03:10.720 --> 03:12.320]  Many are still missing.
[03:12.320 --> 03:15.440]  The owner is charged with involuntary manslaughter.
[03:15.440 --> 03:17.480]  There's new evidence that people not normally thought
[03:17.480 --> 03:20.840]  to get major risk can reduce their chances of a heart attack
[03:20.840 --> 03:22.720]  using a cholesterol drug.
[03:22.720 --> 03:25.880]  For the latest news and analysis online,
[03:25.880 --> 03:30.280]  log on to irnu.com.
[03:30.280 --> 03:33.080]  How would you like to wipe out 30% to 60%
[03:33.080 --> 03:34.320]  of your credit card debt?
[03:34.320 --> 03:37.480]  Debt professionals of America can help you avoid bankruptcy,
[03:37.480 --> 03:40.720]  save thousands, and get more cash back in your pocket
[03:40.720 --> 03:41.280]  every month.
[03:41.280 --> 03:43.760]  If you have over $10,000 in unsecured debt,
[03:43.760 --> 03:45.280]  you could automatically qualify.
[03:45.280 --> 03:46.680]  Individual results vary, and it's
[03:46.680 --> 03:48.040]  not available in all states.
[03:48.040 --> 03:53.000]  Call for your free information now at 800-568-5385.
[03:53.000 --> 03:55.600]  800-568-5385.
[03:55.600 --> 04:00.760]  800-568-5385.
[04:00.760 --> 04:03.200]  Doctors are treating dozens of cholera cases
[04:03.200 --> 04:05.640]  outside a refugee camp just outside Congo's
[04:05.640 --> 04:07.960]  eastern provincial capital of Goma.
[04:07.960 --> 04:11.280]  They treated 13 new cases of cholera on Sunday
[04:11.280 --> 04:13.600]  and have seen 45 cases since Friday
[04:13.600 --> 04:15.680]  at the Kibati refugee camp.
[04:15.680 --> 04:17.960]  They say shortages of water in the Queens
[04:17.960 --> 04:19.880]  make the outbreak dangerous.
[04:19.880 --> 04:22.240]  Britain is remembering its war dead,
[04:22.240 --> 04:25.080]  including troops killed in Iraq and Afghanistan.
[04:25.080 --> 04:27.040]  The service is held on the nearest Sunday
[04:27.040 --> 04:29.400]  to the anniversary of the end of World War
[04:29.400 --> 04:33.160]  1 on November 11, 1918.
[04:33.160 --> 04:35.600]  Chancellor Angela Merkel has called on Germans
[04:35.600 --> 04:39.120]  to stand together against racism and anti-Semitism,
[04:39.120 --> 04:42.800]  as that nation marks the 70th anniversary of the Nazi program
[04:42.800 --> 04:45.680]  known as Kristallnacht, or Night of Broken Glass,
[04:45.680 --> 04:48.560]  to mark the anniversary of the Nazi incited riots that
[04:48.560 --> 04:52.880]  killed more than 91 Jews and damaged some 1,000 synagogues.
[04:52.880 --> 04:56.720]  A female suicide bomber has detonated her explosive vest
[04:56.720 --> 04:59.560]  at a hospital west of Baghdad, killing three people,
[04:59.560 --> 05:00.960]  injuring five others.
[05:00.960 --> 05:03.720]  Three Indonesian bombers have been executed
[05:03.720 --> 05:08.600]  for helping plan and carry out the 2002 ballad bombings.
[05:08.600 --> 05:11.120]  People with pacemakers or other heart devices
[05:11.120 --> 05:14.800]  should be careful with headphones from portable music players.
[05:14.800 --> 05:17.240]  The study presented at an American Heart Association
[05:17.240 --> 05:19.280]  conference lines that some headphones
[05:19.280 --> 05:23.040]  can interfere with heart devices if held too close to them.
[05:23.040 --> 05:24.480]  I'm Pete Lavalle.
[05:24.480 --> 05:30.400]  You've been listening to IRN, USA Radio News.
[05:30.400 --> 05:32.800]  Are you one of the people who think, I have plenty of time.
[05:32.800 --> 05:34.600]  Nothing's ever going to happen bad to me.
[05:34.600 --> 05:36.640]  Do you believe that when your cupboards are bare,
[05:36.640 --> 05:38.120]  our corporate controlled government
[05:38.120 --> 05:40.040]  will jump right in to feed you and yours?
[05:40.040 --> 05:42.920]  Do you have at least a year's supply of food for your family?
[05:42.920 --> 05:44.680]  This is Kurt, the armchair survivalist,
[05:44.680 --> 05:45.680]  heard on this network.
[05:45.680 --> 05:48.560]  Survival enterprises sells real food, canned for long term
[05:48.560 --> 05:51.280]  storage, beef, chicken, turkey, bacon, butter, cheese, eggs,
[05:51.280 --> 05:52.840]  freeze-dried fruits and vegetables,
[05:52.840 --> 05:55.200]  Mountain House freeze-dried meals, MREs,
[05:55.200 --> 05:58.160]  a full nutritional line, the British Birkfeld water filter,
[05:58.160 --> 05:58.720]  and more.
[05:58.720 --> 06:01.760]  If you want to prepare now, go to beforeitstoolate.us.
[06:01.760 --> 06:06.560]  That's before itstoolate.us or call 1-800-753-1981.
[06:06.560 --> 06:09.400]  That's 1-800-753-1981.
[06:09.400 --> 06:11.080]  Or you can put your head in the sand
[06:11.080 --> 06:13.800]  and be just another sheeple in the corporate controlled flock.
[06:13.800 --> 06:16.120]  But remember, those who don't learn from history
[06:16.120 --> 06:17.320]  are bound to repeat it.
[06:17.320 --> 06:19.360]  And my own blood and blood will die
[06:19.360 --> 06:22.320]  if I break your bones and break your bones.
[06:22.320 --> 06:23.320]  Leave!
[06:23.320 --> 06:24.320]  Ah!
[06:24.320 --> 06:25.320]  Leave!
[06:25.320 --> 06:26.320]  Ah!
[06:26.320 --> 06:27.320]  Ah!
[06:32.320 --> 06:35.320]  Prepare yourself for a talk radio.
[06:35.320 --> 06:37.320]  A talk radio experience.
[06:37.320 --> 06:39.600]  Don't act like you know nothing.
[06:39.600 --> 06:42.240]  Scrap yourselves in and hold on.
[06:42.240 --> 06:45.000]  He stands for truth.
[06:45.000 --> 06:48.240]  He stands for justice.
[06:48.240 --> 06:50.640]  He stands for what's right.
[06:50.640 --> 06:53.960]  This is the Alex Jones show.
[06:53.960 --> 07:02.320]  Call Alex Now, toll free at 877-590-5525.
[07:02.320 --> 07:05.520]  Now live from Austin, Texas.
[07:05.520 --> 07:10.240]  Here's Alex Jones.
[07:10.240 --> 07:11.240]  That's right.
[07:11.240 --> 07:16.000]  Coming to you out of the studios of News Radio 590-KLBJ here in Austin, Texas.
[07:16.000 --> 07:19.040]  It's indicated across the United States on AM and FM.
[07:19.040 --> 07:21.520]  There's a little shortwave satellite on the Internet.
[07:21.520 --> 07:23.520]  I am Alex Jones.
[07:23.520 --> 07:24.520]  Thank you for joining us.
[07:24.520 --> 07:27.840]  We'll be live here for the Sunday abbreviated edition than I do.
[07:27.840 --> 07:29.080]  I'm on the air six days a week.
[07:29.080 --> 07:34.320]  But until Friday, then I come back here on Sundays from 4 to 6 p.m.
[07:34.320 --> 07:36.600]  Standard Time.
[07:36.600 --> 07:43.840]  I want to take a ton of phone calls today on the economy, on Barack Obama, on where you
[07:43.840 --> 07:46.360]  think this country is headed in the future.
[07:46.360 --> 07:52.800]  Are you happy with the direction that Barack Obama, the 44th president, the 44th president
[07:52.800 --> 07:57.600]  now president, elect moving quickly into the presidential role, the radio addresses and
[07:57.600 --> 07:59.080]  press conferences.
[07:59.080 --> 08:02.160]  Are you happy with what he is doing?
[08:02.160 --> 08:10.560]  Every number to join us, 877-590-5525, 877-590-5525, and if those lines fill up, you can always
[08:10.560 --> 08:17.120]  call if you're listening in Texas, 8360-590.
[08:17.120 --> 08:22.400]  I want to go over Barack Obama and who he really is and what he really stands for, but
[08:22.400 --> 08:26.480]  this has to be done delicately or it only empowers the globalist.
[08:26.480 --> 08:29.400]  It only empowers the New World Order.
[08:29.400 --> 08:34.600]  Through this psychological trap that they've set up, then I want to get into the Denver
[08:34.600 --> 08:39.600]  Post reporting what we told you two months ago.
[08:39.600 --> 08:44.960]  When I was in Denver, we witnessed police staged opposing those demonstrators and we
[08:44.960 --> 08:50.800]  talked to witnesses who had seen police posing as demonstrators trying to stir up trouble.
[08:50.800 --> 08:58.240]  Now the police have been forced to admit now that they did stage attacks on other police
[08:58.240 --> 09:01.720]  as a pretext to be able to attack the peaceful crowds.
[09:01.720 --> 09:06.160]  Now we've caught them in Seattle, we've caught them in DC, we've caught them in Austin, Texas
[09:06.160 --> 09:13.480]  doing this, we've caught them in other countries in Italy and Canada.
[09:13.480 --> 09:20.160]  Well they've now been caught in Denver doing this and the police admit they did it.
[09:20.160 --> 09:25.400]  You understand there's a whole world that the general public has not made privy to.
[09:25.400 --> 09:34.280]  Why would police go out and attack their own police as a pretext to demonize demonstrators?
[09:34.280 --> 09:41.440]  What does that tell you about major metropolitan police department's mindset?
[09:41.440 --> 09:47.800]  Well I mean we've seen cases every few weeks about major police departments framing people.
[09:47.800 --> 09:52.800]  It's institutionalized, it's not one bad cop in the crime lab that frames people in Houston.
[09:52.800 --> 09:56.760]  It was over 4,000 people framed and they were ordered to.
[09:56.760 --> 10:01.280]  That came out and was barely a blurb two years ago in the Houston Chronicle.
[10:01.280 --> 10:05.560]  In Dallas they like your car, they pull it over, they throw a bag of chalk in the back,
[10:05.560 --> 10:06.560]  they take your car.
[10:06.560 --> 10:07.560]  No judge, no jury.
[10:07.560 --> 10:09.680]  It's acid, forfeiture, seizure.
[10:09.680 --> 10:14.560]  There's no bill of rights, no due process, no constitution and they don't care.
[10:14.560 --> 10:23.600]  I had a police officer call me on Friday's show and actually in hindsight I know who
[10:23.600 --> 10:28.600]  the guy was because he said his name and then I googled him and I heard about him as a police
[10:28.600 --> 10:34.400]  detective in New Jersey, he was involved on 9-11 responding and he's had Richard Gage
[10:34.400 --> 10:38.280]  and architects and engineers from 9-11 Truth and the Speak and he said you know I get police
[10:38.280 --> 10:42.520]  to tune into your show and tell them they need to hear this information and then you're
[10:42.520 --> 10:43.520]  bashing them.
[10:43.520 --> 10:47.480]  Hey man, I mean if cops are attacking other cops and blaming it on the American people,
