whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
whisper_model_load: n_audio_ctx   = 1500
whisper_model_load: n_audio_state = 1280
whisper_model_load: n_audio_head  = 20
whisper_model_load: n_audio_layer = 32
whisper_model_load: n_text_ctx    = 448
whisper_model_load: n_text_state  = 1280
whisper_model_load: n_text_head   = 20
whisper_model_load: n_text_layer  = 32
whisper_model_load: n_mels        = 80
whisper_model_load: f16           = 1
whisper_model_load: type          = 5
whisper_model_load: adding 1608 extra tokens
whisper_model_load: mem_required  = 4712.00 MB
whisper_model_load: ggml ctx size = 2950.97 MB
whisper_model_load: memory size   =  304.38 MB
whisper_model_load: model size    = 2950.66 MB

system_info: n_threads = 6 / 16 | AVX = 1 | AVX2 = 1 | AVX512 = 0 | NEON = 0 | F16C = 1 | FP16_VA = 0 | WASM_SIMD = 0 | BLAS = 0 | 

main: processing 'wav/20191010_Thu_Alex.wav' (228331520 samples, 14270.7 sec), 6 threads, 1 processors, lang = en, task = transcribe, timestamps = 1 ...


[00:00:00.000 --> 00:00:03.120]   Gavin McInnes is back with his all new online network,
[00:00:03.120 --> 00:00:04.760]   freespeech.tv.
[00:00:04.760 --> 00:00:07.900]   Gavin McInnes, Joe Biggs, Milo Yiannopoulos, and Soph,
[00:00:07.900 --> 00:00:10.260]   all at freespeech.tv.
[00:00:10.260 --> 00:00:13.000]   (dramatic music)
[00:00:13.000 --> 00:00:19.000]   - From the front lines of the information war,
[00:00:19.000 --> 00:00:20.540]   it's Alex Jones.
[00:00:27.980 --> 00:00:32.380]   - It is Thursday, October 10th, 2019.
[00:00:32.380 --> 00:00:34.620]   I'm your host, Alex Jones.
[00:00:34.620 --> 00:00:39.180]   Now I'm going to be co-hosting with Will Johnson tonight
[00:00:39.180 --> 00:00:43.300]   from seven past nine o'clock during Firepower
[00:00:43.300 --> 00:00:46.220]   at infowars.com/show,
[00:00:46.220 --> 00:00:51.220]   covering the live Minneapolis, Minnesota rally
[00:00:51.220 --> 00:00:54.380]   that Trump is going to be holding.
[00:00:54.380 --> 00:00:55.900]   I'll talk more about that in a moment.
[00:00:55.900 --> 00:00:59.060]   As you know, the mayor is trying to keep the president
[00:00:59.060 --> 00:01:00.180]   from being able to speak,
[00:01:00.180 --> 00:01:03.700]   and that ties into a key point we'll hit in a second.
[00:01:03.700 --> 00:01:07.180]   First off, the corporate media is very breathless.
[00:01:07.180 --> 00:01:10.740]   CBS News last night ran a story saying,
[00:01:10.740 --> 00:01:14.500]   "Read the second complaint of the second whistleblower."
[00:01:14.500 --> 00:01:18.940]   And when I read it, the story is that it's not a story.
[00:01:18.940 --> 00:01:23.820]   It's just stunning how they recycle the same thin air
[00:01:23.820 --> 00:01:26.460]   as if it's a giant porterhouse steak
[00:01:26.460 --> 00:01:28.380]   perfectly cooked on your plate
[00:01:28.380 --> 00:01:32.180]   with a side of mashed potatoes and carrots.
[00:01:32.180 --> 00:01:34.860]   It is a complete mirage.
[00:01:34.860 --> 00:01:37.900]   It simply says, oh, that the person had knowledge
[00:01:37.900 --> 00:01:41.380]   of someone who simply was listening to, again,
