[00:00.000 --> 00:10.000]  When I grow up I want to be a rock star!
[00:30.000 --> 00:36.000]  Now take you live to the Central Texas Command Center in the heart of the resistance.
[00:36.000 --> 00:39.000]  You're listening to Alex Jones.
[00:50.000 --> 00:54.000]  Ladies and gentlemen, we are well in the 21st century.
[00:54.000 --> 00:59.000]  We are almost out of the year 2017.
[00:59.000 --> 01:02.000]  I'm your host Alex Jones. You're going to be live here for the next two hours.
[01:02.000 --> 01:07.000]  And I'll be back tomorrow live 11 a.m. Central with the info war.
[01:07.000 --> 01:10.000]  Let me get directly into the news.
[01:10.000 --> 01:17.000]  The problem here is even with a lot of our listeners, people tend to not realize that we're not exaggerating.
[01:17.000 --> 01:18.000]  Nine times out of ten.
[01:18.000 --> 01:23.000]  My biggest problem is not seeing how serious things really are.
[01:23.000 --> 01:28.000]  Last year and this year it came out in the WikiLeaks and other documents.
[01:28.000 --> 01:36.000]  But George Soros and the EU, the unelected dictatorial EU, along with the UN wanted full control over the Internet.
[01:36.000 --> 01:44.000]  And Obama tried to give full control over the Internet to the UN, but instead Congress only gave partial control.
[01:44.000 --> 01:50.000]  Then Obama set up his Ministry of Truth right before he left office in the Defense Authorization Act for this year.
[01:50.000 --> 01:57.000]  And you see the Congressional hearing saying their main job is to shut down info wars and Matt Drudge and things like that.
[01:57.000 --> 02:06.000]  As of last night at about nine o'clock, I went to the front page of Google, typed in my name to see what the latest news was.
[02:06.000 --> 02:17.000]  And boom, at the top on my phone and on my regular computer desktop, everything was hateful stories.
[02:17.000 --> 02:18.000]  Everything was lies.
[02:18.000 --> 02:19.000]  Everything was just info.
[02:19.000 --> 02:23.000]  And it didn't even have an area saying fake news.
[02:23.000 --> 02:32.000]  But then above that, it's got two different captions, writes about and reviewed claims, click reviewed claims.
[02:32.000 --> 02:37.000]  And it's Snopes, literally funded by George Soros.
[02:37.000 --> 02:45.000]  That's their main funder for Google and PolitiFact, which has been proven to be one of the biggest disinfo outlets there.
[02:45.000 --> 02:47.000]  They said 98% chance Trump would win.
[02:47.000 --> 02:48.000]  I mean, Hillary would win.
[02:48.000 --> 02:56.000]  They said all 14 intelligence agencies had said Trump did steal the election with the Russians.
[02:56.000 --> 02:57.000]  None of that was true.
[02:57.000 --> 02:59.000]  I mean, it's just total BS.
[02:59.000 --> 03:06.000]  They've got big environmental groups running the sites, saying the global warming is real.
[03:06.000 --> 03:08.000]  I mean, this is wild.
[03:08.000 --> 03:14.000]  And they've got fact checking on CNN, everybody else except Snopes.
[03:14.000 --> 03:15.000]  Let's show them Snopes.
[03:15.000 --> 03:20.000]  You type in Snopes and click on web, click on everything.
[03:20.000 --> 03:22.000]  And it just says where the facts.
[03:22.000 --> 03:28.000]  Google says that there is no reviewed facts.
[03:28.000 --> 03:34.000]  Notice those tabs that were there for me or for CNN or anything else, isn't there.
[03:34.000 --> 03:41.000]  It's topics they write about, but no reviews, no fact checking.
[03:41.000 --> 03:58.000]  So they've set themselves up like gods above everybody with a search engine that has 90% of the web's traffic to not just force feed disinfo and not just manipulate the search results for Hillary during the election,
[03:58.000 --> 04:08.000]  but to now put all the lies and all the hate and all the fake news against us on top and then put things over our articles saying it's fake news.
[04:08.000 --> 04:11.000]  I want to see what Snopes has to say.
[04:11.000 --> 04:16.000]  Literally funded hundreds of millions of dollars a year by George Soros.
[04:16.000 --> 04:20.000]  So yes, where's George Soros is 18 billion he just put in against America.
[04:20.000 --> 04:24.000]  He said against America, against this restoration.
[04:24.000 --> 04:25.000]  It's against us folks.
[04:25.000 --> 04:27.000]  Look at this headline from October.
[04:27.000 --> 04:28.000]  This is just a few weeks ago.
[04:28.000 --> 04:34.000]  Google partners with Soros funded fact checking service to fight fake news.
[04:34.000 --> 04:35.000]  Right Bart.
[04:35.000 --> 04:38.000]  They admit it.
[04:38.000 --> 04:45.000]  And of course they're saying we're fake news because we're real coming up our top generals really warning of Trump using nukes.
[04:45.000 --> 04:48.000]  No, that's more fake news from CNN.
[04:48.000 --> 04:49.000]  It's all coming up.
[04:49.000 --> 04:54.000]  Plus you can't make this up a chicken man attacked our reporters and was arrested and more.
[04:54.000 --> 04:55.000]  I'm not kidding.
[04:55.000 --> 04:58.000]  Police chasing a chicken 500 yards.
[04:58.000 --> 05:04.000]  We have all the video after years of research working with top developers here in the United States.
[05:04.000 --> 05:11.000]  With the latest cutting edge science, we are rolling out three new digestive gut aids.
